devanagari,iast,slp1,count,pct,slot1,slot2,slot3,slot4,slot5
र्मो,rmo,rmo,1392,0.0097,105,686,320,197,83
र्मौ,rmau,rmO,87,0.0006,7,30,24,22,4
र्म्म,rmma,rmma,20,0.0001,0,0,1,19,0
र्म्मं,rmmaṃ,rmmaM,2,0.0,0,0,0,2,0
र्म्मः,rmmaḥ,rmmaH,1,0.0,0,0,0,1,0
र्म्मा,rmmā,rmmA,10,0.0001,0,0,0,10,0
र्म्मे,rmme,rmme,1,0.0,0,0,0,1,0
र्म्मो,rmmo,rmmo,1,0.0,0,0,0,1,0
र्म्मौ,rmmau,rmmO,1,0.0,0,0,0,1,0
र्म्म्या,rmmyā,rmmyA,1,0.0,0,0,0,1,0
र्म्म्याः,rmmyāḥ,rmmyAH,1,0.0,0,0,0,1,0
र्म्म्यौ,rmmyau,rmmyO,1,0.0,0,0,0,1,0
र्म्य्,rmy,rmy,16,0.0001,15,0,0,1,0
र्म्य,rmya,rmya,219,0.0015,12,87,87,21,12
र्म्यं,rmyaṃ,rmyaM,116,0.0008,10,65,23,15,3
र्म्यः,rmyaḥ,rmyaH,5,0.0,0,1,4,0,0
र्म्या,rmyā,rmyA,133,0.0009,21,64,33,13,2
र्म्यां,rmyāṃ,rmyAM,27,0.0002,0,22,2,3,0
र्म्याः,rmyāḥ,rmyAH,10,0.0001,3,5,2,0,0
र्म्यु,rmyu,rmyu,1,0.0,0,0,0,1,0
र्म्ये,rmye,rmye,49,0.0003,11,10,16,11,1
र्म्यै,rmyai,rmyE,7,0.0,0,5,0,2,0
र्म्यैः,rmyaiḥ,rmyEH,2,0.0,1,0,0,0,1
र्म्यो,rmyo,rmyo,14,0.0001,1,9,1,2,1
र्म्यौ,rmyau,rmyO,5,0.0,0,5,0,0,0
र्म्र,rmra,rmra,1,0.0,1,0,0,0,0
र्म्रि,rmri,rmri,11,0.0001,0,0,1,8,2
र्म्ला,rmlā,rmlA,1,0.0,0,0,0,1,0
र्म्ले,rmle,rmle,2,0.0,0,0,1,1,0
र्य्,ry,ry,395,0.0028,297,23,33,27,15
र्य,rya,rya,19681,0.1374,4259,6184,4684,3386,1158
र्यं,ryaṃ,ryaM,3997,0.0279,686,1339,921,807,244
र्यः,ryaḥ,ryaH,1334,0.0093,457,378,236,190,73
र्या,ryā,ryA,12956,0.0904,2798,3222,3005,2699,1229
र्यां,ryāṃ,ryAM,758,0.0053,59,344,148,156,51
र्याः,ryāḥ,ryAH,475,0.0033,85,163,134,68,25
र्यि,ryi,ryi,15,0.0001,0,7,7,1,0
र्यी,ryī,ryI,1,0.0,0,0,1,0,0
र्यु,ryu,ryu,1890,0.0132,877,330,348,216,119
र्युं,ryuṃ,ryuM,53,0.0004,45,1,3,0,4
र्युः,ryuḥ,ryuH,539,0.0038,442,47,23,7,20
र्यू,ryū,ryU,229,0.0016,151,31,35,6,6
र्यूं,ryūṃ,ryUM,1,0.0,1,0,0,0,0
र्यृ,ryṛ,ryf,25,0.0002,8,16,1,0,0
र्ये,rye,rye,2736,0.0191,770,819,564,401,182
र्यै,ryai,ryE,286,0.002,69,89,60,50,18
र्यैः,ryaiḥ,ryEH,79,0.0006,11,28,20,14,6
र्यो,ryo,ryo,3479,0.0243,566,1890,497,433,93
र्योः,ryoḥ,ryoH,29,0.0002,22,2,1,2,2
र्यौ,ryau,ryO,195,0.0014,46,72,47,14,16
र्य्य,ryya,ryya,14,0.0001,0,1,0,13,0
र्य्यं,ryyaṃ,ryyaM,7,0.0,0,0,0,5,2
र्य्यः,ryyaḥ,ryyaH,3,0.0,0,0,0,2,1
र्य्या,ryyā,ryyA,3,0.0,0,0,0,3,0
र्य्याः,ryyāḥ,ryyAH,1,0.0,0,0,0,1,0
र्य्ये,ryye,ryye,3,0.0,0,0,0,1,2
र्य्यौ,ryyau,ryyO,1,0.0,0,0,0,1,0
र्य्वा,ryvā,ryvA,1,0.0,1,0,0,0,0
र्य्वो,ryvo,ryvo,1,0.0,1,0,0,0,0
र्रा,rrā,rrA,1,0.0,0,0,0,1,0
र्ल,rla,rla,907,0.0063,2,248,245,279,120
र्ला,rlā,rlA,28,0.0002,1,1,8,9,9
र्लि,rli,rli,87,0.0006,3,12,19,45,8
र्लिं,rliṃ,rliM,1,0.0,0,0,0,1,0
र्ली,rlī,rlI,13,0.0001,0,0,11,1,1
र्लु,rlu,rlu,8,0.0001,1,1,1,3,2
र्लू,rlū,rlU,5,0.0,0,0,1,4,0
र्ले,rle,rle,85,0.0006,7,4,17,46,11
र्लो,rlo,rlo,232,0.0016,17,16,117,64,18
र्लौ,rlau,rlO,5,0.0,0,0,1,4,0
र्ल्व,rlva,rlva,1,0.0,1,0,0,0,0
र्व्,rv,rv,138,0.001,127,1,8,1,1
र्व,rva,rva,38298,0.2673,6802,12176,9297,7096,2913
र्वं,rvaṃ,rvaM,6567,0.0458,974,2336,1356,1346,555
र्वः,rvaḥ,rvaH,520,0.0036,194,124,105,75,22
र्वा,rvā,rvA,12624,0.0881,3226,4017,2514,1972,890
र्वां,rvāṃ,rvAM,588,0.0041,119,295,98,51,25
र्वाः,rvāḥ,rvAH,767,0.0054,215,337,121,65,29
र्वि,rvi,rvi,2936,0.0205,222,620,965,905,224
र्विं,rviṃ,rviM,466,0.0033,254,47,63,63,39
र्विः,rviḥ,rviH,4,0.0,3,0,1,0,0
र्वी,rvī,rvI,1375,0.0096,410,245,396,225,99
र्वीं,rvīṃ,rvIM,116,0.0008,23,66,17,7,3
