lemma_iast	lemma_slp1	n1	n2	n3	n4	n5	dist_12	dist_23	dist_34	dist_45	dist_15	fshift_12	fshift_23	fshift_34	fshift_45	fshift_15	graded_rank_12	binary_changed_12
arka	arka	335	273	372	564	153	0.871576	0.554655	0.641384	0.677151	0.898077	0.733106	0.894846	0.903153	0.446774	0.61812	633	0
arocaka	arocaka	0	35	105	64	3			0.584754					0.411485				
arpay	arpay	101	82	107	150	22	0.955571	0.903782	0.874371			0.738506	0.832359	0.790113			18	1
artha	arTa	472	5211	4224	2635	1147	0.748199	0.543024	0.573126	0.721316	0.797358	3.026855	0.145494	0.378046	0.235452	3.029756	1223	0
arthin	arTin	26	339	290	189	46		0.74145	0.815234				0.223212	0.314906				
aruci	aruci	1	42	130	100	27			0.470692					0.075751				
aruṇa	aruRa	102	103	196	167	42	0.84983	0.706238	0.699277			0.423771	1.376654	0.071755			799	0
arśas	arSas	2	40	252	163	59			0.541522	0.432675				0.325791	0.030695			
arṇava	arRava	59	251	187	59	82	0.940028	0.732514	0.782978	0.827747	0.915103	1.651054	0.023795	1.361491	1.910299	2.223658	71	1
as	as	13403	8632	6305	5583	1832	0.802602	0.58737	0.702043	0.777391	0.773389	1.072635	0.004754	0.127305	0.172231	1.122315	1076	0
asakṛt	asakft	5	150	70	47	5		0.904045					0.651091					
asat	asat	66	232	306	167	22	0.917779	0.766384	0.772769			1.375741	0.847851	0.570923			225	1
asi	asi	46	281	105	40	9		0.678232					0.971736					
asita	asita	55	154	131	74	25	0.894636	0.811277	0.75133			1.047581	0.215081	0.521209			429	0
asra	asra	49	41	236	193	89			0.779291	0.552478				0.012575	0.318666			
asta	asta	146	129	89	47	9	0.858471	0.749922				0.616443	0.08705				729	0
asthi	asTi	131	208	429	195	79	0.749397	0.596647	0.669709	0.76754	0.791208	0.229171	1.492838	0.834743	0.13184	1.019107	1219	0
astra	astra	2	1491	350	320	44		0.612083	0.682993				1.642409	0.173478				
asura	asura	914	769	644	196	165	0.855486	0.586936	0.730479	0.797016	0.870505	0.687057	0.192521	1.413446	1.187002	0.720979	753	0
asādhya	asADya	0	79	117	51	10		0.746397	0.802793				1.015028	0.895178				
asṛj	asfj	32	51	251	78	14		0.79406	0.687516				2.747563	1.38338				
atas	atas	875	759	1349	814	236	0.824997	0.701963	0.741301	0.810922	0.825085	0.643029	1.278163	0.426029	0.350852	0.141747	958	0
atha	aTa	9476	4937	4118	3350	1103	0.811257	0.604172	0.633522	0.767233	0.836366	1.37849	0.186754	0.004978	0.167338	1.354096	1025	0
athavā	aTavA	10	192	465	422	142		0.84322	0.749041	0.80062			1.724569	0.162773	0.135962			
atho	aTo	66	177	77	57	17	0.933193	0.882344	0.889127			0.985365	0.752375	0.131136			112	1
ati	ati	545	1036	1366	865	223	0.859532	0.640545	0.649741	0.682876	0.893682	0.48885	0.847378	0.356425	0.520266	0.459537	725	0
atikram	atikram	149	293	179	55	19	0.907334	0.809302	0.870227			0.537742	0.262497	1.399695			294	1
atisāra	atisAra	0	10	78	86	13			0.613425					0.443623				
atithi	atiTi	208	264	130	77	27	0.720445	0.69594	0.686946			0.093892	0.573582	0.45282			1246	0
atiśaya	atiSaya	1	4	91	55	10			0.889436					0.423674				
atra	atra	1209	1770	1881	1966	660	0.844498	0.727378	0.733881	0.746515	0.885854	0.112089	0.536195	0.366524	0.139335	0.875473	834	0
atri	atri	108	91	106	47	25	0.829542	0.700445				0.684939	0.66857				932	0
atula	atula	2	115	57	13	24		0.826292					0.564156					
atyanta	atyanta	12	137	140	77	20		0.820939	0.883048				0.479695	0.559736				
atyartham	atyarTam	1	163	177	47	8		0.719817					0.567322					
atyaya	atyaya	5	97	74	20	12		0.829175					0.057985					
