'Текст';'Middle Date';'IF.Present Ind.';'FF. Imperfect ind';'IF.Future passive particle';'FF. Present Passive';'FF. Future Ind.';'IF.Infinitive';'IF.Present Passive';'FF. Aorist Ind. Root.';'FF. Perfect Ind. Peri.';'FF. Pres. Imperative Passive';'FF. Aorist Jus.';'IF.Past Active Participle';'FF. Aorist Ind. Them.';'IF.Perfect Ind.';'FF. Future. Ind. Peri.';'FF. Pres. Sub.';'FF. Imperfect Ind. Passive ';'FF. Aorist Ind. S.';'FF.  Aorist Imp.';'FF.  Present Jus.';'IF.Future Ind.';'FF.  Aorist Sub.';'FF. Aorist Ind. Is.';'FF. Aorist Ind. Red.';'FF. Pres. Opt Passive';'FF. Aorist Ind. Passive';'FF.  Aorist Jus./Sub./Opt/Perf_Opt';'FF. Future Cond.';'FF. Aorist Prec.';'FF. Perfect Sub';'IF.Aorist Ind. Them.';'FF.  Perfect Imp';'IF.Aorist Ind. Root.';'FF.  Plp. ind.';'FF.  Perfect Opt.';'FF. Aorist Ind. Sa.';'FF.  Perfect Jus.';'IF.Aorist Ind. S.';'FF. Aorist Ind. Sis.';'IF.Pres. Potential';'IF. Perfect Imp';'IF.Aorist Ind. Red.';'IF.Aorist Ind. Is.';'FF. 17';'FF. 18';'FF. Past Passive Participle';'FF. Past Active Participle';'FF. Future passive particle';'FF. Infinitive';'FF. Absolutive';'FF. 31';'FF. 34?';'IF.Pres. Imp.';'IF.Imperfect ind';'IF.Future Cond.';'IF.Future. Ind. Peri.';'IF.Aorist Ind. Sa.';'IF.Aorist Prec.';'IF.Perfect Ind. Peri.';'IF.17';'IF.18';'IF.Pres. Sub.';'IF.Pres. Imperative Passive';'IF.Imperfect Ind. Passive ';'IF.Aorist Ind. Passive';'IF.Pres. Opt Passive';'IF.Aorist Jus.';'IF.31';'IF. Aorist Jus./Sub./Opt/Perf_Opt';'IF. Aorist Imp.';'IF.34?';'IF.Aorist Ind. Sis.';'IF.Perfect Sub';'IF. Perfect Jus.';'IF. Perfect Opt.';'IF. Present Jus.';'IF. Plp. ind.';'IF. Aorist Sub.';'Сумма всех форм'
'"""Rasaratnasamuccayabodhinī"""';1850;3;0;82;24;3;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;130
'"""Rasaratnasamuccayadīpikā"""';1850;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
'"""Abhinavacintāmaṇi"""';1750;2;0;25;26;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56
'"""Agastīyaratnaparīkṣā"""';1750;0;0;9;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16
'"""Carakatattvapradīpikā"""';1750;0;0;3;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
'"""Commentary on the Kādambarīsvīkaraṇasūtramañjarī"""';1750;14;0;22;18;0;0;13;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;68
'"""Dhanurveda"""';1750;10;2;64;24;5;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;110
'"""Gheraṇḍasaṃhitā"""';1750;6;0;29;27;4;4;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;73
'"""Hārāṇacandara on Suśr"""';1750;1;0;0;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
'"""Janmamaraṇavicāra"""';1750;24;0;17;21;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;2;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;72
