देवनागरी	IAST	"Часть речи"	Примеры	Синонимы	Периоды/Тексты	Сочетаемость	Метка
हयपति	hayapati	"m. +"					
हयप्रिय	hayapriya	"m. +"					
हरदग्धमूर्ति	haradagdhamūrti	"m. +"					
हरदत्तचरित	haradattacarita	n.					
हरितक	haritaka	"adj.mn.n. +"	"     8"	+	2/4	+	
हरितकम्	haritakam	Partic.					
हरितालजनक	haritālajanaka	"m. +"					
हरिधायस्	haridhāyas	"adj. +"					
हरिमन्थक	harimanthaka	"m. +"	"     1"	+	1/1	+	
हरिमन्थजः	harimanthajaḥ	m.					
हरिवर्ष	harivarṣa	"n.m. +"	"    21"		3/8	+	
हरिवासुक	harivāsuka	"n. +"					
हर्य्	hary	"Verb.cl.1.A. +"	"    38"	+	2/3	+	
हर्षचरित	harṣacarita	"n. +"					
हलय्	halay	Noun					
हवल	havala	Partic.					
हविष्पति	haviṣpati	"m. +"	"     1"		1/1	+	
हविष्यभक्ष	haviṣyabhakṣa	f.m.f.n.					
हसनीमणि	hasanīmaṇi	"m. +"					
हालहाल	hālahāla	"n. +"					
हाहलं	hāhalaṁ	Noun					
हिडिम्ब	hiḍimba	"m. * +"	"    36"		2/3	+	
हिडिम्बनिसूदन	hiḍimbanisūdana	"m. +"					
हितप्रेप्सु	hitaprepsu	m.f.n.					
हिमबालुक	himabāluka	m.					
हिमराज्	himarāj	"m. +"	"     1"	+	1/1	+	
हिमवालुक	himavāluka	"mn. +"	"     5"	+	2/5	+	
हिमांशुः	himāṁśuḥ	m.					
हिमांश्वभिख्य	himāṁśvabhikhya	n.					
हिरण्यकक्ष	hiraṇyakakṣa	"adj. +"					
हिरण्यधनुस्	hiraṇyadhanus	"m. +"	"     2"	+	1/1	+	
हिरण्यवर्ष	hiraṇyavarṣa	"m. +"					
हिराधर	hirādhara	m.					
हिरिशिप्र	hiriśipra	"adj. +"	"     2"		1/1	+	
हीरानान्द	hīrānānda	"m. +"					
हुम्भा	humbhā	"f. * +"	"     3"		1/2	+	
हुम्मा	hummā	"ind. +"					
हृच्छोष	hṛcchoṣa	"m. +"					
हेतुलक्षणटीका	hetulakṣaṇaṭīkā	m.f.n.					
हेममाषा	hemamāṣā	"f. +"					
हेमरथ	hemaratha	m.					
हैमवन्त्	haimavant	"m. +"					
हैमह	haimaha	m.					
ह्रीवेल	hrīvela	"n. +"					
ह्रेषुक	hreṣuka	"m. +"	"     1"	+	1/1	+	
