देवनागरी	IAST	"Часть речи"	Примеры	Синонимы	Периоды/Тексты	Сочетаемость	Метка
मुष्काबर्ह	muṣkābarha	"m. +"	"     1"		1/1	+	
मुष्ट	muṣṭa	n.m.f.n.					
मुस	musa	m.					
मूताकार	mūtākāra	"adj. +"					
मूतावबद्ध	mūtāvabaddha	"adj. +"					
मूर्छता	mūrchatā	f.Partic.					
मूर्छाक्षेप	mūrchākṣepa	"m. +"	"     1"		1/1	+	
मूर्तिसंचार	mūrtisaṁcāra	"adj. +"					
मूर्द्धन्	mūrddhan	m.					
मूर्धरसः	mūrdharasaḥ	m.					
मूलविभुज	mūlavibhuja	"adj.m. * +"					
मूलशाकिनः	mūlaśākinaḥ	m.					
मूषाकर्णी	mūṣākarṇī	"f. +"					
मूषिकाहैरन्यिक	mūṣikāhairanyika	"m. +"					
मृगाधिप	mṛgādhipa	"m. +"	"     9"	+	3/5	+	
मृगितः	mṛgitaḥ	m.					
मृत्युदूत	mṛtyudūta	"m. +"					
मृदुलोमकः	mṛdulomakaḥ	m.					
मृदुलोह	mṛduloha	"n. +"	"     1"	+	1/1	+	
मेघङ्कर	meghaṅkara	m.f.n.					
मेघनादानुलासी	meghanādānulāsī	f.					
मेघवह्नि	meghavahni	"m. +"	"     1"	+	1/1	+	
मेघस्वन	meghasvana	f.adj.					
मेघागमः	meghāgamaḥ	m.					
मेधाः	medhāḥ	Noun					
मेधामृति	medhāmṛti	"m. +"					
मेधारुद्र	medhārudra	"m. +"					
मेरुक	meruka	"m.mn. +"					
मेरुविरहतन्त्रेभुवनेश्वरीसहस्रनामस्तोत्र	meruvirahatantrebhuvaneśvarīsahasranāmastotra	n.					
मेरुशिखरधरकुमारभूत	meruśikharadharakumārabhūta	m.					
मेलान्धुः	melāndhuḥ	m.					
मेषाण्डः	meṣāṇḍaḥ	m.					
मेहना	mehanā	"f.ind. +"	"     5"		1/1		
मोट्टायितम्	moṭṭāyitam	Partic.					
मोदाकी	modākī	f.					
म्लिष्ट	mliṣṭa	"adj.n. * +"	"     3"	+	2/3	+	
म्लुच	mluca	m.					
यजन्	yajan	m.					
यज्ञकुण्ड	yajñakuṇḍa	n.					
यज्ञकुण्ड	yajñakuṇḍa	n.					
यज्ञतन्त्रसूत्र	yajñatantrasūtra	n.					
यज्ञतन्त्रसूत्र	yajñatantrasūtra	n.					
यज्ञद्रुह्	yajñadruh	m.					
यज्ञद्रुह्	yajñadruh	m.					
यज्ञपरिभाषा	yajñaparibhāṣā	f.n.					
यज्ञपरिभाषा	yajñaparibhāṣā	f.n.					
यज्ञमञ्जूषा	yajñamañjūṣā	f.					
यज्ञमञ्जूषा	yajñamañjūṣā	f.					
यज्ञरस	yajñarasa	m.					
यज्ञरस	yajñarasa	m.					
यतचित्तात्मन्	yatacittātman	m.f.n.					
यतन	yatana	"n. * +"	"     1"	+	1/1	+	
यतमन्यु	yatamanyu	"adj. +"					
यतिचान्द्रायणं	yaticāndrāyaṇaṁ	Noun					
यतित	yatita	"n.m.f.n. *"					
यन्त्रगोलः	yantragolaḥ	m.					
यमदंष्ट्र	yamadaṁṣṭra	"m. +"	"     4"	+	1/1	+	
यमुनाष्टक	yamunāṣṭaka	"n. +"					
यवजः	yavajaḥ	m.					
यवय	yavaya	m.					
यशस्यु	yaśasyu	"adj. +"	"     1"		1/1	+	
यायजूक	yāyajūka	"adj. +"	"     4"		3/4	+	
यावत्सत्त्वम्	yāvatsattvam	"ind. +"					
यियप्सु	yiyapsu	"adj. +"					
यियविषु	yiyaviṣu	"adj. +"					
युगप	yugapa	"m. +"	"     1"	+	1/1	+	
युगपत्रकः	yugapatrakaḥ	m.					
युगांशक	yugāṁśaka	"m. +"					
युत	yuta	"adj.adj.n. +"	"  1125"	+	6/84	+	
युजे	yuje	Noun					
युतः	yutaḥ	m.					
युद्	yud	Noun					
युद्धपरिपाटी	yuddhaparipāṭī	"f. +"					
युधि	yudhi	"m. +"	"     2"		2/2/1	+	
योगचन्द्रिका	yogacandrikā	m.f.					
योगस्थ	yogastha	"m.f.n. *"					
योधिन्	yodhin	"adj.m. * +"	"   171"	+	5/9	+	
योषिज्जन	yoṣijjana	m.					
रक्षस्त्व	rakṣastva	"n. +"					
रक्षिन्	rakṣin	"adj. * +"	"   113"	+	5/17	+	
रघुवंश	raghuvaṁśa	"m. +"					
रङ्कुक	raṅkuka	"m. +"					
रङ्कुटि	raṅkuṭi	"f. +"					
रणः	raṇaḥ	m.f.n.					
रचितः	racitaḥ	m.					
रजतं	rajataṁ	Noun					
रजा	rajā	"f. +"	"     1"		1/1	+	
रत्नविशुद्ध	ratnaviśuddha	"m. +"					
रथक्षय	rathakṣaya	m.f.n.adj.					
रथचित्रा	rathacitrā	"f. +"	"     1"	+	1/1	+	
रथतूर्	rathatūr	adj.					
रथमुख	rathamukha	n.					
रमल	ramala	"mn. +"					
रवा	ravā	"f. +"	"     1"		1/1	+	
रश्मिवती	raśmivatī	"f. +"					
रश्रुति	raśruti	"f. +"	"     1"	+	1/1	+	
रसकः	rasakaḥ	m.					
रसता	rasatā	f.					
रहसू	rahasū	"f. +"					
राक्षसीभूत	rākṣasībhūta	"adj. +"					
रागपुष्पः	rāgapuṣpaḥ	m.					
रागवृन्तः	rāgavṛntaḥ	m.					
राजघातक	rājaghātaka	m.					
राजचिह्कक	rājacihkaka	n.					
राजन्य	rājanya	"adj.m. * +"	"   181"	+	6/48	+	
राजमुट्ग	rājamuṭga	m.					
राजवेत्रिन्	rājavetrin	"m. +"					
राजोद्वेजनसंज्ञक	rājodvejanasaṁjñaka	m.					
राज्ञी	rājñī	f.					
रामकृष्णसंवाद	rāmakṛṣṇasaṁvāda	m.n.					
रामतरुणी	rāmataruṇī	"f. +"	"     1"	+	1/1	+	
रामात्मैक्यप्रकाशिका	rāmātmaikyaprakāśikā	"f. +"					
राष्ट्रवर्धन	rāṣṭravardhana	"m. +"	"     1"		1/1	+	
राहुलत	rāhulata	"m. +"					
रिवक	rivaka	m.					
रीतिबद्ध	rītibaddha	"adj. +"					
रुक्मावती	rukmāvatī	f.					
रुक्ष्म	rukṣma	m.					
रुचकपर्वत	rucakaparvata	m.					
रुचिर	rucira	"adj.m.n. * +"	"   277"	+	6/44	+	
रुट्	ruṭ	"m. +"	"     1"		1/1/1	+	
रुदन्ती	rudantī	"f. +"	"    28"	+	3/8	+	
रुप्यक	rupyaka	"m. +"					
रुम्रः	rumraḥ	m.					
रुरु	ruru	"m. * +"	"   103"	+	6/26	+	
रुवुकः	ruvukaḥ	m.					
रुशद्	ruśad	Noun					
रूपजीव	rūpajīva	"adj. +"					
रूपनाशिन्	rūpanāśin	"adj. +"					
रूपमती	rūpamatī	"f. +"					
रूपराग	rūparāga	m.					
रूपलता	rūpalatā	"f. +"					
रूपलावण्य	rūpalāvaṇya	n.					
रूपवती	rūpavatī	"f. +"	"     1"	+	1/1	+	
रूपवत्तर	rūpavattara	"adj. * +"	"     1"		1/1	+	
रूपा	rūpā	"f. +"	"     1"	+	1/1	+	
रूपाढ्य	rūpāḍhya	m.					
रेणुकातनय	reṇukātanaya	"m. +"					
रेणुकामालामन्त्र	reṇukāmālāmantra	"m. +"					
रेतोधेय	retodheya	"n. +"	"     1"		2/1	+	
रोकः	rokaḥ	m.					
रोगाभ्यागम	rogābhyāgama	"m. +"					
रोदः	rodaḥ	m.					
रोधवेदी	rodhavedī	"f. +"					
रोल	rola	"m. +"	"     1"	+	1/1	+	
रोलः	rolaḥ	m.					
रोहय्	rohay	"Verb.cl.10.P. +"	"    15"	+	3/4	+	
रोहितकूल	rohitakūla	n.					
लक्ष्मीवती	lakṣmīvatī	"f. +"					
लक्ष्मीविनय	lakṣmīvinaya	"m. +"					
लटभा	laṭabhā	"f. +"					
लतावेष्टित	latāveṣṭita	"m. +"					
लब्धशब्द	labdhaśabda	"adj. +"					
लय्	lay	"Verb. cl.1.Verb.cl.1.A."					
ललना	lalanā	"f. +"	"    50"	+	5/14	+	
लसोफरञ्ज	lasopharañja	m.n.					
लिः	liḥ	m.					
लिखितं	likhitaṁ	Noun					
लिङ्गवर्धिन्	liṅgavardhin	"adj. +"					
लुञ्चन	luñcana	n.m.f.n.					
लुञ्चना	luñcanā	f.					
लुड	luḍa	"Verb. cl. ("					
लेयः	leyaḥ	m.					
लोकचक्षुस्	lokacakṣus	m.n.					
लोकचरित	lokacarita	n.					
लोकतस्	lokatas	"ind. +"	"     2"		2/2		
लोहधातु	lohadhātu	m.					
लोहशृङ्खल	lohaśṛṅkhala	m.					
लोहितकल्माष	lohitakalmāṣa	"adj. +"					
वंशगुल्म	vaṁśagulma	"m. +"	"     1"	+	1/1	+	
वंशतण्डुल	vaṁśataṇḍula	"m. +"	"     1"	+	1/1	+	
वंशराग	vaṁśarāga	"m. +"	"     1"	+	2/1	+	
वक्रचञ्चु	vakracañcu	m.					
वज्रबीज	vajrabīja	"n. +"	"     8"		2/2	+	
वज्राहिका	vajrāhikā	"f. +"					
वञ्जुला	vañjulā	m.f.					
वणिकव्रत	vaṇikavrata	m.					
वज्रनाभ	vajranābha	"mn. * +"	"     7"		3/4	+	
वज्रनाभ	vajranābha	"mn. * +"	"     7"		3/4	+	
वत्सपति	vatsapati	"m. +"					
वत्सस्मृति	vatsasmṛti	"f. +"					
वदनपङ्कज	vadanapaṅkaja	n.					
वदन्यः	vadanyaḥ	m.					
वध्यपाल	vadhyapāla	"m. +"					
वनकार्पासी	vanakārpāsī	"f. +"	"     1"	+	1/1	+	
वनकार्प्पासी	vanakārppāsī	f.					
वन्दनेस्थ	vandanestha	"adj. +"					
वपावहन	vapāvahana	"n. +"	"     3"		1/1	+	
वपुस्सात्	vapussāt	"ind. +"					
वपोदर	vapodara	"adj. +"					
वयसान्वित	vayasānvita	m.					
वयस्कर	vayaskara	"adj. +"					
वयुनं	vayunaṁ	Noun					
वरिवस्य्	varivasy	"Denom.P. +"	"     7"		1/1	+	
वरिवस्या	varivasyā	"f. +"	"     4"	+	2/2	+	
वरुटः	varuṭaḥ	m.					
वर्चाय्	varcāy	Noun					
वर्त्तिन्	varttin	m.f.n.					
वर्मशर्मन्	varmaśarman	"m. +"					
वर्षधर	varṣadhara	"m. +"	"     4"		2/3	+	
वर्षपर्व्वत	varṣaparvvata	m.					
वलंरुज	valaṁruja	"adj. +"	"     1"		1/1	+	
वलयी	valayī	f.					
वल्कलवत्	valkalavat	"adj. +"					
वल्गित	valgita	"n. * +"	"     5"	+	3/5	+	
वल्भिक	valbhika	m.					
वसथ	vasatha	"m. * +"					
वसुकन्यालिका	vasukanyālikā	"f. +"	"     1"	+	2/1	+	
वसुचरित	vasucarita	"n. +"					
वसुद	vasuda	"m. +"	"     2"	+	2/2	+	
वसुमतिपृष्ठ	vasumatipṛṣṭha	n.					
वसुरण्व	vasuraṇva	"adj. +"					
वस्तुशक्ति	vastuśakti	f.ind.					
वह्निगर्भा	vahnigarbhā	"f. +"					
वाकुची	vākucī	"f. +"	"    80"		5/24	+	
वाङ्क्ष्	vāṅkṣ	Verb.					
वाङ्ग	vāṅga	"m.adj. +"	"     1"		1/1	+	
वाडवेय	vāḍaveya	m.					
वाणमय	vāṇamaya	f.adj.					
वाणीर	vāṇīra	"m. +"	"     1"	+	1/1	+	
वातकपिण्डक	vātakapiṇḍaka	"m. +"					
वातक्षोभ	vātakṣobha	"m. +"					
वातचोदित	vātacodita	m.f.n.adj.					
वाततूलं	vātatūlaṁ	Noun					
वातविकारिन्	vātavikārin	m.f.n.adj.					
वातासह	vātāsaha	"adj. +"					
वादरः	vādaraḥ	m.					
वान्तीभाव	vāntībhāva	"m. +"					
वान्य	vānya	"adj. * +"					
वार्त्तिकसार	vārttikasāra	m.					
वार्हद्रथिः	vārhadrathiḥ	m.					
वावहि	vāvahi	"adj. +"	"     1"		1/1	+	
वावातृ	vāvātṛ	"m. +"	"     2"	+	1/1	+	
वाशिंत	vāśiṁta	m.					
वासरेश	vāsareśa	"m. +"					
वाहनकार	vāhanakāra	"m. +"					
वाहनकारशाला	vāhanakāraśālā	f.					
वाहनत्व	vāhanatva	n.					
वाहस्	vāhas	"adj.n. +"	"    38"	+	2/3	+	
विकर्षणं	vikarṣaṇaṁ	Noun					
विकल्पित	vikalpita	"adj. +"	"     1"	+	1/1	+	
विकसितवदन	vikasitavadana	m.f.n.					
विकास	vikāsa	"m. * +"	"    48"	+	5/18	+	
विकीर्णः	vikīrṇaḥ	m.					
विकुण्डल	vikuṇḍala	"adj.m. +"	"     5"		1/1/1	+	
विक्रमोर्वशी	vikramorvaśī	f.					
विक्षिप्ताक्षिप्तक	vikṣiptākṣiptaka	"n. +"	"     2"	+	1/1	+	
विक्षीणकः	vikṣīṇakaḥ	m.					
विगलितलज्ज	vigalitalajja	m.f.n.					
विघ्ननाशक	vighnanāśaka	m.m.f.n.					
विघ्ननाशकः	vighnanāśakaḥ	m.					
विचेष्टन	viceṣṭana	"n. +"	"     4"		3/3	+	
विच्छन्दकः	vicchandakaḥ	m.					
विच्छाय	vicchāya	"n.adj.m. +"	"    24"	+	4/12	+	
विच्छेदना	vicchedanā	"f. +"					
विछेदनीय	vichedanīya	m.f.n.					
विजट	vijaṭa	"adj. +"					
विजयदेवी	vijayadevī	"f. +"					
विजयन्ती	vijayantī	"f. +"					
विज्ञानकन्द	vijñānakanda	m.					
विज्ञानकाय	vijñānakāya	m.					
विज्ञानाकल	vijñānākala	"m. +"	"    14"	+	2/4	+	
विटङ्कः	viṭaṅkaḥ	m.					
विट्चरः	viṭcaraḥ	m.					
विट्चरः	viṭcaraḥ	m.					
विचारु	vicāru	"m. +"					
वितरण	vitaraṇa	"adj.n. * +"	"     5"		4/5	+	
वितर्दन	vitardana	"m. +"	"     1"	+	1/1	+	
वित्तागम	vittāgama	"m. +"	"     1"	+	2/1	+	
विदथ्य	vidathya	"adj. +"	"    10"	+	2/2	+	
विदर्	vidar	m.					
विदरः	vidaraḥ	m.					
विदरण	vidaraṇa	"n. +"	"     1"	+	1/1	+	
विदर्भ	vidarbha	"m. * +"	"    60"		4/13	+	
विदारित	vidārita	m.f.n.					
विद्यातीर्थशिष्य	vidyātīrthaśiṣya	m.					
विद्यामय	vidyāmaya	n.adj.					
विद्याव्रतस्नात	vidyāvratasnāta	adj.					
विद्युत्केश	vidyutkeśa	m.					
विद्युदम्भस्	vidyudambhas	"f. +"	"     2"	+	2/2	+	
विद्युन्मत्	vidyunmat	"adj. +"	"     1"		1/1	+	
विद्युन्मन्	vidyunman	m.					
विद्योता	vidyotā	"f. +"	"     1"	+	1/1	+	
विद्वत्तरः	vidvattaraḥ	m.					
विद्वेषक	vidveṣaka	"adj. +"	"     1"		1/1	+	
विधिज्ञ	vidhijña	m.m.f.n.					
विधिरूपनिरूपण	vidhirūpanirūpaṇa	n.					
विधुमण्डल	vidhumaṇḍala	n.					
विध्यलंकार	vidhyalaṁkāra	"m. +"					
विनष्टि	vinaṣṭi	"f. * +"	"     4"	+	2/3	+	
विना	vinā	"ind. +"	"  1049"		6/113		
विनाशसम्भव	vināśasambhava	m.					
विनाशिन्	vināśin	"adj. * +"	"   145"	+	6/39	+	
विनिद्रा	vinidrā	"f. +"	"     1"	+	1/1	+	
विनिर्लिख्	vinirlikh	"Verb.cl.6.P. +"	"     2"	+	2/2	+	
विनिर्वृत्	vinirvṛt	"Verb.cl.1.A. +"	"    10"	+	2/6	+	
विनिश्वसित	viniśvasita	"n. +"					
विनोदनम्	vinodanam	Partic.					
विन्द	vinda	"adj.m.m. +"	"    54"	+	4/8	+	
विन्दुजालकं	vindujālakaṁ	Noun					
विन्ध्यवासी	vindhyavāsī	f.					
विन्ध्यशैल	vindhyaśaila	m.					
विपा	vipā	"f.Verb.cl.1.A. +"	"     7"		2/2	+	
विपुर	vipura	"n.adj. +"					
विप्रजूत	viprajūta	m.f.n.adj.					
विप्रत्यनीयक	vipratyanīyaka	"adj. +"					
विबाणज्य	vibāṇajya	m.f.n.adj.					
विभावः	vibhāvaḥ	Partic.					
विभावनं	vibhāvanaṁ	Noun					
विभिद्यमान	vibhidyamāna	m.f.n.					
विभ्रमातन्त्र	vibhramātantra	n.					
वियङ्ग	viyaṅga	m.					
विरजस्कर्	virajaskar	n.					
विरलजानुक	viralajānuka	"m. +"					
विरागिन्	virāgin	"adj. * +"	"     6"	+	2/4	+	
विराज्	virāj	"m.adj.f.mf.m.Verb.cl.1.A. * +"	"   565"	+	7/65	+	
विराड्रूपा	virāḍrūpā	"f. +"					
विरालः	virālaḥ	m.					
विरुत	viruta	"adj.n. +"	"    12"		3/7	+	
विरोधवन्त्	virodhavant	adj.					
विरोधोक्ति	virodhokti	m.f.					
विलबिका	vilabikā	f.					
विलात	vilāta	f.m.f.n.adj.					
विलिप्	vilip	"Verb.cl.6.P. +"	"    65"	+	5/31	+	
विलोचनपथ	vilocanapatha	m.					
विवदिष्	vivadiṣ	Noun					
विवर्तनं	vivartanaṁ	Noun					
विवाक	vivāka	"m. * +"					
विवादचिन्तामणि	vivādacintāmaṇi	m.					
विविच्य	vivicya	m.					
विवृद्धिद	vivṛddhida	m.					
विवेकचन्द्रोदय	vivekacandrodaya	m.					
विवेकचूडामणि	vivekacūḍāmaṇi	m.					
विव्यत्स्	vivyats	"Denom.P. +"	"     1"		1/1	+	
विषंज्	viṣaṁj	Verb.cl.1.P.					
विषपानीय	viṣapānīya	"n. +"	"     4"	+	2/2	+	
विषमकर्मन्	viṣamakarman	n.					
विषाणोल्लिखितस्कन्ध	viṣāṇollikhitaskandha	m.f.n.					
विषादित	viṣādita	m.f.n.					
विषुद्रुह्	viṣudruh	"adj. +"					
विषोदर	viṣodara	"m. +"	"     1"	+	1/1	+	
विष्कर	viṣkara	"m.n. +"	"     1"		1/1	+	
विष्टुति	viṣṭuti	"f. +"	"    33"		2/1	+	
विष्वग्वृत	viṣvagvṛta	"adj. +"					
विशदा	viśadā	"f. +"	"     1"	+	1/1	+	
विशरणं	viśaraṇaṁ	Noun					
विशल्यी	viśalyī	"f. +"					
विशातनम्	viśātanam	Partic.					
विशिस्	viśis	"f. +"	"     1"	+	1/1	+	
विश्रय	viśraya	"m. +"					
विश्रामभू	viśrāmabhū	f.					
विश्रामवेश्मन्	viśrāmaveśman	n.					
विश्लथाङ्ग	viślathāṅga	m.f.n.					
विश्वक्षिति	viśvakṣiti	"adj. +"					
विश्वगोचर	viśvagocara	m.f.n.					
विश्वञ्च्	viśvañc	Noun					
विश्वदैव	viśvadaiva	"n. +"					
विश्वनाथ	viśvanātha	"m. +"	"     1"		1/1/1	+	
विश्वमातृका	viśvamātṛkā	"f. +"					
विश्वमानव	viśvamānava	m.					
विश्वहा	viśvahā	"ind. +"	"    23"		1/2		
विश्वासन	viśvāsana	"n. +"	"     6"		4/4	+	
विसर्पिनी	visarpinī	"f. +"					
विसृति	visṛti	"f. +"	"     2"	+	2/2	+	
विस्फुलिंग	visphuliṁga	m.					
विस्फूर्ज्	visphūrj	"Verb.cl.1.P. +"	"    14"	+	3/7	+	
विस्मयान्वितः	vismayānvitaḥ	m.					
विस्मयिन्	vismayin	"adj. * +"					
विहीन	vihīna	f.m.f.n.Verb.					
वीटा	vīṭā	f.					
वीणापाणि	vīṇāpāṇi	"m. +"	"     1"	+	1/1	+	
वीरणस्तम्ब	vīraṇastamba	m.					
वीरभद्रस्तोत्र	vīrabhadrastotra	n.					
वीरभुज	vīrabhuja	"m. +"					
वीरभूपति	vīrabhūpati	"m. +"					
वीरेण्य	vīreṇya	"adj. +"	"     1"	+	1/1	+	
वीरेन्द्री	vīrendrī	"f. +"					
वीर्यसत्त्ववन्त्	vīryasattvavant	adj.					
वीर्याशुल्क	vīryāśulka	"adj. +"					
वीलक	vīlaka	"m. +"					
वृक्षमार्जार	vṛkṣamārjāra	"m. +"					
वृक्षश	vṛkṣaśa	"m. +"					
वृक्षशाखा	vṛkṣaśākhā	f.					
वृजिनः	vṛjinaḥ	m.					
वृजिनवत्	vṛjinavat	m.					
वृणान	vṛṇāna	"m. *"					
वृणोति	vṛṇoti	"m. +"	"     1"		2/1/1/1	+	
वृतंचय	vṛtaṁcaya	"adj. +"	"     1"		1/1	+	
वृतः	vṛtaḥ	m.					
वृजिः	vṛjiḥ	m.					
वृता	vṛtā	"f. +"	"     1"		1/1	+	
वृत्तिद	vṛttida	m.f.n.adj.					
वृत्रारिः	vṛtrāriḥ	m.					
वृधसानुः	vṛdhasānuḥ	m.					
वृषव्रात	vṛṣavrāta	m.f.n.adj.					
वृष्टिसंपात	vṛṣṭisaṁpāta	m.					
वृष्ण्यावत्	vṛṣṇyāvat	"adj. +"	"     3"	+	1/2	+	
वृष्ण्यावन्त्	vṛṣṇyāvant	adj.					
वृहत्कन्द	vṛhatkanda	m.					
वृहस्पतिचक्र	vṛhaspaticakra	n.					
वेगवृष्टि	vegavṛṣṭi	f.					
वेणुमण्डल	veṇumaṇḍala	"n. +"	"     2"	+	2/2	+	
वेत्रवनमाहात्म्य	vetravanamāhātmya	"n. +"					
वेत्राभिघात	vetrābhighāta	"m. +"					
वेदमातृ	vedamātṛ	"f. +"	"    21"		3/7	+	
वेदविद्वस्	vedavidvas	m.m.f.n.					
वेदान्तचिन्तामणि	vedāntacintāmaṇi	m.					
वेषकार	veṣakāra	"m. +"					
वेषग्य	veṣagya	"n. +"	"     1"	+	1/1	+	
वेशवत्	veśavat	m.					
वेशवास	veśavāsa	"m. +"					
वेशस्त्री	veśastrī	f.					
वैजयंती	vaijayaṁtī	f.					
वैरज	vairaja	"m. +"	"     1"	+	1/1	+	
वैश्वध	vaiśvadha	"adj. +"					
व्यजनचामर	vyajanacāmara	"n. +"					
व्यजनचामर	vyajanacāmara	"n. +"					
व्यतिकरतिकृत	vyatikaratikṛta	"adj. +"					
व्यतिकरित	vyatikarita	"adj. * +"					
व्यतिक्रतिक्रम	vyatikratikrama	"m. +"					
व्यतिक्रतिक्रमिन्	vyatikratikramin	"adj. +"					
व्यतिसंदह्	vyatisaṁdah	"Verb.cl.1.P. +"	"     1"		1/1	+	
व्यथातुर	vyathātura	"adj. +"					
व्यन्तराम्	vyantarām	adv.ind.					
व्यपत्रप	vyapatrapa	"adj. +"	"     2"	+	2/2	+	
व्यपनश्	vyapanaś	Noun					
व्यभिचारिणी	vyabhicāriṇī	"f. +"					
व्यवहारसार	vyavahārasāra	"m. +"					
व्यसनब्रह्मचारिन्	vyasanabrahmacārin	m.					
व्यसनार्त्तं	vyasanārttaṁ	m.f.n.					
व्याख्याख्यातृ	vyākhyākhyātṛ	m.f.					
व्याघ्रपादी	vyāghrapādī	"f. +"	"     9"	+	2/6	+	
व्याघ्रा	vyāghrā	"Verb.cl.3.P. +"					
व्याजाभिप्राय	vyājābhiprāya	"m. +"					
व्याटि	vyāṭi	"adj. +"	"     1"		2/1	+	
व्यापापाद्य	vyāpāpādya	"adj. +"					
व्यापारी	vyāpārī	f.					
व्यापिका	vyāpikā	"f. +"					
व्यायामिन्	vyāyāmin	"adj. +"	"     2"		2/1	+	
व्यालीमुख	vyālīmukha	m.					
व्यावक्रोशी	vyāvakrośī	"f. +"					
व्याहावः	vyāhāvaḥ	m.					
व्युच्छेद	vyuccheda	"m. +"	"     3"		1/2	+	
व्युत्पादक	vyutpādaka	"adj. * +"					
व्रणजिता	vraṇajitā	"f. +"					
व्रजतत्त्व	vrajatattva	"n. +"					
व्रजेन्द्र	vrajendra	"m. +"					
व्रतयति	vratayati	n.					
षट्कर्म्मन्	ṣaṭkarmman	m.n.					
षट्चरण	ṣaṭcaraṇa	"adj.m. +"	"     3"	+	3/3	+	
षट्पञ्चाशत्	ṣaṭpañcāśat	f.m.f.n.					
षट्पञ्चाशत्	ṣaṭpañcāśat	f.m.f.n.					
षडङ्गविद्	ṣaḍaṅgavid	Noun					
षड्भाववादिन्	ṣaḍbhāvavādin	"m. +"					
षोडशकर्मविधि	ṣoḍaśakarmavidhi	m.					
ष्कष	ṣkaṣa	"m. +"					
शंकरदिग्विजय	śaṁkaradigvijaya	"m. +"					
शंस्था	śaṁsthā	"f. +"					
शकटभिद्	śakaṭabhid	"m. +"					
शकाधिपराजधानी	śakādhiparājadhānī	"f. +"					
शकुनिप्रपा	śakuniprapā	f.					
शक्तिनाडी	śaktināḍī	"f. +"	"     1"		1/1	+	
शक्तिमत्तर	śaktimattara	"adj. +"	"     2"		1/1	+	
शक्तिरत्नाकर	śaktiratnākara	"m. +"					
शक्रदन्तिन्	śakradantin	"m. +"					
शक्रमातर्	śakramātar	f.					
शक्रशिरस्	śakraśiras	"n. +"					
शङ्खमुखः	śaṅkhamukhaḥ	m.					
शतकः	śatakaḥ	m.					
शतचरणा	śatacaraṇā	"f. +"					
शततन्त्री	śatatantrī	f.m.f.n.					
शतदारुक	śatadāruka	"m. +"					
शतपुट	śatapuṭa	"m. +"					
शताधिपति	śatādhipati	m.					
शतावर्तवन	śatāvartavana	n.					
शत्रुतूर्य	śatrutūrya	n.					
शत्रुपक्ष	śatrupakṣa	m.m.f.n.					
शमथसम्भार	śamathasambhāra	"m. +"					
शमलम्	śamalam	Partic.					
शम्पक	śampaka	"m. +"					
शम्पा	śampā	"f. +"	"     3"	+	1/3	+	
शरत्काल	śaratkāla	m.n.m.f.n.					
शरधि	śaradhi	"m. * +"	"     1"		1/1	+	
शरीरतुल्य	śarīratulya	"adj. +"					
शरीरयोगज	śarīrayogaja	m.f.n.					
शरीरवैकल्य	śarīravaikalya	n.					
शरोगृहीत	śarogṛhīta	Verb.					
शर्धिन्	śardhin	adj.					
शर्मय	śarmaya	m.					
शर्या	śaryā	"f. +"	"     5"	+	2/2	+	
शर्याति	śaryāti	"m. * +"	"    37"		3/7	+	
शर्यातिः	śaryātiḥ	m.					
शर्व	śarva	"m. * +"	"   210"		6/31	+	
शलियत	śaliyata	m.					
शली	śalī	f.					
शल्यज्ञान	śalyajñāna	n.					
शल्याहरणविधि	śalyāharaṇavidhi	"m. +"	"     1"	+	1/1	+	
शवधान	śavadhāna	"m. +"					
शशयु	śaśayu	"adj. +"	"     2"		1/1	+	
शशरजस्	śaśarajas	"n. +"	"     1"		1/1	+	
शशिमुख	śaśimukha	m.f.n.					
शश्वाय्	śaśvāy	Noun					
शस्त्रजीविन्	śastrajīvin	"m. +"					
शस्त्रवत्	śastravat	"adj. +"	"     9"		3/3	+	
शस्त्रोत्त्रोद्यम	śastrottrodyama	m.					
शस्रवृत्ति	śasravṛtti	m.					
शहरीभू	śaharībhū	Noun					
शाखामृगः	śākhāmṛgaḥ	m.					
शाखामृगी	śākhāmṛgī	"f. +"	"     1"		1/1	+	
शार्ङ्गस्था	śārṅgasthā	"f. +"	"     1"	+	1/1	+	
शालावृकः	śālāvṛkaḥ	m.					
शालास्तम्भ	śālāstambha	"m. +"					
शाश्वतानन्द	śāśvatānanda	"m. +"					
शास्त्रगत	śāstragata	m.					
शास्त्रविमुख	śāstravimukha	m.f.n.					
शिखण्डिकेतु	śikhaṇḍiketu	"m. +"					
शिखावली	śikhāvalī	f.					
शिञ्जद्षडङ्घ्रि	śiñjadṣaḍaṅghri	m.f.n.					
शिञ्जद्षडङ्घ्रि	śiñjadṣaḍaṅghri	m.f.n.					
शितधार	śitadhāra	m.f.n.					
शितिकण्ठ	śitikaṇṭha	"mn. +"	"    40"		3/15	+	
शिल्पशास्त्रं	śilpaśāstraṁ	Noun					
शीघ्रगति	śīghragati	f.m.f.n.adj.					
शीताद	śītāda	"m. +"	"     8"		2/2	+	
शीलवृद्ध	śīlavṛddha	"adj. +"					
शुक्तिवीज	śuktivīja	n.					
शुक्तिसाह्वया	śuktisāhvayā	"f. +"	"     1"	+	1/1	+	
शुक्लवत्	śuklavat	"adj. +"	"     1"	+	1/1	+	
शुण्डार	śuṇḍāra	"m. +"					
