akṣ	akṣṇuhi ākṣiṣuḥ akṣat ākṣāṇa 
jīvay	jīvayati ajīvayat jīvayet jīvaya jīvayāmāsa jīvita jīvayitum jīvayiṣyati jīvayat jīvayitvā jīvayiṣyāmi jīvayatha jīvayata jīvayāmi jīvayanti jīvayeyam ajīvayam ajīvayan ajīvayata jīvayasva jīvayiṣye jīvayiṣyadhvam jīvayate jīvayethāḥ jīvayiṣyat jīvayitavya 
jugups	jugupsita jugupseta jugupsanti jugupsate jugupsat jugupsamāna jugupsasi jugupsati jugupsante jugupseran jugupsase jugupsanīya 
juṣ	juṣṭa juṣasva juṣāṇa juṣanta juṣethām juṣantām jujuṣāṇa juṣadhvam jujoṣat juṣat jujoṣa juṣeta juṣatām joṣi juṣamāṇa jujuṣuḥ juṣate jujoṣaḥ juṣanti jujuṣṭana jujuṣe juṣata juṣṭvī jujoṣati jujuṣe juṣerata joṣat jujuṣvas juṣetām juṣeta juṣatu juṣatām juṣantu ajuṣat juṣante ajuṣata ajuṣanta ajuṣe ajuṣata ajuṣadhvam juṣat jujoṣatha jujoṣan joṣati joṣa ajuṣran joṣiṣat jujoṣatam juṣāte jujuṣan jujoṣathaḥ jujoṣate jujoṣasi 
juhūṣ	juhūṣat 
jū	jūta junanti jūjuvāna jūjuvas junāsi junāti junāḥ jūjuvuḥ jūjuvat javete junāma junīmasi 
jūrv	jūrva jūrvat 
jṛ	jīrṇa jīryati jīryate jarat jarati jārya jīryat jīryanti jāraṇīya jīryante jarate jujurvas jarate jarante jūrṇa jūryat jaramāṇa jīryet jarethe jarasva jāriṣuḥ jaret jaratam ajīryat jīryete jarase jarante jīryamāṇa jaramāṇa jaranti jariṣyāmi jajāra jīryataḥ jīryeyuḥ jīryatu jarāmahe jīryeta jīryeran jaranta jarethām jūryanti jūryati ajūryan juratam jīrṇavat jurat jarāmahe jareta jarasva jaratām jarāte jaradhyai 
jṛmbh	jṛmbhamāṇa jṛmbhita jṛmbhate jṛmbhat jajṛmbhe jajṛmbhire jṛmbhati jṛmbhatām jṛmbhantām ajṛmbhata jṛmbhasi jṛmbhet jṛmbhamāna 
jeh	jehamāna 
johav	johavīmi ajohavīt johavīti johuvāna johuvat ajohavuḥ ajuhavīt johavītu johuvanta 
jñapay	jñapayiṣyāmi ajñapayat 
jñā	jñeya jñātvā jānāti jñāta jānat jānāmi jñātum jānanti jāne jānīyāt jānāsi jñāyate jñātavya jānīṣe jānīhi jānīte jānīmaḥ jajñe jñāsyasi jānate jānīyāḥ jānāna jñāsyati jñāsyanti jānīta jñātavat jñāyante jñāsyāmi jñāyatām jānīdhvam jajñire jānamāna ajānan jānātu ajñāsīt jānīyām jānīta jajñivat jānīyuḥ ajānāt jānīmahe jānantu jānīma jñāsyase ajñāyata jajñuḥ jānīthāḥ jānīran jñāyamāna jānītha jānīṣva jānatām ajñāyi jānīvaḥ jñāsyate jñāyeta ajñāyanta ajānata ajñāsyam ajānanta jānāt jānatha jānante jānata jñāsyat jānītaḥ jānīyātām ajānām jajñatuḥ jānāte jñāyete jñāsye jñāyeran ajñāsam ajñāsīḥ jānītām jānāmahai jānīye jānīdhvam jānata ajñāsīt jñeyāḥ jānāt ajñāsthāḥ jñeṣam jānase jānivas 
jñāpay	jñāpayati jñāpayat jñāpita jñāpaya ajñāpayat jñāpayāmāsa jñāpayāmahe jñāpayat jñāpyate jñāpyatām jñāpayasi jñāpayanti jñāpayiṣyāmi jñāpayāṃcakrire jñāpitavat jñāpayitum 
jyotay	jyotaya 
jvar	jvaryate jvarati jvaret jvariṣyāmi jvaryeta jvarita 
jval	jvalat jvalita jvalati jajvāla jvālanīya jvalanti jvalamāna jajvaluḥ jvalate jvala jvalet jvalitvā ajvalat jvaliṣyati jvalāmi jvaliṣyāmi jvaliṣyasi jvaliṣyanti jajvalatuḥ jvale jvalante jvaliṣyat jvalitum 
jvalay	jvalayati jvalayat jvalayanti jvalaya jvalita 
jvālay	jvālayet jvālanīya jvālayitvā jvālyatām jvālaya ajvālayat jvālayiṣyāmi jvālyante jvālayat jvālya jvālyamāna 
taṁs	tatasre 
taṁsay	taṃsayethe 
tak	takta takti atakta 
takṣ	taṣṭa tatakṣuḥ tatakṣa tatakṣatuḥ takṣan takṣat takṣat takṣata takṣamāṇa tatakṣāte atakṣam atakṣan ataṣṭa takṣati atakṣiṣuḥ takṣasi takṣati takṣatha atakṣat atakṣata tāḍhi takṣata takṣat tāṣṭi tatakṣe tatakṣire takṣet takṣathuḥ atakṣāma takṣatam takṣāma takṣantu takṣuḥ atakṣma takṣam takṣyanti takṣya 
takṣay	takṣayāmāsa 
tan	tata tanvate tanoti tatāna tanute atanvata tanvāna tanvat tatantha tāyate tanomi tanuṣva atnata tanvanti tanuhi tatanan tanoṣi tanotu tanu tanyamāna tanyate tanuṣe tene atanuta tatanāma tanudhvam tatnire tatanaḥ tatniṣe atanat tanvīta tatanvas tanutaḥ atanot atanvan taniṣyāmaḥ atan tanvāthe tenire tāyeta tanutām tanvantu tatanat tatanyuḥ tatne tate tatananta tanat tātāna tanuthāḥ tanota tanvatām tanavāvahai tatane tāyatām tanvītām tanavā tantum tāyamāna tanyati 
tap	tapta taptvā tapati tepe tapat tapyamāna tapyate atapyata tatāpa taptum tapanti tapyati tapyat tepuḥ tapate tapa tapye tapyase tapsyati taptavat tapāmi tapet tepatuḥ tapyanti atapyat tāpya tapyante atapyanta tapsyāmi atapat tapyet tapatu tapyeta tapsye tapyāmi tapsyāmahe tapyamāna tapataḥ tapata tapasva tapsyase tapsyate tepāna tapasi tapyāmahe tepire tepāte tapyasva taptā tapye tapyate tapsyasi tapāti tapya tapatam tapantu atītapat tapyeyuḥ atapyam tapatām atapye tapyantām tape tapante tapsyanti tapsyāvaḥ tapsīḥ atapta taperan tapyase tapyete taptāsi tatapate tapat atāpi tatapa tepāthe tītapāsi atītape taptavya tapanīya tapsyat 
tam	tāmyati tānta tāmyat tatāma tāmyanti tāmyasi tāmyet atāmyat taman tāmyamāna 
tamay	tamayati 
tarkay	tarkayāmāsa tarkayat tarkya tarkita atarkayam tarkayet tarkayitavya tarkayāmi tarkayanti atarkayat tarkayase tarkayeta tarkaṇīya tarkayeḥ tarkayiṣyanti tarkyante tarkaye tarkayate tarkayāmahe tarkayante tarkayitum 
tarj	tarjyamāna tarjamāna 
tarjay	tarjayat tarjita tarjayet tarjayati tarjayanti tarjayāna atarjayat atarjayan tarjayitvā 
tartar	tartarīti tartarītha tartūryante taritrat tarturāṇa 
tarpay	tarpayet tarpita tarpayāmi tarpayitvā tarpayati tarpayanti tarpayat atarpayat tarpayāmāsa tarpaya tarpayiṣyāmi tarpya tarpayantu tarpyante tarpayasva tarpayate tarpyamāṇa tarpayethām tarpayathaḥ tarpayataḥ tarpayāmaḥ tarpayeta tarpayata atarpayaḥ atarpayan tarpayiṣyati tarpayiṣyāmaḥ tarpayiṣyanti tarpyate tarpayāmāsa tarpayāmāsuḥ tarpayāṃcakrire tarpayeta tarpayatām tarpayase atarpayata tarpayiṣye tarpayanta tarpayāti tarpayiṣyat tarpayāna 
tarṣay	tarṣayati tarṣayat tarṣita 
tāḍay	tāḍita atāḍayat tāḍayāmāsa tāḍayet tāḍyamāna tāḍayat tāḍayitvā atāḍayan tāḍayanti tāḍyate tāḍayitum tāḍaya atāḍayam tāḍayāmāsatuḥ tāḍyante tāḍitavat tāḍayasi tāḍayiṣyāmi atāḍyata tāḍya tāḍayāmi tāḍayati tāḍayatu tāḍayiṣyasi tāḍayāmāsuḥ tāḍyanta tāḍayiṣyāma tāḍyantām tāḍayiṣyat 
tānay	tānaya tānita 
tāpay	tāpita tāpayet tāpayat tāpayāmāsa tāpayati tāpayanti atāpayat tāpayitvā tāpyamāna tāpaya tāpya tāpayāmi tāpayasi tāpayiṣyati tāpyate tāpayase tāpayate tāpya tāpayitum 
tāray	tārayet tārita tārayati tārayate tārayanti tārayiṣyati tāraya tārayiṣyāmi tārayitum tārayasva tārayeyam tārayāmāsa tārayāmi tārayatu tārayiṣyanti tārayeta tārayat tārayitvā tārayema tārayeyuḥ tārayata atārayam tārayiṣyasi tārayiṣyāma tārayāmāsuḥ tāryate tāryamāṇa 
tij	tejase tejate tejamāna 
titikṣ	titikṣati titikṣeta titikṣat titikṣat titikṣita titikṣitum titikṣet atitikṣāma titikṣantām titikṣasva titikṣamāṇa titikṣate titikṣante atitikṣanta titikṣe titikṣase 
titīrṣ	titīrṣat titīrṣati titīrṣanti titīrṣet titīrṣasi titīrṣamāṇa 
tuj	tūtujāna tujat tuje tuñjanti tuñjāna tujaye tujyate tujete tuñjāte tuñjate tutujyāt tujyamāna tuñjamāna tujase 
tud	tudat tudyamāna tudyate tudanti tunna tudati tudasi tuda atudat tudet tudantu tudat tudatu atudan tutoda tudate tundate tudya tudyat todat tundāna 
tulay	tulita tulayitvā tulayitum tulayasi tulayanti tulayet tulyate tulayati tulayāmaḥ tulayāma tulayiṣyāmi tulayāmāsa tulaye tulayat tulyamāna 
tuṣ	tuṣṭa tutoṣa tuṣyati tuṣyanti tuṣyet atuṣyat tutuṣuḥ tuṣyeta tuṣyat tuṣyāmi tuṣyate tuṣyasi tuṣyeḥ tuṣyatu tuṣyantu tuṣyate atuṣyanta toṣṭum tuṣyataḥ tuṣyeyam tuṣyeyuḥ tuṣya tuṣye toṣiṣyati toṣye atūtuṣat 
tuś	tośate tośase tośamāna 
tūrv	tūrvat tūrvatha tūrvasi tūrvatam 
tṛ	tarati tīrṇa tīrtvā taranti tarat tarema taret tatra atarat tira tariṣyanti tatāra tārīt tartum tara tāriṣat tariṣyati tirate tāri tūrta tarāṇi tarāma teruḥ tarat ataran tatre tārīḥ atirat tirante tarasi tarata tarate atāriṣma ataram ataraḥ tirāmi tiratam tirantu tarāmi tareyam taratu tarantu tariṣyasi tariṣyāmaḥ atārṣam tarase atārīt tiranti atiraḥ titiruḥ tāriṣṭam tariṣyat taritum taramāṇa titirvas tarīṣaṇi tarataḥ tarāmaḥ tareyuḥ taratam atarāva tariṣyāvaḥ tariṣyataḥ tariṣyatha tarete tareta tariṣyāmahe tariṣyante tīryate taritā tatare tirāti atārima atāriṣuḥ tirasi tirata tarute tirase tirata tāriṣīmahi tirāmasi tāriṣuḥ tiranta tarāmasi tiradhvam tireta tirāte tiretam tāriṣaḥ tiretana tūrya tarītum tūrya taritavya tārya tartavya titrat taradhyai tatarvas 
tṛd	atṛṇat tatarda tṛndhi tardaḥ tatṛdāna tṛṇatti atṛntam atṛndan tatarditha tṛnddhi 
tṛp	tṛpta tṛpyati tṛpyanti tṛpyat tṛpyāmi tṛpyantu tṛpyate atrapsyat tṛpat tṛpyet tṛpyatu atṛpyan tatarpa atṛpyata tṛpyantām tṛmpasi tṛpyata atṛpyat tatṛpuḥ tṛpyeta tṛpyasva tṛmpatam tṛpṇuhi tarpaṇīya tṛpyasi atītṛpat tṛpnuyāt tṛpyase tṛpyāmahe tṛpyante tarptā tṛmpa tṛmpatu tṛmpatām tṛpṇutam tṛpṇuta tṛpṇavaḥ atṛpam tātṛpuḥ tarpya tṛpṇuvat tṛpyamāna tarptum tātṛpāṇa 
tṛṣ	tṛṣyat tṛṣyate tātṛṣāṇa tṛṣāṇa tṛṣyati tṛṣyet tatṛṣāṇa atṛṣyat tātṛṣuḥ atītṛṣāma tṛṣat tṛṣṭa 
tejay	tejita 
tolay	tolayitvā tolita tolayāmāsa tolya tolayasi tolayet atolayat tolyate 
toṣay	toṣita toṣayāmāsa atoṣayat toṣayitvā toṣayet toṣayat toṣayiṣyāmi toṣyate toṣayāmi toṣaya toṣayiṣye toṣayanti toṣayatu atoṣayam toṣayāmāsuḥ toṣayiṣyat toṣayitum toṣya toṣayati toṣayāvaḥ toṣayiṣyati toṣayāmāsatuḥ toṣayat toṣitum toṣayitavya toṣya 
tyaj	tyaktvā tyakta tyajet tyaja tyajati tyājya tyaktum tyajanti tyajat tatyāja tyajāmi tyajyatām tyakṣyāmi atyajat tyajeyam tatyajuḥ tyakṣyati tyajyate tyaktavya tyaktavat tyakṣyanti tyajasi tyajata atyajan tyakṣye tyajethāḥ tyakṣyasi atyajam tyajate tyajeyuḥ tyajyante tyajantu tyajeta tyajya tyajyamāna tyakṣyate tyaje tyajadhvam tityāja tyajeḥ tyajatu atyajaḥ tyakṣyāmaḥ atyakṣyat tatyaja tyajase tyajante tyajat tyajasva tyajatām tyākṣīḥ atyākṣīt tatyaje tyajya tyajataḥ tyajāmaḥ tyajetām tyajema tyakṣyataḥ tyakṣyase tyajāmahe tatyajire tyajyāt tatyajāte tyajettarām atyākṣīḥ tyajiṣyati atyāji tyakṣyat tyajanīya tyajitum 
tyājay	tyājita atyājayat tyājayati tyājayiṣyāmi tyājayiṣyati tyājayet tyājayat tyājayitvā tyājayitum 
trap	traperan trapamāṇa 
tras	trasta trasyat trasanti trasyati tatrāsa tresuḥ traset atrasan trasat trasati trasyanti tatrasuḥ traseyuḥ trasantu trasyet trasate trasante trasīḥ atrasanta trasyante tresatuḥ atitrasan 
trā	trātum trāhi trāyate trāyasva trāta trāyatām trātā trāyantām trāyamāṇa trāyase trāyante trātu trāti trāsīthām trāyate trādhvam trātavya trāyadhve trāyeta trāyadhvam trāta trāsyasi trāsva trāsate trātvā trāyete trāyeran trāyethām trāyetām atrāyata atrāyanta trāsye trāyadhve trāyante trāyet trāyeyuḥ trāsyāmi trāsyati trātāsmi trāyati trāyanti trāyāt trāsāthe treya 
trāsay	trāsayat trāsita trāsayāmāsa trāsayāna trāsyamāna trāsayet trāsaya trāsayitvā trāsayati trāsayanti trāsayiṣyati trāsayate trāsayitum trāsayāmi trāsayetām trāsayeyuḥ trāsayāmāsuḥ trāsayāṃcakrire 
truṭ	truṭita truṭati truṭyat truṭyanti truṭyati truṭyate truṭat 
tvar	tvarita tvaramāṇa tvarat tvaradhvam tvarate tvarasva tvara tvarase tvaryatām tvare tvareta tvaranti tatvare tvaryamāṇa tvarāmahe tvarante tvarāmi tvarati tvariṣṭa atvarat atvaran tvaraṇīya 
tvaray	tvarayat tvarayanti tvarayāmāsa tvarayati tvarayasva tvarayeḥ tvarayet tvarayitum 
tviṣ	titviṣe titviṣāṇa tviṣita atviṣanta atviṣuḥ 
tsar	tsarat tsarat atsāḥ tatsāra 
daṁś	daṣṭa daśati daśat adaśat daśanti daśyate daśet daśa dadaṃśuḥ daṣṭvā daśatu adaśan dadaṃśa daṃṣṭvā daśyamāna daṣṭavat daśāma daśantu daśiṣyāmaḥ adaṃśi daṅkṣyati adaṃśanta daśyeta daṣṭavya daṃśat dadaśvas 
dagh	dhak dhak daghma daghyāḥ dhaktam 
dabh	dabhan dabhāti dadambha dabhāya debhuḥ dabhat dabhanti dadābha dabhyate dabhnuvanti dabhnuhi dadabhanta dabdha 
damay	damayat damayati damita damayanti damayiṣyāmaḥ damayet damayitvā 
dambhay	dambhaya dambhayaḥ dambhayaḥ dambhayat dambhayat 
dardar	dardṛhi dardar adardar dardar dardarīmi dardarīti dādṛhi dardartu adardar dardirat adardiruḥ dardarṣi dardrat 
darpay	darpita darpayāmi darpayati 
darśay	darśita darśayat darśayati darśayāmāsa darśayet darśaya darśayitvā adarśayat darśayanti darśayiṣyāmi darśayitum darśayasva darśayiṣyati darśitavat darśayāmi adarśayan darśayāmāsuḥ darśyate darśayate adarśayam darśayeyuḥ darśayiṣyāmaḥ darśayāmāsatuḥ darśyatām darśayāna darśayatu darśayiṣyat darśayase adarśayata darśayiṣye darśayitavya darśayasi darśayataḥ darśayāmaḥ darśayeyam darśayata darśayantu adarśayatām darśayiṣyasi darśayiṣyanti darśyante darśayāṃcakratuḥ darśaye darśayeta darśayadhvam adarśayetām darśayiṣyāmahe darśayitāsi darśayitā darśeṣyasi darśayamāna 
dal	dalita dalati dalanti dalat adalat 
das	dasyanti dasyati dasat dasyet dāsīt dasamāna 
dah	dagdha dahet dahyamāna dahati dagdhvā dadāha dahat dahyate dagdhum adahat daha dahyante dahanti dahate dahyat dahyeta dhakṣyati dhakṣyāmi dagdhavya daheyuḥ daheyam dahyanti dhakṣyate dahyatām dahāmi dhakṣyanti dagdhavat dahyāmi dahyati dahatu dahantu adahan dahye adahyanta dahataḥ adahyata dhakṣi dhakṣyat dahya dahasi daheḥ dahetām adahaḥ daheta dhakṣye dhakṣyante dadahuḥ dahāti dhāk dakṣat dhakṣat dahatam adahāva dhakṣyasi adhākṣīḥ adhākṣuḥ dahyase dahyete dahyate dahase dahante dhakṣyase adahyam dahyāma dahyantām dahyet dadahatuḥ dahasva dagdhāsi dagdhā dahiṣyati adhakṣyam dahiṣyāmaḥ dhākṣīḥ dahaḥ adhāk dahatāt dahyamāna dhakṣyamāṇa dahitvā 
dā	dattvā dadyāt datta deya dadau dadāti dātavya dehi dadāmi dātum dīyate dāsyāmi dadat dīyatām adāt daduḥ dadāni dāsyati dadyuḥ datte dattavat dadātu dadāsi dadyām dāḥ adadāt dīyamāna dadati dāvane dadet dātā dadasva dāsye dadmi dāsyanti adadam dāsyasi datta adadat dade dadīta dāḥ dadyāḥ dadathuḥ dīyante dade aduḥ dade dadat dadatu adadat dāsyate dadāna dāsyāmaḥ adām adatta dīyantām daddhi adaduḥ dāt dadmaḥ dātāsmi dadanti adattam dadate dadate duḥ dāt dāsyat dātave dadatuḥ dada dattam dīyeta dadante dāti dadmasi dadau dadat dadivas adadām dattām dadāma dāsyante dadata dade dada dadmahe dadaḥ dadan dāta dāyi dāta dadyāma adadāḥ dāsyataḥ dāsyatha adāḥ adāma dāsyāmahe adadaḥ adadanta dadāmahe deyāt dātu dadīmahi dadīran dita dāya dadamāna dāti dāntu dadyātām adadan dadāva dāsyase dīyeran dātārau dadadhvam adadan dadāhi datse adāsyam adāsyat dāsyāma dadantu dadaḥ dātām dattāt dadātana adadāta dadāt dātam adāyi dadatām dāsat dāsathaḥ adīyata adita adattana datsva dadāta dadat deyām dadvahe dām dadātaḥ dadyāmaḥ dātavai dāmane dattvāya dadāvas dātoḥ dāmi dānti diṣīya dāta 
dāpay	dāpayet dāpya dāpita dāpayitvā adāpayat dāpaya dāpyatām dāpyate adīdapat dāpayāmaḥ dāpayāmāsa dāpayitum dāpayāmi dāpayati dāpayat dāpayitavya dāpanīya dāpyamāna dāpayatha dāpayeḥ dāpayatu dāpayiṣye dāpya 
dāray	dārita dārayat dārayet dāryamāṇa adārayat dārayati dārayāmāsa dārayanti dāraya dārayiṣyāmi dārayitvā dārayeyam adārayan dāryate dārayāmāsuḥ dārayāmi dārayetām dārayeyuḥ dārayiṣyanti dārayate dārayat dārayāṃcakre dārayeta dāritavat 
dālay	dālyate dālyete dālyante dālayet 
dāś	dāśvas dāśat dāśema dadāśa dāśati dāśāt dadāśat dadāśvas dāśat dadāśuḥ dadāśati dāṣṭi dāśasi dadāśima adāśat adāśan dadāśaḥ dāśnoti 
dās	dāsati 
dāhay	dāhayet dāhya dāhayāmāsa adāhayat dāhita dāhayitvā dāhayāmi dāhaya adāhayam adāhayaḥ dāhayāmāsatuḥ dāhayāmāsuḥ dāhyatām dāhayat dāhitavat 
dits	ditsat ditsasi ditsita ditsati ditsāmi ditsa ditseyam ditseta aditsatām aditsīt 
diś	diṣṭa diśati diśantu diśet diśanti diśa diśatu diśat dideśa adiśat didiḍḍhi didiṣṭa diśate adiṣṭa didiṣṭana diśasi dideśa diśasva diśadhvam diśase dideṣṭu adikṣi deṣṭum deśya diṣṭavat diśamāna 
dih	digdha dihyāt dihet digdhvā dihāna adihan dehat 
dī	dīyanti dīya dīyat dīyati dīyathaḥ dīyatam adīyam dīyat 
dīkṣ	dīkṣita dīkṣeta dīkṣeran dīkṣate dīkṣante dīkṣaṇīya adīkṣanta dīkṣitvā dīkṣasva dīkṣadhvam adīkṣata adīkṣāmahi adīkṣiṣṭa dīkṣamāṇa dīkṣya 
dīdī	dīdihi dīdivas didīhi dīdyat dīdāya dīdayat dīdyāna dīdyati adīdeḥ adīdet dīdetha dīdayat dīdiyuḥ dīdayaḥ dīdayasi dīdayati dīdet dīdayatam dīdye dīdāyat dītita 
dīp	dīpta dīpyamāna dīpyate dīpyat dīpyamāna dīpyante dīpyati dīpyante dīpyatām didīpe dīpyate dīpyase dīpyeta dīpyantām adīpyata adīpyanta dīpyanti dīpyet didīpaḥ 
dīpay	dīpita dīpayat dīpayati dīpayet dīpayanti dīpayāmāsa dīpayitvā dīpayate dīpyate adīpayat adīpayan dīpayāṃcakre dīpayaḥ 
dīv	dīvyāmi dīvyat devitum dīvyāva dīvyati dīvya dīvyamāna dīvyet dīvya dīvyasi dīvyāmaḥ dīvyanti dīvyāma deviṣyāmi dideva dyūna devitavya dīvyeyuḥ dīvyatu dīvyantu adīvyata dīvyate dīvyāmahe dīvyeta adeviṣyat adīvyanta devitā adevīḥ dīvyasva dīvyaḥ daviṣāṇi devatu 
du	dunoti dūyamāna dūyate dūna dūyati dūyat dunomi dunvanti dūye dūyase dūyante dunotu adūyata 
duṣ	duṣṭa duṣyati duṣyanti duṣyet duṣyeyuḥ duṣyate duṣat adūduṣam dūṣyati duṣyataḥ adūduṣat duṣyeta duṣyeyātām dūduṣat duṣyat 
duh	dugdha duhe duhanti duhāna duhratām duhām dudoha duduhe duhīyat duhyamāna duduhuḥ duhate duhre duhat adhukṣat duduhre duhyate dugdhe duhet adhukṣan dohate dohase dogdhi duhāte aduhat dohat duhīta duhrate duhrām dhukṣasva dugdhvā dohya duhyāt adūduhat adūduhan duhyante duhyanti dhukṣe adhukṣata duhuḥ dhukṣva dughāna duduhāna dudohitha adhok duhyet aduhyat duhe dhokṣye duhyeta duhataḥ duhīyan dugdhām duhatu adukṣat dukṣan duhāthām dukṣata dhukṣata dhukṣanta dhukṣata dukṣaḥ adhukṣata dhukṣan duhātām dogdhum dogdhavya duhadhyai 
dūṣay	dūṣita dūṣayati dūṣayet dūṣayanti dūṣayat dūṣayitvā dūṣayate dūṣayasi dūṣyate adūṣayat dūṣya dūṣayataḥ dūṣayata dūṣayiṣyāmi dūṣayāmāsa dūṣayante dūṣayitum dūṣayāmi dūṣayeta dūṣayeyuḥ dūṣayantu adūṣayan dūṣayiṣyati dūṣayase dūṣya dūṣayiṣyat dūṣayitavya 
dṛ	dīryate dīrṇa dīryamāṇa darṣi dīryante dīryati dadāra dīryat darṣat dart dadrire dartā dadṛvas dadruḥ dīryatām dīdaraḥ dīryeta dṛṇāti darṣasi darṣīṣṭa darṣate dṛta 
dṛp	dṛpta dṛpita dṛpyati adṛpat dṛpyat 
dṛbh	dṛbdha 
dṛś	dṛṣṭvā dṛṣṭa dadarśa paśyat dṛśyate paśyati paśyāmi draṣṭum dadṛśuḥ dṛśyante paśyanti draṣṭavya dadṛśe dṛśya dṛṣṭavat paśyasi drakṣyasi adrākṣīt adṛśyata drakṣyāmi paśyāmaḥ adrākṣam drakṣyanti adṛśyata dṛśyamāna drakṣyati dṛśyeta dṛśe draṣṭāsi adṛśyanta drakṣyase darśanīya dadṛśāte dṛśyatām dṛśyatām dṛśya adṛśyanta draṣṭā drakṣyatha adarśi dadṛśire dadṛśatuḥ dṛśyete dṛśyase drakṣyāmaḥ adarśam adrākṣuḥ adṛśyetām dṛśyat dṛśaye draṣṭāraḥ adṛśran dṛśyet draṣṭāsmi dṛśyanti dadṛśre adṛkṣata dadṛśāna adrākṣma drakṣyāmahe adṛśyat darśam drakṣyāvaḥ drakṣye drakṣyate adṛśyan drakṣyadhvam dṛśyati dṛśeyam darśi adṛśram dṛśāna adrākṣīḥ dadarśa dadṛkṣe dadarśatuḥ drakṣyāma adṛśan dṛśyantām darśan darśam dṛśan adrāṣṭām drakṣyat paśya dadṛśivas drakṣyataḥ adrākṣva dṛśyeran dṛśyantām dadṛśe adṛśyetām draṣṭārau draṣṭāstha adṛkṣata adṛśyaḥ adṛśyatām dṛśyāsan dadarśāte adṛṣṭa apaśyati adarśat adrakṣyam dṛśema adrākṣata dṛśyanta dṛśyāmi drākṣam darśati darśathaḥ dṛkṣase adrāk dadṛśrām dṛṣṭavya dṛṣṭvāya dadṛśvas 
dṛh	dṛḍha dṛṃha adṛṃhat dṛhya dādṛhāṇa adṛṃhan dṛṃhatu dṛṃhati dṛṃhata adṛṃhanta adadṛhanta dṛṃhat dṛṃhata dṛṃhethe dṛṃhante dṛhyasva dṛṃhāt dṛṃhat 
dediś	adediṣṭa dediśam dediṣṭa dediśate dediśat 
devay	devayat devayāṃcakre 
deśay	deśayiṣyanti deśyamāna deśayiṣyati deśita deśayati deśayitvā deśayet deśayatu deśayat deśayanti deśayāmi deśaya deśyate deśayitavya deśayiṣyāmi deśemi deśehi deśayiṣyate deśayitum deśayasi deśayeyam deśayantu deśetu deśesi deśayante deśayāmāsa deśayiṣyat 
do	dya dyāmi dyatām dyāmasi 
dodhu	davidhvat dodhuvat davidhāva 
dolay	dolayet dolayat 
dohay	dohayet 
dyut	adyaut dyotate dyotamāna dyutāna dyutat adidyutat dyutta dyotante dyotatām didyute didyutaḥ adyaut dyaut dyotat didyutāna 
dyotay	dyotayat dyotita dyotayati dyotayanti dyotyate adyotayan dyotayāmāsa dyotayat dyotayitum 
drāvay	drāvita drāvayet drāvayitvā drāvya drāvayat drāvyamāṇa drāvayāmāsa drāvayate drāvaya drāvayati drāvayiṣyāmi drāvya drāvayāmāsuḥ drāvayiṣye drāvayeta drāvyate drāvayitum drāvayāṇa 
dru	druta dravati dravat dravanti dudruvuḥ dravamāṇa dravet drava dudrāva dravate adravat dravantu adravan dravata dravat dravataḥ dudruve dudruvire draviṣyanti dudravat drutvā dravāmaḥ dravatu dravatām adravaḥ dudruvatuḥ dravase dravante draviṣyati adravanta adudrot draviṣyat 
druh	druhyet drugdha druhaḥ druhyati druhyeta druha drogdhavya druhyasi druhyanti druhya druhyatām druhyantu dudrohitha druhyate drogdhāsmi druhan drugdhvā druhyamāṇa 
dviṣ	dviṣat dveṣṭi dveṣya dviṣmaḥ dviṣṭa dviṣyāt dviṣanti dveṣmi dvikṣata dviṣasi dviṣet dviṣṭaḥ dviṣyuḥ adveṣam dviṣāmi dviṣati dviṣetām dviṣe dviṣase dviṣaḥ dvikṣat dveṣat dveṣāma 
dhanv	dhanva dadhanvire dadhanve dhanvantu dadhanvas dhanvasi adhanviṣuḥ adhanvat dhanvanti dhanvāti dhanvat 
dham	dhmāta dhamet dhamat dhāmya dhmātvā dadhmuḥ dadhmau dadhmatuḥ dhmātavya dhmāyamāna dhamitvā dhamati dhamanti dhamyamāna dhama adhamaḥ adhamat dhmāyate dhamita dhmāyāt dhamatu dhmāsyāmi dadhmire dhamyat dhamāmi dhamathaḥ dhamantu dhamiṣyanti dhamyāt dhamasva dhamatuḥ dhmāyati dhamyate dhmāya dhamanīya dhmāyat 
dhamay	dhamayet dhamayitvā 
dharṣay	dharṣita dharṣayanti dharṣayiṣyati dharṣayitum dharṣayitvā adharṣayat dharṣayāmāsa dharṣayat dharṣayet dharṣayiṣyanti dharṣayati dharṣayeyuḥ dharṣaya adharṣayam adharṣayan dharṣayiṣyasi dharṣitavat 
