Лемма	Класс	Форма	Частота
upe	2	upeyuḥ	10
upekṣ	1	upekṣamāṇa	10
upekṣ	1	upekṣya	10
pinv	1	pinvatam	10
ekībhū	1	ekībhavati	10
daṇḍay	0	daṇḍayet	10
drāvay	10	drāvyamāṇa	10
nāśay	10	nāśayāmasi	10
niḥsṛ	1	niḥsaranti	10
nikhan	2	nicakhāna	10
nigṛ	9	nigīrṇa	10
nidhā	3	nidhātavya	10
nipātay	10	nipātyamāna	10
niyam	1	niyantavya	10
niyuj	7	niyujyamāna	10
niyojay	10	nyayojayat	10
nirākṛ	8	nirākaroti	10
niri	2	niryat	10
nirīkṣ	1	nirīkṣeta	10
nirbhartsay	10	nirbhartsya	10
niviś	6	niviśamāna	10
nivāray	10	nivāraya	10
nivartay	10	nivartyatām	10
niśam	4	niśamya	10
nihan	2	nihanyuḥ	10
nihan	2	nihantavya	10
parigrah	9	parigṛhṇīyāt	10
paridhāv	1	paridhāvati	10
paridhāv	1	paryadhāvanta	10
paripācay	10	paripācayeyam	10
paripat	1	paripatat	10
parirakṣ	1	parirakṣa	10
parivartay	10	parivartya	10
pariśaṅk	1	pariśaṅkita	10
pariśri	1	pariśrita	10
parisaṁkhyā	2	parisaṃkhyātum	10
parisāntvay	0	parisāntvayat	10
paristṛ	9	paristṛṇāti	10
parihṛ	1	parihṛta	10
parī	2	pariyat	10
pare	2	parāyat	10
piṇḍīkṛ	8	piṇḍīkṛta	10
prakup	4	prakupyanti	10
prakṛ	8	pracakratuḥ	10
prakṣālay	10	prakṣālayati	10
pragrah	9	pragṛhyatām	10
praghātay	10	praghātita	10
prajñāpay	10	prajñāpayet	10
praṇam	1	praṇamat	10
pratigrah	9	pratyagṛhṇan	10
pratinand	1	pratinandita	10
pratipad	4	pratipadyamāna	10
pratibudh	4	pratyabudhyata	10
prativyūh	1	prativyūhya	10
pratiśru	5	pratiśuśrāva	10
pratisāray	10	pratisārya	10
pratī	2	pratyetavya	10
pratyakṣīkṛ	8	pratyakṣīkṛtya	10
pratyabhijñā	9	pratyabhijñāta	10
pratyāśvas	2	pratyāśvasta	10
pratyāhṛ	2	pratyāharet	10
pradā	3	pradadāti	10
pradarśay	10	pradarśaya	10
prapat	1	prapetuḥ	10
prapīḍay	10	prapīḍayet	10
prapūjay	10	prapūjita	10
prapūray	10	prapūrya	10
prabādh	9	prabādhitum	10
prayat	1	prayatitavya	10
prayā	2	prayāsyati	10
prayā	2	prayāsyat	10
pravac	2	pravakṣyati	10
pravac	2	pravakṣye	10
pravac	2	pravaktavya	10
praviś	4	pravekṣyasi	10
praveśay	10	praveśaya	10
pravraj	1	pravavrajuḥ	10
praśaṁs	1	praśasyamāna	10
prasaṁkhyā	2	prasaṃkhyāta	10
prasāday	10	prasādaya	10
prasthā	1	pratasthire	10
prahas	1	prahasanti	10
prahas	1	prāhasan	10
prahas	1	prajahāsa	10
prahṛ	2	prahartavya	10
prārthay	0	prārthayante	10
prārthay	0	prārthitavat	10
preṣay	10	preṣaya	10
projh	6	projjhya	10
vikopay	10	vikopita	10
vikṛ	5	vikriyante	10
vikrī	1	vikrīṇīta	10
vikruś	1	vikrośamāna	10
vikṣip	6	vikṣipati	10
vicar	1	vyacaran	10
vicar	1	vicariṣyasi	10
vicālay	10	vicālayet	10
viceṣṭ	1	viceṣṭat	10
vijñā	9	vijānāsi	10
vijñā	9	vijānīmaḥ	10
vijñāpay	10	vijñāpayatu	10
vitṛ	1	vitīrya	10
vidaṁś	1	vidaṣṭa	10
vidah	4	vidahyate	10
vidarśay	10	vidarśayat	10
vidarśay	10	vidarśayitum	10
vidhā	3	vyadhatta	10
vinad	1	vyanadan	10
vinaś	4	vinaśyeyuḥ	10
vinaś	4	vinaṅkṣyati	10
vipat	1	vipatiṣyati	10
vipaś	4	vipaśyati	10
vipravas	1	viproṣya	10
vibhaj	1	vyabhajanta	10
vibhaj	1	vibhajyamāna	10
vibhid	7	vibhidyate	10
vimuc	6	vimuñcāmi	10
vimuc	6	vimucyatām	10
vimṛj	6	vimṛjya	10
virāj	1	virājante	10
virecay	10	virecayati	10
vilas	1	vilasita	10
vilokay	10	vilokayati	10
vilokay	10	vilokita	10
vivecay	10	vivecayati	10
vivartay	10	vivartita	10
viṣad	1	viṣīdati	10
vihā	3	vijahāti	10
vihṛ	1	vihartavya	10
vī	2	viyat	10
vyapadiś	6	vyapadiśyate	10
vyākhyā	2	vyākhyāyate	10
vyādā	3	vyātta	10
vyādiś	6	vyādiṣṭa	10
vyāhṛ	1	vyāhṛtya	10
vyutkram	1	vyutkrānta	10
saṁrakṣ	1	saṃrakṣyamāṇa	10
saṁrakṣ	1	saṃrakṣya	10
saṁruh	1	saṃrohati	10
saṁvṛt	1	samavartanta	10
saṁcintay	10	saṃcintayāmāsa	10
saṁcūrṇay	0	saṃcūrṇita	10
saṁtan	8	saṃtanoti	10
saṁdhā	1	saṃdhātum	10
saṁnigrah	9	saṃnigṛhya	10
samanuśās	1	samanuśāsat	10
samabhidru	1	samabhidravat	10
samaś	9	samaśnat	10
samājñā	9	samājñāta	10
samādā	3	samādatte	10
samāsañj	1	samāsajya	10
sami	2	sameṣyanti	10
samīkṣ	1	samīkṣasva	10
samīh	1	samīhate	10
samutpāday	10	samutpādya	10
samupajan	4	samupajāyate	10
samparityaj	1	samparityajya	10
sampūjay	10	sampūjyate	10
sampūjay	10	samapūjayat	10
sampūjay	10	saṃpūjayāmāsa	10
samprakās	1	saṃprakāśate	10
samprāp	5	samprāpyate	10
arcay	10	arcyamāna	10
śamay	10	śamayāmāsa	10
sampāday	10	sampādayet	10
niveday	10	nyavedayam	10
niveday	10	nivedyatām	10
anusīv	4	anusyūta	10
anubhāvay	10	anubhāvita	10
āśay	10	āśayet	10
pradāpay	10	pradāpya	10
uddhṛ	1	uddhara	10
dūrīkṛ	8	dūrīkṛta	10
palāy	0	palāyate	10
bhikṣ	1	bhikṣita	10
pāvay	10	pāvayet	10
khāday	10	khādayet	10
cikīrṣ	0	cikīrṣāmi	10
vimocay	10	vimocayeyam	10
pravāsay	10	pravāsayet	10
ṛch	5	iyarmi	10
udas	4	udasta	10
saṁprakāśay	10	saṃprakāśayiṣyati	10
rorūy	0	rorūyamāṇa	10
melay	10	melita	10
bubhūṣ	0	bubhūṣet	10
dits	0	ditsasi	10
pravisṛ	3	pravisṛta	10
niyamay	10	niyamita	10
samīkṛ	8	samīkṛta	10
saṁprayojay	10	saṃprayojayet	10
piṣṭīkṛ	8	piṣṭīkṛta	10
visrāvay	10	visrāvayet	10
visrāvay	10	visrāvya	10
surabhīkṛ	8	surabhīkṛta	10
śītalībhū	1	śītalībhūta	10
parinirmā	3	parinirmita	10
abhisaṁbudh	4	abhisaṃbhotsyase	10
abhyudyā	2	abhyudyayau	10
samāpṛ	9	samāpūrṇa	10
prakāray	10	prakārayet	10
niṣiñcay	10	niṣiñcayet	10
caṅkram	0	caṅkramyamāṇa	10
anuvāsay	0	anuvāsita	10
āśyā	4	āśyāna	10
saṁsvid	4	saṃsvinna	10
ākalay	10	ākalayya	10
abhidās	1	abhidāsāt	10
vijijiñās	0	vijijñāsīti	10
gaveṣay	0	gaveṣitavya	10
sajjīkṛ	8	sajjīkṛta	10
mahay	0	mahayat	10
parābhid	7	parābhinat	10
dīdī	0	dīdyat	10
inv	1	invati	10
patay	10	patayat	10
vakṣ	6	vavakṣitha	10
mand	1	mandasva	10
cekit	0	cekitāna	10
er	4	erire	10
sas	2	sasat	10
aṭ	1	aṭate	9
arc	1	ānarcuḥ	9
arc	1	arcitvā	9
arc	1	arcya	9
aś	1	aśnavat	9
aś	1	aśyāḥ	9
as	2	stād	9
as	2	asāni	9
as	2	asasi	9
as	2	āḥ	9
ās	4	āsse	9
ās	4	āsiṣye	9
i	5	iyām	9
iṣ	1	iccheyuḥ	9
iṣ	1	iṣṭvā	9
iṣ	1	iṣyamāṇa	9
īkṣ	4	īkṣat	9
arpay	10	arpitavat	9
ṛj	1	ṛñjate	9
kathay	10	kathayasi	9
kāṅkṣ	2	kāṅkṣante	9
kup	4	kupyet	9
kṛ	2	cakre	9
kṛ	2	akuruta	9
kṛ	2	kariṣyate	9
kṛ	2	kriyeta	9
kṛ	2	karāmahe	9
kṛ	2	kṛṇvantu	9
kṛ	2	krāṇa	9
kﾱp	1	kalpamāna	9
krudh	4	akrudhyat	9
kliś	9	kliśyat	9
kṣam	1	kṣamatām	9
khid	4	khidyate	9
gad	1	jagade	9
gam	6	gaccheḥ	9
gam	6	gacchatāt	9
gam	6	ganta	9
gam	6	gamanīya	9
gam	6	gacchamāna	9
gal	1	galitvā	9
gā	2	gāya	9
gup	1	goptum	9
gṛ	9	girati	9
grah	6	gṛhṇīyuḥ	9
grah	6	gṛhītavya	9
cakṣ	2	cakṣase	9
cit	1	aceti	9
chid	1	cichiduḥ	9
chid	1	chidyante	9
jan	4	jajñuḥ	9
jan	4	janyate	9
jan	4	ajījanan	9
jan	4	janitā	9
ji	9	jeṣyasi	9
ji	9	jigyuḥ	9
jīv	1	jīvema	9
jñā	4	ajānan	9
jñā	4	jānātu	9
jñā	4	ajñāsīt	9
takṣ	1	tatakṣatuḥ	9
takṣ	1	takṣan	9
tan	8	tatantha	9
tap	4	tapāmi	9
tap	4	tapet	9
tap	4	tepatuḥ	9
atikram	6	atikrāmet	9
atikram	6	atikramitavya	9
atikram	6	atikramitum	9
tṛ	3	tara	9
tṛ	3	tāriṣat	9
bhū	1	abhavatām	9
bhū	1	bhuvan	9
dhanv	1	dadhanvire	9
nī	2	nayiṣyāmi	9
nī	2	nayāmasi	9
yā	2	yāsyase	9
vac	2	vacanīya	9
vad	1	vadeyuḥ	9
vad	1	vadatu	9
vṛt	3	varteran	9
vṛt	3	vavṛte	9
vṛt	3	vavṛtyām	9
han	6	ghnata	9
han	6	han	9
han	6	hantave	9
vas	2	vatsyasi	9
vas	2	uṣyatām	9
vyadh	4	vidhyata	9
sad	6	sīdasi	9
sū	1	suṣāva	9
sū	1	sāviṣat	9
bhuj	6	bhokṣyate	9
man	8	manyasva	9
man	8	amanmahi	9
yat	1	yatadhvam	9
yat	1	yatita	9
yam	6	ayacchat	9
yam	6	yandhi	9
yuj	6	yujyeta	9
yuj	6	yokṣyate	9
ruh	6	ruhema	9
vap	1	vapet	9
vid	2	avidāma	9
vid	2	vetsyate	9
vid	2	vidan	9
bādh	1	bādhatām	9
bādh	1	bādhyante	9
dhā	1	dadhmaḥ	9
dhā	1	dhāsyati	9
dhā	1	dhiṣva	9
śri	1	śrayate	9
śri	1	śrayantām	9
vṛdh	6	vardhase	9
vṛdh	6	avīvṛdhat	9
adhiśri	1	adhiśrita	9
sthā	1	tasthire	9
sṛp	1	sarpate	9
sṛ	3	asarat	9
sṛ	3	sisrate	9
cṛt	6	cṛtāmasi	9
tvar	1	tvaradhvam	9
dah	2	dhakṣyāmi	9
dah	2	dagdhavya	9
dā	1	dadatu	9
dā	1	adadat	9
dā	1	dāsyate	9
dā	1	dadāna	9
dāś	5	dadāśa	9
diś	6	diśanti	9
atidru	1	atidruta	9
dhyā	3	dhyāyasi	9
nud	2	nudati	9
paś	4	paśyeḥ	9
pā	1	pibeyuḥ	9
pṛ	3	pipartana	9
pracch	1	apṛcchanta	9
naś	1	nanāśa	9
naś	1	naśyeta	9
vah	2	vahatu	9
śaṁs	2	śasya	9
śru	4	śṛṇumaḥ	9
śru	4	aśṛṇavam	9
śru	4	aśrūyanta	9
hā	1	hātavya	9
ruc	1	roceta	9
atiric	4	atiricyeta	9
atiric	4	atyaricyata	9
vartay	10	vartayati	9
vraj	1	vrajata	9
śaṅk	1	śaṅkate	9
śaṅk	1	śaṅkanīya	9
stu	1	staumi	9
sev	4	sevanti	9
sev	4	sevanīya	9
srāvay	10	srāvya	9
hṛ	2	hariṣyati	9
hṛ	2	hriyante	9
hṛ	2	harasva	9
hvā	1	hūmahe	9
hvā	1	hūyamāna	9
gaṇay	10	gaṇayet	9
dhāray	10	dhārayan	9
spṛś	6	spṛśate	9
hu	3	juhumaḥ	9
sā	6	sya	9
adhyās	2	adhyāsta	9
adhyās	2	adhyāsya	9
anugam	1	anvagamat	9
anugrah	9	anugṛhṇanti	9
cāray	10	cārayitvā	9
anucintay	10	anucintayet	9
jāgṛ	2	jāgāra	9
jñāpay	10	jñāpayati	9
dṛś	6	adrākṣuḥ	9
dṛś	6	adṛśyetām	9
dṛś	6	dṛśyat	9
anudarśay	10	anudarśayati	9
anudru	1	anudrutya	9
nand	1	nananduḥ	9
śam	1	śāmya	9
pac	1	pacanīya	9
paṭh	1	paṭhyante	9
paṭh	1	paṭheta	9
pālay	10	pālayiṣyāmi	9
anupālay	10	anupālita	9
piṣ	1	pipeṣa	9
puṣ	2	puṣṇanti	9
pūray	10	pūrayitum	9
kampay	10	kampita	9
dhā	4	dhīta	9
anuprach	6	anvapṛcchat	9
janay	10	ajanayan	9
anupradā	3	anupradadyām	9
sthāpay	10	sthāpaya	9
plāvay	10	plāvayāmāsa	9
bandh	4	badhyante	9
bandhay	10	bandhita	9
budh	1	bodhatam	9
bhāṣ	1	bhāṣiṣyate	9
bhāṣ	1	babhāṣire	9
bhid	6	bhinat	9
anubhū	1	anvabhavat	9
bhrāj	1	bhrājase	9
mad	3	mandantu	9
mantray	0	mantrayamāṇa	9
mā	4	mīyate	9
mā	4	mame	9
mā	4	mamire	9
anumud	1	anumode	9
māray	10	amārayat	9
anuyā	2	anuyāsyanti	9
ru	2	rauti	9
ru	2	rurāva	9
rud	1	rodimi	9
rud	1	roditum	9
rud	1	rodamāna	9
rudh	6	runddhe	9
anurudh	4	anurudhyate	9
labh	1	labheya	9
labh	1	labhasva	9
labh	1	alabhanta	9
anuvac	3	anūkta	9
varṇay	0	varṇayati	9
varṇay	0	varṇayiṣyāmi	9
vid	6	vidyamāna	9
nard	1	nanarda	9
sic	4	siñcata	9
vṛ	1	varante	9
vāray	10	vāraya	9
veṣṭ	1	veṣṭya	9
śak	4	śaknuyām	9
śak	4	śakṣyati	9
śak	4	aśakam	9
śak	4	aśakata	9
śāpay	10	śāpita	9
anuśās	2	anuśiṣyāt	9
anuśās	2	anuśaśāsa	9
anuśuc	1	anuśocanti	9
sac	1	sacemahi	9
anuṣṭhā	1	anuṣṭhāya	9
rabh	1	rabhe	9
smṛ	1	smaramāṇa	9
anusṛ	1	anusasāra	9
anusmṛ	1	anusmaret	9
av	1	avatha	9
av	1	avyāt	9
av	1	aviṣṭam	9
anvāgam	1	anvāgata	9
anvi	2	anviyāt	9
apakṛṣ	1	apakṛṣya	9
apakram	6	apacakrāma	9
trāsay	10	trāsayāmāsa	9
apadiś	6	apadiśya	9
dhū	6	dhūyamāna	9
apanī	1	apanayati	9
apanud	6	apānudat	9
likh	6	likhati	9
vas	6	ucchatu	9
apahan	2	apāhan	9
apahan	2	apāhata	9
apāsṛ	1	apāsarat	9
śṛ	9	śīryante	9
apoh	1	apohya	9
abhikram	1	abhikrānta	9
abhigam	1	abhigamya	9
abhijan	4	abhijāta	9
tyaj	1	tyajasi	9
tyaj	1	tyajata	9
tyaj	1	atyajan	9
dīkṣay	10	dīkṣayet	9
dīpay	10	dīpayati	9
dīpay	10	dīpayet	9
duh	4	duduhuḥ	9
duh	4	duhate	9
abhidhā	3	abhidhāsyati	9
abhidhā	3	abhidhātavya	9
abhidhā	3	abhihitavat	9
dhvan	1	dhvanat	9
abhinand	1	abhinandāmi	9
abhinand	1	abhyanandanta	9
pīḍay	10	pīḍayanti	9
pīḍay	10	pīḍya	9
abhinirvartay	10	abhinirvartayanti	9
pūjay	10	pūjayate	9
deśay	10	deśayanti	9
math	4	matha	9
vardhay	10	avardhayat	9
sah	1	sahe	9
sah	1	soḍhavya	9
abhibhāṣ	1	abhibhāṣeta	9
abhiman	4	abhyamanyata	9
yudh	2	yotsyāmahe	9
yudh	2	yudhya	9
yodhay	10	yodhayanti	9
yodhay	10	yodhayitum	9
abhirakṣ	1	abhirakṣatu	9
abhiruh	6	abhirūḍha	9
vand	1	vandasva	9
vand	1	vandiṣyante	9
vand	1	vanditum	9
vand	1	vandya	9
abhivand	1	abhivandita	9
van	6	vanema	9
van	6	vāta	9
veday	10	vedita	9
dyut	1	dyotamāna	9
varay	10	varaye	9
abhiveṣṭay	10	abhiveṣṭita	9
abhiṣic	4	abhyaṣiñcan	9
abhiṣic	4	abhiṣekṣyāmi	9
abhiṣic	4	abhiṣekṣyati	9
abhiṣic	4	abhiṣicyate	9
sūday	10	sūdayat	9
abhisaṁrabh	1	abhisaṃrabdha	9
abhisampūjay	10	abhisaṃpūjya	9
nind	1	nininda	9
bhrāmay	10	bhrāmita	9
svid	4	svidyati	9
svid	4	svedanīya	9
ghātay	10	ghātayāmi	9
abhyanujñā	9	abhyanujñātum	9
abhyupagam	1	abhyupāgamat	9
abhyupagam	1	abhyupagantavya	9
trā	2	trāyantām	9
trā	2	trāyamāṇa	9
avakṛ	6	avakīryamāṇa	9
avakṣip	6	avakṣipta	9
bhī	1	bibheḥ	9
ghaṭṭay	10	ghaṭṭayet	9
bhās	1	bhāsamāna	9
avacchāday	10	avacchādya	9
avajñā	9	avajānanti	9
jvālay	10	jvālayitvā	9
avado	6	avadyati	9
avanī	1	avanayet	9
avapat	1	avāpatat	9
bhartsay	10	bhartsita	9
avabhā	2	avabhāti	9
majjay	10	majjita	9
mlā	4	mamluḥ	9
luñc	1	luñcita	9
avaropay	10	avaropyante	9
avaropay	10	avaropayiṣyante	9
san	8	sanoti	9
avasthā	1	avasthātum	9
avahas	1	avahasya	9
asūy	0	asūyat	9
kan	1	cakāna	9
ākram	6	ākrāmet	9
ākṣip	4	ākṣipati	9
ākṣip	4	ākṣipat	9
ākhyā	4	ākhyāyatām	9
āgam	6	āgacchāmi	9
ācchid	7	ācchinna	9
ādṛ	1	ādriyeta	9
ādhā	3	ādhāt	9
ādhṛṣ	5	ādhṛṣe	9
ānī	1	ānayata	9
ānī	1	āninyuḥ	9
āpad	4	āpattavya	9
āpracch	6	āpṛcche	9
prī	9	prīṇanti	9
bhakṣ	4	bhakṣet	9
bhakṣay	10	bhakṣayiṣyati	9
bhakṣay	10	bhakṣyate	9
āmīlay	10	āmīlita	9
āyāc	1	āyācate	9
āruj	6	ārujya	9
ālikh	6	ālikhat	9
ālokay	10	ālokayet	9
āveśay	10	āveśaya	9
āvirbhū	1	āvirbhavanti	9
āvirbhū	1	āvirbabhūva	9
āvirbhū	1	āvirbhūta	9
āvāray	10	āvārayiṣyāmi	9
āśaṁs	2	āśaṃsase	9
āsad	2	āsade	9
āsthāpay	10	āsthāpayati	9
āsvāday	10	āsvādita	9
hras	1	hrasanti	9
hrāsay	10	hrāsayet	9
utkram	6	utkrāmat	9
utthā	1	uttiṣṭhante	9
utthā	1	uttasthuḥ	9
utpat	1	utpatiṣyat	9
utpad	4	utpadyeta	9
pāray	10	pāraya	9
pāray	10	pāryate	9
utsṛj	6	utsṛjāmi	9
udi	4	udyanti	9
udi	4	udiyāt	9
udīray	10	udīrayanti	9
udgā	4	udagāyat	9
uddyotay	10	uddyotayiṣyati	9
unmad	4	unmādyati	9
mocay	10	mocayāmāsa	9
unmīl	1	unmīlya	9
yājay	10	yājayitvā	9
upakṣi	9	upakṣīṇa	9
upagam	6	upāgamam	9
upagā	4	upagīyamāna	9
upacar	1	upācarat	9
upadhā	3	upadhāya	9
upadhāray	10	upadhāryatām	9
upanidhā	3	upanidhāya	9
upapāday	10	upapādaya	9
upabhuj	1	upabhuṅkte	9
bhojay	10	bhojayate	9
upayā	2	upayāsyanti	9
uparam	1	upāramat	9
upalabh	1	upalebhe	9
upavāsay	10	upavāsayet	9
upavah	1	upoḍha	9
upavṛt	1	upavartante	9
upaśī	2	upaśete	9
upaśru	5	upaśṛṇvat	9
upasad	1	upasadya	9
upastu	2	upastuta	9
upastṛ	9	upastīrya	9
upasthā	1	upātiṣṭhanta	9
upahṛ	2	upahṛtya	9
upādhā	3	upāhita	9
upālabh	1	upālabhya	9
upāvṛt	1	upāvartanta	9
kṣobhay	10	kṣobhayati	9
kṣobhay	10	kṣobhayet	9
kṣobhay	10	kṣobhayāmāsa	9
jaray	10	jarita	9
tiraskṛ	8	tiraskṛtya	9
nighṛṣ	1	nighṛṣṭa	9
ninad	1	ninadat	9
ninī	1	ninayet	9
nimantray	0	nimantrayet	9
nimīlay	10	nimīlya	9
niyam	1	niyacchet	9
niyam	1	niyamita	9
niyuj	7	niyuñjyāt	9
nirdah	1	nirdahanti	9
nirvap	1	nirvapāmi	9
nirvāhay	10	nirvāhya	9
nirvartay	10	nirvartayet	9
niviś	6	niviśate	9
niveśay	10	niveśya	9
nivṛt	1	nivartitum	9
nivartay	10	nivartayitum	9
niścar	1	niścarat	9
niśvas	2	niśvasya	9
niṣañj	1	niṣakta	9
niṣkram	6	niṣkrāmati	9
niṣpāday	10	niṣpādya	9
nistṛ	1	nistaret	9
pāṭhay	10	pāṭhya	9
parikṣip	6	parikṣipet	9
parityaj	1	parityajanti	9
parityaj	1	parityaja	9
paridā	1	paridāya	9
paridṛś	6	paridṛśyate	9
paripū	9	paripūta	9
paribṛṁhay	10	paribṛṃhita	9
pariviṣ	4	pariviṣṭa	9
pariṣic	6	pariṣiñcet	9
parisaṁlih	2	parisaṃlihat	9
parisṛp	1	parisarpat	9
parīkṣ	1	parīkṣamāṇa	9
prakampay	10	prakampayat	9
prakṛ	8	pracakāra	9
prakṛ	8	prakurvāṇa	9
prakram	6	prakramitavya	9
prakruś	1	pracukruśuḥ	9
pracakṣ	2	pracakṣmahe	9
pracchāday	10	pracchādayat	9
prajanay	10	prajanayanti	9
prajñā	9	prājānan	9
praṇad	1	prāṇadan	9
praṇad	1	praṇadat	9
pratigrah	9	pratyagṛhṇata	9
pratipad	4	pratipatsye	9
pratipālay	10	pratipālaya	9
pratibādh	1	pratibādhita	9
pratimuc	6	pratimokṣyāmi	9
pratiyudh	4	pratyayudhyata	9
pratirudh	7	pratiruddha	9
pratiṣṭhāpay	10	pratiṣṭhāpayanti	9
pratisamādiś	6	pratisamādiṣṭa	9
pratihan	4	pratihatya	9
pratī	2	pratīyamāna	9
pratyuṣ	1	pratyuṣṭa	9
pradah	4	pradahet	9
pradharṣay	10	pradharṣayitum	9
prapad	4	prapadyasva	9
prapad	4	prapatsyate	9
prapaś	4	prapaśyasi	9
prapā	1	prapīta	9
prapūjay	10	prapūjya	9
prabodhay	10	prabodhayet	9
prabhṛ	1	prabhṛta	9
pramṛj	2	pramṛjyāt	9
prayam	1	prayaccheta	9
prayam	1	prayacchasva	9
prayā	2	prayātum	9
prayuj	7	prayujyatām	9
prarud	2	prarudat	9
pralepay	10	pralepita	9
pravāday	10	prāvādyanta	9
pravas	1	pravasat	9
pravid	2	pravidvas	9
praviś	4	praviśeyuḥ	9
praviś	4	pravekṣyāmaḥ	9
praveśay	10	praveśyatām	9
praśās	2	praśāsat	9
prasaṁkhyā	2	prasaṃkhyāya	9
prasad	1	prasīdasva	9
prasāday	10	prasādayati	9
prasic	4	prasicyate	9
prasū	2	prasūyante	9
prasphur	6	prasphurita	9
prasvid	4	prasvinna	9
prahā	3	prajahāti	9
prahā	3	prahīyate	9
prahṛ	2	prahariṣyat	9
prāp	1	prāpnotu	9
prāp	1	prāpnuvat	9
prāpay	10	prāpayet	9
prārthay	0	prārthaye	9
prāv	1	prāvat	9
prāś	1	prāśet	9
prās	4	prāsya	9
pre	2	preyāt	9
prekṣ	1	praikṣanta	9
preray	10	prerayati	9
preṣ	4	preṣyatām	9
preṣ	4	preṣya	9
vikṛ	5	vikriyate	9
vikalpay	10	vikalpayanti	9
vikalpay	10	vikalpayet	9
vikalpay	10	vikalpyate	9
vikrī	1	vikrīṇāna	9
vikrīḍ	1	vikrīḍita	9
vikṣar	1	vikṣarat	9
vigaṇay	10	vigaṇayat	9
vighuṣ	1	vighuṣṭa	9
vicar	1	vicariṣyanti	9
vicāray	10	vicāryate	9
vijñā	9	vijānīṣe	9
vijñāpay	10	vijñāpayat	9
vitan	8	vitene	9
vitrāsay	10	vitrāsayat	9
vidah	4	vidahyamāna	9
vidarśay	10	vidarśayiṣyāmi	9
vidhā	3	vidadhuḥ	9
vidhāv	1	vidhāvati	9
vidhāray	10	vidhārayet	9
vidhvaṁsay	10	vidhvaṃsita	9
vinard	1	vinardat	9
viniḥsṛ	1	viniḥsaret	9
viniveśay	10	viniveśita	9
viniṣpat	1	viniṣpetuḥ	9
vinī	1	vinayet	9
vipraṇaś	4	vipranaṣṭa	9
vibudh	4	vibudhyate	9
vibhaj	1	vibhajeran	9
vibhā	2	vibhānti	9
vibhā	2	vibabhuḥ	9
viruc	1	vyarocanta	9
vilikh	6	vilikhati	9
vivad	1	vivadet	9
viśeṣay	10	viśeṣayat	9
viśodhay	10	viśodhayiṣyati	9
viśṛ	4	viśīryante	9
viṣad	1	viṣasāda	9
visṛj	4	vyasṛjan	9
vismi	1	vyasmayanta	9
vihā	3	vihātum	9
vyatiric	7	vyatiricyate	9
vyapanī	1	vyapaneṣyāmi	9
vyapanī	1	vyapanīta	9
vyavasā	6	vyavasya	9
vyākhyā	2	vyākhyāsyāmi	9
vyāpāday	10	vyāpādayet	9
vyāhṛ	1	vyāharat	9
vyutpāday	10	vyutpādita	9
saṁyojay	10	saṃyojita	9
saṁrakṣ	1	saṃrakṣita	9
saṁlakṣay	10	saṃlakṣya	9
saṁvid	2	saṃvidyamāna	9
saṁśodhay	10	saṃśodhya	9
saṁsṛj	6	saṃsṛjyeran	9
saṁskṛ	8	saṃskārya	9
saṁsthāpay	10	saṃsthāpya	9
saṁharṣay	10	saṃharṣayat	9
saṁkalpay	10	saṃkalpayati	9
saṁkṣi	9	saṃkṣīṇa	9
saṁkṣud	1	saṃkṣudya	9
saṁjñā	9	saṃjānāna	9
saṁtāpay	10	saṃtāpya	9
saṁdṛś	4	saṃdṛśyate	9
saṁdhāray	10	saṃdhārya	9
saṁnāday	10	saṃnādayat	9
samanupaś	4	samanupaśyāmi	9
samanuprāp	5	samanuprāpya	9
samabhidhā	3	samabhyadhāt	9
samācam	1	samācamya	9
samādru	1	samādravat	9
samādhā	1	samādhātum	9
samārabh	1	samārabhya	9
samāhan	4	samāhatya	9
sami	2	sameti	9
samuttṛ	1	samuttīrya	9
samutpat	1	samutpapāta	9
samutpat	1	samutpatita	9
samutsṛj	6	samutsṛjat	9
samuddhṛ	2	samuddhartum	9
same	2	sameyātām	9
samedh	1	samedhita	9
samparikīrtay	10	samparikīrtita	9
sampradru	1	samprādravan	9
sampravac	3	sampravakṣyate	9
samprasthā	1	sampratasthe	9
samprāś	9	saṃprāśya	9
sambhū	1	saṃbhava	9
cikits	0	cikitsati	9
abhyas	1	abhyasyati	9
kṣapay	10	kṣapayanti	9
cetay	10	cetayati	9
namaskṛ	8	namaskariṣyanti	9
niveday	10	nivedayitvā	9
vaśīkṛ	8	vaśīkṛtya	9
śabday	0	śabdyate	9
rakṣay	10	rakṣya	9
niṣecay	10	niṣecita	9
niḥkṣip	6	niḥkṣipet	9
ucchal	1	ucchalat	9
mahīy	0	mahīyante	9
jugups	0	jugupseta	9
hrī	3	hrīta	9
prīṇay	10	prīṇayanti	9
ṛch	5	ṛcchatu	9
ṛch	5	ṛṇvati	9
antari	2	antariyāt	9
abhiṣecay	10	abhiṣecayet	9
unnamay	10	unnamita	9
udas	4	udasya	9
adhimuc	6	adhimucyate	9
jijñās	0	jijñāsat	9
saṁmarday	10	saṃmardita	9
samupāś	5	samupāśnute	9
ānāyay	10	ānāyayat	9
samādhū	9	samādhūta	9
śātay	10	aśātayat	9
vimukhīkṛ	8	vimukhīkṛtya	9
abhivinī	1	abhivineṣyasi	9
abhyanujñāpay	10	abhyanujñāpya	9
prativeday	10	pratyavedayan	9
