Лемма	Форма
prabhāṣ	prabhāṣate
pramad	pramādyanti
pramuc	prāmuñcan
pramuc	pramokṣyase
pramud	pramumoda
pramuh	pramuhyanti
pramṛj	pramārṣṭi
prayat	prayatadhvam
prayā	prayāsyāmi
prayā	prayāsyanti
prayuj	prayujyeta
prayojay	prayojaya
prarud	prārudat
prarud	praruruduḥ
praruh	prarohanti
pralap	pralapati
pralip	pralimpet
pravad	prodita
pravāday	pravādita
pravah	pravahata
pravah	pravahat
pravigāh	pravigāhya
pravibhaj	pravibhajyate
praviś	praveṣṭā
praveśay	prāveśayata
pravartay	pravartayitum
pravardhay	pravardhayet
pravraj	pravrajiṣyati
praśās	praśāsya
praśās	praśiṣṭa
prasañj	prasajya
prasāday	prasādayanti
prasāday	prasādayitum
prasāday	prasādya
prasamīkṣ	prasamīkṣita
prasah	prasahiṣyati
prasādhay	prasādhya
prasṛj	prasṛṣṭa
prasthā	pratiṣṭheta
prasthā	prasthātum
prasphur	prāsphurat
prasru	prasravati
prahi	prāhiṇvan
prahṛ	praharadhvam
prahlāday	prahlādayat
prahlāday	prahlādita
prāṇ	prāṇati
prāp	prāpatuḥ
prāpay	prāpayiṣyāmi
prāpay	prāpayiṣyati
prāpay	prāpayasva
prāpay	prāpayāmāsa
prāpay	prāpya
prārabh	prārebhe
prārthay	prārthayasi
prārthay	prārthaya
prārthay	prārthayāmāsuḥ
prārthay	prārthya
prārthay	prārthayamāna
prāv	prāvantu
prāś	prāśnanti
prāś	prāśāna
prās	prāsyat
pre	preta
pre	prāyan
pre	praiṣyat
prer	preryamāṇa
preṣay	preṣayitvā
prokṣ	prokṣāmi
prodi	prodyat
vaśībhū	vaśībhūta
vikṛ	vikurvanti
vikṛ	vikārya
vikṛṣ	vikṛṣyate
vikṛ	vyakiran
vikrī	vikrīṇāti
vikrī	vikretum
vikruś	vikruśya
vikṣar	vyakṣarat
vikṣip	vikṣipanti
vikṣip	vikṣipate
vigāh	vigāhate
vigrah	vigṛhṇāti
vigrah	vigṛhṇīyāt
vicakṣ	vicakṣya
vical	viceluḥ
vici	vicinoti
vici	vicetavya
vicintay	vicintyamāna
vicintay	vicintya
vicchid	vicchidya
vijan	vyajījanat
viji	vijayante
viji	vijayanti
viji	vijayatām
viji	vijeṣye
vijñā	vijānate
vijñā	vijānīdhvam
vijñā	vijñāyatām
vijñāpay	vyajñāpayat
vijñāpay	vijñāpayāmāsuḥ
vitud	vitudyamāna
vitṛ	vitatāra
vitras	vitreṣuḥ
vidah	vidahati
vidarśay	vidarśayata
vidāray	vidāraya
vidyotay	vidyotayat
vidham	vidhamiṣyāmi
vidham	vidhamya
vidhā	vidhāsye
vidhā	vidhattām
vidhā	vidhāsyat
vidhā	vidadhāna
vidhvaṁs	vidhvaṃsate
vināday	vyanādayan
vinam	vinamya
vinaś	vinaśiṣyasi
vinaś	vyanaśyata
vināśay	vyanāśayat
vināśay	vināśayat
vināśay	vināśayitum
vinigrah	vinigṛhya
viniyam	viniyacchati
viniveśay	viniveśayet
vinivṛt	vinivartiṣye
vinivartay	vinivartita
viniśvas	viniśvasya
vinihan	vinighnanti
vipac	vipacyamāna
vipad	vyapadyata
viparidhā	viparidhāya
viparidhāv	viparidhāvat
vipā	vipipāna
vipratipad	vipratipadyante
vipramuc	vipramucyante
vibrū	vibrūyuḥ
vibhaj	vibhajeyuḥ
vibhañj	vibhagna
vibhā	vibhāsi
vibhā	vibhāta
vibhāṣ	vibhāṣita
vibhid	vibhindat
vibhū	vibhūta
vibhrāj	vibhrājita
vimuc	vimokṣye
vimuc	vimoktavya
vimṛj	vimārṣṭi
vimṛś	vimṛśāmi
vimṛś	vimṛśyate
vimṛś	vimamṛśe
viyuj	viyujyante
viyuj	vyayujyata
virañj	virajanīya
viram	viramanti
virāj	virājase
virāj	vireje
viruc	vyarocetām
vilup	vilupyate
vilobhay	vilobhyamāna
vilū	vilūna
vivac	vivakṣyate
vivāhay	vivāhita
vivarjay	vivarjya
vivarjay	vivarjanīya
vivarjay	vivarjya
vivarjay	vivarjayitavya
viśeṣay	viśeṣayet
viśodhay	viśodhayati
viśram	viśramasva
viṣad	viṣīdasi
viṣah	viṣahitum
viṣṭhā	vyatiṣṭhat
visṛj	visṛṣṭavat
vistṛ	vistīryate
visphuṭ	visphuṭita
visphur	visphurita
visphūrj	visphūrjat
vismi	vismayat
vihan	vihanyase
vihan	vihantum
vihṛ	vijahrāte
vyativṛt	vyativṛtta
vyapadiś	vyapadiśat
vyapadiś	vyapadeśya
vyapanī	vyapanīya
vyavasā	vyavasāya
vyavahṛ	vyavahārya
vyaś	vyānaśe
vyākhyā	vyākhyātavya
vyācakṣ	vyācakṣva
vyāp	vyāpnuvan
vyāpāday	vyāpādayitum
vyutkram	vyutkramya
vyudas	vyudasta
śraddhā	śraddadhe
śraddhā	śraddhātavya
saṁyat	samayatanta
saṁyam	saṃyantum
saṁyuj	saṃyujyante
saṁyojay	samayojayan
saṁrudh	saṃruṇaddhi
saṁlakṣay	saṃlakṣyate
saṁvidhā	saṃvidhatsva
saṁvidhā	saṃvidhātum
saṁvidhā	saṃvidhāya
saṁvidhā	saṃvidhātavya
saṁvibhaj	saṃvibhajet
saṁvṛ	saṃvṛṇoti
saṁvardhay	saṃvardhayati
saṁvyadh	saṃviddha
saṁśri	saṃśrayiṣyati
saṁsādhay	saṃsādhayet
saṁsādhay	saṃsādhita
saṁsṛ	saṃsṛtya
saṁsāray	saṃsārayati
saṁsāray	saṃsārya
saṁsev	saṃsevya
saṁskṛ	saṃskurvanti
saṁsthā	saṃtiṣṭhante
saṁsthā	saṃsthāsyate
saṁsthā	saṃsthātum
saṁsthāpay	saṃsthāpayati
saṁsveday	saṃsvedayet
saṁhṛ	saṃhārya
saṁkīrtay	saṃkīrtayet
saṁkﾱp	saṃkalpate
saṁkalpay	samakalpayat
saṁkalpay	saṃkalpayat
saṁkṣip	saṃkṣipyate
saṁgam	saṃgaccha
saṁgam	saṃjagmuḥ
saṁgam	saṃjagmāna
saṁgrah	saṃgrahet
saṁgrah	saṃgrahaṇīya
saṁghaṭṭay	saṃghaṭṭita
saṁghṛṣ	saṃghṛṣṭa
saṁcar	saṃcaramāṇa
saṁcāray	saṃcārayet
saṁcoday	saṃcodyamāna
saṁjan	samajani
saṁjan	saṃjāyamāna
saṁjīvay	saṃjīvayāmi
saṁtan	saṃtanvanti
saṁtuṣ	saṃtuṣya
saṁtoṣay	saṃtoṣita
saṁtarpay	samatarpayat
saṁtāray	saṃtārayiṣyati
saṁtāray	saṃtārita
saṁtyaj	saṃtyaja
saṁtras	saṃtrasiṣyanti
saṁtras	saṃtrasyati
saṁdah	saṃdagdha
saṁdā	saṃdita
saṁdṛś	saṃdṛśe
saṁdarśay	saṃdarśayat
saṁdhā	samadadhāt
saṁdhā	saṃdadhuḥ
saṁdhā	saṃdhīyante
saṁdhā	saṃdhita
saṁnam	samanaman
saṁnikṛṣ	saṃnikṛṣṭa
saṁnidhā	saṃnidadhyāt
saṁnipātay	saṃnipātita
saṁniyam	saṃniyacchati
saṁniveśay	saṃnyaveśayat
saṁnivṛt	saṃnyavartata
saṁnī	saṃnayati
samanuśās	samanuśiṣṭa
samabhivṛt	samabhivartate
samabhivṛt	samabhivartata
samabhī	samabhyeti
samarday	samardayat
samavasṛj	samavāsṛjat
samavasthāpay	samavasthāpya
samavāp	samavāpsyati
samavekṣ	samavekṣasva
samaś	samaśnāti
samākṣip	samākṣipta
samākṣip	samākṣipya
samāghrā	samāghrāya
samādhā	samādhatsva
samādhā	samādhīyatām
samānī	samānetum
samāp	samāpnuhi
samāpūray	samāpūrya
samāyā	samāyāti
samārādhay	samārādhita
samālikh	samālikhya
samālocay	samālocya
samāvap	samopya
samāviś	samāviśati
samāśvas	samāśvasat
samāsad	samāseduḥ
samāhan	samājaghne
samāhṛ	samājahruḥ
sami	samiyāya
samindh	samidhyamāna
samīkṣ	samīkṣeta
samutthā	samuttiṣṭha
samupapad	samupapadyate
samupaspṛs	samupaspṛśet
samupāgam	samupāgamya
samupāyā	samupāyayau
samullaṅghay	samullaṅghya
samṛdh	samṛdhyatām
same	sameyuḥ
sampat	samapatat
sampat	saṃpatate
samparikram	samparikramya
samparityaj	samparityakta
sampragrah	sampragṛhya
samprajan	samprajajñire
samprāp	samprāpa
samprokṣ	samprokṣati
sambhakṣ	saṃbhakṣya
sambhū	saṃbhavate
sambhāvay	saṃbhāvyatām
sambhṛ	saṃbhriyantām
sammṛd	saṃmamarda
sākṣīkṛ	sākṣīkṛtya
sāndrībhū	sāndrībhavet
huṁkṛ	huṃkṛta
abhivāday	abhivādayate
bhasmībhū	bhasmībhavanti
jāray	jārayati
puṭ	puṭitvā
saṁpaś	saṃpaśyati
saṁpaś	samapaśyāma
saṁpaś	samapaśyanta
nirūpay	nirūpayanti
nirūpay	nirūpyante
nirūpay	nirūpya
svīkṛ	svīkaroti
īkṣay	īkṣayet
saṁdhukṣ	saṃdhukṣya
namaskṛ	namaskartum
sphuṭībhū	sphuṭībhūta
sampāday	sampādayāmi
sampāday	saṃpādayitum
niveday	nyavedayanta
prādurbhū	prādurabhūvan
prāśay	prāśya
pariyojay	pariyojayet
uddhṛ	uddharat
abhivac	abhyukta
palāy	palāyitum
vācay	vācayitum
mokṣay	mokṣayiṣyāmi
mokṣay	mokṣayat
ācāmay	ācāmayati
ācāmay	ācāmayet
saṁpuṭ	saṃpuṭet
abhyarcay	abhyarcita
ākarṣay	ākarṣaya
vyañjay	vyañjayat
śikṣ	śikṣante
śikṣ	śikṣet
bhikṣ	bhikṣe
visaṁyuj	visaṃyukta
skanday	skandayet
abhinirmuc	abhinirmukta
śuśrūṣ	śuśrūṣante
bhasmīkṛ	bhasmīkṛtya
upaśamay	upaśamayet
paridevay	paridevayat
lips	lipsethāḥ
lips	lipsat
titikṣ	titikṣeta
jugups	jugupsanti
āpyāyay	āpyāyayet
āpyāyay	āpyāyyate
dhūmāy	dhūmāyante
anumāpay	anumāpayati
malinīkṛ	malinīkṛta
mṛgay	mṛgyamāṇa
mṛgay	mṛgya
raṇay	raṇayanta
sisṛkṣ	sisṛkṣat
upacchad	upacchanna
pradiś	pradiśanti
pravāsay	pravāsyeta
samalaṁkṛ	samalaṃkṛtya
namasy	namasyati
namasy	namasyāmaḥ
namasy	namasyet
namasy	namasya
śikṣay	śikṣayāmāsa
prīṇay	prīṇayitvā
vivāsay	vivāsayet
vivāsay	vivāsya
paripālay	paripālyate
mṛḍay	mṛḍayā
mṛḍay	mṛḍayat
ṛch	ṛccheyuḥ
saṁpraharṣay	saṃpraharṣayet
saṁpraharṣay	saṃpraharṣayiṣyati
parisaṁvah	parisamuhya
unnamay	unnamayet
unnamay	unnamayat
āliṅg	āliliṅga
vañcay	vañcayanti
vañcay	vañcayāmāsa
vañcay	vañcayat
vibhraṁśay	vibhraṃśita
paritṛp	paritṛpta
didṛkṣ	didṛkṣat
saṁsmāray	saṃsmārita
sabhājay	sabhājya
puṭīkṛ	puṭīkṛta
ānāyay	ānāyayāmāsa
samabhigā	samabhyagāt
ākāray	ākārayet
samāśvāsay	samāśvāsita
vilepay	vilepya
śātay	śātayet
śātay	śātita
saṁvah	samūhuḥ
abhivinī	abhivinīta
vimūrch	vimūrchita
viṣṭambhay	vyaṣṭambhayat
viveṣṭ	viveṣṭat
ārañj	ārakta
dravīkṛ	dravīkṛtya
nirmalīkṛ	nirmalīkṛta
ūrjay	ūrjayati
saṁparivāray	saṃparivārita
nirvāpay	nirvāpayitum
ninīṣ	ninīṣati
abhyavapad	abhyavapadyata
abhyunnam	abhyunnata
avadhṛ	avadhṛta
saṁnirīkṣ	saṃnirīkṣya
pravibhā	pravibhāti
viśvāsay	viśvāsita
yuyuts	yuyutsase
prabhraṁśay	prabhraṃśita
prakaṭībhū	prakaṭībhūta
pratigrāhay	pratigrāhya
mārg	mārgat
apamānay	apamānita
śukrībhū	śukrībhavati
parilepay	parilepita
nivāsay	nivāsita
paripeṣay	paripeṣita
bruḍ	bruḍati
upamā	upamita
upamā	upameya
pṛthakkṛ	pṛthakkṛta
adhivāsay	adhivāsayet
āñch	āñchet
ujjvālay	ujjvālita
avamarday	avamardita
abhyarday	abhyardayat
abhisaṁbudh	abhisaṃbudhyate
visraṁsay	visraṃsayati
saṁkampay	samakampayat
bhīṣay	bhīṣita
tapasy	tapasyati
saṁvyavasthā	saṃvyavasthita
siñcay	siñcayet
pravāpay	pravāpayet
uttras	uttrasyati
kṣamāpay	kṣamāpya
cañcūry	cañcūryamāṇa
atipātay	atipātayet
vitathīkṛ	vitathīkṛta
unmā	unmeya
atyāśay	atyāśita
abhidaṁś	abhidaṣṭa
pratyāpad	pratyāpanna
andhray	andhrayet
niyantray	niyantrita
nibarhay	nibarhita
retay	retita
śithilay	śithilita
vedh	vedhate
paridham	paridhmāta
saṁcarv	saṃcūrṇa
pattalīkṛ	pattalīkṛta
svasthībhū	svasthībhūta
saṁpreṣ	saṃpreṣya
raṇ	raṇita
vijugups	vijugupsate
ārurukṣ	ārurukṣat
dvaidhībhū	dvaidhībhūta
vivij	vivigna
niṣkṝ	niṣkīrṇa
samākarṇay	samākarṇya
vikāsay	vikāsita
ucchvi	ucchūna
pretībhū	pretībhūta
vibhīṣay	vibhīṣayat
bibhits	bibhitsat
prendh	preddha
samuttejay	samuttejayiṣyati
pavitrīkṛ	pavitrīkṛta
muṇḍay	muṇḍita
palyay	palyayate
prā	paprātha
rej	rejante
duvasy	duvasyata
inv	invatu
mṛḍ	mṛḍāti
randhay	arandhayaḥ
randhay	arandhayat
uruṣy	uruṣyā
hīḍ	heḍat
yu	yuvate
myakṣ	mimikṣuḥ
skabhāy	askabhāyat
jṛ	jaramāṇa
vyac	vivyāca
ran	rārandhi
ran	raṇa
muṣāy	muṣāyati
āprā	āpaprivas
hvṛ	juhurāṇa
cekit	cekite
āvivās	āvivāsati
sas	sastu
nibhraṁś	nibhṛṣṭa
yād	yādamāna
tur	turvaṇe
tuś	tośate
īrts	īrtset
vyavalokay	vyavalokita
ārāgay	ārāgayati
abhiśraddhā	abhiśraddadhāsyasi
abhiśraddhā	abhiśraddadhāsye
abhisaṁprasthā	abhisaṃprasthita
samādāpay	samādāpayiṣyati
abhipralamb	abhipralambita
pratisaṁmud	pratisaṃmodate
añc	añcati
aj	ajati
añj	ānaje
aṭ	aṭitvā
arc	arcāmi
arc	ārcan
arc	ānṛcuḥ
arc	arciṣyat
aś	aśnuvīta
aś	ānaśa
aś	āṣṭa
aś	aṣṭa
aś	ānaṃśa
aś	aśnīta
aś	āśa
as	āsma
as	stam
as	sta
as	asāma
as	asatha
as	asyasi
as	asyamāna
ās	āsatām
i	ayan
i	etavai
iṅg	iṅgati
indh	īdhe
indh	idhyasva
iṣ	iṣyante
iṣ	aicchanta
iṣ	īṣe
iṣ	icchāt
iṣ	iṣṭavat
iṣ	iṣyat
īkṣ	īkṣase
īkṣ	aikṣanta
īkṣ	īkṣyamāṇa
īḍ	īḍāna
īr	airata
īś	īśire
īh	aihata
ukṣ	ukṣat
ujh	ujhanti
uñch	uñchanti
ūh	ūhitvā
arpay	arpayāmāsa
arpay	arpayitum
ṛj	arjasi
arjay	arjayat
ṛdh	ṛdhnuvanti
ṛdh	ardhya
ṛdh	ṛndhat
kath	kathya
kathay	kathayatu
kathay	kathayata
kathay	kathayiṣyāmaḥ
kathay	kathayadhvam
kathay	kathayāmāsatuḥ
kathay	kathayitavya
kathay	kathayamāna
kam	cakamāna
kāṅkṣ	kāṅkṣase
kup	kupye
kup	kupyat
kup	kopya
kūj	kūjet
kūrd	kūrdat
kṛ	akarat
kṛ	kurvāte
kṛ	kurvīran
kṛ	kariṣyase
kṛ	kṛdhvam
kṛ	kartāham
kṛ	karot
kṛ	kṛṇavan
kṛ	kṛṇavanta
kṛ	karan
kṛ	kṛṇuta
kṛ	kṛṇuthaḥ
kṛ	kṛṇutam
kṛ	kṛṣe
kṛ	kiranti
kṛ	cakṛma
kṛ	akāriṣam
kṛt	kṛntat
karṣay	karṣayat
kalpay	kalpayāmaḥ
krand	krandati
krand	krandanti
krand	krandat
krand	cakradat
kram	krāmanti
kram	krāmet
kram	akramata
kram	krāmate
krī	krīṇanti
krī	akrīṇan
krī	krīṇat
krīḍ	krīḍante
krīḍ	krīḍitum
klid	klidyati
klid	kledya
kṣam	kṣamante
kṣam	kṣamāmi
kṣam	kṣamet
kṣam	kṣamyate
kṣam	kṣāntavat
kṣar	kṣara
kṣar	kṣarantu
kṣar	kṣarante
kṣar	akṣāḥ
kṣi	kṣayat
kṣi	kṣayati
kṣi	kṣayati
kṣi	kṣeṣṭa
kṣip	kṣepsyate
kṣip	kṣipyatām
kṣip	kṣipat
kṣip	kṣiptavat
kṣip	kṣipya
kṣubh	kṣubhyati
kṣviḍ	kṣveḍanti
khan	khanāmi
khād	khāditavya
khyā	khyāti
gam	agacchaḥ
gam	agacchatām
gam	agacchata
gam	gamiṣyathaḥ
gam	gamiṣyataḥ
gam	gacchethāḥ
gam	gacchatām
gam	jagmire
gam	gamyāt
gam	gamantu
gam	gamet
gam	gamyāḥ
garj	garjasi
garh	garhase
gal	galanti
gā	jigāsi
gā	agāma
gā	guḥ
gā	agāyat
gā	jaganti
gā	gīyatām
gāh	gāhante
gup	goptavya
gumph	gumphita
guh	gūhanti
gṛ	gṛṇe
gṛdh	gṛdhnanti
grah	gṛhṇīmaḥ
grah	agṛhṇītām
grah	gṛhṇata
grah	gṛhṇate
grah	agṛbhṇata
grah	gṛhṇat
grah	grahīṣyat
gras	grasanti
glah	glahamāna
glā	glāyate
ghas	jaghāsa
ghas	akṣan
ghuṣ	ghuṣyate
ghūrṇ	ghūrṇate
cakṣ	cakṣva
cakṣ	cakṣāṇa
cat	catta
car	acaran
car	cariṣyāmaḥ
car	careta
car	caryatām
car	cartavya
cāy	acāyat
ci	citvā
ci	citya
cit	cetat
cud	acūcudat
cup	copati
ceṣṭ	ceṣṭante
cyu	cyavati
chid	chindyām
chid	chidyeta
jan	janyante
jan	jāyeyam
jalp	jalpet
ji	jeṣyāvaḥ
ji	ajaiṣam
ji	jīyante
ji	jīyāt
ji	jayya
jinv	jinvanti
jinv	jinvasi
jinv	jinvatha
jīv	jīviṣyati
juṣ	jujuṣuḥ
juṣ	juṣate
juṣ	jujoṣaḥ
jṛmbh	jajṛmbhe
jñā	jajñuḥ
jñā	jānīthāḥ
jñā	jānīran
jñā	jñāyamāna
takṣ	tatakṣāte
tāḍay	tāḍaya
tāḍay	atāḍayam
tāḍay	tāḍayāmāsatuḥ
tan	tatanan
tap	tapyāmi
tap	tapsyāmahe
tap	tapyamāna
tarkay	atarkayam
atikram	atikramiṣyati
atigam	atigata
tuj	tujat
tuj	tuje
tud	tudati
tūrv	tūrvat
tolay	tolayāmāsa
tuṣ	tuṣyate
tṛ	tarasi
tṛ	tarata
tṛ	tarate
tṛ	atāriṣma
tṛd	tṛndhi
tṛṣ	tṛṣyate
tṛṣ	tātṛṣāṇa
tṛṣ	tṛṣāṇa
bhū	bhavāmaḥ
bhū	bhavatām
bhū	bhavāma
bhū	bhaviṣyāvaḥ
bhū	babhūvathuḥ
bhū	abhaviṣyam
bhū	bhaviṣyadhvam
bhū	abhūta
bhū	bhavat
bhū	bhūyāt
bhū	bhūyāma
bhū	bhūtam
bhū	bhavan
bhū	babhūvas
dru	dravata
dhanv	dadhanve
dhanv	dhanvantu
dhanv	dadhanvas
nakṣ	nakṣamāṇa
naś	ānaṭ
naś	naśīmahi
nī	neṣyanti
nī	neṣye
nī	nayāti
pat	apatam
pat	patiṣyāmi
pat	apaptan
pat	patanīya
brū	abravīḥ
brū	brūtam
brū	brūmi
yā	ayāt
yā	yāsyate
yā	ayāma
yā	yātā
yā	yayātha
yā	yāthana
yā	yātam
yā	yāna
vac	vakṣyatha
vac	vocata
vac	vocan
vad	vadāmaḥ
vad	avadaḥ
vad	vadiṣyataḥ
vad	vadethāḥ
vad	vadeta
vad	avadanta
vad	vādīḥ
vad	vadāsi
vad	vadāti
vṛt	vavṛtyāt
vṛt	vāvṛtuḥ
muc	muñcataḥ
muc	amuñcaḥ
muc	amuñcan
muc	mokṣyante
muc	amucat
muc	mumoktu
muc	muca
muc	muñcātu
han	hantāsi
han	ahanyanta
han	ahaniṣyat
han	han
han	hanaḥ
han	hatvī
vas	vasantu
vas	vasadhvam
vas	vasan
vas	vatsyat
vyadh	vidhyate
vyadh	avidhyetām
vyadh	vidhyate
vyadh	vidhyat
sad	asadan
sad	sīdan
sad	sadatam
sad	sādi
nṛt	nṛtya
nṛt	nṛtyate
dhāv	dhāva
sū	suvāna
sū	savitave
bhuj	bhuñjīyātām
bhuj	bubhujire
bhuj	bhuñjante
bhuj	bhokṣyāmaḥ
bhuj	bhuñjīyām
man	manyantām
man	manvate
man	maṃsthāḥ
man	maṃsate
man	mantum
yat	yatathaḥ
yat	yatitavya
yam	yemuḥ
yam	yeme
yam	yaṃsan
yam	ayān
yam	yaṃsi
yam	yacchāt
yuj	yuṅgdhvam
yuj	yujyantām
yuj	ayoji
yuj	yujyat
ruh	arohat
ruh	rohate
ruh	arukṣat
vap	vapatu
vap	ūpathuḥ
vap	upyate
vap	avīvapat
vap	vaptavya
vas	vāvasāna
adhivas	adhivaseyuḥ
vid	vindeyuḥ
vid	avidaḥ
vid	vidam
adhiruh	adhiroḍhavya
bādh	bādheta
bādh	bādhyase
dhā	dhatthaḥ
dhā	dhatse
dhā	dhatsva
dhā	adadhat
dhā	dhātu
dhā	dhattāt
dhā	dadhāthe
dhā	dhāta
dhā	adhithāḥ
rāj	rājanti
viś	viśatu
viś	viśethāḥ
viś	viśante
viś	viśasva
viś	avikṣata
viś	viśamāna
vṛj	vṛṇak
vṛdh	vardhasi
vṛdh	vardhatu
vṛdh	vardhete
vṛdh	vavardha
vṛdh	vāvṛdhāte
vṛdh	vardhān
vṛdh	vāvṛdhanta
vṛdh	vāvṛdhasva
vṛdh	vardhanīya
vṛdh	vāvṛdhadhyai
vye	vīta
śī	aśayiṣi
śī	śiśyire
śī	śeṣva
śī	śayitā
śī	aśāyata
śī	śayām
śī	śayitvā
su	sunvire
skand	caskanda
sthā	tiṣṭheyam
sthā	atiṣṭhatām
sthā	tiṣṭhe
sthā	sthāta
sthā	tiṣṭhāti
sthā	tiṣṭhāḥ
svan	svanat
sṛp	sasarpa
sṛp	sṛpta
adhiśī	adhyaśeta
adhiṣṭhā	adhiṣṭheya
sṛ	asaran
sṛ	sasre
sṛ	sarat
sṛ	sartave
sṛ	sartavai
tvar	tvarase
dah	dahatu
dah	dahantu
dah	adahan
dah	dahye
dah	adahyanta
dā	dadau
dā	dadat
dā	dadivas
dāś	dadāśvas
dīv	dīvyati
dīv	dīvya
dīv	dīvyamāna
dhyā	dhyāhi
nam	anaman
nam	nemuḥ
nam	namante
śvas	śvasita
śvas	śvasamāna
atinī	atinayet
nud	nudāmi
nud	nudet
pad	panna
paś	paśyase
paś	paśyate
paś	apaśyetām
paś	paśyāhi
paś	paśyat
pā	pibāmaḥ
pā	pibante
pā	pītvī
pū	pavatām
pū	pavantām
pū	punate
pū	punītana
pṛ	pīparat
pṛ	pūryat
pracch	pṛcchatha
pracch	apṛcchatām
pracch	aprākṣam
pracch	pṛcchasva
pracch	pṛcchyate
naś	naṅkṣyati
naś	naśyamāna
vah	ūḍhvā
vā	vāyuḥ
ve	vayanti
śaṁs	śaṃsāmaḥ
śaṁs	śaśaṃsire
śaṁs	aśaṃsīt
śru	aśṛṇoḥ
śru	aśṛṇvan
śru	aśrauṣuḥ
śru	śroṣye
śru	śroṣyate
śru	śruta
śru	śrota
hā	hīyatām
hā	jahīhi
hā	ahīyata
hā	hitvī
bhā	babhatuḥ
bhūṣ	bhūṣathaḥ
bhūṣ	bhūṣanti
bhṛ	bibhṛtha
bhṛ	bhriyate
bhṛ	bhareyam
bhṛ	bharatām
bhṛ	jabhruḥ
atimuc	atimucyate
yaj	yajāmi
yaj	yajāma
yaj	ayajam
yaj	yakṣyanti
yaj	yajatām
yaj	yajāte
ric	ricyate
ric	aricyata
ruc	rurucuḥ
rocay	rocayati
rocay	rocayanti
rocay	rocayasva
rocay	arocayam
laṅgh	laṅghyate
vāhay	vāhayati
atipad	atipadyeta
pāday	pādayāmi
pāday	pādayet
atibhā	atibhāti
loḍay	loḍayat
ativṛt	ativarteḥ
vṛṣ	varṣantu
vṛṣ	vavarṣatuḥ
vraj	vrajasi
vraj	vrajataḥ
vraj	vrajāmaḥ
vraj	vrajeḥ
vraj	avrajan
vraj	vrajasva
atiśaṁs	atiśaṃset
śaṅk	śaṅkitavya
śaṅk	śaṅkya
śā	śiśītam
śubh	śuśubhire
śliṣ	śliṣyati
stu	stoṣyati
stu	stoṣyāmaḥ
stu	astauṣam
stu	astoṣi
stu	stoṣāma
stu	stavā
sṛj	sṛjatam
sṛj	sasarjire
sṛj	asṛkṣata
sṛj	sraṣṭavya
sev	severan
atiṣṭu	atiṣṭuyuḥ
atisṛj	atisṛjate
atisṛj	atisrakṣye
sru	sravataḥ
srāvay	srāvayati
srāvay	srāvita
hṛ	jahre
hṛ	haraṇīya
atihṛ	atiharat
hvā	hvayantu
hvā	ahvayat
hvā	hvayatām
hvā	huve
atyaś	atyaśita
dham	adhamaḥ
dham	adhamat
dham	dhmāyate
dham	dhamita
adhikṛ	adhikriyate
adhikṣi	adhikṣiyanti
adhikṣip	adhikṣipet
adhikṣip	adhikṣipat
gaṇay	gaṇayitum
adhigam	adhigacchāmaḥ
adhigam	adhigamyante
adhigam	adhigacchat
adhigā	adhyagāt
dhṛ	adīdharat
dhṛ	dadhrire
dhṛ	adhriyanta
dhṛ	dhṛtya
dhāray	dhārayeyuḥ
dhāray	dhārayantu
dhāray	dhārayiṣyasi
dhāray	dhāraye
dhāray	dhārayase
dhāray	dhārayāmāsuḥ
dhāray	dhārayat
dhāray	adhārayanta
dhāray	dhārayanta
dhāray	dhārayam
dhāray	dhārayan
spṛdh	spardhat
spṛdh	spardhya
spṛdh	paspṛdhāna
spṛś	spṛśasi
spṛś	spṛśataḥ
spṛś	spṛśata
hu	ahauṣīḥ
hu	juhuve
hu	juhvate
āyay	āyita
adhyāpay	adhyāpayati
sā	syāmi
adhyavaso	adhyavasyat
adhyavaso	adhyavasāya
ropay	ropaṇīya
adhyās	adhyāsate
anukamp	anukampate
anukamp	anukampamāna
kīrtay	kīrtayeta
kīrtay	kīrtya
anukīrtay	anvakīrtayat
anukṛ	anukuryāt
kāray	kārayāmaḥ
kāray	akārayan
kāray	kārayiṣyanti
kāray	kārayeyuḥ
kāray	kārayitavya
anukram	anukrāmat
anugam	anugacchāmi
anugam	anugacchatu
anugam	anugamiṣyati
anugam	anugamyatām
anugā	anvagām
anugrah	anugṛhyate
anugrah	anugṛhyatām
anugrah	anugrahītum
anucar	anucaret
anucar	anvacarat
cāray	cārayāmāsa
ci	acidhvam
ci	cinvat
anujan	anvajāyata
jāgṛ	jāgṛmi
anujīv	anujīvantu
jīvay	jīvayiṣyati
jīvay	jīvayat
jīvay	jīvayitvā
anujñā	anujānantu
tāpay	atāpayat
anutap	anvatapyanta
duṣ	duṣyeyuḥ
duṣ	duṣyate
dūṣay	adūṣayat
dūṣay	dūṣya
dṛś	adrākṣma
dṛś	drakṣyāmahe
dṛś	adṛśyat
dṛś	darśam
anudṛś	anudṛśyate
anudṛś	anudṛśya
darśay	darśayeyuḥ
darśay	darśayiṣyāmaḥ
darśay	darśayāmāsatuḥ
darśay	darśyatām
darśay	darśayāna
dāray	dārayanti
dhāv	dhāvamāna
dhī	dīdhaya
dhī	dhīta
nand	nanandatuḥ
nanday	nandayatu
nanday	nandayāmāsa
nāmay	nāmita
śam	śamyeta
śam	śāmyatām
