Корень	Слабая ступень	Гуна	Вриддхи
ru	1	1	0
ruc	1	1	0
ruj	1	1	0
rud	1	1	0
rudh	1	1	1
rundhay	1	0	0
ruṣ	1	0	0
ruh	1	1	0
rūkṣay	1	0	0
rūpay	1	0	0
recay	1	0	0
rocay	1	0	0
rodhay	1	0	0
ropay	1	0	0
roṣay	1	0	0
rohay	1	0	0
lakṣ	1	0	0
lakṣay	1	0	0
lag	1	1	0
laṅgh	1	1	0
laṅghay	1	0	0
lajj	1	0	0
lajjay	1	0	0
lap	1	1	0
labh	1	1	1
lamb	1	1	0
lambay	1	0	0
lambhay	1	0	0
lal	1	0	0
las	1	1	0
lāḍay	1	0	0
lāpay	1	0	0
lālay	1	0	0
lāsay	1	0	0
likh	1	1	0
liṅgay	1	0	0
lip	1	1	0
lips	1	0	0
lih	1	1	0
lī	1	1	0
luṭh	1	1	0
luḍ	1	0	0
luṇṭh	1	0	0
luj	1	0	0
luñc	1	0	0
lup	1	1	0
lubh	1	1	0
lul	1	0	0
lū	1	1	0
lekhay	1	0	0
lepay	1	0	0
lelih	1	0	0
lehay	1	0	0
lokay	1	0	0
loḍay	1	0	0
lopay	1	0	0
lobhay	1	0	0
lolay	1	0	0
vakṣ	1	1	0
vac	1	1	1
vañc	1	1	0
vañcay	1	0	0
vat	1	0	0
vad	1	1	1
vadh	1	1	0
van	1	1	1
vand	1	1	0
vanday	1	0	0
vap	1	1	1
vam	1	1	0
varay	1	0	0
varīvṛj	1	0	0
varṇay	1	0	0
varjay	1	0	0
vartay	1	0	0
vardhay	1	0	0
varvṛt	1	0	0
varṣay	1	0	0
val	1	0	0
valg	1	1	0
vaś	1	1	0
vas	1	1	1
vah	1	1	1
vā	1	1	0
vācay	1	0	0
vāñch	1	1	0
vātay	1	0	0
vāday	1	0	0
vāpay	1	0	0
vāray	1	0	0
vāvad	1	0	0
vāś	1	1	0
vāsay	1	0	0
vāhay	1	0	0
vic	1	1	0
vij	1	1	0
vid	1	1	1
vip	1	1	0
vivās	1	0	0
vivikṣ	1	0	0
viṣ	1	1	0
viś	1	1	1
vī	1	1	0
vīj	1	1	0
vījay	1	0	0
vṛ	1	1	1
vṛj	1	1	1
vṛt	1	1	1
vṛdh	1	1	1
vṛṣ	1	1	0
vṛṣāy	1	0	0
vṛh	1	1	0
ve	1	1	0
vejay	1	0	0
veday	1	0	0
vedh	1	0	0
vedhay	1	0	0
ven	1	0	0
vepay	1	0	0
vell	1	0	0
vevid	1	0	0
