"от -800 до -300"	au	1=0.04%	"от -800 до -300"	ai	1=0.04%	"от -800 до -300"	a	1027=44.27%	"от -800 до -300"	ā	149=6.42%	"от -800 до -300"	i	157=6.77%	"от -800 до -300"	ī	54=2.33%	"от -800 до -300"	u	98=4.22%	"от -800 до -300"	ū	15=0.65%	"от -800 до -300"	o	1=0.04%	"от -800 до -300"	e	6=0.26%	"от -800 до -300"	ṛ	61=2.63%	"от -800 до -300"	k	2=0.09%	"от -800 до -300"	g	1=0.04%	"от -800 до -300"	ḍ	3=0.13%	"от -800 до -300"	ṇ	1=0.04%	"от -800 до -300"	ch	3=0.13%	"от -800 до -300"	j	43=1.85%	"от -800 до -300"	c	26=1.12%	"от -800 до -300"	th	3=0.13%	"от -800 до -300"	dh	26=1.12%	"от -800 до -300"	t	73=3.15%	"от -800 до -300"	d	41=1.77%	"от -800 до -300"	n	123=5.30%	"от -800 до -300"	bh	10=0.43%	"от -800 до -300"	p	23=0.99%	"от -800 до -300"	m	38=1.64%	"от -800 до -300"	y	81=3.49%	"от -800 до -300"	r	15=0.65%	"от -800 до -300"	l	3=0.13%	"от -800 до -300"	v	14=0.60%	"от -800 до -300"	ṣ	44=1.90%	"от -800 до -300"	ś	30=1.29%	"от -800 до -300"	s	118=5.09%	"от -800 до -300"	h	27=1.16%
						vaktra	n	0,02105																																																																																													
						janaka	m	0,02105																																																																																													
						pārthiva	adj	0,02105																																																																																													
						pārśva	mn	0,02105																																																																																													
						sthira	adj	0,02105																																																																																													
						antaḥpura	n	0,02073																																																																																													
						anvita	adj	0,02073																																																																																													
						nīla	adj	0,02073																																																																																													
						nagara	mn	0,02073																																																																																													
						yoga	m	0,02073																																																																																													
						toka	n	0,02073																																																																																													
						vyakta	adj	0,02073																																																																																													
						śīla	mn	0,02073																																																																																													
						gamana	n	0,02073																																																																																													
						kṣaya	m	0,02073																																																																																													
						prabhāva	m	0,02073																																																																																													
						pratna	adj	0,02073																																																																																													
						kośa	mn	0,02041																																																																																													
						saṁgha	m	0,02041																																																																																													
						amara	m	0,02041																																																																																													
						āsya	n	0,02041																																																																																													
						jaya	m	0,02041																																																																																													
						bhojana	n	0,02009																																																																																													
						uraga	mn	0,02009																																																																																													
						moha	m	0,02009																																																																																													
						tīvra	adj	0,02009																																																																																													
						janasthāna	n	0,02009																																																																																													
						hiraṇyaya	adj	0,02009																																																																																													
						agastya	mn	0,02009																																																																																													
						kara	adj	0,01977																																																																																													
						kalaśa	mn	0,01977																																																																																													
						pannaga	mn	0,01977																																																																																													
						sadana	n	0,01977																																																																																													
						niścaya	m	0,01977																																																																																													
						bhara	m	0,01977																																																																																													
						rakta	adj	0,01977																																																																																													
						mahiṣa	m	0,01977																																																																																													
						dūra	adj	0,01977																																																																																													
						vṛjana	n	0,01977																																																																																													
						puṣpaka	mn	0,01977																																																																																													
						bāla	adj	0,01977																																																																																													
						samartha	adj	0,01945																																																																																													
						nava	adj	0,01945																																																																																													
						daivata	n	0,01945																																																																																													
						kha	n	0,01945																																																																																													
						kaṇva	m	0,01914																																																																																													
						bhāskara	m	0,01914																																																																																													
						durita	n	0,01914																																																																																													
						śaṁsa	m	0,01914																																																																																													
						bāndhava	m	0,01914																																																																																													
						ghoṣa	m	0,01914																																																																																													
						caraṇa	mn	0,01914																																																																																													
						acala	m	0,01882																																																																																													
						anṛta	n	0,01882																																																																																													
						kāvya	mn	0,01882																																																																																													
						amita	adj	0,01882																																																																																													
						vaṁśa	m	0,01882																																																																																													
						vimala	adj	0,01882																																																																																													
						dāsa	m	0,01882																																																																																													
						kārmuka	n	0,01850																																																																																													
						maṇḍala	mfn	0,01850																																																																																													
						netra	mn	0,01850																																																																																													
						abhiṣeka	m	0,01850																																																																																													
						manuṣya	m	0,01850																																																																																													
						nayana	n	0,01850																																																																																													
						alpa	adj	0,01850																																																																																													
						ākula	adj	0,01850																																																																																													
						tridaśa	m	0,01850																																																																																													
						siddha	m	0,01850																																																																																													
						sāla	m	0,01850																																																																																													
						śeṣa	mn	0,01850																																																																																													
						veda	m	0,01850																																																																																													
						diva	n	0,01850																																																																																													
						aśoka	m	0,01818																																																																																													
						yajatra	adj	0,01818																																																																																													
						raudra	adj	0,01818																																																																																													
						tura	adj	0,01818																																																																																													
						kṛtsna	adj	0,01786																																																																																													
						adharma	m	0,01786																																																																																													
						vāra	m	0,01786																																																																																													
						cīra	n	0,01786																																																																																													
						ākāra	m	0,01786																																																																																													
						mārīca	mn	0,01786																																																																																													
						rocana	n	0,01786																																																																																													
						toya	n	0,01786																																																																																													
						somya	adj	0,01786																																																																																													
						vināśa	m	0,01786																																																																																													
						pradakṣiṇa	adj	0,01786																																																																																													
						parṇa	mn	0,01754																																																																																													
						niveśana	n	0,01754																																																																																													
						narendra	m	0,01754																																																																																													
						vicitra	adj	0,01754																																																																																													
						śayana	n	0,01754																																																																																													
						viṣaya	mn	0,01754																																																																																													
						saṁgrāma	mn	0,01722																																																																																													
						anila	m	0,01722																																																																																													
						abhimukha	adj	0,01722																																																																																													
						vārya	n	0,01722																																																																																													
						āvaha	adj	0,01722																																																																																													
						lakṣaṇa	n	0,01722																																																																																													
						tigma	adj	0,01722																																																																																													
						durga	n	0,01722																																																																																													
						deva	adj	0,01722																																																																																													
						deha	mn	0,01722																																																																																													
						sahasrākṣa	m	0,01722																																																																																													
						vijaya	m	0,01690																																																																																													
						ukthya	adj	0,01690																																																																																													
						yāna	n	0,01690																																																																																													
						pāna	n	0,01690																																																																																													
						ghana	mn	0,01690																																																																																													
						vṛtta	n	0,01690																																																																																													
						kovida	adj	0,01658																																																																																													
						antara	adj	0,01658																																																																																													
						vāra	mn	0,01658																																																																																													
						aśana	n	0,01658																																																																																													
						vatsala	adj	0,01658																																																																																													
						mahodara	m	0,01658																																																																																													
						trailokya	n	0,01658																																																																																													
						tveṣa	adj	0,01658																																																																																													
						snigdha	adj	0,01658																																																																																													
						śubhra	adj	0,01658																																																																																													
						śāstra	n	0,01658																																																																																													
						kṣatriya	m	0,01658																																																																																													
						anagha	adj	0,01626																																																																																													
						kalpa	adj	0,01626																																																																																													
						śrama	m	0,01626																																																																																													
						dhūma	mn	0,01626																																																																																													
						draviṇa	n	0,01626																																																																																													
						sahāya	m	0,01626																																																																																													
						vraja	m	0,01626																																																																																													
						prāsāda	m	0,01626																																																																																													
						aha	mn	0,01626																																																																																													
						kara	m	0,01595																																																																																													
						adhika	adj	0,01595																																																																																													
						saṁkula	adj	0,01595																																																																																													
						saṁtāpa	m	0,01595																																																																																													
						paraspara	adj	0,01595																																																																																													
						śveta	adj	0,01595																																																																																													
						ārya	m	0,01595																																																																																													
						tumula	adj	0,01595																																																																																													
						pāvaka	adj	0,01595																																																																																													
						darśata	adj	0,01595																																																																																													
						pravara	adj	0,01595																																																																																													
						adabdha	adj	0,01563																																																																																													
						parāyaṇa	n	0,01563																																																																																													
						ṛṣva	adj	0,01563																																																																																													
						bhāra	m	0,01563																																																																																													
						arjuna	m	0,01563																																																																																													
						mānasa	n	0,01563																																																																																													
						pāṇḍura	adj	0,01563																																																																																													
						dama	mn	0,01563																																																																																													
						darpa	m	0,01563																																																																																													
						paścima	adj	0,01563																																																																																													
						atula	adj	0,01531																																																																																													
						saṁkhya	n	0,01531																																																																																													
						antaka	m	0,01531																																																																																													
						sadhastha	n	0,01531																																																																																													
						viśārada	adj	0,01531																																																																																													
						cira	adj	0,01531																																																																																													
						tṛtīya	adj	0,01531																																																																																													
						dvitīya	adj	0,01531																																																																																													
						dakṣa	adj	0,01531																																																																																													
						vaira	mn	0,01531																																																																																													
						samaya	m	0,01499																																																																																													
						nakṣatra	mn	0,01499																																																																																													
						ardha	mn	0,01499																																																																																													
						rucira	adj	0,01499																																																																																													
						toraṇa	mn	0,01499																																																																																													
						tāmra	adj	0,01499																																																																																													
						śiṣya	m	0,01499																																																																																													
						virūpa	adj	0,01499																																																																																													
						dasra	m	0,01499																																																																																													
						kuśala	n	0,01467																																																																																													
						aṅka	mn	0,01467																																																																																													
						anala	m	0,01467																																																																																													
						parjanya	m	0,01467																																																																																													
						apatya	n	0,01467																																																																																													
						bhṛtya	m	0,01467																																																																																													
						nṛśaṁsa	adj	0,01467																																																																																													
						madhyama	adj	0,01467																																																																																													
						saṁvatsara	mn	0,01467																																																																																													
						avara	adj	0,01467																																																																																													
						indrāvaruṇa	m	0,01467																																																																																													
						yajata	adj	0,01467																																																																																													
						tanaya	adj	0,01467																																																																																													
						viṣa	n	0,01467																																																																																													
						pauṁsya	n	0,01467																																																																																													
						praharaṇa	n	0,01467																																																																																													
						kuśala	adj	0,01435																																																																																													
						apriya	adj	0,01435																																																																																													
						manda	adj	0,01435																																																																																													
						jīra	adj	0,01435																																																																																													
						puraṁdara	m	0,01435																																																																																													
						priya	n	0,01435																																																																																													
						bhṛśa	adj	0,01403																																																																																													
						vicakṣaṇa	adj	0,01403																																																																																													
						citta	n	0,01403																																																																																													
						avya	adj	0,01403																																																																																													
						rākṣaseśvara	m	0,01403																																																																																													
						vāma	adj	0,01403																																																																																													
						mahārha	adj	0,01403																																																																																													
						māna	m	0,01403																																																																																													
						suvita	n	0,01403																																																																																													
						sūra	m	0,01403																																																																																													
						daṁṣṭra	mfn	0,01403																																																																																													
						śāpa	m	0,01403																																																																																													
						kṣetra	mn	0,01403																																																																																													
						vismaya	m	0,01403																																																																																													
						bāla	m	0,01403																																																																																													
						bila	n	0,01403																																																																																													
						ghna	adj	0,01403																																																																																													
						anātha	adj	0,01371																																																																																													
						kumbha	m	0,01371																																																																																													
						maha	adj	0,01371																																																																																													
						vareṇya	adj	0,01371																																																																																													
						hutāśana	m	0,01371																																																																																													
						gagana	n	0,01371																																																																																													
						kṣama	adj	0,01371																																																																																													
						dasma	m	0,01371																																																																																													
						prākāra	m	0,01371																																																																																													
						patha	m	0,01339																																																																																													
						magha	mn	0,01339																																																																																													
						yāma	m	0,01339																																																																																													
						māruta	adj	0,01339																																																																																													
						taruṇa	adj	0,01339																																																																																													
						graha	mn	0,01339																																																																																													
						kṣaṇa	m	0,01339																																																																																													
						gharma	m	0,01339																																																																																													
						anindita	adj	0,01308																																																																																													
						anyaka	adj	0,01308																																																																																													
						nṛtama	adj	0,01308																																																																																													
						nṛmṇa	n	0,01308																																																																																													
						martya	adj	0,01308																																																																																													
						āyasa	adj	0,01308																																																																																													
						āhāra	m	0,01308																																																																																													
						rāṣṭra	mn	0,01308																																																																																													
						yatna	m	0,01308																																																																																													
						yaviṣṭha	adj	0,01308																																																																																													
						trita	m	0,01308																																																																																													
						suṣeṇa	m	0,01308																																																																																													
						saubhaga	n	0,01308																																																																																													
						da	adj	0,01308																																																																																													
						kuśa	mn	0,01276																																																																																													
						kṛtya	n	0,01276																																																																																													
						akliṣṭa	adj	0,01276																																																																																													
						sattva	mn	0,01276																																																																																													
						nakta	n	0,01276																																																																																													
						narya	adj	0,01276																																																																																													
						navya	adj	0,01276																																																																																													
						citrakūṭa	m	0,01276																																																																																													
						udāra	adj	0,01276																																																																																													
						āgamana	n	0,01276																																																																																													
						mahitva	n	0,01276																																																																																													
						tīrtha	mn	0,01276																																																																																													
						durāsada	adj	0,01276																																																																																													
						vindhya	m	0,01276																																																																																													
						divākara	m	0,01276																																																																																													
						pauruṣa	n	0,01276																																																																																													
						narādhipa	m	0,01276																																																																																													
						akṣara	n	0,01244																																																																																													
						sagara	m	0,01244																																																																																													
						anuga	adj	0,01244																																																																																													
						kuṇḍala	n	0,01244																																																																																													
						bhoga	m	0,01244																																																																																													
						samākula	adj	0,01244																																																																																													
						aruṇa	adj	0,01244																																																																																													
						vāhana	n	0,01244																																																																																													
						durga	adj	0,01244																																																																																													
						janapada	m	0,01244																																																																																													
						dvipa	m	0,01244																																																																																													
						sahalakṣmaṇa	adj	0,01244																																																																																													
						svapna	mn	0,01244																																																																																													
						śuṣṇa	m	0,01244																																																																																													
						daśānana	m	0,01244																																																																																													
						bahuvidha	adj	0,01244																																																																																													
						pramukha	adj	0,01244																																																																																													
						candana	mn	0,01244																																																																																													
						haryata	adj	0,01244																																																																																													
						kamala	mn	0,01212																																																																																													
						kṛcchra	mn	0,01212																																																																																													
						apratima	adj	0,01212																																																																																													
						nirghoṣa	m	0,01212																																																																																													
						upāya	m	0,01212																																																																																													
						asta	m	0,01212																																																																																													
						rātra	mn	0,01212																																																																																													
						yātudhāna	m	0,01212																																																																																													
						daiva	n	0,01212																																																																																													
						danta	mn	0,01212																																																																																													
						vaiḍūrya	n	0,01212																																																																																													
						śūdra	m	0,01212																																																																																													
						nairṛta	m	0,01212																																																																																													
						aṅga	adj	0,01180																																																																																													
						kutsa	m	0,01180																																																																																													
						ariṣṭa	adj	0,01180																																																																																													
						śloka	m	0,01180																																																																																													
						nakha	mn	0,01180																																																																																													
						uttara	n	0,01180																																																																																													
						udaya	m	0,01180																																																																																													
						varūtha	n	0,01180																																																																																													
						duroṇa	n	0,01180																																																																																													
						duṣkara	adj	0,01180																																																																																													
						java	m	0,01180																																																																																													
						vaiśravaṇa	m	0,01180																																																																																													
						śīta	adj	0,01180																																																																																													
						śūnya	adj	0,01180																																																																																													
						grāma	mn	0,01180																																																																																													
						keśa	m	0,01148																																																																																													
						kailāsa	m	0,01148																																																																																													
						anārya	adj	0,01148																																																																																													
						utsāha	m	0,01148																																																																																													
						sarga	m	0,01148																																																																																													
						sarpa	m	0,01148																																																																																													
						hatya	n	0,01148																																																																																													
						viṣāda	m	0,01148																																																																																													
						prāsa	m	0,01148																																																																																													
						cara	adj	0,01148																																																																																													
						kevala	adj	0,01148																																																																																													
						śaviṣṭha	adj	0,01148																																																																																													
						karuṇa	adj	0,01116																																																																																													
						ajina	n	0,01116																																																																																													
						adābhya	adj	0,01116																																																																																													
						adhama	adj	0,01116																																																																																													
						anurūpa	adj	0,01116																																																																																													
						ambuda	m	0,01116																																																																																													
						avadhya	adj	0,01116																																																																																													
						yuta	adj	0,01116																																																																																													
						rava	m	0,01116																																																																																													
						daitya	m	0,01116																																																																																													
						dvivida	m	0,01116																																																																																													
						tanaya	m	0,01116																																																																																													
						suvarṇa	n	0,01116																																																																																													
						sambhrama	m	0,01116																																																																																													
						hiraṇya	adj	0,01116																																																																																													
						vṛka	m	0,01116																																																																																													
						niyama	m	0,01084																																																																																													
						nisvana	m	0,01084																																																																																													
						nāka	mn	0,01084																																																																																													
						maraṇa	n	0,01084																																																																																													
						marya	m	0,01084																																																																																													
						ānanda	m	0,01084																																																																																													
						ārdra	adj	0,01084																																																																																													
						yauvarājya	n	0,01084																																																																																													
						yavasa	mn	0,01084																																																																																													
						tṛṇa	n	0,01084																																																																																													
						dūṣaṇa	m	0,01084																																																																																													
						syandana	mn	0,01084																																																																																													
						śaṅkha	mn	0,01084																																																																																													
						vaivasvata	m	0,01084																																																																																													
						śāśvata	adj	0,01084																																																																																													
						bahula	adj	0,01084																																																																																													
						aprameya	adj	0,01052																																																																																													
						bheṣaja	n	0,01052																																																																																													
						maṁhiṣṭha	adj	0,01052																																																																																													
						matsara	adj	0,01052																																																																																													
						mandara	m	0,01052																																																																																													
						eva	m	0,01052																																																																																													
						nandana	m	0,01052																																																																																													
						ucita	adj	0,01052																																																																																													
						yodha	m	0,01052																																																																																													
						mainda	m	0,01052																																																																																													
						lāṅgūla	n	0,01052																																																																																													
						dhanya	adj	0,01052																																																																																													
						skandha	m	0,01052																																																																																													
						śobhana	adj	0,01052																																																																																													
						garuḍa	m	0,01052																																																																																													
						prahāra	m	0,01052																																																																																													
						praharṣa	m	0,01052																																																																																													
						śeva	adj	0,01052																																																																																													
						vṛdha	adj	0,01052																																																																																													
						kṛtārtha	adj	0,01021																																																																																													
						adṛṣṭa	adj	0,01021																																																																																													
						sakāśa	m	0,01021																																																																																													
						aneka	adj	0,01021																																																																																													
						kalyāṇa	adj	0,01021																																																																																													
						hrada	mn	0,01021																																																																																													
						avyagra	adj	0,01021																																																																																													
						yauvana	n	0,01021																																																																																													
						yava	mn	0,01021																																																																																													
						yahva	adj	0,01021																																																																																													
						mahāpārśva	m	0,01021																																																																																													
						lavaṇa	m	0,01021																																																																																													
						durlabha	adj	0,01021																																																																																													
