"Недатированные тексты"	a	1920=56.86%	"Недатированные тексты"	ā	348=10.31%	"Недатированные тексты"	i	171=5.06%	"Недатированные тексты"	ī	218=6.46%	"Недатированные тексты"	u	93=2.75%	"Недатированные тексты"	ū	18=0.53%	"Недатированные тексты"	o	1=0.03%	"Недатированные тексты"	e	2=0.06%	"Недатированные тексты"	ṛ	37=1.10%	"Недатированные тексты"	kh	1=0.03%	"Недатированные тексты"	k	1=0.03%	"Недатированные тексты"	g	1=0.03%	"Недатированные тексты"	ṭh	1=0.03%	"Недатированные тексты"	ṭ	3=0.09%	"Недатированные тексты"	ch	3=0.09%	"Недатированные тексты"	j	24=0.71%	"Недатированные тексты"	c	14=0.41%	"Недатированные тексты"	th	1=0.03%	"Недатированные тексты"	dh	16=0.47%	"Недатированные тексты"	t	33=0.98%	"Недатированные тексты"	d	33=0.98%	"Недатированные тексты"	n	125=3.70%	"Недатированные тексты"	bh	3=0.09%	"Недатированные тексты"	p	22=0.65%	"Недатированные тексты"	b	1=0.03%	"Недатированные тексты"	m	16=0.47%	"Недатированные тексты"	y	157=4.65%	"Недатированные тексты"	r	7=0.21%	"Недатированные тексты"	l	5=0.15%	"Недатированные тексты"	v	3=0.09%	"Недатированные тексты"	ṣ	18=0.53%	"Недатированные тексты"	ś	21=0.62%	"Недатированные тексты"	s	47=1.39%	"Недатированные тексты"	h	12=0.36%
durbala	adj	0,00413																																																																																																			
dūṣaṇa	n	0,00413																																																																																																			
jāta	n	0,00413																																																																																																			
jīvanmukta	adj	0,00413																																																																																																			
druma	m	0,00413																																																																																																			
dvitra	adj	0,00413																																																																																																			
piṇḍa	n	0,00413																																																																																																			
pittala	mn	0,00413																																																																																																			
ḍamaruka	m	0,00413																																																																																																			
tāmraka	n	0,00413																																																																																																			
tāra	mn	0,00413																																																																																																			
sulabha	adj	0,00413																																																																																																			
sūryakānta	mn	0,00413																																																																																																			
tvaca	n	0,00413																																																																																																			
saugandhika	n	0,00413																																																																																																			
sthāpana	n	0,00413																																																																																																			
sarjarasa	mn	0,00413																																																																																																			
siktha	mn	0,00413																																																																																																			
sikthaka	mn	0,00413																																																																																																			
sugandha	adj	0,00413																																																																																																			
hāraka	adj	0,00413																																																																																																			
haima	n	0,00413																																																																																																			
hemamākṣika	mn	0,00413																																																																																																			
sāyaka	m	0,00413																																																																																																			
śakra	m	0,00413																																																																																																			
śaraṇa	n	0,00413																																																																																																			
śarīraka	n	0,00413																																																																																																			
vaiṣamya	n	0,00413																																																																																																			
vyāla	m	0,00413																																																																																																			
svāsthya	n	0,00413																																																																																																			
viparyaya	m	0,00413																																																																																																			
vipula	adj	0,00413																																																																																																			
vibhīta	mn	0,00413																																																																																																			
gṛdhra	m	0,00413																																																																																																			
gocara	adj	0,00413																																																																																																			
gopana	n	0,00413																																																																																																			
śīta	m	0,00413																																																																																																			
śīrṣa	n	0,00413																																																																																																			
śubhra	n	0,00413																																																																																																			
śūnya	n	0,00413																																																																																																			
śṛṅgāra	m	0,00413																																																																																																			
śekhara	m	0,00413																																																																																																			
garbhāśaya	m	0,00413																																																																																																			
gardabha	m	0,00413																																																																																																			
śava	mn	0,00413																																																																																																			
śāka	m	0,00413																																																																																																			
śira	m	0,00413																																																																																																			
śirīṣa	mn	0,00413																																																																																																			
śiśumāra	m	0,00413																																																																																																			
kleśa	m	0,00413																																																																																																			
krūra	m	0,00413																																																																																																			
klība	adj	0,00413																																																																																																			
kṣaiṇya	n	0,00413																																																																																																			
kṣavaka	m	0,00413																																																																																																			
kṣullaka	m	0,00413																																																																																																			
muṣkaka	m	0,00413																																																																																																			
musala	mn	0,00413																																																																																																			
prativāpa	m	0,00413																																																																																																			
vilocana	n	0,00413																																																																																																			
viṣkira	m	0,00413																																																																																																			
vṛttapuṣpa	m	0,00413																																																																																																			
vṛṣaṇa	mn	0,00413																																																																																																			
vṛṣabha	m	0,00413																																																																																																			
piśāca	m	0,00413																																																																																																			
pīna	adj	0,00413																																																																																																			
pūga	n	0,00413																																																																																																			
pṛthaktva	n	0,00413																																																																																																			
darbha	m	0,00413																																																																																																			
dardura	m	0,00413																																																																																																			
daśamūla	fn	0,00413																																																																																																			
daśaka	n	0,00413																																																																																																			
dāra	mn	0,00413																																																																																																			
dāruṇa	adj	0,00413																																																																																																			
dāsa	m	0,00413																																																																																																			
bālya	n	0,00413																																																																																																			
bileśaya	m	0,00413																																																																																																			
brahmacarya	n	0,00413																																																																																																			
pauṣkara	n	0,00413																																																																																																			
pracura	adj	0,00413																																																																																																			
pratāpa	m	0,00413																																																																																																			
phalatraya	n	0,00413																																																																																																			
phalaka	n	0,00413																																																																																																			
baka	m	0,00413																																																																																																			
badara	n	0,00413																																																																																																			
praśaṁsana	n	0,00413																																																																																																			
pralāpa	m	0,00413																																																																																																			
praveśa	m	0,00413																																																																																																			
prādhānya	n	0,00413																																																																																																			
grāhaka	adj	0,00413																																																																																																			
gharṣa	m	0,00413																																																																																																			
cakramarda	m	0,00413																																																																																																			
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
