"Древнейшее ядро"	au	1=0.05%	"Древнейшее ядро"	ai	1=0.05%	"Древнейшее ядро"	a	686=35.73%	"Древнейшее ядро"	ā	126=6.56%	"Древнейшее ядро"	i	166=8.65%	"Древнейшее ядро"	ī	51=2.66%	"Древнейшее ядро"	u	97=5.05%	"Древнейшее ядро"	ū	18=0.94%	"Древнейшее ядро"	o	2=0.10%	"Древнейшее ядро"	e	8=0.42%	"Древнейшее ядро"	ṛ	56=2.92%	"Древнейшее ядро"	k	1=0.05%	"Древнейшее ядро"	ḍ	3=0.16%	"Древнейшее ядро"	ṇ	2=0.10%	"Древнейшее ядро"	ch	2=0.10%	"Древнейшее ядро"	j	35=1.82%	"Древнейшее ядро"	c	34=1.77%	"Древнейшее ядро"	th	4=0.21%	"Древнейшее ядро"	dh	30=1.56%	"Древнейшее ядро"	t	72=3.75%	"Древнейшее ядро"	d	50=2.60%	"Древнейшее ядро"	n	110=5.73%	"Древнейшее ядро"	bh	13=0.68%	"Древнейшее ядро"	p	16=0.83%	"Древнейшее ядро"	m	19=0.99%	"Древнейшее ядро"	y	58=3.02%	"Древнейшее ядро"	r	13=0.68%	"Древнейшее ядро"	v	12=0.63%	"Древнейшее ядро"	ṣ	38=1.98%	"Древнейшее ядро"	ś	27=1.41%	"Древнейшее ядро"	s	142=7.40%	"Древнейшее ядро"	h	27=1.41%
						devayajana	n	0,00862																																																																																							
						palāśa	m	0,00862																																																																																							
						pāna	n	0,00862																																																																																							
						pākayajña	m	0,00862																																																																																							
						sūnṛta	adj	0,00862																																																																																							
						havana	n	0,00862																																																																																							
						vitta	n	0,00862																																																																																							
						śūṣa	m	0,00862																																																																																							
						krama	m	0,00862																																																																																							
						vṛjina	adj	0,00862																																																																																							
						bailva	adj	0,00862																																																																																							
						prauga	mn	0,00862																																																																																							
						prāyaṇīya	adj	0,00862																																																																																							
						vāyavya	adj	0,00862																																																																																							
						aṁśa	m	0,00817																																																																																							
						keta	m	0,00817																																																																																							
						ajira	adj	0,00817																																																																																							
						adhama	adj	0,00817																																																																																							
						anucara	m	0,00817																																																																																							
						antama	adj	0,00817																																																																																							
						abhaya	adj	0,00817																																																																																							
						śrotriya	m	0,00817																																																																																							
						upanayana	n	0,00817																																																																																							
						arya	adj	0,00817																																																																																							
						arvācīna	adj	0,00817																																																																																							
						udāna	m	0,00817																																																																																							
						āma	adj	0,00817																																																																																							
						avṛka	adj	0,00817																																																																																							
						asmāka	adj	0,00817																																																																																							
						vandhura	n	0,00817																																																																																							
						rukma	m	0,00817																																																																																							
						dharuṇa	adj	0,00817																																																																																							
						palāśa	n	0,00817																																																																																							
						pālāśa	adj	0,00817																																																																																							
						taṇḍula	mfn	0,00817																																																																																							
						taviṣa	adj	0,00817																																																																																							
						tārkṣya	mn	0,00817																																																																																							
						stoka	mn	0,00817																																																																																							
						hima	n	0,00817																																																																																							
						śastra	n	0,00817																																																																																							
						gomaya	mn	0,00817																																																																																							
						śīrṣa	n	0,00817																																																																																							
						śuṣka	adj	0,00817																																																																																							
						śākalya	m	0,00817																																																																																							
						divodāsa	m	0,00817																																																																																							
						budhnya	adj	0,00817																																																																																							
						prātaranuvāka	m	0,00817																																																																																							
						prota	adj	0,00817																																																																																							
						praśna	m	0,00817																																																																																							
						asurya	n	0,00817																																																																																							
						ajurya	adj	0,00817																																																																																							
						sātama	adj	0,00817																																																																																							
						atirātra	m	0,00772																																																																																							
						atka	m	0,00772																																																																																							
						kalpa	mn	0,00772																																																																																							
						parokṣa	adj	0,00772																																																																																							
						bheṣaja	adj	0,00772																																																																																							
						samana	n	0,00772																																																																																							
						samitha	mn	0,00772																																																																																							
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
