"от 200 до 700"	au	1=0.03%	"от 200 до 700"	a	1893=55.56%	"от 200 до 700"	ā	232=6.81%	"от 200 до 700"	i	211=6.19%	"от 200 до 700"	ī	79=2.32%	"от 200 до 700"	u	97=2.85%	"от 200 до 700"	ū	20=0.59%	"от 200 до 700"	o	1=0.03%	"от 200 до 700"	e	8=0.23%	"от 200 до 700"	ṛ	77=2.26%	"от 200 до 700"	kh	1=0.03%	"от 200 до 700"	gh	1=0.03%	"от 200 до 700"	k	3=0.09%	"от 200 до 700"	ṭh	1=0.03%	"от 200 до 700"	ṭ	1=0.03%	"от 200 до 700"	ḍ	1=0.03%	"от 200 до 700"	ch	4=0.12%	"от 200 до 700"	j	49=1.44%	"от 200 до 700"	c	25=0.73%	"от 200 до 700"	th	3=0.09%	"от 200 до 700"	dh	27=0.79%	"от 200 до 700"	t	57=1.67%	"от 200 до 700"	d	44=1.29%	"от 200 до 700"	n	147=4.31%	"от 200 до 700"	bh	8=0.23%	"от 200 до 700"	p	30=0.88%	"от 200 до 700"	m	47=1.38%	"от 200 до 700"	y	143=4.20%	"от 200 до 700"	r	10=0.29%	"от 200 до 700"	l	4=0.12%	"от 200 до 700"	v	5=0.15%	"от 200 до 700"	ṣ	42=1.23%	"от 200 до 700"	ś	33=0.97%	"от 200 до 700"	s	73=2.14%	"от 200 до 700"	h	27=0.79%
			kakṣa	mf	0,00481																																																																																																			
			kadala	mf	0,00481																																																																																																			
			akāraṇa	adj	0,00481																																																																																																			
			akārya	n	0,00481																																																																																																			
			karāla	adj	0,00481																																																																																																			
			karuṇa	adj	0,00481																																																																																																			
			kokila	m	0,00481																																																																																																			
			akṣayya	adj	0,00481																																																																																																			
			ajamīḍha	m	0,00481																																																																																																			
			adṛśya	adj	0,00481																																																																																																			
			aniruddha	m	0,00481																																																																																																			
			anucara	m	0,00481																																																																																																			
			anupūrva	adj	0,00481																																																																																																			
			anuśaya	m	0,00481																																																																																																			
			kāntāra	mn	0,00481																																																																																																			
			nyāsa	m	0,00481																																																																																																			
			parimāṇa	n	0,00481																																																																																																			
			parihāra	m	0,00481																																																																																																			
			aprakāśa	adj	0,00481																																																																																																			
			aprameya	adj	0,00481																																																																																																			
			kitava	m	0,00481																																																																																																			
			kīrtana	n	0,00481																																																																																																			
			kujambha	m	0,00481																																																																																																			
			bhoga	m	0,00481																																																																																																			
			nirṇaya	m	0,00481																																																																																																			
			nairātmya	n	0,00481																																																																																																			
			abheda	m	0,00481																																																																																																			
			amūrta	adj	0,00481																																																																																																			
			nāga	mn	0,00481																																																																																																			
			nirapekṣa	adj	0,00481																																																																																																			
			nirguṇa	adj	0,00481																																																																																																			
			nirmālya	n	0,00481																																																																																																			
			manda	m	0,00481																																																																																																			
			ekādaśa	adj	0,00481																																																																																																			
			śrauta	adj	0,00481																																																																																																			
			alaka	mn	0,00481																																																																																																			
			avalepa	m	0,00481																																																																																																			
			uttāna	adj	0,00481																																																																																																			
			unmāda	m	0,00481																																																																																																			
			ācamana	n	0,00481																																																																																																			
			hrāsa	m	0,00481																																																																																																			
			āyuṣya	adj	0,00481																																																																																																			
			asaṅga	m	0,00481																																																																																																			
			asteya	mn	0,00481																																																																																																			
			asvatantra	adj	0,00481																																																																																																			
			āvasatha	m	0,00481																																																																																																			
			ilāvṛta	n	0,00481																																																																																																			
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
