"от -300 до 200"	au	1=0.04%	"от -300 до 200"	a	1180=50.99%	"от -300 до 200"	ā	157=6.78%	"от -300 до 200"	i	134=5.79%	"от -300 до 200"	ī	59=2.55%	"от -300 до 200"	u	71=3.07%	"от -300 до 200"	ū	16=0.69%	"от -300 до 200"	o	1=0.04%	"от -300 до 200"	e	6=0.26%	"от -300 до 200"	ṛ	58=2.51%	"от -300 до 200"	k	2=0.09%	"от -300 до 200"	ḍ	1=0.04%	"от -300 до 200"	ch	3=0.13%	"от -300 до 200"	j	33=1.43%	"от -300 до 200"	c	18=0.78%	"от -300 до 200"	th	3=0.13%	"от -300 до 200"	dh	21=0.91%	"от -300 до 200"	t	57=2.46%	"от -300 до 200"	d	42=1.82%	"от -300 до 200"	n	101=4.36%	"от -300 до 200"	bh	8=0.35%	"от -300 до 200"	p	28=1.21%	"от -300 до 200"	m	43=1.86%	"от -300 до 200"	y	100=4.32%	"от -300 до 200"	r	8=0.35%	"от -300 до 200"	l	3=0.13%	"от -300 до 200"	v	6=0.26%	"от -300 до 200"	ṣ	38=1.64%	"от -300 до 200"	ś	29=1.25%	"от -300 до 200"	s	66=2.85%	"от -300 до 200"	h	20=0.86%
			karaṇa	n	0,01199																																																																																							
			uṣṇa	adj	0,01199																																																																																							
			āḍhya	adj	0,01199																																																																																							
			pāra	mn	0,01199																																																																																							
			daṁṣṭra	mfn	0,01199																																																																																							
			śukla	adj	0,01199																																																																																							
			vihāra	m	0,01199																																																																																							
			saṁskāra	m	0,01189																																																																																							
			aparājita	adj	0,01189																																																																																							
			viratha	adj	0,01189																																																																																							
			vigraha	mn	0,01189																																																																																							
			durmada	adj	0,01189																																																																																							
			somaka	m	0,01189																																																																																							
			kṣaya	m	0,01189																																																																																							
			kāṣṭha	n	0,01180																																																																																							
			śrāddha	n	0,01180																																																																																							
			rucira	adj	0,01180																																																																																							
			gagana	n	0,01180																																																																																							
			kaṇṭha	m	0,01171																																																																																							
			anātha	adj	0,01171																																																																																							
			apramatta	adj	0,01171																																																																																							
			ārjava	n	0,01171																																																																																							
			pradhāna	n	0,01171																																																																																							
			pañcama	adj	0,01161																																																																																							
			saṁtāpa	m	0,01161																																																																																							
			asta	m	0,01161																																																																																							
			vatsala	adj	0,01161																																																																																							
			vāma	adj	0,01161																																																																																							
			dāśārha	m	0,01161																																																																																							
			bheda	m	0,01152																																																																																							
			saṁvāda	m	0,01152																																																																																							
			sahasrākṣa	m	0,01152																																																																																							
			bīja	mn	0,01143																																																																																							
			anitya	adj	0,01133																																																																																							
			upādhyāya	m	0,01133																																																																																							
			ucita	adj	0,01133																																																																																							
			tṛtīya	adj	0,01133																																																																																							
			śibira	n	0,01133																																																																																							
			viṣāda	m	0,01133																																																																																							
			ananta	adj	0,01124																																																																																							
			viśikha	m	0,01124																																																																																							
			bhujaga	m	0,01124																																																																																							
			avadhya	adj	0,01124																																																																																							
			utsāha	m	0,01124																																																																																							
			āyasa	adj	0,01124																																																																																							
			raghunandana	m	0,01124																																																																																							
			lomaśa	m	0,01124																																																																																							
			skanda	m	0,01124																																																																																							
			sāra	mn	0,01124																																																																																							
			dayita	adj	0,01124																																																																																							
			aṅka	mn	0,01115																																																																																							
			yādṛśa	adj	0,01115																																																																																							
			tṛṇa	n	0,01115																																																																																							
			piṇḍa	mn	0,01115																																																																																							
			sainya	m	0,01115																																																																																							
			kaśyapa	m	0,01106																																																																																							
			aparādha	m	0,01106																																																																																							
			abhaya	n	0,01106																																																																																							
			nigraha	m	0,01106																																																																																							
			hiraṇya	n	0,01106																																																																																							
			vaiḍūrya	n	0,01106																																																																																							
			pīta	adj	0,01106																																																																																							
			anantara	adj	0,01106																																																																																							
			kamala	mn	0,01096																																																																																							
			bhagadatta	m	0,01096																																																																																							
			duṣkṛta	n	0,01096																																																																																							
			dharmaputra	m	0,01096																																																																																							
			snigdha	adj	0,01096																																																																																							
			svāgata	n	0,01096																																																																																							
			gambhīra	adj	0,01096																																																																																							
			raṅga	m	0,01087																																																																																							
			pavana	m	0,01087																																																																																							
			pūrṇa	m	0,01087																																																																																							
			saṁghāta	mn	0,01078																																																																																							
			śrotra	n	0,01078																																																																																							
			vikarṇa	m	0,01078																																																																																							
			ādya	adj	0,01078																																																																																							
			dveṣa	m	0,01078																																																																																							
			syandana	mn	0,01078																																																																																							
			niraya	m	0,01068																																																																																							
			jāmadagnya	m	0,01068																																																																																							
			atula	adj	0,01059																																																																																							
			bhūyiṣṭha	adj	0,01059																																																																																							
			samāna	adj	0,01059																																																																																							
			dhaumya	m	0,01059																																																																																							
			avyagra	adj	0,01059																																																																																							
			lāghava	n	0,01059																																																																																							
			jarāsaṁdha	m	0,01059																																																																																							
			aṁśa	m	0,01050																																																																																							
			atyanta	adj	0,01050																																																																																							
			kilbiṣa	mn	0,01050																																																																																							
			vāha	m	0,01050																																																																																							
			cyavana	m	0,01050																																																																																							
			dāsa	m	0,01050																																																																																							
			akṣara	n	0,01041																																																																																							
			saṁcaya	m	0,01041																																																																																							
			bhakta	n	0,01041																																																																																							
			lohita	adj	0,01041																																																																																							
			tāmra	adj	0,01041																																																																																							
			kautūhala	n	0,01041																																																																																							
			plavaṁgama	m	0,01041																																																																																							
			anāgata	adj	0,01031																																																																																							
			paryāya	m	0,01031																																																																																							
			nīla	m	0,01031																																																																																							
			nidarśana	n	0,01031																																																																																							
			madhyama	adj	0,01031																																																																																							
			dhūma	mn	0,01031																																																																																							
			ākhyāna	n	0,01031																																																																																							
			rakṣaṇa	n	0,01031																																																																																							
			yathākāma	adj	0,01031																																																																																							
			janeśvara	m	0,01031																																																																																							
			sarga	m	0,01031																																																																																							
			śaṅkha	m	0,01031																																																																																							
			vaikartana	m	0,01031																																																																																							
			piśāca	m	0,01031																																																																																							
			adhyātma	n	0,01022																																																																																							
			andhaka	m	0,01022																																																																																							
			abhyadhika	adj	0,01022																																																																																							
			nava	adj	0,01022																																																																																							
			pāṇḍura	adj	0,01022																																																																																							
			vaivasvata	m	0,01022																																																																																							
			praśna	m	0,01022																																																																																							
			grahaṇa	n	0,01022																																																																																							
			māmaka	adj	0,01022																																																																																							
			cīra	n	0,01013																																																																																							
			jvalana	m	0,01013																																																																																							
			akṣa	m	0,01003																																																																																							
			bhoja	m	0,01003																																																																																							
			ślakṣṇa	adj	0,01003																																																																																							
			aśoka	m	0,01003																																																																																							
			yukta	adj	0,01003																																																																																							
			durjaya	adj	0,01003																																																																																							
			hṛṣīkeśa	m	0,01003																																																																																							
			amarṣaṇa	adj	0,01003																																																																																							
			kaṅka	m	0,00994																																																																																							
			saṁgraha	m	0,00994																																																																																							
			cāraṇa	m	0,00994																																																																																							
			lokapāla	m	0,00994																																																																																							
			rājasūya	m	0,00994																																																																																							
			vāditra	mn	0,00994																																																																																							
			viṣama	adj	0,00994																																																																																							
			trigarta	m	0,00994																																																																																							
			vighna	mn	0,00985																																																																																							
			dīpa	m	0,00985																																																																																							
			jīva	mn	0,00985																																																																																							
			taruṇa	adj	0,00985																																																																																							
			stambha	m	0,00985																																																																																							
			sva	n	0,00985																																																																																							
			śyāma	adj	0,00985																																																																																							
			nānāvidha	adj	0,00976																																																																																							
			ramaṇīya	adj	0,00976																																																																																							
			pānīya	n	0,00976																																																																																							
			krama	m	0,00976																																																																																							
			ghana	mn	0,00976																																																																																							
			carita	n	0,00976																																																																																							
			satkāra	m	0,00966																																																																																							
			anyatama	adj	0,00966																																																																																							
			vāda	m	0,00966																																																																																							
			budha	adj	0,00966																																																																																							
			bandhana	n	0,00966																																																																																							
			karuṇa	adj	0,00957																																																																																							
			kṛtāstra	adj	0,00957																																																																																							
			saṁkṣaya	m	0,00957																																																																																							
			ambuda	m	0,00957																																																																																							
			naya	m	0,00957																																																																																							
			tridiva	n	0,00957																																																																																							
			sāntva	n	0,00957																																																																																							
			sphīta	adj	0,00957																																																																																							
			acintya	adj	0,00948																																																																																							
			kumbha	m	0,00948																																																																																							
			vibudha	m	0,00948																																																																																							
			preta	m	0,00948																																																																																							
			kuśa	mn	0,00938																																																																																							
			aṅgada	n	0,00938																																																																																							
			amogha	adj	0,00938																																																																																							
			ninada	m	0,00938																																																																																							
			udyāna	n	0,00938																																																																																							
			maṅgala	n	0,00929																																																																																							
			samasta	adj	0,00929																																																																																							
			manorama	adj	0,00929																																																																																							
			uddeśa	m	0,00929																																																																																							
			variṣṭha	adj	0,00929																																																																																							
			kaliṅga	mn	0,00920																																																																																							
			uttara	n	0,00920																																																																																							
			dvaya	n	0,00920																																																																																							
			musala	mn	0,00920																																																																																							
			kubera	m	0,00910																																																																																							
			udara	n	0,00910																																																																																							
			avyakta	adj	0,00910																																																																																							
			daṇḍaka	mfn	0,00910																																																																																							
			svastha	adj	0,00910																																																																																							
			prahāra	m	0,00910																																																																																							
			ajira	n	0,00901																																																																																							
			atyaya	m	0,00901																																																																																							
			sādana	n	0,00901																																																																																							
			parāṅmukha	adj	0,00901																																																																																							
			nivāsa	m	0,00901																																																																																							
			śravaṇa	n	0,00901																																																																																							
			nakha	mn	0,00901																																																																																							
			jalada	m	0,00901																																																																																							
			tāla	m	0,00901																																																																																							
			savya	adj	0,00901																																																																																							
			gṛhastha	m	0,00901																																																																																							
			darśanīya	adj	0,00901																																																																																							
			plavaga	m	0,00901																																																																																							
			akliṣṭa	adj	0,00892																																																																																							
			kāmboja	m	0,00892																																																																																							
			bhairava	adj	0,00892																																																																																							
			makara	m	0,00892																																																																																							
			āyatana	n	0,00892																																																																																							
			puruṣottama	m	0,00892																																																																																							
			adhyayana	n	0,00883																																																																																							
			parṇa	mn	0,00883																																																																																							
			kurukṣetra	n	0,00883																																																																																							
			vikāra	mn	0,00883																																																																																							
			suvrata	adj	0,00883																																																																																							
			somadatta	m	0,00883																																																																																							
			sukṛta	n	0,00883																																																																																							
			hārdikya	m	0,00883																																																																																							
			vipāka	m	0,00883																																																																																							
			gaurava	n	0,00883																																																																																							
			śubhra	adj	0,00883																																																																																							
			uttaṅka	m	0,00883																																																																																							
			śaṁkara	m	0,00873																																																																																							
			bila	n	0,00873																																																																																							
			atandrita	adj	0,00864																																																																																							
			aniṣṭa	adj	0,00864																																																																																							
			parjanya	m	0,00864																																																																																							
			ūrdhva	adj	0,00864																																																																																							
			upavāsa	m	0,00864																																																																																							
			bhāṇḍa	n	0,00864																																																																																							
			dvaṁdva	mn	0,00864																																																																																							
			śukra	m	0,00864																																																																																							
			kṣura	m	0,00864																																																																																							
			vihvala	adj	0,00864																																																																																							
			kṛtārtha	adj	0,00855																																																																																							
			anārya	adj	0,00855																																																																																							
			kīcaka	m	0,00855																																																																																							
			trāṇa	n	0,00855																																																																																							
			viniścaya	m	0,00855																																																																																							
			gālava	m	0,00855																																																																																							
			vāhlīka	m	0,00855																																																																																							
			kṣetrajña	m	0,00855																																																																																							
			kailāsa	m	0,00845																																																																																							
			akṛta	adj	0,00845																																																																																							
			acyuta	adj	0,00845																																																																																							
			saṁśaptaka	m	0,00845																																																																																							
			karśana	adj	0,00845																																																																																							
			paraśvadha	m	0,00845																																																																																							
			niyoga	m	0,00845																																																																																							
			bhakṣa	m	0,00845																																																																																							
			cala	adj	0,00845																																																																																							
			rathopastha	m	0,00845																																																																																							
			yathāgata	adj	0,00845																																																																																							
			prada	adj	0,00845																																																																																							
			bhaikṣa	n	0,00836																																																																																							
			ārāma	m	0,00836																																																																																							
			varāha	m	0,00836																																																																																							
			jānapada	m	0,00836																																																																																							
			jāmbūnada	n	0,00836																																																																																							
			śalya	mn	0,00836																																																																																							
			prākṛta	adj	0,00836																																																																																							
			akhila	adj	0,00827																																																																																							
			udvaha	m	0,00827																																																																																							
			ārdra	adj	0,00827																																																																																							
			deveśa	m	0,00827																																																																																							
			tvarita	adj	0,00827																																																																																							
			śākya	m	0,00827																																																																																							
			vṛṣabha	m	0,00827																																																																																							
			bandha	m	0,00827																																																																																							
			pratima	adj	0,00827																																																																																							
			dhāraṇa	n	0,00818																																																																																							
			cīvara	n	0,00818																																																																																							
			ānṛśaṁsya	n	0,00818																																																																																							
			asaṁkhyeya	adj	0,00818																																																																																							
			ahaṁkāra	m	0,00818																																																																																							
			ahita	adj	0,00818																																																																																							
			mogha	adj	0,00818																																																																																							
			pāraga	adj	0,00818																																																																																							
			tvadīya	adj	0,00818																																																																																							
			sambhrama	m	0,00818																																																																																							
			sādhya	m	0,00818																																																																																							
			svāgata	m	0,00818																																																																																							
			prākāra	m	0,00818																																																																																							
			ajñāta	adj	0,00808																																																																																							
			devadeva	m	0,00808																																																																																							
			dvirada	m	0,00808																																																																																							
			prātihārya	n	0,00808																																																																																							
			grāha	m	0,00808																																																																																							
			aha	mn	0,00808																																																																																							
			kūpa	mn	0,00799																																																																																							
			cāra	m	0,00799																																																																																							
			caitya	mn	0,00799																																																																																							
			lalāṭa	mn	0,00799																																																																																							
			suṣeṇa	m	0,00799																																																																																							
			sūdana	adj	0,00799																																																																																							
			hara	adj	0,00799																																																																																							
			gāndhāra	m	0,00799																																																																																							
			kusuma	n	0,00790																																																																																							
			bhojya	n	0,00790																																																																																							
			manoratha	mn	0,00790																																																																																							
			bhakṣya	n	0,00790																																																																																							
			utpala	mn	0,00790																																																																																							
			pavitra	n	0,00790																																																																																							
			sthavira	adj	0,00790																																																																																							
			supriya	m	0,00790																																																																																							
			vyavasāya	m	0,00790																																																																																							
			śuddhodana	m	0,00790																																																																																							
			māhātmya	n	0,00790																																																																																							
			vivāha	m	0,00790																																																																																							
			kaṇṭaka	mn	0,00780																																																																																							
			kṛtakṛtya	adj	0,00780																																																																																							
			saptama	adj	0,00780																																																																																							
			nāṭya	n	0,00780																																																																																							
			dhanya	adj	0,00780																																																																																							
			pāta	m	0,00780																																																																																							
			gandhamādana	m	0,00780																																																																																							
			akārya	n	0,00771																																																																																							
			kūṭa	mn	0,00771																																																																																							
			anāthapiṇḍada	m	0,00771																																																																																							
			abhiprāya	m	0,00771																																																																																							
			bhūmipa	m	0,00771																																																																																							
			samagra	adj	0,00771																																																																																							
			śvaśura	m	0,00771																																																																																							
			ṣaṣṭha	adj	0,00771																																																																																							
			yathāvṛtta	n	0,00771																																																																																							
			tūrya	mn	0,00771																																																																																							
			toraṇa	mn	0,00771																																																																																							
			jātarūpa	n	0,00771																																																																																							
			dvaipāyana	m	0,00771																																																																																							
			dhanurveda	m	0,00771																																																																																							
			pākaśāsana	m	0,00771																																																																																							
			sauhṛda	n	0,00771																																																																																							
			sāṁkhya	n	0,00771																																																																																							
			pūrvaka	adj	0,00771																																																																																							
			prahasta	m	0,00771																																																																																							
			adīna	adj	0,00762																																																																																							
			adṛśya	adj	0,00762																																																																																							
			nanda	m	0,00762																																																																																							
			upakaraṇa	n	0,00762																																																																																							
			utkaṭa	adj	0,00762																																																																																							
			takṣaka	m	0,00762																																																																																							
			śīrṣa	n	0,00762																																																																																							
			prayoga	m	0,00762																																																																																							
			kṛṣṇadvaipāyana	m	0,00753																																																																																							
			sakhya	n	0,00753																																																																																							
			dhānya	n	0,00753																																																																																							
			dvijaśreṣṭha	m	0,00753																																																																																							
			sarvajña	adj	0,00753																																																																																							
			viparīta	adj	0,00753																																																																																							
			śāradvata	m	0,00753																																																																																							
			saṁgama	m	0,00743																																																																																							
			manohara	adj	0,00743																																																																																							
			mandara	m	0,00743																																																																																							
			arghya	n	0,00743																																																																																							
			utpāda	m	0,00743																																																																																							
			roga	mn	0,00743																																																																																							
			vimukha	adj	0,00743																																																																																							
			purāṇa	n	0,00743																																																																																							
			bālya	n	0,00743																																																																																							
			sagara	m	0,00734																																																																																							
			āmiṣa	n	0,00734																																																																																							
			yādava	m	0,00734																																																																																							
			yathātatha	adj	0,00734																																																																																							
			vasana	n	0,00734																																																																																							
			durādharṣa	adj	0,00734																																																																																							
			sauvarṇa	adj	0,00734																																																																																							
			sambādha	m	0,00734																																																																																							
			saṅga	m	0,00725																																																																																							
			nistriṁśa	m	0,00725																																																																																							
			bhājana	n	0,00725																																																																																							
			yūtha	mn	0,00725																																																																																							
			mahādhana	adj	0,00725																																																																																							
			śiva	m	0,00725																																																																																							
			pramāda	m	0,00725																																																																																							
			pīna	adj	0,00725																																																																																							
			bāhya	adj	0,00725																																																																																							
			śarāsana	mn	0,00725																																																																																							
			kadana	n	0,00715																																																																																							
			paṅka	mn	0,00715																																																																																							
			nimeṣa	m	0,00715																																																																																							
			śloka	m	0,00715																																																																																							
			vārṣika	adj	0,00715																																																																																							
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
