"от 1700 до 1956"	a	1375=55.92%	"от 1700 до 1956"	ā	212=8.62%	"от 1700 до 1956"	i	127=5.16%	"от 1700 до 1956"	ī	126=5.12%	"от 1700 до 1956"	u	65=2.64%	"от 1700 до 1956"	ū	14=0.57%	"от 1700 до 1956"	o	1=0.04%	"от 1700 до 1956"	e	1=0.04%	"от 1700 до 1956"	ṛ	37=1.50%	"от 1700 до 1956"	kh	1=0.04%	"от 1700 до 1956"	gh	1=0.04%	"от 1700 до 1956"	k	1=0.04%	"от 1700 до 1956"	g	1=0.04%	"от 1700 до 1956"	ṭh	1=0.04%	"от 1700 до 1956"	ṭ	2=0.08%	"от 1700 до 1956"	ḍ	1=0.04%	"от 1700 до 1956"	ṇ	1=0.04%	"от 1700 до 1956"	ch	1=0.04%	"от 1700 до 1956"	j	24=0.98%	"от 1700 до 1956"	c	15=0.61%	"от 1700 до 1956"	dh	13=0.53%	"от 1700 до 1956"	t	31=1.26%	"от 1700 до 1956"	d	27=1.10%	"от 1700 до 1956"	n	77=3.13%	"от 1700 до 1956"	bh	3=0.12%	"от 1700 до 1956"	p	23=0.94%	"от 1700 до 1956"	m	17=0.69%	"от 1700 до 1956"	y	153=6.22%	"от 1700 до 1956"	r	6=0.24%	"от 1700 до 1956"	l	5=0.20%	"от 1700 до 1956"	v	4=0.16%	"от 1700 до 1956"	ṣ	21=0.85%	"от 1700 до 1956"	ś	17=0.69%	"от 1700 до 1956"	s	41=1.67%	"от 1700 до 1956"	h	13=0.53%
kanda	mn	0,09053	kanyakā	f	0,01300	ukti	f	0,00852	khecarī	f	0,00807																																																																						lehay	v	0,01120																					
bhāṇḍa	n	0,09053	saṁdhyā	f	0,01300	raśmi	mf	0,00852	darvī	f	0,00807																																																																						āveṣṭay	v	0,01076																					
vāta	m	0,08918	elā	mf	0,01300	kṣiti	f	0,00852	prī	v	0,00807																																																																						vimiśray	v	0,01076																					
pīta	adj	0,08918	yamunā	f	0,01300	krimi	m	0,00852	tuvarī	f	0,00807																																																																						pāyay	v	0,01031																					
sahasra	mn	0,08874	mūlikā	f	0,01300	karīṣāgni	m	0,00807	rājī	f	0,00762																																																																						rodhay	v	0,01031																					
uṣṇa	adj	0,08829	saṁmā	v	0,01300	aṅghri	m	0,00807	mahauṣadhī	f	0,00762																																																																						pīḍay	v	0,01031																					
yuta	adj	0,08739	aśvagandhā	f	0,01255	adri	m	0,00807	rohiṇī	f	0,00762																																																																						stambhay	v	0,01031																					
ādya	adj	0,08694	rādhikā	f	0,01255	abdhi	m	0,00807	tilaparṇī	f	0,00762																																																																						sampūjay	v	0,01031																					
niṣka	mn	0,08605	rujā	f	0,01255	bhūri	adj	0,00807	somavallī	f	0,00762																																																																						rakṣay	v	0,01031																					
kāla	m	0,08560	dīkṣā	f	0,01255	pavi	mf	0,00807	ghaṭī	f	0,00762																																																																						maṇḍay	v	0,01031																					
da	adj	0,08470	tārā	f	0,01255	vrīhi	m	0,00807	rasāṅkuśī	f	0,00762																																																																						nirūpay	v	0,00986																					
kvātha	m	0,08336	kālikā	f	0,01210	śukti	f	0,00762	yoginī	f	0,00717																																																																						vibhūṣay	v	0,00986																					
drāva	m	0,08291	amṛtā	f	0,01210	pratīti	f	0,00762	mahī	f	0,00717																																																																						prakāśay	v	0,00941																					
hara	adj	0,08246	iṣṭikā	f	0,01210	mati	f	0,00717	uttaravāruṇī	f	0,00717																																																																						vināśay	v	0,00941																					
kāñjika	n	0,08201	mustā	fn	0,01210	dhūli	mf	0,00717	kañcukī	f	0,00672																																																																						saṁpeṣay	v	0,00941																					
dala	mn	0,08157	balā	f	0,01210	bhukti	f	0,00717	kuṇḍalī	f	0,00672																																																																						parimarday	v	0,00941																					
prayatna	m	0,08157	kūpikā	f	0,01165	muṣṭi	mf	0,00717	vārāhī	f	0,00672																																																																						prapūjay	v	0,00896																					
dugdha	n	0,08067	bhāvanā	f	0,01165	prabhṛti	f	0,00717	maheśvarī	f	0,00672																																																																						uccāray	v	0,00852																					
aṅga	n	0,07933	jihvā	f	0,01165	aśīti	f	0,00672	bhī	v	0,00672																																																																						śamay	v	0,00852																					
khalva	mn	0,07933	rakṣā	f	0,01120	vasti	mf	0,00672	padminī	f	0,00627																																																																						kuṭṭay	v	0,00807																					
pakva	adj	0,07843	mudrā	f	0,01120	prāpti	f	0,00672	kuṭṭinī	f	0,00627																																																																						chāday	v	0,00807																					
ābha	adj	0,07708	jaṭā	f	0,01076	viji	v	0,00672	markaṭī	f	0,00627																																																																						vardhay	v	0,00807																					
tīkṣṇa	n	0,07708	kāntā	f	0,01031	samādhi	m	0,00627	mahādevī	f	0,00627																																																																						parikalpay	v	0,00807																					
garbha	m	0,07664	kāmalā	mfn	0,01031	bhīti	f	0,00627	sarasvatī	f	0,00627																																																																						saṁveṣṭay	v	0,00807																					
jambīra	m	0,07619	avasthā	f	0,01031	āvali	f	0,00627	śamī	f	0,00627																																																																						mudray	v	0,00807																					
lavaṇa	n	0,07574	ājñā	f	0,01031	jūrti	f	0,00627	medinī	f	0,00627																																																																						samarpay	v	0,00807																					
kṣāra	m	0,07574	gulikā	f	0,01031	sṛṣṭi	f	0,00627	atī	v	0,00627																																																																						piṇḍay	v	0,00807																					
śulba	n	0,07529	samākhyā	v	0,01031	murāri	m	0,00627																																																																									varṇay	v	0,00762																					
ūrdhva	adj	0,07440	majjā	f	0,00986																																																																												avatāray	v	0,00762																					
bandha	m	0,07440	ūrṇā	f	0,00986																																																																												udīray	v	0,00762																					
kalka	mn	0,07395	medhā	f	0,00986																																																																												bhūṣay	v	0,00762																					
maya	adj	0,07171	śaṅkā	f	0,00986																																																																												vicintay	v	0,00762																					
aṅgula	mn	0,07081	gojihvā	f	0,00986																																																																												viracay	v	0,00762																					
anvita	adj	0,07081	viṣṇukrāntā	f	0,00986																																																																												āpūray	v	0,00762																					
apaha	adj	0,07036	vihā	v	0,00986																																																																												pramarday	v	0,00762																					
ātapa	m	0,07036	muktā	f	0,00986																																																																												bhasmay	v	0,00762																					
adhika	adj	0,06991	karṇikā	f	0,00941																																																																												abhimantray	v	0,00717																					
vaktra	n	0,06902	nidrā	f	0,00941																																																																												gharṣay	v	0,00717																					
siddha	m	0,06902	dakṣiṇā	f	0,00941																																																																												vāsay	v	0,00717																					
sampuṭa	mn	0,06857	śyāmā	f	0,00941																																																																												saṁyojay	v	0,00717																					
śreṣṭha	adj	0,06812	mṛtsnā	f	0,00941																																																																												samśoṣay	v	0,00717																					
gola	mn	0,06767	viṣṭhā	f	0,00941																																																																												vañcay	v	0,00717																					
kṣaya	m	0,06767	prayā	v	0,00941																																																																												mantray	v	0,00672																					
loka	m	0,06633	samutthā	v	0,00941																																																																												ārādhay	v	0,00672																					
suvarṇa	n	0,06633	hidhmā	mf	0,00941																																																																												āropay	v	0,00672																					
kara	m	0,06543	rāmā	f	0,00896																																																																												āsāday	v	0,00672																					
ākāra	m	0,06543	śālā	f	0,00896																																																																												viniveśay	v	0,00672																					
rasendra	mn	0,06409	saṁkalikā	f	0,00896																																																																												samuccāray	v	0,00672																					
tāpya	mn	0,06409	iṣṭakā	fn	0,00852																																																																												nirvāpay	v	0,00672																					
hita	adj	0,06409	lajjā	f	0,00852																																																																												loḍay	v	0,00627																					
śīta	adj	0,06364	drākṣā	f	0,00852																																																																												khaṇḍay	v	0,00627																					
vara	adj	0,06274	jvālā	f	0,00852																																																																												avalokay	v	0,00627																					
jvara	m	0,06274	sutā	f	0,00852																																																																												uttāray	v	0,00627																					
madhura	adj	0,06229	sikatā	mf	0,00852																																																																												nivāray	v	0,00627																					
ratna	mn	0,06229	priyā	f	0,00852																																																																																																			
śūla	mn	0,06229	gā	v	0,00852																																																																																																			
auṣadha	n	0,06185	vinidhā	v	0,00852																																																																																																			
uttara	adj	0,06185	dhārā	f	0,00807																																																																																																			
ādika	adj	0,06185	līlā	f	0,00807																																																																																																			
viḍa	mn	0,06095	jalūkā	mf	0,00807																																																																																																			
amṛta	n	0,06050	śalākā	mf	0,00807																																																																																																			
lakṣaṇa	n	0,06050	khaṭikā	f	0,00807																																																																																																			
sūkṣma	adj	0,06050	thūthā	mf	0,00807																																																																																																			
tila	mn	0,06005	kṛṣṇā	f	0,00762																																																																																																			
sūtaka	mn	0,06005	koṣṭhikā	f	0,00762																																																																																																			
gajapuṭa	mn	0,05961	abhayā	f	0,00762																																																																																																			
palita	n	0,05916	japā	f	0,00762																																																																																																			
kapha	m	0,05871	pāṭhā	f	0,00762																																																																																																			
tālaka	mn	0,05871	surā	f	0,00762																																																																																																			
golaka	m	0,05871	ākhyā	v	0,00762																																																																																																			
mala	mn	0,05781	mañjiṣṭhā	mf	0,00717																																																																																																			
pāka	m	0,05781	nīlikā	f	0,00717																																																																																																			
saindhava	mn	0,05781	bhāvanā	fn	0,00717																																																																																																			
vedha	mn	0,05781	cintā	f	0,00717																																																																																																			
kuṣṭha	mn	0,05737	rasanā	f	0,00717																																																																																																			
bhūdhara	m	0,05692	vaśyā	fn	0,00717																																																																																																			
sneha	mn	0,05602	jarā	f	0,00717																																																																																																			
agra	n	0,05557	hikkā	f	0,00717																																																																																																			
anna	n	0,05557	śṛṅkhalā	f	0,00717																																																																																																			
liṅga	mn	0,05557	gartā	f	0,00717																																																																																																			
dvitīya	adj	0,05557	viśālā	f	0,00717																																																																																																			
tāla	mn	0,05557	velā	f	0,00717																																																																																																			
nāśana	adj	0,05512	veśyā	f	0,00717																																																																																																			
gharma	m	0,05512	vedikā	f	0,00717																																																																																																			
rūpya	n	0,05468	ādhā	v	0,00717																																																																																																			
dolāyantra	n	0,05468	niryā	v	0,00717																																																																																																			
vaikrānta	mn	0,05468	caryā	f	0,00717																																																																																																			
parama	adj	0,05423	gārā	mfn	0,00717																																																																																																			
tīvra	adj	0,05423	liptamūṣā	f	0,00717																																																																																																			
śabda	m	0,05423	kṛpā	f	0,00672																																																																																																			
bhava	m	0,05378	bhastrā	f	0,00672																																																																																																			
jana	m	0,05378	cūlikā	mfn	0,00672																																																																																																			
dviguṇa	adj	0,05378	chāgā	f	0,00672																																																																																																			
pada	mn	0,05333	rītikā	f	0,00672																																																																																																			
dharma	mn	0,05333	mātṛkā	f	0,00672																																																																																																			
śuṣka	adj	0,05333	tṛṣṇā	f	0,00672																																																																																																			
divasa	mn	0,05288	dūrvā	f	0,00672																																																																																																			
mardana	mn	0,05244	śākhā	f	0,00672																																																																																																			
candra	m	0,05244	anupā	v	0,00672																																																																																																			
uttha	adj	0,05199	mallikā	f	0,00627																																																																																																			
bhūta	mn	0,05154	nalikā	f	0,00627																																																																																																			
udara	n	0,05154	āśā	f	0,00627																																																																																																			
guḍa	mn	0,05154	varṣā	f	0,00627																																																																																																			
śuddha	adj	0,05154	jāraṇā	f	0,00627																																																																																																			
kṣaudra	n	0,05154	pālikā	f	0,00627																																																																																																			
prada	adj	0,05154	saurāṣṭrā	f	0,00627																																																																																																			
bheda	m	0,05109	śayyā	f	0,00627																																																																																																			
karaṇa	n	0,05064	krīḍā	f	0,00627																																																																																																			
saṁnibha	adj	0,05064	mudrikā	f	0,00627																																																																																																			
rasaka	mn	0,04930	pīḍā	f	0,00627																																																																																																			
ghana	mn	0,04930	daśā	f	0,00627																																																																																																			
manda	adj	0,04885	prajñā	f	0,00627																																																																																																			
indra	m	0,04885	trā	v	0,00627																																																																																																			
pāṣāṇa	m	0,04885																																																																																																						
piṇḍa	mn	0,04885																																																																																																						
bhūnāga	mn	0,04840																																																																																																						
lepa	m	0,04840																																																																																																						
sādhaka	m	0,04840																																																																																																						
citraka	mn	0,04840																																																																																																						
pramāṇa	mn	0,04795																																																																																																						
bhairava	m	0,04751																																																																																																						
amla	adj	0,04706																																																																																																						
tala	mn	0,04706																																																																																																						
krāmaṇa	mfn	0,04706																																																																																																						
taptakhalva	mn	0,04706																																																																																																						
udbhava	adj	0,04661																																																																																																						
