"от 1200 до 1700"	a	1946=56.03%	"от 1200 до 1700"	ā	267=7.69%	"от 1200 до 1700"	i	209=6.02%	"от 1200 до 1700"	ī	106=3.05%	"от 1200 до 1700"	u	96=2.76%	"от 1200 до 1700"	ū	17=0.49%	"от 1200 до 1700"	o	1=0.03%	"от 1200 до 1700"	e	6=0.17%	"от 1200 до 1700"	ṛ	65=1.87%	"от 1200 до 1700"	kh	1=0.03%	"от 1200 до 1700"	gh	1=0.03%	"от 1200 до 1700"	k	3=0.09%	"от 1200 до 1700"	g	1=0.03%	"от 1200 до 1700"	ṭh	1=0.03%	"от 1200 до 1700"	ṭ	4=0.12%	"от 1200 до 1700"	ḍ	1=0.03%	"от 1200 до 1700"	ṇ	1=0.03%	"от 1200 до 1700"	ch	3=0.09%	"от 1200 до 1700"	j	43=1.24%	"от 1200 до 1700"	c	25=0.72%	"от 1200 до 1700"	th	3=0.09%	"от 1200 до 1700"	dh	24=0.69%	"от 1200 до 1700"	t	54=1.55%	"от 1200 до 1700"	d	51=1.47%	"от 1200 до 1700"	n	140=4.03%	"от 1200 до 1700"	bh	9=0.26%	"от 1200 до 1700"	p	29=0.84%	"от 1200 до 1700"	b	1=0.03%	"от 1200 до 1700"	m	39=1.12%	"от 1200 до 1700"	y	150=4.32%	"от 1200 до 1700"	r	9=0.26%	"от 1200 до 1700"	l	8=0.23%	"от 1200 до 1700"	v	6=0.17%	"от 1200 до 1700"	ṣ	36=1.04%	"от 1200 до 1700"	ś	26=0.75%	"от 1200 до 1700"	s	68=1.96%	"от 1200 до 1700"	h	21=0.60%
Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank
nṛpa	m	0,12849	prabhā	f	0,03779	ākṛti	f	0,03576	gaurī	f	0,01308	śambhu	m	0,02267										udāhṛ	v	0,01192																												mahībhuj	m	0,00814										yāvat	adj	0,01046	prapad	v	0,00930	mūrdhan	m	0,02645										yam	v	0,00727	dhāray	v	0,02064										saṁtuṣ	v	0,00581				vidvas	adj	0,01657			
mātra	n	0,12849	bhā	v	0,03663	yukti	f	0,03576	satī	f	0,01279	jantu	m	0,02238										vistṛ	v	0,01105																												virāj	v	0,00814										buddhimat	adj	0,00988	nud	adj	0,00901	navan	adj	0,02471										ācam	v	0,00727	varṇay	v	0,02006										dviṣ	adj	0,00552				sarpis	n	0,01628			
stha	adj	0,12500	śilā	f	0,03605	kṣi	v	0,03576	rajanī	f	0,01279	aṇu	m	0,02209										prasṛ	v	0,01076																												rañj	v	0,00785										himavant	m	0,00930	śarad	f	0,00901	svāmin	m	0,02442										vigam	v	0,00698	preray	v	0,01977										ghṛṣ	v	0,00552				gras	v	0,01628			
śabda	m	0,12471	saṁjñā	f	0,03546	dṛṣṭi	f	0,03430	sundarī	f	0,01279	ripu	m	0,02151										hantṛ	adj	0,01046																												nimajj	v	0,00785										bhūbhṛt	m	0,00901	chad	v	0,00901	ṣoḍaśan	adj	0,02238										saṁyam	v	0,00698	kīrtay	v	0,01919										bhakṣ	v	0,00552				srotas	n	0,01483			
gṛha	mn	0,12413	chāyā	f	0,03256	āśri	v	0,03285	vī	v	0,01279	ambu	n	0,02093										āhṛ	v	0,00988																												saṁtyaj	v	0,00756										mahant	m	0,00901	khād	v	0,00872	vartin	adj	0,02151										antargam	v	0,00523	prakīrtay	v	0,01919										niṣpiṣ	v	0,00523				medas	n	0,01483			
prāṇa	m	0,12180	gadā	f	0,03227	ravi	m	0,03256	rājñī	f	0,01250	manu	m	0,02064										uttṛ	v	0,00988																												garj	v	0,00669										rumaṇvant	m	0,00872	āsad	v	0,00814	balin	adj	0,02151										abhyupagam	v	0,00523	arthay	v	0,01890										muṣ	v	0,00494				śreyas	n	0,01366			
madhya	n	0,11860	snā	v	0,03227	i	v	0,03227	ujjayinī	f	0,01221	svādu	adj	0,02035										saṁhṛ	v	0,00988																												saṁsṛj	v	0,00640										sarit	f	0,00872	mud	v	0,00785	pathin	m	0,02093										ānam	v	0,00523	kalay	v	0,01890										pratibhāṣ	v	0,00494				ojas	n	0,01308			
kāraṇa	n	0,11802	tṛṣṇā	f	0,03198	śuddhi	f	0,03198	snuhī	f	0,01192	prabhu	adj	0,01744										svīkṛ	v	0,00988																												abhivyañj	v	0,00610										guṇavat	adj	0,00872	nirbhid	v	0,00785	pakṣin	m	0,02064										niram	v	0,00523	pīḍay	v	0,01831																vāsas	n	0,01308			
kārya	n	0,11657	prajā	f	0,03169	nṛpati	m	0,03110	gṛhiṇī	f	0,01134	cyu	v	0,01744										mātṛ	m	0,00959																												bhiṣaj	m	0,00523										bhṛt	adj	0,00843	pad	m	0,00727	saṁjan	v	0,01977										vinirgam	v	0,00494	vicintay	v	0,01831																jyotis	n	0,01221			
nija	adj	0,11570	vāsavadattā	f	0,03110	pāṇi	m	0,02994	pṛthvī	f	0,01105	ūru	mf	0,01715										svasṛ	f	0,00930																												bhuj	adj	0,00523										pañcāśat	f	0,00843	nad	v	0,00698	bhāvin	adj	0,01948										saṁkram	v	0,00494	āmantray	v	0,01657																bhūyas	adj	0,01163			
