"от 700 до 1200"	au	1=0.04%	"от 700 до 1200"	a	1690=68.76%	"от 700 до 1200"	ā	156=6.35%	"от 700 до 1200"	i	178=7.24%	"от 700 до 1200"	ī	68=2.77%	"от 700 до 1200"	u	84=3.42%	"от 700 до 1200"	ū	3=0.12%	"от 700 до 1200"	o	1=0.04%	"от 700 до 1200"	ṛ	20=0.81%	"от 700 до 1200"	j	10=0.41%	"от 700 до 1200"	c	8=0.33%	"от 700 до 1200"	dh	2=0.08%	"от 700 до 1200"	t	36=1.46%	"от 700 до 1200"	d	10=0.41%	"от 700 до 1200"	n	115=4.68%	"от 700 до 1200"	p	1=0.04%	"от 700 до 1200"	r	5=0.20%	"от 700 до 1200"	v	1=0.04%	"от 700 до 1200"	ṣ	6=0.24%	"от 700 до 1200"	ś	4=0.16%	"от 700 до 1200"	s	56=2.28%	"от 700 до 1200"	h	1=0.04%
			varṇana	n	0,00675																																																												
			lavaṇa	n	0,00675																																																												
			triloka	n	0,00675																																																												
			dūta	m	0,00675																																																												
			jāta	n	0,00675																																																												
			pānīya	n	0,00675																																																												
			pāyasa	mn	0,00675																																																												
			jvara	m	0,00675																																																												
			taruṇa	adj	0,00675																																																												
			sāttvika	adj	0,00675																																																												
			vyaya	m	0,00675																																																												
			gṛdhra	m	0,00675																																																												
			gomaya	mn	0,00675																																																												
			vedānta	m	0,00675																																																												
			daridra	adj	0,00675																																																												
			bilva	m	0,00675																																																												
			caturvidha	adj	0,00675																																																												
			auṣadha	n	0,00650																																																												
			saṁsarga	m	0,00650																																																												
			kārttika	m	0,00650																																																												
			paramārtha	m	0,00650																																																												
			aputra	adj	0,00650																																																												
			kīṭa	m	0,00650																																																												
			ādhipatya	n	0,00650																																																												
			āvarta	m	0,00650																																																												
			ibha	m	0,00650																																																												
			ugra	m	0,00650																																																												
			rājahaṁsa	m	0,00650																																																												
			mauna	n	0,00650																																																												
			yathākāma	adj	0,00650																																																												
			vāmana	m	0,00650																																																												
			lāvaṇya	n	0,00650																																																												
			tribhuvana	n	0,00650																																																												
			dhanamitra	m	0,00650																																																												
			tāmra	adj	0,00650																																																												
			saroja	n	0,00650																																																												
			sphaṭika	mn	0,00650																																																												
			vibhūṣaṇa	n	0,00650																																																												
			kautūhala	n	0,00650																																																												
			śava	mn	0,00650																																																												
			mūrdhaja	m	0,00650																																																												
			vilāsa	m	0,00650																																																												
			viśada	adj	0,00650																																																												
			viśvarūpa	m	0,00650																																																												
			brahmaṇya	adj	0,00650																																																												
			prayoga	m	0,00650																																																												
			pravartaka	adj	0,00650																																																												
			prākāra	m	0,00650																																																												
			śukra	n	0,00650																																																												
			vāyavya	adj	0,00650																																																												
			pādya	n	0,00650																																																												
			kuśala	n	0,00625																																																												
			akṣa	m	0,00625																																																												
			anāmaya	adj	0,00625																																																												
			kala	adj	0,00625																																																												
			pañcagavya	n	0,00625																																																												
			saṁnikarṣa	m	0,00625																																																												
			apriya	adj	0,00625																																																												
			abhidhāna	n	0,00625																																																												
			nīlakaṇṭha	m	0,00625																																																												
			amara	adj	0,00625																																																												
			niścala	adj	0,00625																																																												
			nipuṇa	adj	0,00625																																																												
			madhusūdana	m	0,00625																																																												
			śloka	m	0,00625																																																												
			nāstika	m	0,00625																																																												
			upavana	n	0,00625																																																												
			bhāvana	adj	0,00625																																																												
			chidra	n	0,00625																																																												
			alasa	adj	0,00625																																																												
			ātapa	m	0,00625																																																												
			āyāsa	m	0,00625																																																												
			vaśya	adj	0,00625																																																												
			mātaṁga	m	0,00625																																																												
			tīkṣṇa	adj	0,00625																																																												
			toraṇa	mn	0,00625																																																												
			jīvana	n	0,00625																																																												
			dhanada	m	0,00625																																																												
			tāraka	m	0,00625																																																												
			sparśana	n	0,00625																																																												
			sarvaga	adj	0,00625																																																												
			sukṛta	n	0,00625																																																												
			sāmānya	adj	0,00625																																																												
			smara	m	0,00625																																																												
			vyāla	m	0,00625																																																												
			śubha	n	0,00625																																																												
			śaiva	adj	0,00625																																																												
			mukunda	m	0,00625																																																												
			pratiṣedha	m	0,00625																																																												
			pīṭha	n	0,00625																																																												
			puṣkara	mn	0,00625																																																												
			dāha	m	0,00625																																																												
			bila	n	0,00625																																																												
			bodhisattva	m	0,00625																																																												
			prājāpatya	adj	0,00625																																																												
			prāṇatyāga	m	0,00625																																																												
			kanda	mn	0,00600																																																												
			kṛpaṇa	adj	0,00600																																																												
			ajita	adj	0,00600																																																												
			saṁghāta	mn	0,00600																																																												
			adhīna	adj	0,00600																																																												
			anukūla	adj	0,00600																																																												
			kavya	n	0,00600																																																												
			kāñcana	adj	0,00600																																																												
			pakva	adj	0,00600																																																												
			saṁtāpa	m	0,00600																																																												
			parimāṇa	n	0,00600																																																												
			apadeśa	m	0,00600																																																												
			kunda	m	0,00600																																																												
			bhaikṣa	n	0,00600																																																												
			nīlotpala	n	0,00600																																																												
			samopeta	adj	0,00600																																																												
			amedhya	n	0,00600																																																												
			niḥśreyasa	n	0,00600																																																												
			nitamba	m	0,00600																																																												
			ulūka	m	0,00600																																																												
			ūna	adj	0,00600																																																												
			ekādaśa	adj	0,00600																																																												
			upāsana	fn	0,00600																																																												
			chala	mn	0,00600																																																												
			uddeśa	m	0,00600																																																												
			vareṇya	adj	0,00600																																																												
			vāditra	mn	0,00600																																																												
			māgha	m	0,00600																																																												
			durbhaga	adj	0,00600																																																												
			jīmūta	mn	0,00600																																																												
			droha	m	0,00600																																																												
			piśaṅga	adj	0,00600																																																												
			sahasrākṣa	m	0,00600																																																												
			sādhāraṇa	adj	0,00600																																																												
			syandana	mn	0,00600																																																												
			vainya	m	0,00600																																																												
			vyāja	m	0,00600																																																												
			gaura	adj	0,00600																																																												
			śāṁkara	adj	0,00600																																																												
			krośa	m	0,00600																																																												
			mūrkha	adj	0,00600																																																												
			viveka	m	0,00600																																																												
			viśveśa	m	0,00600																																																												
			viśveśvara	m	0,00600																																																												
			viśvāsa	m	0,00600																																																												
			pṛthaktva	n	0,00600																																																												
			divya	n	0,00600																																																												
			baka	m	0,00600																																																												
			tāḍana	n	0,00600																																																												
			ākhya	adj	0,00600																																																												
			kedāra	n	0,00575																																																												
			komala	adj	0,00575																																																												
			acira	adj	0,00575																																																												
			acetana	adj	0,00575																																																												
			ajara	adj	0,00575																																																												
			adṛṣṭa	n	0,00575																																																												
			saṁkarṣaṇa	m	0,00575																																																												
			anuvrata	adj	0,00575																																																												
			pañcākṣara	m	0,00575																																																												
			pañcaka	n	0,00575																																																												
			satvara	adj	0,00575																																																												
			saṁtoṣa	m	0,00575																																																												
			sapiṇḍa	m	0,00575																																																												
			parāṅmukha	adj	0,00575																																																												
			apaha	adj	0,00575																																																												
			apramatta	adj	0,00575																																																												
			kirīṭa	n	0,00575																																																												
			kisalaya	mn	0,00575																																																												
			nimeṣa	m	0,00575																																																												
			nirveda	m	0,00575																																																												
			nikhila	adj	0,00575																																																												
			maya	m	0,00575																																																												
			mayūra	m	0,00575																																																												
			ṛkṣa	m	0,00575																																																												
			śrīvatsa	m	0,00575																																																												
			upabhoga	m	0,00575																																																												
			vārāha	m	0,00575																																																												
			bhāgavata	adj	0,00575																																																												
			jagattraya	n	0,00575																																																												
			avasāna	n	0,00575																																																												
			utpāta	m	0,00575																																																												
			hrasva	adj	0,00575																																																												
			ātapatra	n	0,00575																																																												
			āmiṣa	n	0,00575																																																												
			aśeṣa	m	0,00575																																																												
			ālāpa	m	0,00575																																																												
			mleccha	m	0,00575																																																												
			yantra	mn	0,00575																																																												
			romaharṣaṇa	m	0,00575																																																												
			likhita	n	0,00575																																																												
			leśa	m	0,00575																																																												
			lola	adj	0,00575																																																												
			durāsada	adj	0,00575																																																												
			devarāja	m	0,00575																																																												
			pitrya	adj	0,00575																																																												
			tadīya	adj	0,00575																																																												
			talpa	m	0,00575																																																												
			taskara	m	0,00575																																																												
			sūkara	m	0,00575																																																												
			sūkta	n	0,00575																																																												
			sauvarṇa	adj	0,00575																																																												
			sambhrama	m	0,00575																																																												
			sarva	m	0,00575																																																												
			śanaiścara	m	0,00575																																																												
			vaikārika	adj	0,00575																																																												
			vaiḍūrya	n	0,00575																																																												
			viparīta	adj	0,00575																																																												
			guhyaka	m	0,00575																																																												
			kṣīroda	m	0,00575																																																												
			viriñca	m	0,00575																																																												
			pradyumna	m	0,00575																																																												
			vihāra	m	0,00575																																																												
			purohita	m	0,00575																																																												
			pūrvaja	m	0,00575																																																												
			guhyatama	adj	0,00575																																																												
			aṁsa	m	0,00575																																																												
			mukha	adj	0,00575																																																												
			kaṁdhara	mf	0,00550																																																												
			anindita	adj	0,00550																																																												
			anurāga	m	0,00550																																																												
			kalatra	n	0,00550																																																												
			kalpa	adj	0,00550																																																												
			kaṣṭa	adj	0,00550																																																												
			pataṁga	m	0,00550																																																												
			paryāya	m	0,00550																																																												
			apāṅga	m	0,00550																																																												
			apāna	mn	0,00550																																																												
			abhimāna	m	0,00550																																																												
			kimpuruṣa	mn	0,00550																																																												
			kirāta	mn	0,00550																																																												
			maṅgala	adj	0,00550																																																												
			niṣadha	m	0,00550																																																												
			naivedya	n	0,00550																																																												
			abhiyoga	m	0,00550																																																												
			abhyadhika	adj	0,00550																																																												
			nāka	mn	0,00550																																																												
			nāla	mfn	0,00550																																																												
			nikara	m	0,00550																																																												
			madhyāhna	m	0,00550																																																												
			vārāha	adj	0,00550																																																												
			bharadvāja	m	0,00550																																																												
			bhārata	n	0,00550																																																												
			bhāṣaṇa	n	0,00550																																																												
			cāmara	n	0,00550																																																												
			cintaka	adj	0,00550																																																												
			ādāna	n	0,00550																																																												
			aśakta	adj	0,00550																																																												
			aśvattha	m	0,00550																																																												
			vānaprastha	mn	0,00550																																																												
			raurava	mn	0,00550																																																												
			trinetra	m	0,00550																																																												
			janapada	m	0,00550																																																												
			jāmbūnada	n	0,00550																																																												
			daivika	adj	0,00550																																																												
			taḍāga	mn	0,00550																																																												
			sauhṛda	n	0,00550																																																												
			haraṇa	n	0,00550																																																												
			sāmanta	m	0,00550																																																												
			vyatikara	m	0,00550																																																												
			vyādha	m	0,00550																																																												
			svana	m	0,00550																																																												
			śaunaka	m	0,00550																																																												
			khara	m	0,00550																																																												
			pramatha	m	0,00550																																																												
			priyatama	adj	0,00550																																																												
			praveśa	m	0,00550																																																												
			grīṣma	m	0,00550																																																												
			caṇḍāla	m	0,00550																																																												
			patnīka	adj	0,00550																																																												
			devatīrtha	n	0,00550																																																												
			akāra	m	0,00525																																																												
			kaṇa	m	0,00525																																																												
			kaṇva	m	0,00525																																																												
			kapota	mn	0,00525																																																												
			kṛtaghna	adj	0,00525																																																												
			kṛtārtha	adj	0,00525																																																												
			kokila	m	0,00525																																																												
			agniṣṭoma	m	0,00525																																																												
			aṅga	m	0,00525																																																												
			aṅgāraka	m	0,00525																																																												
			acyuta	adj	0,00525																																																												
			paṇya	n	0,00525																																																												
			parārdha	mn	0,00525																																																												
			sadya	m	0,00525																																																												
			anyatama	adj	0,00525																																																												
			apratima	adj	0,00525																																																												
			kāvya	mn	0,00525																																																												
			bhramara	m	0,00525																																																												
			niṣṭha	adj	0,00525																																																												
			samāsa	m	0,00525																																																												
			nirantara	adj	0,00525																																																												
			nirapekṣa	adj	0,00525																																																												
			nirmama	adj	0,00525																																																												
			dhūmra	adj	0,00525																																																												
			bhakṣaṇa	n	0,00525																																																												
			caila	n	0,00525																																																												
			argha	m	0,00525																																																												
			alābha	m	0,00525																																																												
			aviśeṣa	m	0,00525																																																												
			ucchvāsa	m	0,00525																																																												
			uttha	adj	0,00525																																																												
			utphulla	adj	0,00525																																																												
			ābhāsa	m	0,00525																																																												
			ārogya	n	0,00525																																																												
			aśauca	n	0,00525																																																												
			āspada	n	0,00525																																																												
			rukma	n	0,00525																																																												
			yathārtha	adj	0,00525																																																												
			yāga	m	0,00525																																																												
			trāṇa	n	0,00525																																																												
			jāgara	m	0,00525																																																												
			jina	m	0,00525																																																												
			dvaipāyana	m	0,00525																																																												
			taṇḍula	mfn	0,00525																																																												
			sopāna	mn	0,00525																																																												
			sthaṇḍila	n	0,00525																																																												
			sākṣya	n	0,00525																																																												
			sruva	m	0,00525																																																												
			grāsa	m	0,00525																																																												
			śekhara	m	0,00525																																																												
			śiva	n	0,00525																																																												
			kraya	m	0,00525																																																												
			klība	n	0,00525																																																												
			mīna	m	0,00525																																																												
			vilocana	n	0,00525																																																												
			prakāśa	adj	0,00525																																																												
			prayojana	n	0,00525																																																												
			prahlāda	m	0,00525																																																												
			ulbaṇa	adj	0,00525																																																												
			niṣkriya	adj	0,00525																																																												
			savarṇa	adj	0,00525																																																												
			kūṭastha	adj	0,00500																																																												
			akṣa	m	0,00500																																																												
			atīndriya	adj	0,00500																																																												
			saṁketa	m	0,00500																																																												
			anāgata	adj	0,00500																																																												
			anusāra	m	0,00500																																																												
			antarāla	n	0,00500																																																												
			kāṁsya	n	0,00500																																																												
			kāruṇya	n	0,00500																																																												
			parameśa	m	0,00500																																																												
			saṁtāna	m	0,00500																																																												
			parokṣa	adj	0,00500																																																												
			anveṣaṇa	fn	0,00500																																																												
			bhūrloka	m	0,00500																																																												
			bhoja	m	0,00500																																																												
			makāra	mn	0,00500																																																												
			magadha	m	0,00500																																																												
			niraya	m	0,00500																																																												
			samakṣa	adj	0,00500																																																												
			samagra	adj	0,00500																																																												
			amarṣa	m	0,00500																																																												
			ayonija	adj	0,00500																																																												
			nāmadheya	n	0,00500																																																												
			madhya	adj	0,00500																																																												
			ekāgra	adj	0,00500																																																												
			airāvata	m	0,00500																																																												
			narottama	m	0,00500																																																												
			vāraṇa	m	0,00500																																																												
			viśikha	m	0,00500																																																												
			bhakṣya	n	0,00500																																																												
			bhakta	n	0,00500																																																												
			avasara	m	0,00500																																																												
			utsāha	m	0,00500																																																												
			uda	n	0,00500																																																												
			aśmaka	m	0,00500																																																												
			yugma	n	0,00500																																																												
			rakta	n	0,00500																																																												
			yātudhāna	m	0,00500																																																												
			durjaya	adj	0,00500																																																												
			jalada	m	0,00500																																																												
			dvipa	m	0,00500																																																												
			dhanaṁjaya	m	0,00500																																																												
			piṅgala	adj	0,00500																																																												
			jyeṣṭha	m	0,00500																																																												
			tatpuruṣa	m	0,00500																																																												
			taptakṛcchra	mn	0,00500																																																												
			tāla	m	0,00500																																																												
			dakṣa	adj	0,00500																																																												
			saha	adj	0,00500																																																												
			śabara	m	0,00500																																																												
			vipāka	m	0,00500																																																												
			gocara	m	0,00500																																																												
			gopura	n	0,00500																																																												
			śuśrūṣaṇa	n	0,00500																																																												
			gahana	adj	0,00500																																																												
			kauśala	n	0,00500																																																												
			krauñca	m	0,00500																																																												
			vivara	mn	0,00500																																																												
			visarga	m	0,00500																																																												
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
