"от -800 до -300"	au	1=0.06%	"от -800 до -300"	ai	1=0.06%	"от -800 до -300"	a	1027=60.13%	"от -800 до -300"	ā	84=4.92%	"от -800 до -300"	i	139=8.14%	"от -800 до -300"	ī	38=2.22%	"от -800 до -300"	u	83=4.86%	"от -800 до -300"	ū	5=0.29%	"от -800 до -300"	o	1=0.06%	"от -800 до -300"	ṛ	18=1.05%	"от -800 до -300"	j	8=0.47%	"от -800 до -300"	c	9=0.53%	"от -800 до -300"	dh	5=0.29%	"от -800 до -300"	t	55=3.22%	"от -800 до -300"	d	9=0.53%	"от -800 до -300"	n	106=6.21%	"от -800 до -300"	bh	1=0.06%	"от -800 до -300"	p	1=0.06%	"от -800 до -300"	m	1=0.06%	"от -800 до -300"	r	7=0.41%	"от -800 до -300"	v	2=0.12%	"от -800 до -300"	ṣ	5=0.29%	"от -800 до -300"	ś	4=0.23%	"от -800 до -300"	s	93=5.44%	"от -800 до -300"	h	3=0.18%
						tulya	adj	0,03157																																																																		
						vimāna	mn	0,03157																																																																		
						anīka	mn	0,03125																																																																		
						īkṣaṇa	n	0,03125																																																																		
						saṁyuga	n	0,03094																																																																		
						dhara	adj	0,03094																																																																		
						kāñcana	n	0,03062																																																																		
						samāna	adj	0,03062																																																																		
						ṛkṣa	m	0,03030																																																																		
						rudhira	n	0,03030																																																																		
						pṛṣṭha	n	0,03030																																																																		
						nāda	m	0,02998																																																																		
						madhura	adj	0,02998																																																																		
						jāla	n	0,02998																																																																		
						dakṣa	m	0,02998																																																																		
						śiva	adj	0,02998																																																																		
						mitrāvaruṇa	m	0,02998																																																																		
						kāraṇa	n	0,02966																																																																		
						cāpa	mn	0,02966																																																																		
						kṣatra	n	0,02966																																																																		
						kṣaya	m	0,02966																																																																		
						kṛṣṇa	adj	0,02934																																																																		
						doṣa	mn	0,02934																																																																		
						pādapa	m	0,02934																																																																		
						daṇḍa	mn	0,02934																																																																		
						gṛdhra	m	0,02934																																																																		
						śikhara	mn	0,02934																																																																		
						viśāla	adj	0,02934																																																																		
						saciva	m	0,02902																																																																		
						samīpa	n	0,02902																																																																		
						śoṇita	n	0,02902																																																																		
						āsana	n	0,02870																																																																		
						vadana	n	0,02870																																																																		
						dyumna	n	0,02870																																																																		
						sāyaka	m	0,02870																																																																		
						svarga	m	0,02870																																																																		
						śastra	n	0,02870																																																																		
						ūrdhva	adj	0,02838																																																																		
						tīra	n	0,02838																																																																		
						daṇḍaka	mfn	0,02838																																																																		
						anuttama	adj	0,02806																																																																		
						nibha	adj	0,02806																																																																		
						ābha	adj	0,02806																																																																		
						locana	n	0,02806																																																																		
						mahābhāga	adj	0,02806																																																																		
						hita	n	0,02806																																																																		
						dhvaja	mn	0,02775																																																																		
						nitya	adj	0,02743																																																																		
						bhuja	m	0,02743																																																																		
						rasa	mn	0,02743																																																																		
						pitāmaha	m	0,02743																																																																		
						ga	adj	0,02743																																																																		
						plavaga	m	0,02743																																																																		
						sneha	mn	0,02711																																																																		
						salila	n	0,02711																																																																		
						kāya	m	0,02679																																																																		
						sattva	n	0,02679																																																																		
						bhūṣaṇa	n	0,02679																																																																		
						bhāva	m	0,02679																																																																		
						tattva	n	0,02679																																																																		
						śāsana	n	0,02679																																																																		
						vipra	adj	0,02679																																																																		
						anyonya	adj	0,02647																																																																		
						ariṁdama	adj	0,02647																																																																		
						bhavana	n	0,02647																																																																		
						āhava	m	0,02647																																																																		
						vyasana	n	0,02647																																																																		
						kuñjara	m	0,02615																																																																		
						pāpa	n	0,02583																																																																		
						sumna	n	0,02583																																																																		
						puṣpita	adj	0,02583																																																																		
						kānana	n	0,02551																																																																		
						paraṁtapa	adj	0,02551																																																																		
						nimitta	n	0,02551																																																																		
						īdṛśa	adj	0,02551																																																																		
						yakṣa	m	0,02551																																																																		
						vardhana	adj	0,02551																																																																		
						mārga	m	0,02551																																																																		
						śuṣma	m	0,02551																																																																		
						amātya	m	0,02519																																																																		
						yuga	mn	0,02519																																																																		
						māruta	m	0,02519																																																																		
						māṁsa	n	0,02488																																																																		
						daivya	adj	0,02488																																																																		
						sukha	adj	0,02488																																																																		
						pūrṇa	adj	0,02456																																																																		
						amitra	mf	0,02424																																																																		
						arṇava	mn	0,02424																																																																		
						mālya	n	0,02424																																																																		
						durdharṣa	adj	0,02424																																																																		
						sthāna	n	0,02424																																																																		
						śīghra	adj	0,02424																																																																		
						prahasta	m	0,02424																																																																		
						pāra	mn	0,02392																																																																		
						sumantra	m	0,02392																																																																		
						vaiśvānara	m	0,02392																																																																		
						māsa	mn	0,02392																																																																		
						dhruva	adj	0,02360																																																																		
						vāsava	m	0,02360																																																																		
						svara	m	0,02360																																																																		
						akṣa	adj	0,02360																																																																		
						ajara	adj	0,02328																																																																		
						pakṣa	m	0,02328																																																																		
						parigha	m	0,02328																																																																		
						kumāra	m	0,02328																																																																		
						aruṣa	adj	0,02328																																																																		
						bharadvāja	m	0,02328																																																																		
						mātra	n	0,02328																																																																		
						subhaga	adj	0,02328																																																																		
						hiraṇya	n	0,02328																																																																		
						khaḍga	mn	0,02328																																																																		
						gandha	mn	0,02328																																																																		
						kopa	m	0,02296																																																																		
						paruṣa	adj	0,02296																																																																		
						abhra	mn	0,02296																																																																		
