"Объединенное ядро"	au	1=0.02%	"Объединенное ядро"	ai	1=0.02%	"Объединенное ядро"	a	4031=65.10%	"Объединенное ядро"	ā	522=8.43%	"Объединенное ядро"	i	411=6.64%	"Объединенное ядро"	ī	315=5.09%	"Объединенное ядро"	u	194=3.13%	"Объединенное ядро"	ū	13=0.21%	"Объединенное ядро"	o	1=0.02%	"Объединенное ядро"	ṛ	45=0.73%	"Объединенное ядро"	k	1=0.02%	"Объединенное ядро"	j	22=0.36%	"Объединенное ядро"	c	16=0.26%	"Объединенное ядро"	dh	8=0.13%	"Объединенное ядро"	t	114=1.84%	"Объединенное ядро"	d	29=0.47%	"Объединенное ядро"	n	278=4.49%	"Объединенное ядро"	bh	3=0.05%	"Объединенное ядро"	p	1=0.02%	"Объединенное ядро"	m	2=0.03%	"Объединенное ядро"	r	8=0.13%	"Объединенное ядро"	v	2=0.03%	"Объединенное ядро"	ṣ	11=0.18%	"Объединенное ядро"	ś	10=0.16%	"Объединенное ядро"	s	146=2.36%	"Объединенное ядро"	h	7=0.11%
						śiṣya	m	0,0307837802482145	sumitrā	f	0,00186022843605195	kaṇḍūti	f	0,00177021738269459	kaṇṭakinī	f	0,000270033160072057																																																												
						vāsudeva	m	0,030753776563762	svarjikā	mf	0,00186022843605195	kṛṣṭi	f	0,00177021738269459	kuhī	f	0,000270033160072057																																																												
						śūdra	m	0,0306937691948571	vaṭikā	f	0,00186022843605195	saṁhati	f	0,00177021738269459	dīpanī	f	0,000240029475619606																																																												
						nāga	mn	0,0306637655104047	nalikā	f	0,0018302247515995	abhiṣṭi	f	0,00174021369824214	tejasvinī	f	0,000240029475619606																																																												
						manda	adj	0,0306337618259522	nimnagā	f	0,0018302247515995	daṇḍanīti	f	0,00174021369824214	unmanī	f	0,000240029475619606																																																												
						śveta	adj	0,0303337249814277	nīlikā	f	0,00180022106714705	tuvi	adj	0,00174021369824214	cāndrī	f	0,000210025791167155																																																												
						vikrama	m	0,0303337249814277	satyabhāmā	f	0,00180022106714705	ambhodhi	m	0,00171021001378969	rasamañjarī	f	0,000180022106714705																																																												
						suvarṇa	n	0,0302737176125228	mahāmāyā	f	0,00177021738269459	upādhi	m	0,00171021001378969																																																															
						upāya	m	0,0302737176125228	dhānā	f	0,00174021369824214	vīci	mf	0,00171021001378969																																																															
						dhanaṁjaya	m	0,0302437139280704	mūṣikā	f	0,00174021369824214	hūti	f	0,00168020632933724																																																															
						sāgara	m	0,0302437139280704	hāhā	f	0,00171021001378969	paṇi	m	0,00168020632933724																																																															
						samaya	m	0,0302137102436179	vanikā	f	0,00171021001378969	jani	f	0,00165020264488479																																																															
						vāra	mn	0,0301236991902606	tiktā	f	0,00168020632933724	auṣadhi	f	0,00162019896043234																																																															
						dhvaja	mn	0,0300936955058081	girijā	f	0,00165020264488479	cūḍāmaṇi	m	0,00162019896043234																																																															
						anyonya	adj	0,0300036844524508	hotrā	f	0,00165020264488479	śailādi	m	0,00162019896043234																																																															
						kumāra	m	0,0300036844524508	kūpikā	f	0,00165020264488479	sambhūti	f	0,00162019896043234																																																															
						nārada	m	0,0300036844524508	lūtā	f	0,00165020264488479	vājasāti	f	0,00162019896043234																																																															
						pārśva	mn	0,0299436770835459	rasanā	f	0,00165020264488479	māruti	m	0,00159019527597989																																																															
						pṛṣṭha	n	0,0299436770835459	āśaṅkā	f	0,00162019896043234	khani	f	0,00156019159152744																																																															
						karaṇa	n	0,0299136733990934	nāgabalā	f	0,00162019896043234	pṛśni	f	0,00156019159152744																																																															
						pāka	m	0,029883669714641	padmā	f	0,00162019896043234	aśuddhi	f	0,00153018790707499																																																															
						snāna	n	0,029883669714641	yājyā	f	0,00162019896043234	vālmīki	m	0,00153018790707499																																																															
						svabhāva	m	0,0298536660301885	cūlikā	mfn	0,00159019527597989	bhṛti	f	0,00150018422262254																																																															
						prada	adj	0,0298236623457361	menā	f	0,00159019527597989	dhūli	mf	0,00150018422262254																																																															
						ānanda	m	0,0296436402390214	kṣmā	f	0,00156019159152744	pavi	mf	0,00150018422262254																																																															
						nārāyaṇa	m	0,0296136365545689	pratibhā	f	0,00156019159152744	vṛṣākapi	m	0,00144017685371764																																																															
						paraspara	adj	0,0296136365545689	sattā	f	0,00156019159152744	āpatti	f	0,00141017316926519																																																															
						ābha	adj	0,0295836328701165	śṛṅkhalā	f	0,00156019159152744	āpi	m	0,00141017316926519																																																															
						śaṅkha	mn	0,0295236255012115	kaniṣṭhā	f	0,00153018790707499	jāmi	adj	0,00141017316926519																																																															
						ādika	adj	0,0292535923411395	kiṣkindhā	f	0,00153018790707499	murāri	m	0,00138016948481274																																																															
						nimitta	n	0,0291935849722346	mṛtsnā	f	0,00153018790707499	kālanemi	m	0,00132016211590783																																																															
						kuṣṭha	mn	0,0291635812877821	piṅgalā	f	0,00153018790707499	puraṁdhi	f	0,00132016211590783																																																															
						vaktra	n	0,0290435665499723	prathā	f	0,00153018790707499	suvṛkti	f	0,00132016211590783																																																															
						hita	n	0,0289235518121625	lalanā	f	0,00150018422262254	mahāvyāhṛti	f	0,00126015474700293																																																															
						matsya	m	0,0286535186520905	vāñchā	f	0,00150018422262254	sani	mf	0,00126015474700293																																																															
						śoṇita	n	0,0285335039142807	iṣṭikā	f	0,00147018053817009	citti	f	0,00123015106255048																																																															
						śaila	mn	0,0284734965453758	kaśā	f	0,00147018053817009	avīci	mfn	0,00120014737809803																																																															
						tila	mn	0,0284734965453758	vyākhyā	f	0,00147018053817009	tuṭi	mf	0,00114014000919313																																																															
						ācārya	m	0,0283834854920184	ajamodā	f	0,00144017685371764	vartani	f	0,00114014000919313																																																															
						ubhaya	adj	0,0283834854920184	dhiṣaṇā	f	0,00144017685371764	viśpati	m	0,00114014000919313																																																															
						vatsa	m	0,0283834854920184	japā	f	0,00144017685371764	arci	m	0,00111013632474068																																																															
						vraṇa	mn	0,0283834854920184	rasā	f	0,00144017685371764	padmayoni	m	0,00111013632474068																																																															
						sattva	mn	0,028353481807566	rūpatā	f	0,00144017685371764	pūrṇāhuti	f	0,00111013632474068																																																															
						svarṇa	n	0,028353481807566	saṁkalikā	f	0,00144017685371764	ruci	m	0,00111013632474068																																																															
						nāśana	adj	0,0281734597008513	śatapuṣpā	f	0,00144017685371764	sapti	m	0,00111013632474068																																																															
						aṅgula	mn	0,0281134523319464	viṣṇukrāntā	f	0,00144017685371764	vinivṛtti	f	0,00111013632474068																																																															
						tṛtīya	adj	0,0280834486474939	dhāyyā	f	0,00141017316926519	abhiśasti	f	0,00108013264028823																																																															
						bāla	m	0,0280534449630415	jalaukā	f	0,00141017316926519	saṁśuddhi	f	0,00108013264028823																																																															
						aneka	adj	0,028023441278589	manohvā	f	0,00141017316926519	śrīpati	m	0,00108013264028823																																																															
						mukhya	adj	0,028023441278589	reṇukā	f	0,00138016948481274	devatāti	f	0,00105012895583578																																																															
						rūkṣa	adj	0,0279934375941366	viśalyā	f	0,00138016948481274	nīvi	f	0,00105012895583578																																																															
						amla	adj	0,0279034265407792	raktikā	fn	0,00135016580036028	praśasti	f	0,00105012895583578																																																															
						pīta	adj	0,0279034265407792	gartā	f	0,00132016211590783	vātāri	m	0,00105012895583578																																																															
						vaṁśa	m	0,0277834118029694	gojihvā	f	0,00132016211590783	ākṛṣṭi	f	0,00102012527138333																																																															
						adharma	m	0,0276633970651596	haṇḍikā	mf	0,00132016211590783	apanutti	f	0,00102012527138333																																																															
						bhoga	m	0,0276633970651596	khaṭikā	f	0,00132016211590783	praṇīti	f	0,00102012527138333																																																															
						drava	mn	0,0276333933807072	pampā	f	0,00132016211590783	sampāti	m	0,00102012527138333																																																															
						śaṁkara	m	0,0275433823273498	parā	f	0,00132016211590783	saṁsṛti	f	0,00102012527138333																																																															
						sāra	mn	0,0274533712739924	sūryā	f	0,00132016211590783	vicarṣaṇi	adj	0,00102012527138333																																																															
						ājya	n	0,02742336758954	bhūlatā	f	0,00129015843145538	kriyāśakti	f	0,000990121586930875																																																															
						tāra	mn	0,0273633602206351	mūlikā	f	0,00129015843145538	viriñci	m	0,000990121586930875																																																															
						gātra	n	0,0272733491672777	sūnṛtā	f	0,00129015843145538	aṣṭamūrti	m	0,000960117902478424																																																															
						maheśvara	m	0,0272133417983728	atibalā	f	0,00126015474700293	bāhyadruti	f	0,000960117902478424																																																															
						pārada	mn	0,0271233307450155	dhā	adj	0,00126015474700293	jāmi	f	0,000960117902478424																																																															
						kāsa	m	0,027093327060563	gārā	mfn	0,00126015474700293	satpati	m	0,000930114218025974																																																															
						saṁyuta	adj	0,0270633233761106	jāraṇā	f	0,00126015474700293	arati	m	0,000900110533573523																																																															
						dhara	adj	0,0270333196916581	sā	adj	0,00126015474700293	rūḍhi	f	0,000900110533573523																																																															
						kaṇṭha	m	0,0269733123227532	śiprā	f	0,00126015474700293	kāṇabhūti	m	0,000870106849121072																																																															
						sparśa	m	0,0269733123227532	aghnyā	f	0,00123015106255048	viṣamuṣṭi	mf	0,000870106849121072																																																															
						nagara	mn	0,0269133049538483	mañjūṣā	mf	0,00123015106255048	sarvatāti	f	0,000840103164668621																																																															
						mahādeva	m	0,0268532975849434	śūrpaṇakhā	f	0,00123015106255048	agasti	m	0,000810099480216171																																																															
						adhipa	m	0,026823293900491	usriyā	f	0,00123015106255048	jāgṛvi	adj	0,000810099480216171																																																															
						vijñāna	n	0,026823293900491	vaśyā	fn	0,00123015106255048	śruṣṭi	f	0,000810099480216171																																																															
						kṣetra	mn	0,0267932902160385	koṣṭhikā	f	0,00120014737809803	pramati	f	0,00078009579576372																																																															
						śvāsa	m	0,0267932902160385	paricārikā	f	0,00120014737809803	surabhi	m	0,00078009579576372																																																															
						yakṣa	m	0,0267332828471336	vīrā	f	0,00120014737809803	svadhiti	mf	0,000750092111311269																																																															
						dāruṇa	adj	0,0266732754782287	aṣṭakā	f	0,00117014369364558	bālāki	m	0,000720088426858818																																																															
						vikāra	mn	0,0266732754782287	lakṣmaṇā	f	0,00117014369364558	durmati	f	0,000720088426858818																																																															
						bandha	m	0,0266132681093238	śiphā	f	0,00117014369364558	nāḍi	f	0,000720088426858818																																																															
						kaṣāya	adj	0,0266132681093238	āsthā	f	0,00114014000919313	pṛśni	adj	0,000720088426858818																																																															
						bhuja	m	0,0265832644248714	irā	f	0,00114014000919313	vararuci	m	0,000720088426858818																																																															
						piṇḍa	mn	0,0265832644248714	saurāṣṭrā	f	0,00114014000919313	arbudi	m	0,000660081057953917																																																															
						āśraya	m	0,0264632496870616	bhidā	f	0,00111013632474068	dāti	f	0,000660081057953917																																																															
						ācāra	m	0,0264032423181567	caṇḍā	f	0,00111013632474068	raji	m	0,000660081057953917																																																															
						prabhāva	m	0,0264032423181567	śāntā	f	0,00111013632474068	viśvacarṣaṇi	adj	0,000660081057953917																																																															
						yantra	mn	0,0264032423181567	parpaṭikā	mf	0,00108013264028823	vyāḍi	m	0,000660081057953917																																																															
						mahābhāga	adj	0,0262532238958944	sphaṭikā	mf	0,00108013264028823	karīṣāgni	m	0,000630077373501466																																																															
						rātra	mn	0,026223220211442	ahaṁtā	f	0,00105012895583578	taraṇi	adj	0,000630077373501466																																																															
						pañcama	adj	0,0261932165269895	ajagandhā	f	0,00105012895583578	añji	mfn	0,000600073689049015																																																															
						prayatna	m	0,0261332091580846	ambaṣṭhā	f	0,00105012895583578	dhuni	adj	0,000600073689049015																																																															
						auṣadha	n	0,0261032054736322	gulikā	f	0,00105012895583578	gaviṣṭi	f	0,000600073689049015																																																															
						saṁyoga	m	0,0261032054736322	kākajaṅghā	f	0,00105012895583578	amati	f	0,000570070004596564																																																															
						keśava	m	0,0259231833669175	kumārikā	f	0,00105012895583578	aśasti	f	0,000570070004596564																																																															
						yatna	m	0,0259231833669175	nāḍikā	f	0,00105012895583578	mṛganābhi	mn	0,000570070004596564																																																															
						locana	n	0,0257431612602027	śuddhavidyā	f	0,00105012895583578	sāsahi	adj	0,000540066320144114																																																															
						buddha	m	0,0255331354690356	sugandhā	f	0,00105012895583578	sugandhi	m	0,000480058951239212																																																															
						udaya	m	0,0255031317845832	aparājitā	f	0,00102012527138333	jūrti	f	0,000420051582334311																																																															
						āyudha	mn	0,0251730912556062	girikarṇikā	f	0,00102012527138333	rājarīti	f	0,000420051582334311																																																															
						kuśala	adj	0,0251430875711537	purodhā	f	0,00102012527138333	udañji	m	0,000420051582334311																																																															
						megha	m	0,0251430875711537	yaśodā	f	0,00102012527138333	nṛhari	m	0,00039004789788186																																																															
						kṣāra	m	0,0250830802022488	kalikā	f	0,000990121586930875	hayāri	m	0,000300036844524508																																																															
						akṣara	n	0,0250230728333439	mantharā	f	0,000990121586930875	vicchardi	f	0,000300036844524508																																																															
						bhīma	adj	0,024963065464439	chāgā	f	0,000960117902478424	narahari	m	0,000210025791167155																																																															
						mānava	m	0,0248130470421768	kṣā	f	0,000960117902478424																																																																		
						śaraṇa	n	0,0247230359888194	nāyikā	f	0,000960117902478424																																																																		
						pakva	adj	0,0246330249354621	rītikā	f	0,000960117902478424																																																																		
						salila	n	0,0246330249354621	suravanditā	f	0,000960117902478424																																																																		
						śukra	n	0,0246030212510096	suṣumṇā	f	0,000960117902478424																																																																		
						keśa	m	0,0245430138821047	varāṭikā	f	0,000960117902478424																																																																		
						vyāsa	m	0,0245430138821047	vayaḥsthā	f	0,000960117902478424																																																																		
						grāma	mn	0,0245130101976523	cakrikā	f	0,000930114218025974																																																																		
						śakya	adj	0,0243329880909376	mahāvidyā	f	0,000930114218025974																																																																		
						kopa	m	0,0243029844064851	pṛthvīkā	mf	0,000930114218025974																																																																		
						kāñcana	n	0,0241829696686753	raṇḍā	f	0,000930114218025974																																																																		
						saṁgha	m	0,0241829696686753	vartikā	f	0,000930114218025974																																																																		
						harṣa	m	0,0239729438775082	vicarcikā	f	0,000930114218025974																																																																		
						saṁvatsara	mn	0,0239729438775082	viśvā	f	0,000930114218025974																																																																		
						rasāyana	n	0,0239129365086033	helā	f	0,000900110533573523																																																																		
						yāma	m	0,0238529291396984	kaṭorikā	mf	0,000900110533573523																																																																		
						grahaṇa	n	0,0237929217707935	mudrikā	f	0,000900110533573523																																																																		
						mākṣika	mfn	0,0237329144018886	vāmā	f	0,000870106849121072																																																																		
						lavaṇa	n	0,0235828959796263	yavaciñcā	f	0,000870106849121072																																																																		
						saṁskāra	m	0,0235828959796263	devasmitā	f	0,000840103164668621																																																																		
						nija	adj	0,0235528922951739	dṛkkriyā	f	0,000840103164668621																																																																		
						sakala	adj	0,0235228886107214	rādhikā	f	0,000840103164668621																																																																		
						dhyāna	mn	0,0234928849262689	śatarūpā	f	0,000840103164668621																																																																		
						anīka	mn	0,0234028738729116	amlikā	f	0,000810099480216171																																																																		
						kṣatra	n	0,0232528554506493	bhastrikā	f	0,000810099480216171																																																																		
						vasiṣṭha	m	0,0231928480817444	gorocanā	mf	0,000810099480216171																																																																		
						ogha	m	0,0231328407128395	kajjalikā	f	0,000810099480216171																																																																		
						muhūrta	mn	0,0231028370283871	kṣudrā	f	0,000810099480216171																																																																		
						āsya	n	0,0230728333439346	subhagā	f	0,000810099480216171																																																																		
						dhūma	mn	0,0230728333439346	raktā	f	0,00078009579576372																																																																		
						pāvaka	m	0,0230428296594822	yūthikā	f	0,00078009579576372																																																																		
						sarpa	m	0,0230428296594822	amīvā	f	0,000750092111311269																																																																		
						svapna	mn	0,0230128259750297	jalūkā	mf	0,000750092111311269																																																																		
						ambara	n	0,0229828222905773	madhurā	f	0,000750092111311269																																																																		
						maraṇa	n	0,0229528186061248	paribhāṣā	f	0,000750092111311269																																																																		
						sveda	m	0,0229528186061248	spṛkkā	f	0,000750092111311269																																																																		
						nīla	adj	0,0229228149216724	urvarā	f	0,000750092111311269																																																																		
						divasa	mn	0,022832803868315	amoghā	f	0,000720088426858818																																																																		
						caturtha	adj	0,0228028001838626	asmitā	f	0,000720088426858818																																																																		
						jyeṣṭha	adj	0,0228028001838626	pālikā	f	0,000720088426858818																																																																		
						jāla	n	0,0227127891305052	prā	adj	0,000720088426858818																																																																		
						prājña	adj	0,0227127891305052	saumyā	f	0,000720088426858818																																																																		
						saṁgrāma	mn	0,0225027633393381	usrā	f	0,000720088426858818																																																																		
						sukha	adj	0,0224727596548856	mahāmudrā	f	0,000690084742406367																																																																		
						dāra	mn	0,0224427559704332	maṅgalyā	f	0,000690084742406367																																																																		
						tīvra	adj	0,0224427559704332	pāṇḍutā	f	0,000690084742406367																																																																		
						akhila	adj	0,0224127522859807	prativiṣā	f	0,000690084742406367																																																																		
						kalka	mn	0,0222927375481709	kalanā	f	0,000660081057953917																																																																		
						samasta	adj	0,0222027264948136	pakvamūṣā	f	0,000660081057953917																																																																		
						bhadra	adj	0,0221427191259087	suvahā	f	0,000660081057953917																																																																		
						gulma	mn	0,0221427191259087	alambuṣā	f	0,000630077373501466																																																																		
						samāna	adj	0,0220827117570038	cullikā	mfn	0,000630077373501466																																																																		
						danta	mn	0,0220527080725513	mahābalā	f	0,000630077373501466																																																																		
						sthira	adj	0,0220227043880989	pītā	f	0,000630077373501466																																																																		
						candana	mn	0,0219927007036464	upakośā	f	0,000630077373501466																																																																		
						bāla	adj	0,0219026896502891	yā	adj	0,000630077373501466																																																																		
						māruta	m	0,0219026896502891	aruṇā	f	0,000600073689049015																																																																		
						śāpa	m	0,0217826749124793	bālacandrikā	f	0,000600073689049015																																																																		
						vistara	m	0,0217826749124793	balivasā	mf	0,000600073689049015																																																																		
						janārdana	m	0,0216626601746694	capalā	f	0,000600073689049015																																																																		
						nandana	m	0,0216026528057645	kastūrikā	f	0,000600073689049015																																																																		
						antarikṣa	n	0,0214826380679547	vayā	f	0,000600073689049015																																																																		
						māna	m	0,0214526343835023	gṛhakanyā	f	0,000570070004596564																																																																		
						vipula	adj	0,0214526343835023	hemāhvā	f	0,000570070004596564																																																																		
						śrāddha	n	0,0214226306990498	mocā	f	0,000570070004596564																																																																		
						amla	n	0,0213926270145974	sātalā	f	0,000570070004596564																																																																		
						vāsa	m	0,0212426085923351	śubhā	f	0,000570070004596564																																																																		
						daiva	n	0,0211525975389778	yonimudrā	f	0,000570070004596564																																																																		
						yava	mn	0,0211525975389778	medhyā	f	0,000540066320144114																																																																		
						ānana	n	0,0211225938545253	nīlā	f	0,000540066320144114																																																																		
						dviguṇa	adj	0,021032582801168	rūpaṇikā	f	0,000540066320144114																																																																		
						druma	m	0,0210025791167155	sūkṣmā	f	0,000540066320144114																																																																		
						saṁnibha	adj	0,0210025791167155	thūthā	mf	0,000540066320144114																																																																		
						mānasa	n	0,0209125680633582	tvacā	f	0,000540066320144114																																																																		
						prayoga	m	0,0209125680633582	viṣāṇikā	f	0,000540066320144114																																																																		
						kaurava	m	0,0208525606944533	anuvākyā	f	0,000510062635691663																																																																		
						nava	adj	0,0208525606944533	dhenā	f	0,000510062635691663																																																																		
						pāñcāla	m	0,0208225570100008	duḥsparśā	f	0,000510062635691663																																																																		
						pradhāna	n	0,0208225570100008	liptamūṣā	f	0,000510062635691663																																																																		
						pratyaya	m	0,0207925533255484	bhaṅgā	f	0,000480058951239212																																																																		
						ārya	adj	0,0207625496410959	kāyasthā	f	0,000480058951239212																																																																		
						martya	m	0,0207325459566435	mahāphalā	f	0,000480058951239212																																																																		
						kaunteya	m	0,020702542272191	ugragandhā	f	0,000480058951239212																																																																		
						ramya	adj	0,0206425349032861	lomaśā	f	0,000450055266786761																																																																		
						naraka	mn	0,0205525238499288	mṛgavyā	f	0,000450055266786761																																																																		
						śṛṅga	n	0,0205525238499288	vanyā	f	0,000420051582334311																																																																		
						anala	m	0,0204925164810239	manojñā	f	0,00039004789788186																																																																		
						niyama	m	0,0204925164810239	tripuṭā	f	0,00039004789788186																																																																		
						śrama	m	0,0204625127965714	divyā	f	0,000360044213429409																																																																		
						svara	m	0,0203124943743092	madhusravā	f	0,000360044213429409																																																																		
						bhāṇḍa	n	0,0202824906898567	murā	f	0,000360044213429409																																																																		
						dhānya	n	0,0202824906898567	bahuphalā	f	0,000330040528976958																																																																		
						parākrama	m	0,0202824906898567	citraphalā	f	0,000330040528976958																																																																		
						pāśa	m	0,0202824906898567	kuñcikā	f	0,000330040528976958																																																																		
						amara	m	0,0202524870054043	vanajā	f	0,000330040528976958																																																																		
						śukla	adj	0,0202524870054043	dīrghapattrā	f	0,000300036844524508																																																																		
						ṭaṅkaṇa	mn	0,0202524870054043	gandhāḍhyā	f	0,000300036844524508																																																																		
						vaṅga	mn	0,0202224833209518	methikā	f	0,000300036844524508																																																																		
						akṣa	n	0,0201924796364994	miśreyā	f	0,000300036844524508																																																																		
						yojana	fn	0,0201324722675945	jantukā	f	0,000270033160072057																																																																		
						sāhasra	adj	0,020102468583142	vṛttā	f	0,000270033160072057																																																																		
						adbhuta	adj	0,0200724648986896	bahupattrā	f	0,000240029475619606																																																																		
						puṁgava	m	0,0200724648986896	śītā	f	0,000240029475619606																																																																		
						kevala	adj	0,0200424612142371	tīkṣṇā	f	0,000240029475619606																																																																		
						vyakta	adj	0,0200424612142371	upaśyāmā	f	0,000240029475619606																																																																		
						khaṇḍa	mn	0,0200124575297847	vikrāntā	f	0,000240029475619606																																																																		
						kṛtsna	adj	0,0199824538453322	yavānikā	f	0,000240029475619606																																																																		
						kṣaudra	n	0,0199824538453322	ārāmaśītalā	mf	0,000210025791167155																																																																		
						ekaika	adj	0,0199524501608798	balyā	f	0,000210025791167155																																																																		
						vadana	n	0,0199524501608798	kaṭphalā	f	0,000210025791167155																																																																		
						śayana	n	0,0199224464764273	putradā	f	0,000210025791167155																																																																		
						śopha	m	0,0198924427919749																																																																					
						ardha	adj	0,0198624391075224																																																																					
						sugrīva	m	0,0198624391075224																																																																					
						vaiśya	m	0,0196824170008077																																																																					
						kvātha	m	0,0196524133163552																																																																					
						vicitra	adj	0,0196524133163552																																																																					
						mārkaṇḍeya	m	0,0196224096319028																																																																					
						nāśa	m	0,0195924059474503																																																																					
						niścaya	m	0,0195624022629979																																																																					
						kha	n	0,0195323985785454																																																																					
						saindhava	mn	0,0195323985785454																																																																					
						āgama	m	0,019502394894093																																																																					
						ananta	adj	0,019502394894093																																																																					
						vināśa	m	0,019502394894093																																																																					
						vṛtta	n	0,0194123838407356																																																																					
						haṁsa	m	0,0193823801562832																																																																					
						rudhira	n	0,0193823801562832																																																																					
						kṛcchra	mn	0,0193523764718307																																																																					
						anuttama	adj	0,0193223727873783																																																																					
						gamana	n	0,0192623654184734																																																																					
						sarga	m	0,0192023580495685																																																																					
						āhava	m	0,019172354365116																																																																					
						śuṣka	adj	0,019172354365116																																																																					
						varga	m	0,019172354365116																																																																					
						añjana	n	0,0191423506806636																																																																					
						rāṣṭra	mn	0,0190823433117587																																																																					
						bāndhava	m	0,0190523396273062																																																																					
						durlabha	adj	0,0190223359428538																																																																					
						parāyaṇa	n	0,0189923322584013																																																																					
						nakṣatra	mn	0,0189323248894964																																																																					
						nayana	n	0,0188723175205915																																																																					
						mānuṣa	adj	0,0188423138361391																																																																					
						bāhya	adj	0,0188123101516866																																																																					
						gautama	m	0,0187823064672342																																																																					
						saṁkāśa	m	0,0187823064672342																																																																					
						bhāra	m	0,0187523027827817																																																																					
						lobha	m	0,0187523027827817																																																																					
						nātha	m	0,0187523027827817																																																																					
						yāna	n	0,0187222990983293																																																																					
						ābharaṇa	n	0,0186922954138768																																																																					
						nāda	m	0,0186322880449719																																																																					
						īdṛśa	adj	0,0186022843605195																																																																					
						saumya	adj	0,0185122733071621																																																																					
						saṁsāra	mn	0,0184522659382572																																																																					
						madhyama	adj	0,0184222622538048																																																																					
						udbhava	adj	0,0184222622538048																																																																					
						samāhita	adj	0,0183922585693523																																																																					
						dīna	adj	0,0183322512004474																																																																					
						caraṇa	mn	0,0182122364626376																																																																					
						kanaka	n	0,0181822327781852																																																																					
						bhuvana	n	0,0181522290937327																																																																					
						śobhana	adj	0,0181522290937327																																																																					
						dhārtarāṣṭra	m	0,0181222254092803																																																																					
						puṇya	n	0,0181222254092803																																																																					
						kaṣāya	mn	0,0180922217248278																																																																					
						ghana	mn	0,0180622180403754																																																																					
						saṁyuga	n	0,0180322143559229																																																																					
						anagha	adj	0,0180022106714705																																																																					
						bandhana	n	0,017972206987018																																																																					
						āmaya	m	0,0179121996181131																																																																					
						aiśvarya	n	0,0178821959336607																																																																					
						vāma	adj	0,0178821959336607																																																																					
						vijaya	m	0,0178821959336607																																																																					
						dharmarāja	m	0,0178221885647558																																																																					
						sūtra	n	0,0178221885647558																																																																					
						sanātana	adj	0,0177621811958509																																																																					
						śārdūla	m	0,0177321775113984																																																																					
						abhraka	mn	0,0177021738269459																																																																					
						kumbha	m	0,0176721701424935																																																																					
						nakha	mn	0,017642166458041																																																																					
						bhūṣaṇa	n	0,0176121627735886																																																																					
						dīpana	adj	0,0175821590891361																																																																					
						budha	adj	0,0174921480357788																																																																					
						śāsana	n	0,0174921480357788																																																																					
						devadeva	m	0,0174621443513263																																																																					
						kauśika	m	0,0174321406668739																																																																					
						skandha	m	0,0174021369824214																																																																					
						īkṣaṇa	n	0,017372133297969																																																																					
						bhakta	m	0,0173421296135165																																																																					
						kānta	n	0,0173421296135165																																																																					
						ākula	adj	0,0173121259290641																																																																					
						yodha	m	0,0173121259290641																																																																					
						guḍa	mn	0,0172221148757067																																																																					
						trailokya	n	0,0171621075068018																																																																					
						dūta	m	0,0171321038223494																																																																					
						ṛta	n	0,0171321038223494																																																																					
						araṇya	n	0,0171021001378969																																																																					
						sādhana	n	0,0171021001378969																																																																					
						śītala	adj	0,017042092768992																																																																					
						amātya	m	0,0170120890845396																																																																					
						dvijottama	m	0,0169820854000871																																																																					
						sthūla	adj	0,0169820854000871																																																																					
						vidura	m	0,0169220780311822																																																																					
						vimala	adj	0,0168920743467298																																																																					
						samīpa	n	0,0168620706622773																																																																					
						tanaya	m	0,0168320669778249																																																																					
						parameśvara	m	0,0168020632933724																																																																					
						śrotra	n	0,01677205960892																																																																					
						nibha	adj	0,0167420559244675																																																																					
						sāyaka	m	0,0167120522400151																																																																					
						mahāpurāṇa	n	0,0166520448711102																																																																					
						amita	adj	0,0166220411866577																																																																					
						vimāna	mn	0,0166220411866577																																																																					
						kleśa	m	0,0165920375022053																																																																					
						mālya	n	0,0165920375022053																																																																					
						sita	adj	0,0165920375022053																																																																					
						śūnya	adj	0,0165920375022053																																																																					
						tṛṇa	n	0,0165620338177528																																																																					
						bhavana	n	0,0165320301333004																																																																					
						antika	n	0,0164720227643955																																																																					
						khaḍga	mn	0,0164720227643955																																																																					
						narādhipa	m	0,016442019079943																																																																					
						asra	n	0,0164120153954906																																																																					
						lābha	m	0,0164120153954906																																																																					
						prakāśa	m	0,0162619969732283																																																																					
						mādhava	m	0,0162319932887759																																																																					
						śauca	n	0,0162319932887759																																																																					
						viṣama	adj	0,0162319932887759																																																																					
						iṣvāsa	m	0,016171985919871																																																																					
						vardhana	adj	0,0160819748665136																																																																					
						trividha	adj	0,0160219674976087																																																																					
						dhṛṣṭadyumna	m	0,0159319564442514																																																																					
						śiva	adj	0,0159319564442514																																																																					
						bhāskara	m	0,0159019527597989																																																																					
						hara	m	0,0159019527597989																																																																					
