"Объединенное ядро"	au	1=0.01%	"Объединенное ядро"	ai	1=0.01%	"Объединенное ядро"	a	4031=53.53%	"Объединенное ядро"	ā	628=8.34%	"Объединенное ядро"	i	439=5.83%	"Объединенное ядро"	ī	348=4.62%	"Объединенное ядро"	u	218=2.89%	"Объединенное ядро"	ū	39=0.52%	"Объединенное ядро"	o	2=0.03%	"Объединенное ядро"	e	14=0.19%	"Объединенное ядро"	ṛ	125=1.66%	"Объединенное ядро"	kh	3=0.04%	"Объединенное ядро"	gh	1=0.01%	"Объединенное ядро"	k	4=0.05%	"Объединенное ядро"	g	2=0.03%	"Объединенное ядро"	ṭh	1=0.01%	"Объединенное ядро"	ṭ	6=0.08%	"Объединенное ядро"	ḍ	3=0.04%	"Объединенное ядро"	ṇ	3=0.04%	"Объединенное ядро"	ch	5=0.07%	"Объединенное ядро"	j	80=1.06%	"Объединенное ядро"	c	48=0.64%	"Объединенное ядро"	th	7=0.09%	"Объединенное ядро"	dh	54=0.72%	"Объединенное ядро"	t	142=1.89%	"Объединенное ядро"	d	94=1.25%	"Объединенное ядро"	n	314=4.17%	"Объединенное ядро"	bh	19=0.25%	"Объединенное ядро"	p	49=0.65%	"Объединенное ядро"	b	3=0.04%	"Объединенное ядро"	m	69=0.92%	"Объединенное ядро"	y	344=4.57%	"Объединенное ядро"	r	20=0.27%	"Объединенное ядро"	l	10=0.13%	"Объединенное ядро"	v	16=0.21%	"Объединенное ядро"	ṣ	89=1.18%	"Объединенное ядро"	ś	52=0.69%	"Объединенное ядро"	s	199=2.64%	"Объединенное ядро"	h	140=1.86%
						kūpa	mn	0,00882108322902052																																																																																																												
						takra	n	0,00882108322902052																																																																																																												
						avara	adj	0,00879107954456807																																																																																																												
						hrada	mn	0,00879107954456807																																																																																																												
						pradeśa	m	0,00879107954456807																																																																																																												
						svaka	adj	0,00879107954456807																																																																																																												
						mithuna	mn	0,00876107586011562																																																																																																												
						pātaka	mn	0,00876107586011562																																																																																																												
						rasendra	mn	0,00876107586011562																																																																																																												
						sadana	n	0,00876107586011562																																																																																																												
						sattra	n	0,00876107586011562																																																																																																												
						nasya	n	0,00873107217566317																																																																																																												
						sakhya	n	0,00873107217566317																																																																																																												
						śīta	n	0,00873107217566317																																																																																																												
						ādhāra	m	0,00870106849121072																																																																																																												
						kāṇḍa	mn	0,00870106849121072																																																																																																												
						saṁjñita	adj	0,00870106849121072																																																																																																												
						abhidhāna	n	0,00867106480675827																																																																																																												
						asita	adj	0,00867106480675827																																																																																																												
						nigraha	m	0,00867106480675827																																																																																																												
						pāṣāṇa	m	0,00867106480675827																																																																																																												
						tuṣa	mfn	0,00867106480675827																																																																																																												
						āvantya	m	0,00861105743785337																																																																																																												
						saṁhāra	m	0,00861105743785337																																																																																																												
						tridoṣa	mn	0,00861105743785337																																																																																																												
						vaiṣṇava	adj	0,00861105743785337																																																																																																												
						vistāra	m	0,00861105743785337																																																																																																												
						uktha	n	0,00858105375340092																																																																																																												
						asta	m	0,00855105006894847																																																																																																												
						pārthiva	adj	0,00855105006894847																																																																																																												
						ahita	adj	0,00852104638449602																																																																																																												
						aprameya	adj	0,00852104638449602																																																																																																												
						sṛñjaya	m	0,00852104638449602																																																																																																												
						tāla	m	0,00852104638449602																																																																																																												
						adhyayana	n	0,00849104270004357																																																																																																												
						bhāradvāja	m	0,00849104270004357																																																																																																												
						bodha	m	0,00849104270004357																																																																																																												
						mahiṣa	m	0,00849104270004357																																																																																																												
						palāśa	m	0,00849104270004357																																																																																																												
						ākhya	adj	0,00846103901559112																																																																																																												
						anuja	m	0,00846103901559112																																																																																																												
						kadala	mf	0,00846103901559112																																																																																																												
						purogama	adj	0,00846103901559112																																																																																																												
						virecana	n	0,00846103901559112																																																																																																												
						nyāsa	m	0,00843103533113867																																																																																																												
						stanya	mn	0,00843103533113867																																																																																																												
						kilbiṣa	mn	0,00840103164668621																																																																																																												
						savana	n	0,00840103164668621																																																																																																												
						bhalla	m	0,00837102796223376																																																																																																												
						golaka	m	0,00837102796223376																																																																																																												
						savya	adj	0,00837102796223376																																																																																																												
						niśācara	m	0,00834102427778131																																																																																																												
						rucya	adj	0,00834102427778131																																																																																																												
						skānda	n	0,00831102059332886																																																																																																												
						abhyaṅga	m	0,00828101690887641																																																																																																												
						anartha	m	0,00828101690887641																																																																																																												
						daśaratha	m	0,00828101690887641																																																																																																												
						paṭa	mn	0,00828101690887641																																																																																																												
						puruṣottama	m	0,00828101690887641																																																																																																												
						sārthavāha	m	0,00828101690887641																																																																																																												
						vihāra	m	0,00828101690887641																																																																																																												
						durdharṣa	adj	0,00825101322442396																																																																																																												
						kṛpaṇa	adj	0,00825101322442396																																																																																																												
						akṣa	adj	0,00822100953997151																																																																																																												
						andhaka	m	0,00822100953997151																																																																																																												
						rādheya	m	0,00822100953997151																																																																																																												
						utsāha	m	0,00822100953997151																																																																																																												
						yukta	adj	0,00822100953997151																																																																																																												
						nārāca	m	0,00816100217106661																																																																																																												
						palita	n	0,00816100217106661																																																																																																												
						pralaya	m	0,00816100217106661																																																																																																												
						śaṅkha	m	0,00816100217106661																																																																																																												
						adhikāra	m	0,00813099848661416																																																																																																												
						drāva	m	0,00813099848661416																																																																																																												
						dvijasattama	m	0,00813099848661416																																																																																																												
						rava	m	0,00813099848661416																																																																																																												
						suparṇa	m	0,00813099848661416																																																																																																												
						uttara	n	0,00813099848661416																																																																																																												
						anvaya	m	0,00810099480216171																																																																																																												
						kākutstha	m	0,00810099480216171																																																																																																												
						dāḍima	mfn	0,00807099111770926																																																																																																												
						lāghava	n	0,00807099111770926																																																																																																												
						nala	m	0,00807099111770926																																																																																																												
						sāmya	n	0,00807099111770926																																																																																																												
						ajina	n	0,0080409874332568																																																																																																												
						bhakṣaṇa	n	0,0080409874332568																																																																																																												
						naga	m	0,0080409874332568																																																																																																												
						prāyaścitta	n	0,0080409874332568																																																																																																												
						tāla	mn	0,0080409874332568																																																																																																												
						pallava	mn	0,00801098374880435																																																																																																												
						rucira	adj	0,00801098374880435																																																																																																												
						āgamana	n	0,0079809800643519																																																																																																												
						lokapāla	m	0,0079809800643519																																																																																																												
						prāṇāyāma	m	0,0079809800643519																																																																																																												
						saṁcaya	m	0,0079809800643519																																																																																																												
						saubhāgya	n	0,0079809800643519																																																																																																												
						cala	adj	0,00795097637989945																																																																																																												
						kaṭhina	adj	0,00795097637989945																																																																																																												
						sakāśa	m	0,00795097637989945																																																																																																												
						svarasa	m	0,00795097637989945																																																																																																												
						gocara	adj	0,007920972695447																																																																																																												
						gṛhastha	m	0,007920972695447																																																																																																												
						kūṭa	mn	0,007920972695447																																																																																																												
						cāra	m	0,00789096901099455																																																																																																												
						abhiprāya	m	0,0078609653265421																																																																																																												
						āyasa	adj	0,0078609653265421																																																																																																												
						hāra	mn	0,0078609653265421																																																																																																												
						kaṇṭaka	mn	0,0078609653265421																																																																																																												
						skanda	m	0,0078609653265421																																																																																																												
						upadrava	m	0,0078609653265421																																																																																																												
						anāgata	adj	0,00783096164208965																																																																																																												
						kalaśa	mn	0,00783096164208965																																																																																																												
						kāṁsya	n	0,00783096164208965																																																																																																												
						mudga	m	0,00783096164208965																																																																																																												
						ujjvala	adj	0,00783096164208965																																																																																																												
						dayita	adj	0,0078009579576372																																																																																																												
						daiva	adj	0,00777095427318475																																																																																																												
						vyoṣa	mn	0,00777095427318475																																																																																																												
						ajara	adj	0,0077409505887323																																																																																																												
						aparādha	m	0,0077409505887323																																																																																																												
						āvaraṇa	n	0,0077409505887323																																																																																																												
						rakṣaṇa	n	0,0077409505887323																																																																																																												
						viṣāda	m	0,0077409505887323																																																																																																												
						pariṇāma	m	0,00771094690427985																																																																																																												
						purātana	adj	0,00771094690427985																																																																																																												
						vṛttānta	mn	0,00771094690427985																																																																																																												
						asādhya	adj	0,00768094321982739																																																																																																												
						daśama	adj	0,00768094321982739																																																																																																												
						śāṁtanava	m	0,00768094321982739																																																																																																												
						śarāva	mn	0,00768094321982739																																																																																																												
						śmaśāna	n	0,00768094321982739																																																																																																												
						dhruva	m	0,00765093953537494																																																																																																												
						vasanta	m	0,00765093953537494																																																																																																												
						dakṣa	adj	0,00762093585092249																																																																																																												
						mahīpāla	m	0,00762093585092249																																																																																																												
						nānāvidha	adj	0,00762093585092249																																																																																																												
						saindhava	m	0,00762093585092249																																																																																																												
						vidyādhara	m	0,00762093585092249																																																																																																												
						aśoka	m	0,00759093216647004																																																																																																												
						khara	adj	0,00759093216647004																																																																																																												
						pūjana	n	0,00759093216647004																																																																																																												
						adṛṣṭa	adj	0,00756092848201759																																																																																																												
						mandira	n	0,00756092848201759																																																																																																												
						manohara	adj	0,00756092848201759																																																																																																												
						alaṁkāra	m	0,00753092479756514																																																																																																												
						ārogya	n	0,00753092479756514																																																																																																												
						jaṭhara	mn	0,00753092479756514																																																																																																												
						rasaka	mn	0,00753092479756514																																																																																																												
						śrāvaka	m	0,00753092479756514																																																																																																												
						sūkta	n	0,00753092479756514																																																																																																												
						taṇḍula	mfn	0,00753092479756514																																																																																																												
						vaiḍūrya	n	0,00753092479756514																																																																																																												
						mātaṁga	m	0,00750092111311269																																																																																																												
						pānīya	n	0,00750092111311269																																																																																																												
						kovida	adj	0,00747091742866024																																																																																																												
						praṇava	m	0,00747091742866024																																																																																																												
						vṛtta	adj	0,00747091742866024																																																																																																												
						parigha	m	0,00744091374420779																																																																																																												
						sthala	n	0,00744091374420779																																																																																																												
						śyena	m	0,00744091374420779																																																																																																												
						kānta	adj	0,00741091005975534																																																																																																												
						pāṇḍura	adj	0,00741091005975534																																																																																																												
						pārṣata	m	0,00741091005975534																																																																																																												
						manoratha	mn	0,00738090637530289																																																																																																												
						aṣṭaka	n	0,00735090269085044																																																																																																												
						pātāla	mn	0,00735090269085044																																																																																																												
						pradhāna	adj	0,00735090269085044																																																																																																												
						yūthapa	m	0,00735090269085044																																																																																																												
						saṁkṣaya	m	0,00732089900639799																																																																																																												
						saṁkula	adj	0,00732089900639799																																																																																																												
						vaikrānta	mn	0,00732089900639799																																																																																																												
						vatsala	adj	0,00732089900639799																																																																																																												
						kūla	n	0,00729089532194554																																																																																																												
						maithuna	n	0,00729089532194554																																																																																																												
						saṁsarga	m	0,00729089532194554																																																																																																												
						adhiṣṭhāna	n	0,00726089163749308																																																																																																												
						gola	mn	0,00726089163749308																																																																																																												
						gopa	m	0,00723088795304063																																																																																																												
						tarpaṇa	n	0,00723088795304063																																																																																																												
						unmāda	m	0,00723088795304063																																																																																																												
						āśīviṣa	m	0,00720088426858818																																																																																																												
						grantha	m	0,00720088426858818																																																																																																												
						kailāsa	m	0,00720088426858818																																																																																																												
						niyoga	m	0,00720088426858818																																																																																																												
						nṛśaṁsa	adj	0,00720088426858818																																																																																																												
						sādhāraṇa	adj	0,00720088426858818																																																																																																												
						saubala	m	0,00720088426858818																																																																																																												
						vaiśvānara	m	0,00720088426858818																																																																																																												
						aṁsa	m	0,00717088058413573																																																																																																												
						oṣṭha	m	0,00717088058413573																																																																																																												
						praveśa	m	0,00717088058413573																																																																																																												
						saciva	m	0,00717088058413573																																																																																																												
						saṁkṣepa	m	0,00717088058413573																																																																																																												
						balya	adj	0,00714087689968328																																																																																																												
						gāṇḍīva	mn	0,00714087689968328																																																																																																												
						kīṭa	m	0,00714087689968328																																																																																																												
						puraṁdara	m	0,00714087689968328																																																																																																												
						stotra	n	0,00711087321523083																																																																																																												
						vyāyāma	m	0,00711087321523083																																																																																																												
						ambuja	mn	0,00708086953077838																																																																																																												
						kuṅkuma	n	0,00708086953077838																																																																																																												
						saṁjñaka	adj	0,00708086953077838																																																																																																												
						upayoga	m	0,00708086953077838																																																																																																												
						caura	m	0,00705086584632593																																																																																																												
						mātula	m	0,00705086584632593																																																																																																												
						ṛkṣa	m	0,00705086584632593																																																																																																												
						anumāna	n	0,00702086216187348																																																																																																												
						kuśala	n	0,00702086216187348																																																																																																												
						prākṛta	adj	0,00702086216187348																																																																																																												
						ṛṇa	n	0,00702086216187348																																																																																																												
						akāla	m	0,00699085847742103																																																																																																												
						gajapuṭa	mn	0,00699085847742103																																																																																																												
						paṅka	mn	0,00699085847742103																																																																																																												
						uṣṭra	m	0,00699085847742103																																																																																																												
						acintya	adj	0,00696085479296858																																																																																																												
						akṛta	adj	0,00696085479296858																																																																																																												
						aṅgada	m	0,00696085479296858																																																																																																												
						saubhadra	m	0,00696085479296858																																																																																																												
						ādara	m	0,00693085110851613																																																																																																												
						drava	adj	0,00693085110851613																																																																																																												
						puṅkha	m	0,00693085110851613																																																																																																												
						revākhaṇḍa	m	0,00693085110851613																																																																																																												
						samudbhava	m	0,00693085110851613																																																																																																												
						dāraka	m	0,00690084742406368																																																																																																												
						māraṇa	mfn	0,00690084742406368																																																																																																												
						phena	mn	0,00690084742406368																																																																																																												
						uddeśa	m	0,00690084742406368																																																																																																												
						adhyātma	n	0,00687084373961122																																																																																																												
						nāgara	n	0,00687084373961122																																																																																																												
						nanda	m	0,00687084373961122																																																																																																												
						pratyeka	adj	0,00687084373961122																																																																																																												
						tatpara	adj	0,00687084373961122																																																																																																												
						bhūdhara	m	0,00684084005515877																																																																																																												
						dharmya	adj	0,00684084005515877																																																																																																												
						jaḍa	adj	0,00684084005515877																																																																																																												
						jayadratha	m	0,00684084005515877																																																																																																												
						musala	mn	0,00684084005515877																																																																																																												
						nirvāṇa	mn	0,00684084005515877																																																																																																												
						saṁśraya	m	0,00684084005515877																																																																																																												
						anindita	adj	0,00681083637070632																																																																																																												
						āvarta	m	0,00681083637070632																																																																																																												
						sara	adj	0,00681083637070632																																																																																																												
						mayūra	m	0,00678083268625387																																																																																																												
						prahāra	m	0,00678083268625387																																																																																																												
						pravīra	m	0,00678083268625387																																																																																																												
						yugma	n	0,00678083268625387																																																																																																												
						kāca	mn	0,00675082900180142																																																																																																												
						krāmaṇa	mfn	0,00675082900180142																																																																																																												
						kulattha	mn	0,00675082900180142																																																																																																												
						sāmānya	n	0,00675082900180142																																																																																																												
						saṁsthāna	n	0,00675082900180142																																																																																																												
						aindra	adj	0,00672082531734897																																																																																																												
						darada	mn	0,00672082531734897																																																																																																												
						sanatkumāra	m	0,00672082531734897																																																																																																												
						ananta	m	0,00669082163289652																																																																																																												
						eraṇḍa	m	0,00669082163289652																																																																																																												
						nāla	mfn	0,00669082163289652																																																																																																												
						pravāla	mn	0,00669082163289652																																																																																																												
						saṁvāda	m	0,00669082163289652																																																																																																												
						tanmātra	fn	0,00669082163289652																																																																																																												
						tathāvidha	adj	0,00669082163289652																																																																																																												
						hrasva	adj	0,00666081794844407																																																																																																												
						kṣata	n	0,00666081794844407																																																																																																												
						āma	adj	0,00663081426399162																																																																																																												
						bhakṣya	n	0,00663081426399162																																																																																																												
						bila	n	0,00663081426399162																																																																																																												
						caṇḍa	adj	0,00663081426399162																																																																																																												
						gala	m	0,00663081426399162																																																																																																												
						kāsīsa	n	0,00663081426399162																																																																																																												
						khaga	mn	0,00663081426399162																																																																																																												
						kumbhakarṇa	m	0,00663081426399162																																																																																																												
						prabhāta	n	0,00663081426399162																																																																																																												
						vasana	n	0,00663081426399162																																																																																																												
						rukma	n	0,00660081057953917																																																																																																												
						kāśyapa	m	0,00657080689508672																																																																																																												
						laya	m	0,00657080689508672																																																																																																												
						nirghoṣa	m	0,00657080689508672																																																																																																												
						nisvana	m	0,00657080689508672																																																																																																												
						āgāra	n	0,00654080321063427																																																																																																												
						āmiṣa	n	0,00654080321063427																																																																																																												
						anubandha	m	0,00654080321063427																																																																																																												
						ghaṭotkaca	m	0,00654080321063427																																																																																																												
						parjanya	m	0,00654080321063427																																																																																																												
						sukṛta	n	0,00654080321063427																																																																																																												
						aṅkura	mn	0,00651079952618181																																																																																																												
						duṣkṛta	n	0,00651079952618181																																																																																																												
						klama	m	0,00651079952618181																																																																																																												
						kuṇḍa	mn	0,00651079952618181																																																																																																												
						ākhyāna	n	0,00648079584172936																																																																																																												
						āmalaka	mf	0,00648079584172936																																																																																																												
						garta	mn	0,00648079584172936																																																																																																												
						nāyaka	m	0,00648079584172936																																																																																																												
						puṣpita	adj	0,00648079584172936																																																																																																												
						agnihotra	n	0,00645079215727691																																																																																																												
						paṇa	m	0,00645079215727691																																																																																																												
						yājñavalkya	m	0,00645079215727691																																																																																																												
						abhyadhika	adj	0,00642078847282446																																																																																																												
						āloka	m	0,00642078847282446																																																																																																												
						vatsara	m	0,00642078847282446																																																																																																												
						ādhmāna	n	0,00639078478837201																																																																																																												
						agha	n	0,00639078478837201																																																																																																												
						anulepana	n	0,00639078478837201																																																																																																												
						cakṣuṣya	adj	0,00639078478837201																																																																																																												
						dvāpara	mn	0,00639078478837201																																																																																																												
						haraṇa	n	0,00639078478837201																																																																																																												
						naya	m	0,00639078478837201																																																																																																												
						tomara	mn	0,00639078478837201																																																																																																												
						udbhava	m	0,00639078478837201																																																																																																												
						annādya	n	0,00636078110391956																																																																																																												
						devarāja	m	0,00636078110391956																																																																																																												
