"от 200 до 700"	au	1=0.04%	"от 200 до 700"	a	1893=70.22%	"от 200 до 700"	ā	171=6.34%	"от 200 до 700"	i	191=7.08%	"от 200 до 700"	ī	60=2.23%	"от 200 до 700"	u	88=3.26%	"от 200 до 700"	ū	4=0.15%	"от 200 до 700"	o	1=0.04%	"от 200 до 700"	ṛ	23=0.85%	"от 200 до 700"	k	1=0.04%	"от 200 до 700"	j	7=0.26%	"от 200 до 700"	c	6=0.22%	"от 200 до 700"	dh	3=0.11%	"от 200 до 700"	t	41=1.52%	"от 200 до 700"	d	11=0.41%	"от 200 до 700"	n	127=4.71%	"от 200 до 700"	p	1=0.04%	"от 200 до 700"	r	4=0.15%	"от 200 до 700"	v	1=0.04%	"от 200 до 700"	ṣ	4=0.15%	"от 200 до 700"	ś	4=0.15%	"от 200 до 700"	s	52=1.93%
			sāhasa	mn	0,01409																																																												
			sāhasra	adj	0,01409																																																												
			svastha	adj	0,01409																																																												
			svaka	adj	0,01409																																																												
			śobhana	adj	0,01409																																																												
			prāya	m	0,01409																																																												
			ghna	adj	0,01409																																																												
			auṣadha	n	0,01377																																																												
			saṁkṣaya	m	0,01377																																																												
			anubhāva	m	0,01377																																																												
			arghya	n	0,01377																																																												
			hrada	mn	0,01377																																																												
			ārdra	adj	0,01377																																																												
			ahorātra	mn	0,01377																																																												
			āvaraṇa	n	0,01377																																																												
			mahādeva	m	0,01377																																																												
			mahiṣa	m	0,01377																																																												
			devadeva	m	0,01377																																																												
			sthūla	adj	0,01377																																																												
			vraja	m	0,01377																																																												
			vitarka	m	0,01377																																																												
			śulka	mn	0,01377																																																												
			kraya	m	0,01377																																																												
			vetana	n	0,01377																																																												
			purohita	m	0,01377																																																												
			prakāśa	m	0,01377																																																												
			ghana	mn	0,01377																																																												
			agrya	adj	0,01345																																																												
			anuttara	adj	0,01345																																																												
			paṅka	mn	0,01345																																																												
			parāyaṇa	n	0,01345																																																												
			pariṇāma	m	0,01345																																																												
			abhiyoga	m	0,01345																																																												
			madhya	adj	0,01345																																																												
			ṛṣabha	m	0,01345																																																												
			dhāraṇa	n	0,01345																																																												
			upakaraṇa	n	0,01345																																																												
			bharata	m	0,01345																																																												
			arṇava	m	0,01345																																																												
			avasthāna	n	0,01345																																																												
			loha	mn	0,01345																																																												
			dīpa	m	0,01345																																																												
			dyūta	n	0,01345																																																												
			pātāla	mn	0,01345																																																												
			tapodhana	adj	0,01345																																																												
			haya	m	0,01345																																																												
			svadharma	m	0,01345																																																												
			gaurava	n	0,01345																																																												
			śoṇita	n	0,01345																																																												
			bāṣpa	mn	0,01345																																																												
			prāyaścitta	n	0,01345																																																												
			carācara	n	0,01345																																																												
			adbhuta	adj	0,01313																																																												
			saṁkalpa	m	0,01313																																																												
			antarikṣa	n	0,01313																																																												
			kaśyapa	m	0,01313																																																												
			utsava	m	0,01313																																																												
			ātmaka	adj	0,01313																																																												
			rata	n	0,01313																																																												
			māruta	m	0,01313																																																												
			lalāṭa	mn	0,01313																																																												
			japa	m	0,01313																																																												
			jambha	m	0,01313																																																												
			pāla	m	0,01313																																																												
			vyāsa	m	0,01313																																																												
			arha	adj	0,01313																																																												
			atyaya	m	0,01281																																																												
			kāraka	adj	0,01281																																																												
			nirmala	adj	0,01281																																																												
			ekānta	m	0,01281																																																												
			dhīra	adj	0,01281																																																												
			cihna	n	0,01281																																																												
			cūrṇa	mn	0,01281																																																												
			cheda	m	0,01281																																																												
			arjana	n	0,01281																																																												
			vātsyāyana	m	0,01281																																																												
			sākṣya	n	0,01281																																																												
			vaiṣṇava	adj	0,01281																																																												
			viyoga	m	0,01281																																																												
			pratīkāra	m	0,01281																																																												
			puṭa	mn	0,01281																																																												
			purīṣa	n	0,01281																																																												
			praveśa	m	0,01281																																																												
			saṁsthāna	n	0,01249																																																												
			parameśvara	m	0,01249																																																												
			kilbiṣa	mn	0,01249																																																												
			bhaiṣajya	n	0,01249																																																												
			nibha	adj	0,01249																																																												
			nakta	n	0,01249																																																												
			nandana	m	0,01249																																																												
			vigraha	mn	0,01249																																																												
			bhadra	adj	0,01249																																																												
			asta	m	0,01249																																																												
			rava	m	0,01249																																																												
			sādhaka	m	0,01249																																																												
			sāmarthya	n	0,01249																																																												
			vimala	adj	0,01249																																																												
			śīghra	adj	0,01249																																																												
			śmaśāna	n	0,01249																																																												
			pramatha	m	0,01249																																																												
			pautra	m	0,01249																																																												
			kaca	m	0,01217																																																												
			kūṭa	mn	0,01217																																																												
			kūpa	mn	0,01217																																																												
			saṁgama	m	0,01217																																																												
			saṁgrāma	mn	0,01217																																																												
			anuga	adj	0,01217																																																												
			sadbhāva	m	0,01217																																																												
			nānāvidha	adj	0,01217																																																												
			manoratha	mn	0,01217																																																												
			bhakṣya	n	0,01217																																																												
			lokapāla	m	0,01217																																																												
			daiva	adj	0,01217																																																												
			havya	n	0,01217																																																												
			sārthavāha	m	0,01217																																																												
			sāhasa	n	0,01217																																																												
			vyāghra	m	0,01217																																																												
			vibhūṣaṇa	n	0,01217																																																												
			vṛṣabha	m	0,01217																																																												
			purāṇa	adj	0,01217																																																												
			puṣya	mn	0,01217																																																												
			pracāra	m	0,01217																																																												
			pratyeka	adj	0,01217																																																												
			kaṇṭaka	mn	0,01185																																																												
			adhiṣṭhāna	n	0,01185																																																												
			nāda	m	0,01185																																																												
			bhakta	m	0,01185																																																												
			bhakta	n	0,01185																																																												
			dīna	adj	0,01185																																																												
			pādapa	m	0,01185																																																												
			taṭa	mn	0,01185																																																												
			sukha	adj	0,01185																																																												
			haima	adj	0,01185																																																												
			khara	m	0,01185																																																												
			bhaikṣya	n	0,01185																																																												
			anubandha	m	0,01153																																																												
			apūrva	adj	0,01153																																																												
			apratiṣedha	m	0,01153																																																												
			oṣṭha	m	0,01153																																																												
			dhruva	adj	0,01153																																																												
			cira	adj	0,01153																																																												
			arṇava	mn	0,01153																																																												
			ādhipatya	n	0,01153																																																												
			ārāma	m	0,01153																																																												
			yogya	adj	0,01153																																																												
			dhanya	adj	0,01153																																																												
			stambha	m	0,01153																																																												
			haraṇa	n	0,01153																																																												
			vaira	mn	0,01153																																																												
			svara	m	0,01153																																																												
			vibhava	m	0,01153																																																												
			catuṣṭaya	fn	0,01153																																																												
			kṣetrajña	m	0,01153																																																												
			aniṣṭa	adj	0,01121																																																												
			kalaha	mn	0,01121																																																												
			parityāga	m	0,01121																																																												
			abhyadhika	adj	0,01121																																																												
			abhra	mn	0,01121																																																												
			mandara	m	0,01121																																																												
			mayūra	m	0,01121																																																												
			saṁyama	m	0,01121																																																												
			upaskara	mn	0,01121																																																												
			argha	m	0,01121																																																												
			avara	adj	0,01121																																																												
			ahaṁkāra	m	0,01121																																																												
			laya	m	0,01121																																																												
			tāmra	n	0,01121																																																												
			hima	n	0,01121																																																												
			śāka	mn	0,01121																																																												
			virodha	m	0,01121																																																												
			darpa	m	0,01121																																																												
			grāha	m	0,01121																																																												
			savarṇa	adj	0,01121																																																												
			pariṣkāra	m	0,01121																																																												
			aṅkura	mn	0,01089																																																												
			ajñāta	adj	0,01089																																																												
			saṁsarga	m	0,01089																																																												
			saṁdeha	m	0,01089																																																												
			parāṅmukha	adj	0,01089																																																												
			pala	mn	0,01089																																																												
			ūrdhva	adj	0,01089																																																												
			cāra	m	0,01089																																																												
			jaṅgama	adj	0,01089																																																												
			indhana	n	0,01089																																																												
			varāha	m	0,01089																																																												
			vardhana	adj	0,01089																																																												
			raudra	adj	0,01089																																																												
			sauvarṇa	adj	0,01089																																																												
			hāra	mn	0,01089																																																												
			śukla	m	0,01089																																																												
			mudgara	m	0,01089																																																												
			musala	mn	0,01089																																																												
			viraha	m	0,01089																																																												
			pramāda	m	0,01089																																																												
			ghaṭa	m	0,01089																																																												
			abhaya	n	0,01057																																																												
			abhimāna	m	0,01057																																																												
			nikṣepa	m	0,01057																																																												
			nigraha	m	0,01057																																																												
			nagna	adj	0,01057																																																												
			cīvara	n	0,01057																																																												
			chattra	n	0,01057																																																												
			jaghana	mn	0,01057																																																												
			alaṁkāra	m	0,01057																																																												
			aviśeṣa	m	0,01057																																																												
			utkṛṣṭa	adj	0,01057																																																												
			ākara	m	0,01057																																																												
			ugrasena	m	0,01057																																																												
			vatsara	m	0,01057																																																												
			roṣa	m	0,01057																																																												
			vallabha	adj	0,01057																																																												
			vaśya	adj	0,01057																																																												
			mānuṣa	m	0,01057																																																												
			pātaka	mn	0,01057																																																												
			vyāla	m	0,01057																																																												
			śīta	n	0,01057																																																												
			khaḍga	mn	0,01057																																																												
			śikhara	mn	0,01057																																																												
			śilpa	mn	0,01057																																																												
			mithuna	mn	0,01057																																																												
			pratyakṣa	n	0,01057																																																												
			vīraka	m	0,01057																																																												
			dāya	m	0,01057																																																												
			praṇaya	m	0,01057																																																												
			pralaya	m	0,01057																																																												
			prāṅmukha	adj	0,01057																																																												
			caṇḍāla	m	0,01057																																																												
			kalāpa	mn	0,01025																																																												
			dhīra	adj	0,01025																																																												
			upakāra	m	0,01025																																																												
			upasthāna	n	0,01025																																																												
			cumbana	n	0,01025																																																												
			udbhava	m	0,01025																																																												
			aśakta	adj	0,01025																																																												
			laukika	adj	0,01025																																																												
			māna	n	0,01025																																																												
			turaga	m	0,01025																																																												
			dharmya	adj	0,01025																																																												
			vairāgya	mn	0,01025																																																												
			śyāma	adj	0,01025																																																												
			viṣkambha	m	0,01025																																																												
			puraḥsara	adj	0,01025																																																												
			balabhadra	m	0,01025																																																												
			saṁprayoga	m	0,01025																																																												
			anagha	adj	0,00993																																																												
			ananta	m	0,00993																																																												
			paṅkaja	n	0,00993																																																												
			kīṭa	m	0,00993																																																												
			kuñjara	m	0,00993																																																												
			bhūpāla	m	0,00993																																																												
			nidhana	mn	0,00993																																																												
			vijaya	m	0,00993																																																												
			cāpa	mn	0,00993																																																												
			chidra	n	0,00993																																																												
			udaṅmukha	adj	0,00993																																																												
			ājya	n	0,00993																																																												
			āvaha	adj	0,00993																																																												
			yāma	m	0,00993																																																												
			lakṣa	mn	0,00993																																																												
			devarāja	m	0,00993																																																												
			tāla	m	0,00993																																																												
			sādhāraṇa	adj	0,00993																																																												
			gautama	m	0,00993																																																												
			śuṣka	adj	0,00993																																																												
			viśāla	adj	0,00993																																																												
			pradīpa	m	0,00993																																																												
			daridra	adj	0,00993																																																												
			caṇḍa	adj	0,00993																																																												
			adhigama	m	0,00993																																																												
			kapila	m	0,00961																																																												
			saṁstha	adj	0,00961																																																												
			saṁkara	m	0,00961																																																												
			satkāra	m	0,00961																																																												
			anukrama	m	0,00961																																																												
			paṇḍita	m	0,00961																																																												
			abhidhāna	n	0,00961																																																												
			makara	m	0,00961																																																												
			samūha	mn	0,00961																																																												
			amitra	mf	0,00961																																																												
			nareśvara	m	0,00961																																																												
			vicakṣaṇa	adj	0,00961																																																												
			bhāṣita	n	0,00961																																																												
			bhīṣaṇa	adj	0,00961																																																												
			cora	m	0,00961																																																												
			āhava	m	0,00961																																																												
			māgha	m	0,00961																																																												
			rūpya	n	0,00961																																																												
			duḥkhita	adj	0,00961																																																												
			dṛṣṭānta	m	0,00961																																																												
			deveśa	m	0,00961																																																												
			dvaṁdva	mn	0,00961																																																												
			pitrya	adj	0,00961																																																												
			tāpasa	m	0,00961																																																												
			samyaksambuddha	adj	0,00961																																																												
			gocara	m	0,00961																																																												
			puṣkara	n	0,00961																																																												
			pravaṇa	adj	0,00961																																																												
			capala	adj	0,00961																																																												
			grasana	m	0,00961																																																												
			lekhya	n	0,00961																																																												
			kapāla	mn	0,00929																																																												
			kara	m	0,00929																																																												
			kṛtārtha	adj	0,00929																																																												
			kṛpaṇa	adj	0,00929																																																												
			atiśaya	m	0,00929																																																												
			atula	adj	0,00929																																																												
			aparādha	m	0,00929																																																												
			apramatta	adj	0,00929																																																												
			abhiṣeka	m	0,00929																																																												
			ayana	n	0,00929																																																												
			nāśana	adj	0,00929																																																												
			manohara	adj	0,00929																																																												
			uṣṇīṣa	mn	0,00929																																																												
			nakula	m	0,00929																																																												
			naga	m	0,00929																																																												
			uttara	n	0,00929																																																												
			utsarga	m	0,00929																																																												
			aṣṭaka	m	0,00929																																																												
			ālāpa	m	0,00929																																																												
			vasana	n	0,00929																																																												
			māṣa	m	0,00929																																																												
			lavaṇa	adj	0,00929																																																												
			lola	adj	0,00929																																																												
			jina	m	0,00929																																																												
			daiteya	m	0,00929																																																												
			subhaga	adj	0,00929																																																												
			hutāśana	m	0,00929																																																												
			śarva	m	0,00929																																																												
			vibhrama	m	0,00929																																																												
			śāṭhya	n	0,00929																																																												
			prabhāta	n	0,00929																																																												
			piśāca	m	0,00929																																																												
			pūjana	n	0,00929																																																												
			prakāśa	adj	0,00929																																																												
			pratipakṣa	m	0,00929																																																												
			pravara	adj	0,00929																																																												
			ghana	adj	0,00929																																																												
			aṁsa	m	0,00929																																																												
			aurva	m	0,00897																																																												
			acintya	adj	0,00897																																																												
			aṇḍa	mn	0,00897																																																												
			anumāna	n	0,00897																																																												
			antya	adj	0,00897																																																												
			pakva	adj	0,00897																																																												
			aputra	adj	0,00897																																																												
			samudbhava	m	0,00897																																																												
			manmatha	m	0,00897																																																												
			naya	m	0,00897																																																												
			vāruṇa	adj	0,00897																																																												
			vāsava	m	0,00897																																																												
			īśāna	m	0,00897																																																												
			raṅga	m	0,00897																																																												
			lohita	adj	0,00897																																																												
			rudhira	n	0,00897																																																												
			maithuna	n	0,00897																																																												
			mauna	n	0,00897																																																												
			varya	adj	0,00897																																																												
			durjaya	adj	0,00897																																																												
			jaṭhara	mn	0,00897																																																												
			jīva	mn	0,00897																																																												
			pālana	n	0,00897																																																												
			piṇḍapāta	m	0,00897																																																												
			taṇḍula	mfn	0,00897																																																												
			tatpara	adj	0,00897																																																												
			taraṁga	m	0,00897																																																												
			sambhāra	mn	0,00897																																																												
			sukṛta	n	0,00897																																																												
			sādhya	m	0,00897																																																												
			sāmya	n	0,00897																																																												
			syandana	mn	0,00897																																																												
			vyañjana	n	0,00897																																																												
			svāyambhuva	m	0,00897																																																												
			geha	mn	0,00897																																																												
			śuka	m	0,00897																																																												
			khaṇḍa	mn	0,00897																																																												
			kṣobha	m	0,00897																																																												
			dala	mn	0,00897																																																												
			bodhisattva	m	0,00897																																																												
			praṇidhāna	n	0,00897																																																												
			prakaraṇa	n	0,00897																																																												
			oṁkāra	m	0,00897																																																												
			kandara	mfn	0,00865																																																												
			kavya	n	0,00865																																																												
			kāka	m	0,00865																																																												
			padārtha	mn	0,00865																																																												
			pannaga	mn	0,00865																																																												
			paricaya	m	0,00865																																																												
			aprāpta	adj	0,00865																																																												
			apriya	adj	0,00865																																																												
			abhijana	mn	0,00865																																																												
			kupya	n	0,00865																																																												
			bhojya	n	0,00865																																																												
			nirdeśa	m	0,00865																																																												
			samāsa	m	0,00865																																																												
			samāgama	m	0,00865																																																												
			ambuja	mn	0,00865																																																												
			manorama	adj	0,00865																																																												
			upaghāta	m	0,00865																																																												
			vikṣepa	m	0,00865																																																												
			bhadanta	m	0,00865																																																												
			chedana	n	0,00865																																																												
			avakāśa	m	0,00865																																																												
			uddeśa	m	0,00865																																																												
			ārya	m	0,00865																																																												
			aśoka	m	0,00865																																																												
			rahasya	n	0,00865																																																												
			mahoraga	m	0,00865																																																												
			tūrya	mn	0,00865																																																												
			dhanada	m	0,00865																																																												
			pāyasa	mn	0,00865																																																												
			pāruṣya	n	0,00865																																																												
			taskara	m	0,00865																																																												
			tādṛśa	adj	0,00865																																																												
			tāmra	adj	0,00865																																																												
			harmya	n	0,00865																																																												
			smaraṇa	n	0,00865																																																												
			kṣudra	adj	0,00865																																																												
			purogama	adj	0,00865																																																												
			ākhya	adj	0,00865																																																												
			akṣa	m	0,00833																																																												
			aṅgāra	mn	0,00833																																																												
			adhara	m	0,00833																																																												
			saṁkāśa	m	0,00833																																																												
			saṁkṣepa	m	0,00833																																																												
			adhīna	adj	0,00833																																																												
			anīka	mn	0,00833																																																												
			paṭa	mn	0,00833																																																												
			paribhava	m	0,00833																																																												
			paruṣa	adj	0,00833																																																												
			parṇa	mn	0,00833																																																												
			andhaka	m	0,00833																																																												
			apavarga	m	0,00833																																																												
			bhūpa	m	0,00833																																																												
			śramaṇa	m	0,00833																																																												
			bharadvāja	m	0,00833																																																												
			ucchiṣṭa	n	0,00833																																																												
			ucita	adj	0,00833																																																												
			rajata	n	0,00833																																																												
			rājata	adj	0,00833																																																												
			durbala	adj	0,00833																																																												
			pallava	mn	0,00833																																																												
			pāka	m	0,00833																																																												
			taḍāga	mn	0,00833																																																												
			sūkta	n	0,00833																																																												
			miśra	adj	0,00833																																																												
			pūrvāhṇa	m	0,00833																																																												
			daśama	adj	0,00833																																																												
			bālaka	m	0,00833																																																												
			praśama	m	0,00833																																																												
			caturyuga	mn	0,00833																																																												
			ghāta	m	0,00833																																																												
			kaivalya	n	0,00801																																																												
			adarśana	n	0,00801																																																												
			saṁcaya	m	0,00801																																																												
			kaṣṭa	adj	0,00801																																																												
			kānta	m	0,00801																																																												
			patana	n	0,00801																																																												
			parigha	m	0,00801																																																												
			abhiniveśa	m	0,00801																																																												
			bhairava	adj	0,00801																																																												
			madhyāhna	m	0,00801																																																												
			ūna	adj	0,00801																																																												
			bhārata	n	0,00801																																																												
			cāndrāyaṇa	n	0,00801																																																												
			utkarṣa	m	0,00801																																																												
			udvega	m	0,00801																																																												
			ānantya	n	0,00801																																																												
			āya	m	0,00801																																																												
			avyakta	n	0,00801																																																												
			aśeṣa	m	0,00801																																																												
			ārṣa	adj	0,00801																																																												
			yajamāna	m	0,00801																																																												
			mātāmaha	m	0,00801																																																												
			māra	m	0,00801																																																												
			pāṣaṇḍa	m	0,00801																																																												
			jvalana	m	0,00801																																																												
			tapana	m	0,00801																																																												
			daṁṣṭra	mfn	0,00801																																																												
			savya	adj	0,00801																																																												
			sugata	m	0,00801																																																												
			sahasrākṣa	m	0,00801																																																												
			sphuṭa	adj	0,00801																																																												
			svana	m	0,00801																																																												
			sveda	m	0,00801																																																												
			gulma	mn	0,00801																																																												
			gaura	adj	0,00801																																																												
			khāṇḍikya	m	0,00801																																																												
			putraka	m	0,00801																																																												
			bahula	adj	0,00801																																																												
			keyūra	m	0,00769																																																												
			kailāsa	m	0,00769																																																												
			akāla	m	0,00769																																																												
			agnihotra	n	0,00769																																																												
			ajina	n	0,00769																																																												
			sagara	m	0,00769																																																												
			antaka	m	0,00769																																																												
			kalyāṇa	adj	0,00769																																																												
			kānana	n	0,00769																																																												
			paryanta	m	0,00769																																																												
			kuṭumba	n	0,00769																																																												
			samāja	m	0,00769																																																												
			amṛta	adj	0,00769																																																												
			ambuda	m	0,00769																																																												
			nidāgha	m	0,00769																																																												
			madya	n	0,00769																																																												
			manuja	m	0,00769																																																												
			mandira	n	0,00769																																																												
			cāturvarṇya	n	0,00769																																																												
			arcana	fn	0,00769																																																												
			alābha	m	0,00769																																																												
			avatāra	mn	0,00769																																																												
			avasāna	n	0,00769																																																												
			ātapa	m	0,00769																																																												
			ādhyātmika	adj	0,00769																																																												
			ālambana	n	0,00769																																																												
			meṣa	m	0,00769																																																												
			valaya	mn	0,00769																																																												
			mādhava	m	0,00769																																																												
			trāsa	m	0,00769																																																												
			durbhikṣa	mn	0,00769																																																												
			duṣkṛta	n	0,00769																																																												
			deya	n	0,00769																																																												
			dainya	n	0,00769																																																												
			pārijāta	m	0,00769																																																												
			suvrata	adj	0,00769																																																												
			sāmānya	n	0,00769																																																												
			mukuṭa	mn	0,00769																																																												
			vṛka	m	0,00769																																																												
			dāraka	m	0,00769																																																												
			prasava	m	0,00769																																																												
			kapola	mn	0,00737																																																												
			kūrma	m	0,00737																																																												
			akṣata	mn	0,00737																																																												
			agha	n	0,00737																																																												
			ajara	adj	0,00737																																																												
			ajāta	adj	0,00737																																																												
			adhikaraṇa	n	0,00737																																																												
			anuṣṭhāna	n	0,00737																																																												
			kala	adj	0,00737																																																												
			nyūna	adj	0,00737																																																												
			apāya	m	0,00737																																																												
			nimna	adj	0,00737																																																												
			nīca	adj	0,00737																																																												
			samara	mn	0,00737																																																												
			aruṇa	adj	0,00737																																																												
			ṛkṣa	m	0,00737																																																												
			airāvata	m	0,00737																																																												
			namaskāra	m	0,00737																																																												
