"от 1200 до 1700"	a	1946=69.28%	"от 1200 до 1700"	ā	205=7.30%	"от 1200 до 1700"	i	196=6.98%	"от 1200 до 1700"	ī	89=3.17%	"от 1200 до 1700"	u	86=3.06%	"от 1200 до 1700"	ū	6=0.21%	"от 1200 до 1700"	o	1=0.04%	"от 1200 до 1700"	ṛ	17=0.61%	"от 1200 до 1700"	j	9=0.32%	"от 1200 до 1700"	c	6=0.21%	"от 1200 до 1700"	dh	3=0.11%	"от 1200 до 1700"	t	42=1.50%	"от 1200 до 1700"	d	14=0.50%	"от 1200 до 1700"	n	126=4.49%	"от 1200 до 1700"	p	1=0.04%	"от 1200 до 1700"	r	4=0.14%	"от 1200 до 1700"	v	1=0.04%	"от 1200 до 1700"	ṣ	5=0.18%	"от 1200 до 1700"	ś	5=0.18%	"от 1200 до 1700"	s	45=1.60%
upayoga	m	0,01221																																																									
vāsara	mn	0,01221																																																									
bhakṣaṇa	n	0,01221																																																									
āgneya	adj	0,01221																																																									
tridoṣa	mn	0,01221																																																									
durga	n	0,01221																																																									
śuddha	adj	0,01221																																																									
gambhīra	adj	0,01221																																																									
śikhara	mn	0,01221																																																									
prabhāta	n	0,01221																																																									
daridra	adj	0,01221																																																									
aṅkura	mn	0,01192																																																									
sakha	m	0,01192																																																									
apāna	mn	0,01192																																																									
amara	m	0,01192																																																									
nidhana	mn	0,01192																																																									
malina	adj	0,01192																																																									
dhṛṣṭadyumna	m	0,01192																																																									
bhārgava	m	0,01192																																																									
unmeṣa	m	0,01192																																																									
āvaraṇa	n	0,01192																																																									
duḥsaha	adj	0,01192																																																									
jāgara	m	0,01192																																																									
pārada	mn	0,01192																																																									
pāvaka	m	0,01192																																																									
viśeṣaṇa	n	0,01192																																																									
purohita	m	0,01192																																																									
adbhuta	adj	0,01163																																																									
adhama	adj	0,01163																																																									
saṁgrāma	mn	0,01163																																																									
saṁjñaka	adj	0,01163																																																									
abhinna	adj	0,01163																																																									
araṇya	n	0,01163																																																									
manoratha	mn	0,01163																																																									
dhūrta	m	0,01163																																																									
vicāra	m	0,01163																																																									
avatāra	mn	0,01163																																																									
āditya	m	0,01163																																																									
yukta	adj	0,01163																																																									
yugma	n	0,01163																																																									
māṣa	m	0,01163																																																									
tālaka	mn	0,01163																																																									
druma	m	0,01163																																																									
sarvajña	adj	0,01163																																																									
smita	n	0,01163																																																									
khala	m	0,01163																																																									
ākhya	adj	0,01163																																																									
patha	m	0,01134																																																									
pannaga	mn	0,01134																																																									
madya	n	0,01134																																																									
ekānta	m	0,01134																																																									
bhāṇḍa	n	0,01134																																																									
arghya	n	0,01134																																																									
utsuka	adj	0,01134																																																									
āyurveda	m	0,01134																																																									
asta	m	0,01134																																																									
asra	n	0,01134																																																									
rāvaṇa	m	0,01134																																																									
mahārasa	mn	0,01134																																																									
lalāṭa	mn	0,01134																																																									
durjana	m	0,01134																																																									
pātaka	mn	0,01134																																																									
jyeṣṭha	adj	0,01134																																																									
tāla	m	0,01134																																																									
saubhāgya	n	0,01134																																																									
svarṇa	n	0,01134																																																									
śoṣa	m	0,01134																																																									
śasya	n	0,01134																																																									
vetāla	m	0,01134																																																									
prasara	m	0,01134																																																									
prājña	adj	0,01134																																																									
vṛtta	n	0,01134																																																									
kadala	mf	0,01105																																																									
accha	adj	0,01105																																																									
atyanta	adj	0,01105																																																									
padārtha	mn	0,01105																																																									
parāyaṇa	n	0,01105																																																									
saṁtoṣa	m	0,01105																																																									
kuṅkuma	n	0,01105																																																									
kumāra	m	0,01105																																																									
madra	m	0,01105																																																									
naya	m	0,01105																																																									
caura	m	0,01105																																																									
chidra	n	0,01105																																																									
udbhava	m	0,01105																																																									
āyatana	n	0,01105																																																									
āścarya	n	0,01105																																																									
raudra	adj	0,01105																																																									
lola	adj	0,01105																																																									
vaidya	m	0,01105																																																									
viḍa	mn	0,01105																																																									
śulba	n	0,01105																																																									
kampa	m	0,01105																																																									
kaṇṭaka	mn	0,01076																																																									
saciva	m	0,01076																																																									
naivedya	n	0,01076																																																									
samartha	adj	0,01076																																																									
avayava	m	0,01076																																																									
ahorātra	mn	0,01076																																																									
āveśa	m	0,01076																																																									
varuṇa	m	0,01076																																																									
vānara	m	0,01076																																																									
lakṣmaṇa	m	0,01076																																																									
palāśa	m	0,01076																																																									
pātāla	mn	0,01076																																																									
stotra	n	0,01076																																																									
sāmarthya	n	0,01076																																																									
sphaṭika	mn	0,01076																																																									
gāṅgeya	m	0,01076																																																									
viveka	m	0,01076																																																									
prakarṣa	m	0,01076																																																									
pratibimba	mn	0,01076																																																									
praśna	m	0,01076																																																									
akṣa	adj	0,01076																																																									
koṇa	m	0,01046																																																									
acyuta	m	0,01046																																																									
adhara	m	0,01046																																																									
saṁsarga	m	0,01046																																																									
saṁghaṭṭa	mn	0,01046																																																									
kārmuka	n	0,01046																																																									
parigraha	m	0,01046																																																									
parivāra	m	0,01046																																																									
abhimāna	m	0,01046																																																									
nakula	m	0,01046																																																									
upacāra	m	0,01046																																																									
vicakṣaṇa	adj	0,01046																																																									
bharadvāja	m	0,01046																																																									
yava	mn	0,01046																																																									
mānuṣa	m	0,01046																																																									
janana	n	0,01046																																																									
tarala	adj	0,01046																																																									
hāsa	m	0,01046																																																									
svastha	adj	0,01046																																																									
vaiṣṇava	adj	0,01046																																																									
vināśana	adj	0,01046																																																									
gīta	n	0,01046																																																									
kṣatra	n	0,01046																																																									
dāśa	m	0,01046																																																									
bimba	mn	0,01046																																																									
grāhaka	adj	0,01046																																																									
capala	adj	0,01046																																																									
arha	adj	0,01046																																																									
kavaca	n	0,01017																																																									
magadha	m	0,01017																																																									
ayuta	n	0,01017																																																									
śrotra	n	0,01017																																																									
saṁvatsara	mn	0,01017																																																									
nakṣatra	mn	0,01017																																																									
bhaṭa	m	0,01017																																																									
bhara	m	0,01017																																																									
āmaya	m	0,01017																																																									
ākara	m	0,01017																																																									
varāha	m	0,01017																																																									
lakṣya	n	0,01017																																																									
tridaśa	m	0,01017																																																									
pāṭha	m	0,01017																																																									
haraṇa	n	0,01017																																																									
vyavahāra	m	0,01017																																																									
vyāja	m	0,01017																																																									
vimāna	mn	0,01017																																																									
gocara	m	0,01017																																																									
gopālaka	m	0,01017																																																									
śukla	m	0,01017																																																									
gada	m	0,01017																																																									
prabhava	m	0,01017																																																									
vṛṣadhvaja	m	0,01017																																																									
purīṣa	n	0,01017																																																									
prādhānya	n	0,01017																																																									
kūpa	mn	0,00988																																																									
adhiṣṭhāna	n	0,00988																																																									
abhaya	n	0,00988																																																									
bhraṁśa	m	0,00988																																																									
nūpura	mn	0,00988																																																									
amala	adj	0,00988																																																									
śravaṇa	n	0,00988																																																									
upabhoga	m	0,00988																																																									
viśikha	m	0,00988																																																									
bhaga	mn	0,00988																																																									
avasara	m	0,00988																																																									
aśokadatta	m	0,00988																																																									
ahita	adj	0,00988																																																									
ālaya	mn	0,00988																																																									
āspada	n	0,00988																																																									
tatpara	adj	0,00988																																																									
tadīya	adj	0,00988																																																									
tarpaṇa	n	0,00988																																																									
stanya	mn	0,00988																																																									
sambhrama	m	0,00988																																																									
sahāya	m	0,00988																																																									
veṣa	m	0,00988																																																									
vimukha	adj	0,00988																																																									
gocara	adj	0,00988																																																									
govinda	m	0,00988																																																									
śāka	mn	0,00988																																																									
pratāpa	m	0,00988																																																									
praṇava	m	0,00988																																																									
caturvidha	adj	0,00988																																																									
śeṣa	adj	0,00988																																																									
aṁśuka	mn	0,00959																																																									
koṣṭha	mn	0,00959																																																									
akāla	m	0,00959																																																									
nikaṭa	mn	0,00959																																																									
upadrava	m	0,00959																																																									
āyāsa	m	0,00959																																																									
yojana	fn	0,00959																																																									
rahasya	n	0,00959																																																									
rādheya	m	0,00959																																																									
mārjāra	m	0,00959																																																									
devadatta	m	0,00959																																																									
pavitra	n	0,00959																																																									
māhātmya	n	0,00959																																																									
miśra	adj	0,00959																																																									
pratyakṣa	adj	0,00959																																																									
prapañca	m	0,00959																																																									
vṛṣa	m	0,00959																																																									
piśāca	m	0,00959																																																									
prāsāda	m	0,00959																																																									
prāyaścitta	n	0,00959																																																									
adṛṣṭa	adj	0,00930																																																									
saṁghāta	mn	0,00930																																																									
saṁcaya	m	0,00930																																																									
kaṣṭa	adj	0,00930																																																									
paramārtha	m	0,00930																																																									
kīṭa	m	0,00930																																																									
abhyupagama	m	0,00930																																																									
śloka	m	0,00930																																																									
śvaśura	m	0,00930																																																									
vijana	n	0,00930																																																									
jaghana	mn	0,00930																																																									
utpala	mn	0,00930																																																									
uddeśa	m	0,00930																																																									
udyoga	m	0,00930																																																									
āgamana	n	0,00930																																																									
mauna	n	0,00930																																																									
mānuṣa	adj	0,00930																																																									
devadeva	m	0,00930																																																									
dharmarāja	m	0,00930																																																									
pāṣāṇa	m	0,00930																																																									
tatrastha	adj	0,00930																																																									
sahaja	adj	0,00930																																																									
haṭha	m	0,00930																																																									
vibheda	m	0,00930																																																									
śīta	n	0,00930																																																									
bilva	m	0,00930																																																									
mūlamantra	mn	0,00930																																																									
mukha	adj	0,00930																																																									
kapāla	mn	0,00901																																																									
adhīna	adj	0,00901																																																									
sadana	n	0,00901																																																									
saṁdhāna	n	0,00901																																																									
apatya	n	0,00901																																																									
aparādha	m	0,00901																																																									
abhiprāya	m	0,00901																																																									
kiraṇa	m	0,00901																																																									
nimna	adj	0,00901																																																									
upakāra	m	0,00901																																																									
bhujaga	m	0,00901																																																									
udyama	m	0,00901																																																									
randhra	mn	0,00901																																																									
rodha	m	0,00901																																																									
melaka	mn	0,00901																																																									
vāyasa	m	0,00901																																																									
lāghava	n	0,00901																																																									
lubdhaka	m	0,00901																																																									
tuṣa	mfn	0,00901																																																									
dyūta	n	0,00901																																																									
dhavala	adj	0,00901																																																									
tāmra	adj	0,00901																																																									
saubhadra	m	0,00901																																																									
sthala	n	0,00901																																																									
sukha	adj	0,00901																																																									
pradakṣiṇa	adj	0,00901																																																									
vihvala	adj	0,00901																																																									
purāṇa	n	0,00901																																																									
darpaṇa	m	0,00901																																																									
dāsa	m	0,00901																																																									
pravara	adj	0,00901																																																									
prahāra	m	0,00901																																																									
kaṭhina	adj	0,00872																																																									
kūṭa	mn	0,00872																																																									
aṅga	adj	0,00872																																																									
atiśaya	m	0,00872																																																									
anuṣṭhāna	n	0,00872																																																									
antya	adj	0,00872																																																									
kavaca	mn	0,00872																																																									
saṁnipāta	m	0,00872																																																									
abhimukha	adj	0,00872																																																									
bhūpa	m	0,00872																																																									
maṇḍapa	mfn	0,00872																																																									
nirodha	m	0,00872																																																									
upahāra	mn	0,00872																																																									
upādhyāya	m	0,00872																																																									
bhīma	adj	0,00872																																																									
bhujaṁga	m	0,00872																																																									
ujjhita	adj	0,00872																																																									
ādāna	n	0,00872																																																									
aśuddha	adj	0,00872																																																									
vakra	adj	0,00872																																																									
rāṣṭra	mn	0,00872																																																									
rucira	adj	0,00872																																																									
meha	m	0,00872																																																									
turya	n	0,00872																																																									
durbala	adj	0,00872																																																									
daivata	n	0,00872																																																									
palita	n	0,00872																																																									
takṣaka	m	0,00872																																																									
sparśana	n	0,00872																																																									
hṛdya	adj	0,00872																																																									
sādhāraṇa	adj	0,00872																																																									
guṇāḍhya	m	0,00872																																																									
gomaya	mn	0,00872																																																									
gautama	m	0,00872																																																									
śodhana	mn	0,00872																																																									
kaustubha	mn	0,00872																																																									
vilāsa	m	0,00872																																																									
vṛkodara	m	0,00872																																																									
bila	n	0,00872																																																									
prāṇāyāma	m	0,00872																																																									
pramukha	adj	0,00872																																																									
caṇḍa	adj	0,00872																																																									
cara	adj	0,00872																																																									
citraka	mn	0,00872																																																									
śama	m	0,00872																																																									
kaṅkaṇa	n	0,00843																																																									
gāḍha	adj	0,00843																																																									
saṁkṣaya	m	0,00843																																																									
anukta	adj	0,00843																																																									
anurāga	m	0,00843																																																									
anurūpa	adj	0,00843																																																									
antaka	m	0,00843																																																									
paryaṅka	m	0,00843																																																									
apūrva	adj	0,00843																																																									
nīca	adj	0,00843																																																									
samāgama	m	0,00843																																																									
samāhita	adj	0,00843																																																									
abhiṣeka	m	0,00843																																																									
upavāsa	m	0,00843																																																									
cāmara	n	0,00843																																																									
ārya	adj	0,00843																																																									
avyaya	adj	0,00843																																																									
vatsara	m	0,00843																																																									
mauktika	mn	0,00843																																																									
yāma	m	0,00843																																																									
vāda	m	0,00843																																																									
durjaya	adj	0,00843																																																									
java	m	0,00843																																																									
jīmūtavāhana	m	0,00843																																																									
daiśika	adj	0,00843																																																									
dvaita	n	0,00843																																																									
surata	n	0,00843																																																									
sthaṇḍila	n	0,00843																																																									
hima	adj	0,00843																																																									
svacchanda	adj	0,00843																																																									
śīghra	adj	0,00843																																																									
śotha	m	0,00843																																																									
śaurya	n	0,00843																																																									
pradeśa	m	0,00843																																																									
bālaka	m	0,00843																																																									
preta	m	0,00843																																																									
pīyūṣa	mn	0,00843																																																									
vimala	mn	0,00843																																																									
kaṭaka	mn	0,00814																																																									
saṁvedana	n	0,00814																																																									
saṁkāśa	m	0,00814																																																									
adhyayana	n	0,00814																																																									
anusāra	m	0,00814																																																									
kāñjika	n	0,00814																																																									
parameśa	m	0,00814																																																									
satata	adj	0,00814																																																									
saṁtāna	m	0,00814																																																									
paryāya	m	0,00814																																																									
maṅgala	n	0,00814																																																									
nirāhāra	adj	0,00814																																																									
śrīkaṇṭha	m	0,00814																																																									
ātura	adj	0,00814																																																									
maithuna	n	0,00814																																																									
mālya	n	0,00814																																																									
dīna	adj	0,00814																																																									
daṁṣṭra	mfn	0,00814																																																									
dakṣa	adj	0,00814																																																									
syandana	mn	0,00814																																																									
śakaṭāla	m	0,00814																																																									
vyaya	m	0,00814																																																									
gala	m	0,00814																																																									
gāṇḍīva	mn	0,00814																																																									
śākta	adj	0,00814																																																									
dahana	m	0,00814																																																									
brāhma	adj	0,00814																																																									
pauruṣa	n	0,00814																																																									
ghaṭotkaca	m	0,00814																																																									
caturguṇa	adj	0,00814																																																									
kaṭākṣa	m	0,00785																																																									
kuśala	n	0,00785																																																									
kṛpaṇa	adj	0,00785																																																									
kovida	adj	0,00785																																																									
aghora	m	0,00785																																																									
saṁśraya	m	0,00785																																																									
aniruddha	m	0,00785																																																									
anubhava	m	0,00785																																																									
anusaṁdhāna	n	0,00785																																																									
paṭala	mn	0,00785																																																									
sattra	n	0,00785																																																									
parityāga	m	0,00785																																																									
niṣedha	m	0,00785																																																									
nirvikalpa	adj	0,00785																																																									
niścala	adj	0,00785																																																									
mandara	m	0,00785																																																									
saṁyama	m	0,00785																																																									
dhruva	adj	0,00785																																																									
alakṣita	adj	0,00785																																																									
ārogya	n	0,00785																																																									
asita	adj	0,00785																																																									
āgneya	n	0,00785																																																									
rakṣaṇa	n	0,00785																																																									
ramya	adj	0,00785																																																									
lohajaṅgha	m	0,00785																																																									
rājahaṁsa	m	0,00785																																																									
mahiṣa	m	0,00785																																																									
lāvaṇya	n	0,00785																																																									
dūṣaṇa	n	0,00785																																																									
jayadratha	m	0,00785																																																									
draviṇa	n	0,00785																																																									
pallava	mn	0,00785																																																									
pāyasa	mn	0,00785																																																									
dambha	m	0,00785																																																									
sthāvara	adj	0,00785																																																									
sarṣapa	mfn	0,00785																																																									
hala	mn	0,00785																																																									
svaccha	adj	0,00785																																																									
vyādha	m	0,00785																																																									
viplava	m	0,00785																																																									
guhya	n	0,00785																																																									
gairika	mfn	0,00785																																																									
mūṣika	m	0,00785																																																									
viśāla	adj	0,00785																																																									
viṣāda	m	0,00785																																																									
pratīhāra	m	0,00785																																																									
pīṭha	n	0,00785																																																									
pratyeka	adj	0,00785																																																									
caṇḍamahāsena	m	0,00785																																																									
kapota	mn	0,00756																																																									
kara	m	0,00756																																																									
karaṭaka	m	0,00756																																																									
acetana	adj	0,00756																																																									
saṁkara	m	0,00756																																																									
anitya	adj	0,00756																																																									
paṅka	mn	0,00756																																																									
pañjara	mn	0,00756																																																									
paṇa	m	0,00756																																																									
padmarāga	mn	0,00756																																																									
parokṣa	adj	0,00756																																																									
apavarga	m	0,00756																																																									
kāsīsa	n	0,00756																																																									
kuṭila	adj	0,00756																																																									
kurukṣetra	n	0,00756																																																									
bhūdhara	m	0,00756																																																									
abhilāṣa	m	0,00756																																																									
amātya	m	0,00756																																																									
nāyaka	m	0,00756																																																									
nirapekṣa	adj	0,00756																																																									
nigraha	m	0,00756																																																									
mardana	mn	0,00756																																																									
ṣaṭka	n	0,00756																																																									
ṣoḍaśa	adj	0,00756																																																									
narendra	m	0,00756																																																									
nareśvara	m	0,00756																																																									
alasa	adj	0,00756																																																									
āṇava	adj	0,00756																																																									
meṣa	m	0,00756																																																									
vasanta	m	0,00756																																																									
vāpa	m	0,00756																																																									
dugdha	n	0,00756																																																									
jambuka	m	0,00756																																																									
pāṇḍura	adj	0,00756																																																									
tarka	m	0,00756																																																									
saha	adj	0,00756																																																									
vaiśya	m	0,00756																																																									
gotra	mn	0,00756																																																									
śubhra	adj	0,00756																																																									
kṣāma	adj	0,00756																																																									
vilocana	n	0,00756																																																									
vivara	mn	0,00756																																																									
viśvāmitra	m	0,00756																																																									
bālya	n	0,00756																																																									
brahmāṇḍa	n	0,00756																																																									
cakravāka	m	0,00756																																																									
kṛtakṛtya	adj	0,00727																																																									
aṅga	m	0,00727																																																									
anartha	m	0,00727																																																									
kalaha	mn	0,00727																																																									
kāryatva	n	0,00727																																																									
pathika	m	0,00727																																																									
andhaka	m	0,00727																																																									
samagra	adj	0,00727																																																									
nirañjana	adj	0,00727																																																									
nakta	n	0,00727																																																									
uparasa	m	0,00727																																																									
caitra	m	0,00727																																																									
jaṅgama	adj	0,00727																																																									
avakāśa	m	0,00727																																																									
avadhāna	n	0,00727																																																									
ātapa	m	0,00727																																																									
lohita	adj	0,00727																																																									
dīpana	adj	0,00727																																																									
jalada	m	0,00727																																																									
pādapa	m	0,00727																																																									
pārthiva	adj	0,00727																																																									
tāmasa	adj	0,00727																																																									
sāttvika	adj	0,00727																																																									
sāhasa	n	0,00727																																																									
vibhīṣaṇa	m	0,00727																																																									
śekhara	m	0,00727																																																									
śauca	n	0,00727																																																									
khara	m	0,00727																																																									
kheda	m	0,00727																																																									
kaunteya	m	0,00727																																																									
kṣepa	m	0,00727																																																									
khaga	mn	0,00727																																																									
puruṣottama	m	0,00727																																																									
darbha	m	0,00727																																																									
divākara	m	0,00727																																																									
bahula	adj	0,00727																																																									
prahara	m	0,00727																																																									
prākṛta	adj	0,00727																																																									
kaca	m	0,00698																																																									
aṅgāra	mn	0,00698																																																									
adṛśya	adj	0,00698																																																									
saṁketa	m	0,00698																																																									
saṁjñita	adj	0,00698																																																									
anuttara	m	0,00698																																																									
kalatra	n	0,00698																																																									
kāca	n	0,00698																																																									
apāya	m	0,00698																																																									
kuca	m	0,00698																																																									
makara	m	0,00698																																																									
nilaya	m	0,00698																																																									
niśācara	m	0,00698																																																									
abhyadhika	adj	0,00698																																																									
ayana	n	0,00698																																																									
niṣphala	adj	0,00698																																																									
mayūra	m	0,00698																																																									
aikya	n	0,00698																																																									
vāsava	m	0,00698																																																									
aśoka	m	0,00698																																																									
asaṁbhava	m	0,00698																																																									
ālāpa	m	0,00698																																																									
vaṭa	m	0,00698																																																									
māgha	m	0,00698																																																									
mānasa	adj	0,00698																																																									
timira	n	0,00698																																																									
triśūla	n	0,00698																																																									
japya	n	0,00698																																																									
sṛñjaya	m	0,00698																																																									
sundaraka	m	0,00698																																																									
sātmya	mn	0,00698																																																									
śaṭha	adj	0,00698																																																									
vibudha	m	0,00698																																																									
śopha	m	0,00698																																																									
śāmbhava	adj	0,00698																																																									
śāśvata	adj	0,00698																																																									
pradyumna	m	0,00698																																																									
pradhāna	adj	0,00698																																																									
puryaṣṭaka	n	0,00698																																																									
prakāśa	adj	0,00698																																																									
pravāha	m	0,00698																																																									
praśama	m	0,00698																																																									
ajīrṇa	n	0,00698																																																									
drava	mn	0,00698																																																									
kañcuka	mf	0,00669																																																									
kuśala	adj	0,00669																																																									
kesara	mn	0,00669																																																									
aja	m	0,00669																																																									
adarśana	n	0,00669																																																									
saṁsthāna	n	0,00669																																																									
saṁgara	m	0,00669																																																									
antarmukha	adj	0,00669																																																									
karpūra	mn	0,00669																																																									
kāca	mn	0,00669																																																									
kāruṇya	n	0,00669																																																									
parāśara	m	0,00669																																																									
kilbiṣa	mn	0,00669																																																									
kīdṛśa	adj	0,00669																																																									
madīya	adj	0,00669																																																									
nirūpaṇa	n	0,00669																																																									
ayoga	m	0,00669																																																									
nibhṛta	adj	0,00669																																																									
madhyāhna	m	0,00669																																																									
mastaka	mn	0,00669																																																									
ūha	mf	0,00669																																																									
