"от 1700 до 1956"	a	1374=68.32%	"от 1700 до 1956"	ā	174=8.65%	"от 1700 до 1956"	i	121=6.02%	"от 1700 до 1956"	ī	119=5.92%	"от 1700 до 1956"	u	58=2.88%	"от 1700 до 1956"	ū	5=0.25%	"от 1700 до 1956"	o	1=0.05%	"от 1700 до 1956"	ṛ	7=0.35%	"от 1700 до 1956"	j	6=0.30%	"от 1700 до 1956"	c	4=0.20%	"от 1700 до 1956"	dh	1=0.05%	"от 1700 до 1956"	t	26=1.29%	"от 1700 до 1956"	d	7=0.35%	"от 1700 до 1956"	n	67=3.33%	"от 1700 до 1956"	p	1=0.05%	"от 1700 до 1956"	r	2=0.10%	"от 1700 до 1956"	ṣ	3=0.15%	"от 1700 до 1956"	ś	3=0.15%	"от 1700 до 1956"	s	30=1.49%	"от 1700 до 1956"	h	1=0.05%
viśada	adj	0,00896																																																									
bāṇa	m	0,00896																																																									
brahmavṛkṣa	m	0,00896																																																									
brahmacarya	n	0,00896																																																									
praśamana	adj	0,00896																																																									
anaṅga	m	0,00896																																																									
bhaikṣya	n	0,00896																																																									
luṅga	m	0,00896																																																									
tārāriṣṭa	n	0,00896																																																									
karkaśa	adj	0,00852																																																									
atyanta	adj	0,00852																																																									
anukaraṇa	n	0,00852																																																									
anusāra	m	0,00852																																																									
kāka	m	0,00852																																																									
anvaya	m	0,00852																																																									
kāvya	mn	0,00852																																																									
kāsamarda	mf	0,00852																																																									
niṣedha	m	0,00852																																																									
amlaka	mn	0,00852																																																									
nikara	m	0,00852																																																									
vāsudeva	m	0,00852																																																									
vikraya	m	0,00852																																																									
unmatta	m	0,00852																																																									
āyasa	n	0,00852																																																									
āgneya	adj	0,00852																																																									
āsura	adj	0,00852																																																									
yugala	mn	0,00852																																																									
jīvita	n	0,00852																																																									
tarpaṇa	n	0,00852																																																									
talpa	m	0,00852																																																									
tādṛśa	adj	0,00852																																																									
tryūṣaṇa	n	0,00852																																																									
saukhya	n	0,00852																																																									
sauvarcala	mn	0,00852																																																									
sammiśra	adj	0,00852																																																									
sarasa	adj	0,00852																																																									
sāmudra	n	0,00852																																																									
smita	n	0,00852																																																									
svastika	m	0,00852																																																									
vipula	adj	0,00852																																																									
śūraṇa	mn	0,00852																																																									
kharpara	fn	0,00852																																																									
khura	mn	0,00852																																																									
garbhadrāvaṇa	n	0,00852																																																									
mitra	mn	0,00852																																																									
megha	m	0,00852																																																									
prabhava	m	0,00852																																																									
dāruṇa	adj	0,00852																																																									
bila	n	0,00852																																																									
praṇava	m	0,00852																																																									
ajīrṇa	n	0,00852																																																									
kokilākṣa	mfn	0,00852																																																									
drutasūta	mn	0,00852																																																									
kaca	m	0,00807																																																									
kaṇa	m	0,00807																																																									
kara	m	0,00807																																																									
aṅkura	mn	0,00807																																																									
aja	m	0,00807																																																									
pañcavidha	adj	0,00807																																																									
kisalaya	mn	0,00807																																																									
naivedya	n	0,00807																																																									
abhyaṅga	m	0,00807																																																									
ambuja	mn	0,00807																																																									
ambhoja	n	0,00807																																																									
nānāvidha	adj	0,00807																																																									
manmatha	m	0,00807																																																									
marakata	mn	0,00807																																																									
śrīkhaṇḍa	mn	0,00807																																																									
dhauta	n	0,00807																																																									
naṭa	m	0,00807																																																									
bhakṣya	n	0,00807																																																									
cumbana	n	0,00807																																																									
chada	m	0,00807																																																									
ucchraya	m	0,00807																																																									
unmāda	m	0,00807																																																									
ādhmāna	n	0,00807																																																									
āmnāya	m	0,00807																																																									
ākula	adj	0,00807																																																									
āśaya	m	0,00807																																																									
sulabha	adj	0,00807																																																									
saumya	adj	0,00807																																																									
stotra	n	0,00807																																																									
sarvajña	adj	0,00807																																																									
sāgara	m	0,00807																																																									
śoṇa	adj	0,00807																																																									
gala	m	0,00807																																																									
khāpara	m	0,00807																																																									
kṣudra	adj	0,00807																																																									
mithuna	mn	0,00807																																																									
mṛdula	adj	0,00807																																																									
viśāla	adj	0,00807																																																									
dahana	m	0,00807																																																									
bāṣpa	mn	0,00807																																																									
bimba	mn	0,00807																																																									
prāya	m	0,00807																																																									
prādeśa	m	0,00807																																																									
capala	adj	0,00807																																																									
loṇa	n	0,00807																																																									
vanotpala	n	0,00807																																																									
kandarpa	m	0,00762																																																									
karavīra	mn	0,00762																																																									
acala	m	0,00762																																																									
antaka	adj	0,00762																																																									
pañcaguṇa	adj	0,00762																																																									
parākrama	m	0,00762																																																									
kiṁśuka	mn	0,00762																																																									
kuṭaja	mn	0,00762																																																									
samīra	m	0,00762																																																									
samudra	m	0,00762																																																									
samūha	mn	0,00762																																																									
abhiṣeka	m	0,00762																																																									
nāgara	n	0,00762																																																									
niścala	adj	0,00762																																																									
nikhila	adj	0,00762																																																									
mata	n	0,00762																																																									
manasija	m	0,00762																																																									
ogha	m	0,00762																																																									
śravaṇa	n	0,00762																																																									
śrīśaila	mn	0,00762																																																									
cāpa	mn	0,00762																																																									
utkṛṣṭa	adj	0,00762																																																									
udāra	adj	0,00762																																																									
āyuṣya	adj	0,00762																																																									
āvaraṇa	n	0,00762																																																									
īdṛśa	adj	0,00762																																																									
yājñavalkya	m	0,00762																																																									
vatsanābha	mn	0,00762																																																									
rāmaṭha	mn	0,00762																																																									
mahādeva	m	0,00762																																																									
trailokya	n	0,00762																																																									
dūra	adj	0,00762																																																									
jāmbūnada	n	0,00762																																																									
sindhūttha	n	0,00762																																																									
hārīta	m	0,00762																																																									
smaraṇa	n	0,00762																																																									
śaṅkha	m	0,00762																																																									
guhya	n	0,00762																																																									
garala	mn	0,00762																																																									
śāka	mn	0,00762																																																									
piṣṭa	n	0,00762																																																									
pūrvokta	adj	0,00762																																																									
bahuvidha	adj	0,00762																																																									
balya	adj	0,00762																																																									
aṣṭottaraśata	n	0,00762																																																									
vṛtta	n	0,00762																																																									
niścandra	adj	0,00762																																																									
kumpa	n	0,00762																																																									
niruttha	n	0,00762																																																									
akṣa	adj	0,00762																																																									
mukha	adj	0,00762																																																									
rasaliṅga	mn	0,00762																																																									
kaṭāha	mn	0,00717																																																									
aṁśuka	mn	0,00717																																																									
kapaṭa	mn	0,00717																																																									
kapola	mn	0,00717																																																									
anukūla	adj	0,00717																																																									
anubhava	m	0,00717																																																									
kārīṣa	n	0,00717																																																									
anyonya	adj	0,00717																																																									
kuṇḍala	n	0,00717																																																									
nūtana	adj	0,00717																																																									
malaya	m	0,00717																																																									
naṣṭapiṣṭa	adj	0,00717																																																									
upavīta	n	0,00717																																																									
cikura	mn	0,00717																																																									
hrasva	adj	0,00717																																																									
lohita	adj	0,00717																																																									
vajraka	n	0,00717																																																									
vanopala	mn	0,00717																																																									
rasavara	m	0,00717																																																									
rākṣasa	adj	0,00717																																																									
leha	m	0,00717																																																									
digbhāga	m	0,00717																																																									
daiva	adj	0,00717																																																									
pātālayantra	n	0,00717																																																									
dakṣa	adj	0,00717																																																									
svapna	mn	0,00717																																																									
haṁsa	m	0,00717																																																									
vibhāga	m	0,00717																																																									
śīrṣa	n	0,00717																																																									
śirīṣa	mn	0,00717																																																									
śiśira	mn	0,00717																																																									
mīna	m	0,00717																																																									
peṣaṇa	n	0,00717																																																									
prasaṅga	m	0,00717																																																									
garbhayantra	n	0,00717																																																									
vāritara	n	0,00717																																																									
tulyaka	adj	0,00717																																																									
karṣaka	mn	0,00717																																																									
bhasmaka	n	0,00717																																																									
nigala	m	0,00717																																																									
aṅkuśa	mn	0,00672																																																									
saṁhāra	m	0,00672																																																									
saṁgama	m	0,00672																																																									
anuga	adj	0,00672																																																									
nyūna	adj	0,00672																																																									
pañcāmṛta	n	0,00672																																																									
paṭṭa	m	0,00672																																																									
padārtha	mn	0,00672																																																									
abhimukha	adj	0,00672																																																									
maṅgala	n	0,00672																																																									
amara	adj	0,00672																																																									
nidāgha	m	0,00672																																																									
nibarhaṇa	adj	0,00672																																																									
manuṣya	m	0,00672																																																									
manoratha	mn	0,00672																																																									
ūna	adj	0,00672																																																									
śloka	m	0,00672																																																									
āḍhaka	mn	0,00672																																																									
ātmaka	adj	0,00672																																																									
āyuṣa	n	0,00672																																																									
āśrama	mn	0,00672																																																									
indranīla	mn	0,00672																																																									
varuṇa	m	0,00672																																																									
rasāñjana	n	0,00672																																																									
rāja	m	0,00672																																																									
rājya	n	0,00672																																																									
yatheṣṭa	adj	0,00672																																																									
mahiṣa	m	0,00672																																																									
dhavala	adj	0,00672																																																									
pātaka	mn	0,00672																																																									
sthairya	n	0,00672																																																									
sara	adj	0,00672																																																									
siddharasa	m	0,00672																																																									
hālāhala	mn	0,00672																																																									
hāsya	djan	0,00672																																																									
hṛdya	adj	0,00672																																																									
sāmānya	n	0,00672																																																									
śakra	m	0,00672																																																									
vyāpaka	adj	0,00672																																																									
viḍaṅga	n	0,00672																																																									
vidhāyaka	adj	0,00672																																																									
vinaya	m	0,00672																																																									
geha	mn	0,00672																																																									
govara	n	0,00672																																																									
śṛṅgavera	mn	0,00672																																																									
śyāmala	adj	0,00672																																																									
śiva	adj	0,00672																																																									
kautuka	n	0,00672																																																									
viṣāda	m	0,00672																																																									
pradhāna	n	0,00672																																																									
dardura	mn	0,00672																																																									
prāṇāyāma	m	0,00672																																																									
pura	n	0,00672																																																									
catuṣpala	adj	0,00672																																																									
vidyādhara	n	0,00672																																																									
kaṭākṣa	m	0,00627																																																									
kailāsa	m	0,00627																																																									
aṅgahāra	m	0,00627																																																									
kavaca	n	0,00627																																																									
nyāya	m	0,00627																																																									
sadana	n	0,00627																																																									
abhinaya	m	0,00627																																																									
kālakūṭa	mn	0,00627																																																									
bhṛṅga	n	0,00627																																																									
maṇa	mn	0,00627																																																									
maṇḍūka	m	0,00627																																																									
niścaya	m	0,00627																																																									
samagra	adj	0,00627																																																									
samāveśa	m	0,00627																																																									
amla	m	0,00627																																																									
nārada	m	0,00627																																																									
nirvāta	adj	0,00627																																																									
madhūka	mn	0,00627																																																									
ṛkṣa	mn	0,00627																																																									
aiśvarya	n	0,00627																																																									
dhauta	adj	0,00627																																																									
vijaya	m	0,00627																																																									
bhavana	n	0,00627																																																									
chattra	n	0,00627																																																									
arghya	n	0,00627																																																									
utsava	m	0,00627																																																									
udumbara	mn	0,00627																																																									
ābhāsa	m	0,00627																																																									
āmalaka	n	0,00627																																																									
āra	mn	0,00627																																																									
ākara	m	0,00627																																																									
āvaha	adj	0,00627																																																									
ravaka	m	0,00627																																																									
rodhana	n	0,00627																																																									
mānuṣa	adj	0,00627																																																									
mārkava	mn	0,00627																																																									
dīna	adj	0,00627																																																									
dūṣaṇa	n	0,00627																																																									
jaḍa	adj	0,00627																																																									
janana	adj	0,00627																																																									
jātya	adj	0,00627																																																									
dyūta	n	0,00627																																																									
pārāvata	m	0,00627																																																									
hima	n	0,00627																																																									
sāmya	n	0,00627																																																									
śaraṇa	n	0,00627																																																									
vyavahāra	m	0,00627																																																									
vyāghra	m	0,00627																																																									
svarga	m	0,00627																																																									
vibhava	m	0,00627																																																									
gokṣura	m	0,00627																																																									
śīta	n	0,00627																																																									
māhātmya	n	0,00627																																																									
kleśa	m	0,00627																																																									
muktāphala	n	0,00627																																																									
virecana	n	0,00627																																																									
vivardhana	adj	0,00627																																																									
viśvāsa	m	0,00627																																																									
pratisāraṇa	mfn	0,00627																																																									
vella	n	0,00627																																																									
pīna	adj	0,00627																																																									
puṭapāka	m	0,00627																																																									
pulaka	n	0,00627																																																									
phalaka	n	0,00627																																																									
bandhana	adj	0,00627																																																									
praśna	m	0,00627																																																									
praveśa	m	0,00627																																																									
prājña	adj	0,00627																																																									
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
