"Недатированные тексты"	a	1920=66.02%	"Недатированные тексты"	ā	310=10.66%	"Недатированные тексты"	i	162=5.57%	"Недатированные тексты"	ī	209=7.19%	"Недатированные тексты"	u	83=2.85%	"Недатированные тексты"	ū	7=0.24%	"Недатированные тексты"	o	1=0.03%	"Недатированные тексты"	ṛ	8=0.28%	"Недатированные тексты"	j	5=0.17%	"Недатированные тексты"	c	4=0.14%	"Недатированные тексты"	dh	2=0.07%	"Недатированные тексты"	t	28=0.96%	"Недатированные тексты"	d	10=0.34%	"Недатированные тексты"	n	110=3.78%	"Недатированные тексты"	p	1=0.03%	"Недатированные тексты"	r	3=0.10%	"Недатированные тексты"	ṣ	3=0.10%	"Недатированные тексты"	ś	4=0.14%	"Недатированные тексты"	s	37=1.27%
vaśīkaraṇa	n	0,00689																																																						
mahauṣadha	n	0,00689																																																						
mahiṣa	m	0,00689																																																						
lāghava	n	0,00689																																																						
tīrtha	mn	0,00689																																																						
duṣṭa	adj	0,00689																																																						
jāṅgala	adj	0,00689																																																						
dvādaśa	adj	0,00689																																																						
dvitīyaka	adj	0,00689																																																						
pavitra	adj	0,00689																																																						
pācana	n	0,00689																																																						
pāṭava	n	0,00689																																																						
taṇḍulīya	m	0,00689																																																						
tātparya	n	0,00689																																																						
sarja	m	0,00689																																																						
siddhāsana	n	0,00689																																																						
suta	m	0,00689																																																						
sugandha	m	0,00689																																																						
hima	n	0,00689																																																						
hṛdroga	m	0,00689																																																						
sahasrāra	mn	0,00689																																																						
sādhāraṇa	adj	0,00689																																																						
sāraka	adj	0,00689																																																						
sphaṭika	mn	0,00689																																																						
śataguṇa	adj	0,00689																																																						
svapna	mn	0,00689																																																						
vyāsa	m	0,00689																																																						
gārutmata	mn	0,00689																																																						
gokṣuraka	mn	0,00689																																																						
śīla	mn	0,00689																																																						
garala	mn	0,00689																																																						
māhātmya	n	0,00689																																																						
krūra	adj	0,00689																																																						
kroḍa	m	0,00689																																																						
klība	n	0,00689																																																						
kṣupa	m	0,00689																																																						
pratyaya	m	0,00689																																																						
vetasa	m	0,00689																																																						
puṇya	adj	0,00689																																																						
purīṣa	n	0,00689																																																						
praṇava	m	0,00689																																																						
prasava	m	0,00689																																																						
prājña	adj	0,00689																																																						
śyonāka	m	0,00689																																																						
chāyāśuṣka	adj	0,00689																																																						
miśraka	n	0,00689																																																						
pīyūṣa	mn	0,00689																																																						
kacchapayantra	n	0,00689																																																						
svarya	adj	0,00689																																																						
kharparaka	mn	0,00689																																																						
mukha	adj	0,00689																																																						
bījavara	n	0,00689																																																						
sthālīpāka	mn	0,00689																																																						
audbhida	n	0,00620																																																						
kaṭutraya	n	0,00620																																																						
kaṭphala	mn	0,00620																																																						
kaparda	m	0,00620																																																						
kamala	n	0,00620																																																						
kṛpaṇa	adj	0,00620																																																						
aṅkuśa	mn	0,00620																																																						
adhara	adj	0,00620																																																						
kāñcanāra	m	0,00620																																																						
kānta	m	0,00620																																																						
kārpāsa	mn	0,00620																																																						
pañcatva	n	0,00620																																																						
sadāśiva	m	0,00620																																																						
saptaka	n	0,00620																																																						
paraspara	adj	0,00620																																																						
parvata	mn	0,00620																																																						
apathya	adj	0,00620																																																						
kiraṇa	m	0,00620																																																						
kīṭa	m	0,00620																																																						
niṣedha	m	0,00620																																																						
samagra	adj	0,00620																																																						
nāgārjuna	m	0,00620																																																						
nikaṣa	m	0,00620																																																						
nipuṇa	adj	0,00620																																																						
nibiḍa	adj	0,00620																																																						
madhūka	mn	0,00620																																																						
masṛṇa	adj	0,00620																																																						
ekānta	m	0,00620																																																						
śveta	n	0,00620																																																						
dhūrta	m	0,00620																																																						
dhvaṁsa	m	0,00620																																																						
vāsaka	mn	0,00620																																																						
vāsa	m	0,00620																																																						
bhāskara	m	0,00620																																																						
cavya	n	0,00620																																																						
citra	m	0,00620																																																						
coraka	m	0,00620																																																						
chada	m	0,00620																																																						
chāga	m	0,00620																																																						
jaṅgama	adj	0,00620																																																						
hrasva	adj	0,00620																																																						
āja	adj	0,00620																																																						
ānana	n	0,00620																																																						
āmalaka	n	0,00620																																																						
āyuṣya	adj	0,00620																																																						
ārta	adj	0,00620																																																						
ārakta	adj	0,00620																																																						
āragvadha	m	0,00620																																																						
aśoka	m	0,00620																																																						
īśāna	m	0,00620																																																						
yuga	mn	0,00620																																																						
yojana	fn	0,00620																																																						
locana	n	0,00620																																																						
vanya	adj	0,00620																																																						
varāṭa	mn	0,00620																																																						
yatheṣṭa	adj	0,00620																																																						
yama	m	0,00620																																																						
vāja	m	0,00620																																																						
mahānimba	mn	0,00620																																																						
rohita	m	0,00620																																																						
janaka	adj	0,00620																																																						
pākya	mn	0,00620																																																						
pāvaka	m	0,00620																																																						
tatpara	adj	0,00620																																																						
stambhana	n	0,00620																																																						
stoka	mn	0,00620																																																						
sammiśra	adj	0,00620																																																						
sammukha	adj	0,00620																																																						
sarala	m	0,00620																																																						
saha	adj	0,00620																																																						
sindhūttha	n	0,00620																																																						
sugandha	n	0,00620																																																						
sahasraka	n	0,00620																																																						
sārasa	m	0,00620																																																						
vyāghra	m	0,00620																																																						
vyāpaka	adj	0,00620																																																						
guggula	m	0,00620																																																						
gīta	n	0,00620																																																						
śubha	n	0,00620																																																						
khādira	adj	0,00620																																																						
śasya	n	0,00620																																																						
klama	m	0,00620																																																						
khecara	m	0,00620																																																						
mṛgāṅka	m	0,00620																																																						
pradeśa	m	0,00620																																																						
prapañca	m	0,00620																																																						
prabhava	m	0,00620																																																						
bimba	mn	0,00620																																																						
bījaka	n	0,00620																																																						
brahmāṇḍa	n	0,00620																																																						
prakaraṇa	n	0,00620																																																						
prauḍha	adj	0,00620																																																						
bahala	adj	0,00620																																																						
pralaya	m	0,00620																																																						
prahāra	m	0,00620																																																						
ghanasāra	mn	0,00620																																																						
cañcala	adj	0,00620																																																						
caṇa	m	0,00620																																																						
anantara	adj	0,00620																																																						
capala	adj	0,00620																																																						
soṣṇa	adj	0,00620																																																						
mātraka	n	0,00620																																																						
saṁjñaka	adj	0,00620																																																						
ajīrṇa	adj	0,00620																																																						
mūtraka	n	0,00620																																																						
śulvābhra	n	0,00620																																																						
karkaṭa	m	0,00551																																																						
karkaśa	adj	0,00551																																																						
kusumbha	mn	0,00551																																																						
akāla	m	0,00551																																																						
acala	adj	0,00551																																																						
accha	adj	0,00551																																																						
ajara	adj	0,00551																																																						
atiśaya	m	0,00551																																																						
adhobhāga	m	0,00551																																																						
saṁkṣepa	m	0,00551																																																						
saṁgama	m	0,00551																																																						
kavala	mn	0,00551																																																						
kādambara	fn	0,00551																																																						
kāpiśāyana	n	0,00551																																																						
nyagrodha	m	0,00551																																																						
pañcakola	n	0,00551																																																						
pañcavidha	adj	0,00551																																																						
pañcāṅga	n	0,00551																																																						
patana	n	0,00551																																																						
parameśvara	m	0,00551																																																						
pariṇāma	m	0,00551																																																						
paryuṣita	adj	0,00551																																																						
aparāhṇa	m	0,00551																																																						
kārśya	n	0,00551																																																						
kāśmīra	n	0,00551																																																						
kāsamarda	mf	0,00551																																																						
kīdṛśa	adj	0,00551																																																						
kuca	m	0,00551																																																						
kuṭila	n	0,00551																																																						
kuḍava	mn	0,00551																																																						
kumuda	mn	0,00551																																																						
kuraṅga	m	0,00551																																																						
bhedana	n	0,00551																																																						
bhairava	m	0,00551																																																						
bhramara	m	0,00551																																																						
maṅgalya	m	0,00551																																																						
niṣeka	m	0,00551																																																						
samudraphena	mn	0,00551																																																						
nārada	m	0,00551																																																						
nicula	m	0,00551																																																						
nidāgha	m	0,00551																																																						
nidhuvana	n	0,00551																																																						
nibarhaṇa	adj	0,00551																																																						
mahākāla	m	0,00551																																																						
ṛṣabha	m	0,00551																																																						
dhānyābhra	n	0,00551																																																						
nagara	mn	0,00551																																																						
upayoga	m	0,00551																																																						
uparatna	n	0,00551																																																						
uraga	mn	0,00551																																																						
viraṅga	n	0,00551																																																						
bhuja	m	0,00551																																																						
bhujaga	m	0,00551																																																						
cāra	m	0,00551																																																						
cibuka	n	0,00551																																																						
cihna	n	0,00551																																																						
cukra	mn	0,00551																																																						
cūrṇaka	n	0,00551																																																						
arbuda	mn	0,00551																																																						
alaṁkāra	m	0,00551																																																						
avakāśa	m	0,00551																																																						
avadhāna	n	0,00551																																																						
uccāṭana	n	0,00551																																																						
uttarottara	adj	0,00551																																																						
uddeśa	m	0,00551																																																						
udvega	m	0,00551																																																						
ābhāsa	m	0,00551																																																						
āyāsa	m	0,00551																																																						
aṣṭāṅga	mn	0,00551																																																						
asama	adj	0,00551																																																						
ālasya	n	0,00551																																																						
ikṣura	m	0,00551																																																						
rakṣaṇa	n	0,00551																																																						
varuṇa	m	0,00551																																																						
rasārṇava	m	0,00551																																																						
rākṣasa	m	0,00551																																																						
rājavṛkṣa	m	0,00551																																																						
rājya	n	0,00551																																																						
rāla	mf	0,00551																																																						
moca	m	0,00551																																																						
maulya	n	0,00551																																																						
yakṣa	m	0,00551																																																						
yaśada	mn	0,00551																																																						
vasuka	m	0,00551																																																						
mahāpadma	m	0,00551																																																						
mādhava	m	0,00551																																																						
mārjāra	m	0,00551																																																						
recana	n	0,00551																																																						
lalāṭa	mn	0,00551																																																						
timira	n	0,00551																																																						
traiphala	adj	0,00551																																																						
jayapāla	m	0,00551																																																						
jāṭhara	adj	0,00551																																																						
jālaṁdhara	m	0,00551																																																						
drāvaṇa	n	0,00551																																																						
pārthiva	adj	0,00551																																																						
piṇyāka	mn	0,00551																																																						
pidhāna	n	0,00551																																																						
pippala	m	0,00551																																																						
jvalana	m	0,00551																																																						
taruṇa	adj	0,00551																																																						
tātparyārtha	m	0,00551																																																						
tāmra	adj	0,00551																																																						
sūraṇa	n	0,00551																																																						
sainya	n	0,00551																																																						
sthānaka	n	0,00551																																																						
siddhārtha	m	0,00551																																																						
haraṇa	adj	0,00551																																																						
hariṇa	m	0,00551																																																						
hālāhala	mn	0,00551																																																						
hemanta	mf	0,00551																																																						
sāhasa	n	0,00551																																																						
śakya	adj	0,00551																																																						
śamana	n	0,00551																																																						
śarapuṅkha	mf	0,00551																																																						
svātantrya	n	0,00551																																																						
svana	m	0,00551																																																						
vitunnaka	mn	0,00551																																																						
viparīta	adj	0,00551																																																						
vibhrama	m	0,00551																																																						
gorakṣa	m	0,00551																																																						
śaithilya	n	0,00551																																																						
śūraṇa	mn	0,00551																																																						
śoṇa	m	0,00551																																																						
śoṣaṇa	n	0,00551																																																						
śālyodana	mn	0,00551																																																						
śiva	n	0,00551																																																						
māṣaka	mn	0,00551																																																						
kravya	n	0,00551																																																						
krodha	m	0,00551																																																						
kleda	m	0,00551																																																						
krauñca	m	0,00551																																																						
kṣepa	m	0,00551																																																						
muhūrta	mn	0,00551																																																						
mūṣaka	m	0,00551																																																						
vivara	mn	0,00551																																																						
viśva	n	0,00551																																																						
prabheda	m	0,00551																																																						
prabodha	m	0,00551																																																						
vṛntāka	mf	0,00551																																																						
vṛṣya	n	0,00551																																																						
puccha	mn	0,00551																																																						
pūga	mn	0,00551																																																						
daridra	adj	0,00551																																																						
bahuvidha	adj	0,00551																																																						
prāsāda	m	0,00551																																																						
prānta	mn	0,00551																																																						
prasūna	n	0,00551																																																						
prastāva	m	0,00551																																																						
ghrāṇa	mn	0,00551																																																						
vīra	n	0,00551																																																						
caśabda	m	0,00551																																																						
aṁsa	m	0,00551																																																						
navasāra	mn	0,00551																																																						
mardaka	mn	0,00551																																																						
āroṭa	m	0,00551																																																						
niścandrika	adj	0,00551																																																						
pātanayantra	n	0,00551																																																						
rasaratnākara	m	0,00551																																																						
catuṣka	n	0,00551																																																						
dhustūra	n	0,00551																																																						
rājāvartaka	mn	0,00551																																																						
sikatayantra	n	0,00551																																																						
kaṅka	m	0,00482																																																						
kaṭutaila	mn	0,00482																																																						
karavīraka	m	0,00482																																																						
kūrca	mn	0,00482																																																						
kṛtya	n	0,00482																																																						
kokila	m	0,00482																																																						
koṭara	mn	0,00482																																																						
kopana	adj	0,00482																																																						
agada	mn	0,00482																																																						
agrya	adj	0,00482																																																						
aṇḍa	mn	0,00482																																																						
atula	adj	0,00482																																																						
adbhuta	adj	0,00482																																																						
adhara	m	0,00482																																																						
adhikaraṇa	n	0,00482																																																						
saṁsarga	m	0,00482																																																						
saṁkalpa	m	0,00482																																																						
saṁkhya	adj	0,00482																																																						
saṁcaya	m	0,00482																																																						
anugraha	m	0,00482																																																						
antaḥkaraṇa	n	0,00482																																																						
antaḥstha	adj	0,00482																																																						
karpaṭa	mn	0,00482																																																						
kaṣa	m	0,00482																																																						
kāmaśāstra	n	0,00482																																																						
pannaga	mn	0,00482																																																						
parāyaṇa	n	0,00482																																																						
sattva	mn	0,00482																																																						
saptaka	mn	0,00482																																																						
parigraha	m	0,00482																																																						
pariccheda	m	0,00482																																																						
pala	mn	0,00482																																																						
andha	adj	0,00482																																																						
anyonya	adj	0,00482																																																						
kāśmarya	mfn	0,00482																																																						
kuñjara	m	0,00482																																																						
kuṭila	adj	0,00482																																																						
bhūnimba	mn	0,00482																																																						
nimitta	n	0,00482																																																						
niyāmaka	adj	0,00482																																																						
nirodha	m	0,00482																																																						
nirvāṇa	mn	0,00482																																																						
nīca	adj	0,00482																																																						
nṛsiṁha	m	0,00482																																																						
nṛpa	m	0,00482																																																						
naivedya	n	0,00482																																																						
amara	adj	0,00482																																																						
nārāca	m	0,00482																																																						
nirbīja	adj	0,00482																																																						
nistuṣa	adj	0,00482																																																						
nigaḍa	mn	0,00482																																																						
nitamba	m	0,00482																																																						
nityanātha	m	0,00482																																																						
manuja	m	0,00482																																																						
uṣṭra	m	0,00482																																																						
oṣṭha	m	0,00482																																																						
śrīkhaṇḍa	mn	0,00482																																																						
ślīpada	n	0,00482																																																						
dhūsara	m	0,00482																																																						
upakāraka	adj	0,00482																																																						
vāraka	m	0,00482																																																						
bhadra	n	0,00482																																																						
bhukta	n	0,00482																																																						
cāñcalya	n	0,00482																																																						
arṇava	mn	0,00482																																																						
alaktaka	mn	0,00482																																																						
ācāra	m	0,00482																																																						
āyuṣkara	adj	0,00482																																																						
ākula	adj	0,00482																																																						
āvika	adj	0,00482																																																						
āveśa	m	0,00482																																																						
yuddha	n	0,00482																																																						
rakta	m	0,00482																																																						
lohita	n	0,00482																																																						
vakranāla	fn	0,00482																																																						
vaṭaka	mfn	0,00482																																																						
rasavāda	m	0,00482																																																						
rājānna	n	0,00482																																																						
rucira	adj	0,00482																																																						
rudradeva	m	0,00482																																																						
mohana	n	0,00482																																																						
yavaja	mn	0,00482																																																						
mānuṣa	adj	0,00482																																																						
mānuṣa	m	0,00482																																																						
mārkava	mn	0,00482																																																						
recaka	m	0,00482																																																						
lakuca	m	0,00482																																																						
tīkṣṇaka	mn	0,00482																																																						
tūla	mn	0,00482																																																						
trinetra	m	0,00482																																																						
trisaṁdhya	fn	0,00482																																																						
trika	n	0,00482																																																						
dīpya	m	0,00482																																																						
dīrghapattra	m	0,00482																																																						
jambha	m	0,00482																																																						
jaraṇa	mn	0,00482																																																						
jalada	m	0,00482																																																						
java	m	0,00482																																																						
jātikośa	mn	0,00482																																																						
jīmūta	mn	0,00482																																																						
dhanurdhara	m	0,00482																																																						
pātraka	n	0,00482																																																						
pāra	mn	0,00482																																																						
pāvana	adj	0,00482																																																						
pāśa	m	0,00482																																																						
ṭaṅka	mn	0,00482																																																						
taṭa	mn	0,00482																																																						
tapana	m	0,00482																																																						
tāpīja	mn	0,00482																																																						
suśītala	adj	0,00482																																																						
sevaka	adj	0,00482																																																						
saikata	n	0,00482																																																						
damana	m	0,00482																																																						
saumya	adj	0,00482																																																						
stambhana	adj	0,00482																																																						
sidhma	mn	0,00482																																																						
sundara	adj	0,00482																																																						
subhaga	adj	0,00482																																																						
hāridra	mn	0,00482																																																						
hutāśana	m	0,00482																																																						
sārvakālika	adj	0,00482																																																						
sphuraṇa	n	0,00482																																																						
smara	m	0,00482																																																						
vaivarṇya	n	0,00482																																																						
vyāyāma	m	0,00482																																																						
vināśaka	adj	0,00482																																																						
gostana	m	0,00482																																																						
granthila	m	0,00482																																																						
śoka	m	0,00482																																																						
śoṇa	adj	0,00482																																																						
śobhāñjana	mn	0,00482																																																						
śoṣaṇa	adj	0,00482																																																						
khāna	n	0,00482																																																						
khalla	mn	0,00482																																																						
khura	mn	0,00482																																																						
gaṇḍa	mn	0,00482																																																						
gandhapāṣāṇa	mn	0,00482																																																						
garuḍa	m	0,00482																																																						
śāla	mn	0,00482																																																						
kṣuraka	m	0,00482																																																						
mūtrāghāta	m	0,00482																																																						
mudgara	m	0,00482																																																						
mūlabandha	m	0,00482																																																						
mūlaka	n	0,00482																																																						
mṛṇāla	mn	0,00482																																																						
viśāla	adj	0,00482																																																						
prabala	adj	0,00482																																																						
vṛnda	n	0,00482																																																						
vṛścika	m	0,00482																																																						
puṁnāga	m	0,00482																																																						
piśita	n	0,00482																																																						
puṇya	n	0,00482																																																						
puṣpāñjana	n	0,00482																																																						
pūraṇa	n	0,00482																																																						
budbuda	mn	0,00482																																																						
brāhma	adj	0,00482																																																						
phalatrika	n	0,00482																																																						
plakṣa	m	0,00482																																																						
barbara	m	0,00482																																																						
barbara	n	0,00482																																																						
prayāsa	m	0,00482																																																						
prayojaka	adj	0,00482																																																						
prasādana	adj	0,00482																																																						
candrakānta	mn	0,00482																																																						
campaka	m	0,00482																																																						
nāmaka	adj	0,00482																																																						
bālaka	n	0,00482																																																						
mūlamantra	mn	0,00482																																																						
navajvara	m	0,00482																																																						
lāva	m	0,00482																																																						
dvaṁdvamelāpaka	m	0,00482																																																						
khuraka	n	0,00482																																																						
sūtendra	mn	0,00482																																																						
nirnāga	adj	0,00482																																																						
haṁsa	n	0,00482																																																						
kakāra	m	0,00413																																																						
kaca	m	0,00413																																																						
kaṇa	m	0,00413																																																						
kaṇṭaphala	m	0,00413																																																						
kaṇṭaka	mn	0,00413																																																						
kataka	mn	0,00413																																																						
kapittha	n	0,00413																																																						
kambala	mn	0,00413																																																						
kṛtsna	adj	0,00413																																																						
kṛṣṇalavaṇa	n	0,00413																																																						
kośa	mn	0,00413																																																						
koṣṭhaka	mn	0,00413																																																						
akṛta	adj	0,00413																																																						
agrima	adj	0,00413																																																						
aṅganyāsa	m	0,00413																																																						
saṁgrāma	mn	0,00413																																																						
saṁcāra	m	0,00413																																																						
anuttama	adj	0,00413																																																						
antarāla	n	0,00413																																																						
kardama	mn	0,00413																																																						
kalaśa	mn	0,00413																																																						
kaṣṭa	adj	0,00413																																																						
paṅka	mn	0,00413																																																						
paktiśūla	n	0,00413																																																						
pañcaguṇa	adj	0,00413																																																						
pañcamūla	fn	0,00413																																																						
pañcāmṛta	n	0,00413																																																						
padya	n	0,00413																																																						
saṁdīpana	adj	0,00413																																																						
saptaparṇa	m	0,00413																																																						
abala	n	0,00413																																																						
kāla	m	0,00413																																																						
kiṁkara	m	0,00413																																																						
kirāta	mn	0,00413																																																						
kunda	m	0,00413																																																						
bhaiṣajya	n	0,00413																																																						
nirvāhaṇa	n	0,00413																																																						
nīlakaṇṭha	m	0,00413																																																						
sampradāya	m	0,00413																																																						
abhiṣava	m	0,00413																																																						
abhyaṅga	m	0,00413																																																						
abhyanujñāna	n	0,00413																																																						
amṛta	adj	0,00413																																																						
nasya	n	0,00413																																																						
nāgakesara	m	0,00413																																																						
nirañjana	adj	0,00413																																																						
nirantara	adj	0,00413																																																						
niṣphala	adj	0,00413																																																						
malla	mn	0,00413																																																						
uṣṇaka	adj	0,00413																																																						
ūrdhvapātana	n	0,00413																																																						
aikya	n	0,00413																																																						
śrotra	n	0,00413																																																						
ṣaṭcakra	n	0,00413																																																						
saṁropaṇa	adj	0,00413																																																						
dhūsara	adj	0,00413																																																						
dhruva	adj	0,00413																																																						
nakha	fn	0,00413																																																						
naga	m	0,00413																																																						
upadrava	m	0,00413																																																						
vārṣika	adj	0,00413																																																						
vikala	adj	0,00413																																																						
vikalpa	mf	0,00413																																																						
bhāgika	adj	0,00413																																																						
cāturjāta	n	0,00413																																																						
chedana	adj	0,00413																																																						
uccāra	m	0,00413																																																						
utsāha	m	0,00413																																																						
udgāra	m	0,00413																																																						
ādāna	n	0,00413																																																						
ādinātha	m	0,00413																																																						
āyuṣa	n	0,00413																																																						
ārambha	m	0,00413																																																						
āroha	mn	0,00413																																																						
aśodhita	adj	0,00413																																																						
aśubha	adj	0,00413																																																						
aśmasāra	mn	0,00413																																																						
aṣṭavarga	m	0,00413																																																						
aṣṭavidha	adj	0,00413																																																						
ahorātra	mn	0,00413																																																						
ahita	adj	0,00413																																																						
āgneya	adj	0,00413																																																						
ityartha	adj	0,00413																																																						
indhana	n	0,00413																																																						
ucca	adj	0,00413																																																						
yāsa	m	0,00413																																																						
yūka	mf	0,00413																																																						
yodha	m	0,00413																																																						
rañjaka	adj	0,00413																																																						
lohita	m	0,00413																																																						
vatsa	m	0,00413																																																						
vandāka	mf	0,00413																																																						
vara	n	0,00413																																																						
rasasindūra	mn	0,00413																																																						
raseśvara	mn	0,00413																																																						
rasāla	m	0,00413																																																						
repha	mn	0,00413																																																						
rūpaka	adj	0,00413																																																						
yavāgraja	mn	0,00413																																																						
varya	adj	0,00413																																																						
valaya	mn	0,00413																																																						
valka	mn	0,00413																																																						
vallabha	adj	0,00413																																																						
vasana	n	0,00413																																																						
mahānīla	mn	0,00413																																																						
mahābala	m	0,00413																																																						
mahiṣākṣa	m	0,00413																																																						
mātaṁga	m	0,00413																																																						
mādhurya	n	0,00413																																																						
māna	m	0,00413																																																						
raudra	adj	0,00413																																																						
laṅghana	n	0,00413																																																						
leha	m	0,00413																																																						
