"от 200 до 700"	ā	61=8.59%	"от 200 до 700"	i	20=2.82%	"от 200 до 700"	ī	19=2.68%	"от 200 до 700"	u	9=1.27%	"от 200 до 700"	ū	16=2.25%	"от 200 до 700"	e	8=1.13%	"от 200 до 700"	ṛ	54=7.61%	"от 200 до 700"	kh	1=0.14%	"от 200 до 700"	gh	1=0.14%	"от 200 до 700"	k	2=0.28%	"от 200 до 700"	ṭh	1=0.14%	"от 200 до 700"	ṭ	1=0.14%	"от 200 до 700"	ḍ	1=0.14%	"от 200 до 700"	ch	4=0.56%	"от 200 до 700"	j	42=5.92%	"от 200 до 700"	c	19=2.68%	"от 200 до 700"	th	3=0.42%	"от 200 до 700"	dh	24=3.38%	"от 200 до 700"	t	16=2.25%	"от 200 до 700"	d	33=4.65%	"от 200 до 700"	n	20=2.82%	"от 200 до 700"	bh	8=1.13%	"от 200 до 700"	p	29=4.08%	"от 200 до 700"	m	47=6.62%	"от 200 до 700"	y	142=20.00%	"от 200 до 700"	r	6=0.85%	"от 200 до 700"	l	4=0.56%	"от 200 до 700"	v	4=0.56%	"от 200 до 700"	ṣ	38=5.35%	"от 200 до 700"	ś	29=4.08%	"от 200 до 700"	s	21=2.96%	"от 200 до 700"	h	27=3.80%
Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank
bhā	v	0,01634																sampṛ	v	0,00961																						nimajj	v	0,00769													āsad	v	0,00801										unnam	v	0,00897	niveśay	v	0,01730										śikṣ	v	0,00641									
khyā	v	0,01570																parihṛ	v	0,00929																						pravraj	v	0,00769													nad	v	0,00673										upakram	v	0,00897	bhāvay	v	0,01698										ucchiṣ	v	0,00609									
prahā	v	0,01442																anusmṛ	v	0,00865																						abhyañj	v	0,00737													vicchid	v	0,00577										upayam	v	0,00897	mānay	v	0,01602										upekṣ	v	0,00609									
anuṣṭhā	v	0,01281																prāviṣkṛ	v	0,00833																						anurañj	v	0,00673													chad	v	0,00545										upasaṁkram	v	0,00897	prārthay	v	0,01570										muṣ	v	0,00577									
ādhā	v	0,01281																namaskṛ	v	0,00769																						upabhuj	v	0,00673																									śram	v	0,00865	ghātay	v	0,01474										samīkṣ	v	0,00577									
āhvā	v	0,01281																prahṛ	v	0,00737																						añj	v	0,00641																									saṁyam	v	0,00865	āropay	v	0,01474										apakṛṣ	v	0,00545									
pratiṣṭhā	v	0,01281																vikṛ	v	0,00737																						samutsṛj	v	0,00641																									abhiram	v	0,00833	īray	v	0,01442										vikṛṣ	v	0,00545									
vikhyā	v	0,01249																vivṛ	v	0,00737																						saṁrañj	v	0,00577																									udgam	v	0,00801	mahīy	v	0,01442										piṣ	v	0,00513									
dhā	v	0,01217																saṁkṛ	v	0,00737																						abhivyañj	v	0,00545																									viram	v	0,00801	dūṣay	v	0,01409										prahṛṣ	v	0,00513									
pā	v	0,01153																sambhṛ	v	0,00737																						pariṣvaj	v	0,00545																									saṁgam	v	0,00769	tarpay	v	0,01409																					
śraddhā	v	0,01025																samāvṛ	v	0,00705																						garj	v	0,00513																									apagam	v	0,00737	vilokay	v	0,01409																					
saṁdhā	v	0,01025																āstṛ	v	0,00673																						mṛj	v	0,00513																									parigam	v	0,00673	visarjay	v	0,01409																					
anujñā	v	0,00993																vyāhṛ	v	0,00673																						samāyuj	v	0,00513																									vikram	v	0,00609	tāḍay	v	0,01377																					
trā	v	0,00993																uddhṛ	v	0,00673																																																	yam	v	0,00545	pālay	v	0,01377																					
upādā	v	0,00993																paripṛ	v	0,00641																																																	vam	v	0,00545	varṇay	v	0,01313																					
samākhyā	v	0,00993																ādṛ	v	0,00609																																																	dam	v	0,00545	vāray	v	0,01281																					
samutthā	v	0,00961																pradakṣiṇīkṛ	v	0,00609																																																	samanvāgam	v	0,00545	ālokay	v	0,01281																					
anuyā	v	0,00833																viśṛ	v	0,00609																																																	avanam	v	0,00513	bhūṣay	v	0,01281																					
vyavasā	v	0,00737																uttṛ	v	0,00577																																																				lakṣay	v	0,01249																					
vā	v	0,00705																prasṛ	v	0,00577																																																				pūray	v	0,01185																					
pratijñā	v	0,00705																saṁsmṛ	v	0,00577																																																				abhipūjay	v	0,01185																					
anumā	v	0,00673																samudāhṛ	v	0,00577																																																				vibhūṣay	v	0,01153																					
praṇidhā	v	0,00673																śṛ	v	0,00545																																																				udīray	v	0,01121																					
saṁkhyā	v	0,00641																ākṛ	v	0,00545																																																				pravartay	v	0,01057																					
samādhā	v	0,00641																niḥsṛ	v	0,00545																																																				vibhāvay	v	0,01057																					
āpyā	v	0,00609																																																																						śrāvay	v	0,01025																					
pidhā	v	0,00609																																																																						pratipāday	v	0,01025																					
upayā	v	0,00545																																																																						kāmay	v	0,00993																					
prasthā	v	0,00545																																																																						mohay	v	0,00993																					
abhijñā	v	0,00513																																																																						avalokay	v	0,00993																					
pratyupasthā	v	0,00513																																																																						ākarṇay	v	0,00993																					
vinirmā	v	0,00513																																																																						nivāray	v	0,00993																					
																																																																								parikīrtay	v	0,00993																					
																																																																								pracoday	v	0,00993																					
																																																																								prasāday	v	0,00993																					
																																																																								vicāray	v	0,00993																					
																																																																								arpay	v	0,00961																					
																																																																								vardhay	v	0,00961																					
																																																																								upadarśay	v	0,00961																					
																																																																								vicintay	v	0,00961																					
																																																																								āpyāyay	v	0,00961																					
																																																																								toṣay	v	0,00929																					
																																																																								tāray	v	0,00897																					
																																																																								kṣapay	v	0,00897																					
																																																																								deśay	v	0,00865																					
																																																																								bhrāmay	v	0,00865																					
																																																																								prakalpay	v	0,00865																					
																																																																								maṇḍay	v	0,00865																					
																																																																								praveśay	v	0,00833																					
																																																																								vikalpay	v	0,00833																					
																																																																								śodhay	v	0,00801																					
																																																																								abhivāday	v	0,00801																					
																																																																								parivāray	v	0,00801																					
																																																																								adhyāpay	v	0,00769																					
																																																																								grāhay	v	0,00769																					
																																																																								nivartay	v	0,00769																					
																																																																								parikalpay	v	0,00769																					
																																																																								parivarjay	v	0,00769																					
																																																																								arday	v	0,00737																					
																																																																								prakṣālay	v	0,00737																					
