"Недатированные тексты"	ā	38=8.12%	"Недатированные тексты"	i	9=1.92%	"Недатированные тексты"	ī	9=1.92%	"Недатированные тексты"	u	10=2.14%	"Недатированные тексты"	ū	11=2.35%	"Недатированные тексты"	e	2=0.43%	"Недатированные тексты"	ṛ	29=6.20%	"Недатированные тексты"	kh	1=0.21%	"Недатированные тексты"	k	1=0.21%	"Недатированные тексты"	g	1=0.21%	"Недатированные тексты"	ṭh	1=0.21%	"Недатированные тексты"	ṭ	3=0.64%	"Недатированные тексты"	ch	3=0.64%	"Недатированные тексты"	j	19=4.06%	"Недатированные тексты"	c	10=2.14%	"Недатированные тексты"	th	1=0.21%	"Недатированные тексты"	dh	14=2.99%	"Недатированные тексты"	t	5=1.07%	"Недатированные тексты"	d	23=4.91%	"Недатированные тексты"	n	15=3.21%	"Недатированные тексты"	bh	3=0.64%	"Недатированные тексты"	p	21=4.49%	"Недатированные тексты"	b	1=0.21%	"Недатированные тексты"	m	16=3.42%	"Недатированные тексты"	y	156=33.33%	"Недатированные тексты"	r	4=0.85%	"Недатированные тексты"	l	5=1.07%	"Недатированные тексты"	v	3=0.64%	"Недатированные тексты"	ṣ	15=3.21%	"Недатированные тексты"	ś	17=3.63%	"Недатированные тексты"	s	10=2.14%	"Недатированные тексты"	h	12=2.56%
Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank
																																																																								utthāpay	v	0,00551																					
																																																																								upalakṣay	v	0,00551																					
																																																																								vibhāvay	v	0,00551																					
																																																																								homay	v	0,00551																					
																																																																								samuccāray	v	0,00551																					
																																																																								sampāday	v	0,00551																					
																																																																								saṁpradarśay	v	0,00551																					
																																																																								samarpay	v	0,00551																					
																																																																								nirvāpay	v	0,00551																					
																																																																								añjay	v	0,00482																					
																																																																								plāvay	v	0,00482																					
																																																																								bandhay	v	0,00482																					
																																																																								bheday	v	0,00482																					
																																																																								dīpay	v	0,00482																					
																																																																								ākuñcay	v	0,00482																					
																																																																								upavarṇay	v	0,00482																					
																																																																								niṣpīḍay	v	0,00482																					
																																																																								vicintay	v	0,00482																					
																																																																								saṁveṣṭay	v	0,00482																					
																																																																								saṁsveday	v	0,00482																					
																																																																								saṁcūrṇay	v	0,00482																					
																																																																								sampūjay	v	0,00482																					
																																																																								aṅkay	v	0,00413																					
																																																																								gaṇay	v	0,00413																					
																																																																								poṣay	v	0,00413																					
																																																																								mohay	v	0,00413																					
																																																																								stambhay	v	0,00413																					
																																																																								bhrāmay	v	0,00413																					
																																																																								kṣepay	v	0,00413																					
																																																																								avatāray	v	0,00413																					
																																																																								avaśeṣay	v	0,00413																					
																																																																								kalay	v	0,00413																					
																																																																								ālokay	v	0,00413																					
																																																																								utpāṭay	v	0,00413																					
																																																																								nipātay	v	0,00413																					
																																																																								nivāray	v	0,00413																					
																																																																								paripūray	v	0,00413																					
																																																																								parivarjay	v	0,00413																					
																																																																								pradīpay	v	0,00413																					
																																																																								pradrāvay	v	0,00413																					
																																																																								vicāray	v	0,00413																					
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
