final_member	mw_class	mw_first_members	corpus_compounds	corpus_tokens	corpus_first_members	overlap_first	mw_only_first	corpus_only_first	corpus_status
jinva	UTTARAPADA	2	0	0	0	0	2	0	absent
jityā	UTTARAPADA	2	0	0	0	0	2	0	form_variant
jman	UTTARAPADA	2	1	1	1	1	1	0	final
joḍa	UTTARAPADA	2	0	0	0	0	2	0	absent
joṣas	UTTARAPADA	2	0	0	0	0	2	0	absent
jrayas	UTTARAPADA	2	5	6	2	2	0	0	final
jvalita	UTTARAPADA	2	0	0	0	0	2	0	absent
jyotirvid	UTTARAPADA	2	0	0	0	0	2	0	nonfinal_only
jyotiṣmatī	UTTARAPADA	2	1	0	1	0	2	1	final
jyoḍi	UTTARAPADA	2	0	0	0	0	2	0	absent
jñatā	UTTARAPADA	2	0	0	0	0	2	0	absent
jñānavādārtha	UTTARAPADA	2	0	0	0	0	2	0	absent
jñāti	UTTARAPADA	2	16	9	13	1	1	12	final
jāgarika	UTTARAPADA	2	0	0	0	0	2	0	absent
jāhnavī	UTTARAPADA	2	1	0	1	0	2	1	final
jālikā	UTTARAPADA	2	0	0	0	0	2	0	nonfinal_only
jālī	UTTARAPADA	2	1	1	1	0	2	1	final
jānapada	UTTARAPADA	2	16	56	4	1	1	3	final
jātiviveka	UTTARAPADA	2	0	0	0	0	2	0	absent
jātya	UTTARAPADA	2	9	9	7	1	1	6	final
jātī	UTTARAPADA	2	3	2	3	0	2	3	final
jāvan	UTTARAPADA	2	0	0	0	0	2	0	absent
jāya	UTTARAPADA	2	0	0	0	0	2	0	form_variant
jāyin	UTTARAPADA	2	0	0	0	0	2	0	absent
jāḍya	UTTARAPADA	2	7	8	7	0	2	7	final
jīrṇa	UTTARAPADA	2	7	2	5	1	1	4	final
jīvantikā	UTTARAPADA	2	0	0	0	0	2	0	absent
kacchapikā	UTTARAPADA	2	0	0	0	0	2	0	nonfinal_only
kacchū	UTTARAPADA	2	0	0	0	0	2	0	nonfinal_only
kacu	UTTARAPADA	2	0	0	0	0	2	0	absent
kadru	UTTARAPADA	2	0	0	0	0	2	0	nonfinal_only
kaitava	UTTARAPADA	2	2	1	2	0	2	2	final
kajjala	UTTARAPADA	2	4	1	4	0	2	4	final
kakubh	UTTARAPADA	2	3	4	1	0	2	1	final
kakuda	UTTARAPADA	2	1	1	1	1	1	0	final
kalam	UTTARAPADA	2	0	0	0	0	2	0	absent
kalila	UTTARAPADA	2	23	29	18	2	0	16	final
kaliṅga	UTTARAPADA	2	1	0	1	0	2	1	final
kalpagrantha	UTTARAPADA	2	0	0	0	0	2	0	absent
kalpaka	UTTARAPADA	2	0	0	0	0	2	0	nonfinal_only
kalpam	UTTARAPADA	2	0	0	0	0	2	0	absent
kalpavallī	UTTARAPADA	2	0	0	0	0	2	0	absent
kalpita	UTTARAPADA	2	0	0	0	0	2	0	absent
kalyāṇaka	UTTARAPADA	2	2	2	2	0	2	2	final
kalānidhi	UTTARAPADA	2	0	0	0	0	2	0	absent
kalāpaka	UTTARAPADA	2	0	0	0	0	2	0	nonfinal_only
kalāyī	UTTARAPADA	2	0	0	0	0	2	0	absent
kamalinī	UTTARAPADA	2	3	3	3	0	2	3	final
kampin	UTTARAPADA	2	0	0	0	0	2	0	absent
kandalī	UTTARAPADA	2	0	0	0	0	2	0	nonfinal_only
kandikā	UTTARAPADA	2	0	0	0	0	2	0	absent
kapaṭa	UTTARAPADA	2	1	1	1	0	2	1	final
kapittha	UTTARAPADA	2	3	3	2	0	2	2	final
kapālam	UTTARAPADA	2	0	0	0	0	2	0	absent
kapīvat	UTTARAPADA	2	0	0	0	0	2	0	absent
karaja	UTTARAPADA	2	1	1	1	0	2	1	final
karambha	UTTARAPADA	2	1	0	1	0	2	1	final
karatva	UTTARAPADA	2	2	2	1	0	2	1	final
karavīra	UTTARAPADA	2	4	4	2	1	1	1	final
karavīraka	UTTARAPADA	2	0	0	0	0	2	0	nonfinal_only
karaṅka	UTTARAPADA	2	0	0	0	0	2	0	nonfinal_only
karaṇaka	UTTARAPADA	2	0	0	0	0	2	0	absent
karaṇḍa	UTTARAPADA	2	1	0	1	0	2	1	final
karaṭa	UTTARAPADA	2	1	1	1	0	2	1	final
kareṇukā	UTTARAPADA	2	0	0	0	0	2	0	nonfinal_only
kariṣṇu	UTTARAPADA	2	0	0	0	0	2	0	nonfinal_only
karkara	UTTARAPADA	2	1	1	1	0	2	1	final
karkaśa	UTTARAPADA	2	3	2	3	0	2	3	final
karkaṭaka	UTTARAPADA	2	1	1	1	0	2	1	final
karmakara	UTTARAPADA	2	1	1	1	1	1	0	final
karmakārin	UTTARAPADA	2	0	0	0	0	2	0	absent
karmavidhi	UTTARAPADA	2	0	0	0	0	2	0	absent
karpaṭa	UTTARAPADA	2	6	5	5	0	2	5	final
karpūraja	UTTARAPADA	2	0	0	0	0	2	0	absent
karpūraka	UTTARAPADA	2	0	0	0	0	2	0	absent
kartarī	UTTARAPADA	2	2	2	2	0	2	2	final
karttṛ	UTTARAPADA	2	0	0	0	0	2	0	absent
karā	UTTARAPADA	2	0	0	0	0	2	0	form_variant
karīra	UTTARAPADA	2	5	5	5	0	2	5	final
karśita	UTTARAPADA	2	0	0	0	0	2	0	absent
karṇāmṛta	UTTARAPADA	2	0	0	0	0	2	0	absent
karṣaka	UTTARAPADA	2	0	0	0	0	2	0	nonfinal_only
karṣū	UTTARAPADA	2	0	0	0	0	2	0	nonfinal_only
kathika	UTTARAPADA	2	0	0	0	0	2	0	nonfinal_only
kaurava	UTTARAPADA	2	4	4	2	0	2	2	final
kauśeya	UTTARAPADA	2	4	4	3	0	2	3	final
kauṇḍinya	UTTARAPADA	2	1	1	1	0	2	1	final
kavīndra	UTTARAPADA	2	0	0	0	0	2	0	absent
kaśyapa	UTTARAPADA	2	4	4	4	0	2	4	final
kaṃsika	UTTARAPADA	2	0	0	0	0	2	0	absent
kaṅka	UTTARAPADA	2	2	2	2	0	2	2	final
kaṅkata	UTTARAPADA	2	0	0	0	0	2	0	absent
kaṇṭakinī	UTTARAPADA	2	0	0	0	0	2	0	form_variant
kaṇṭakārī	UTTARAPADA	2	4	4	4	0	2	4	final
kaṇṭham	UTTARAPADA	2	0	0	0	0	2	0	absent
kaṇṭikā	UTTARAPADA	2	0	0	0	0	2	0	absent
kaṇṭārikā	UTTARAPADA	2	0	0	0	0	2	0	absent
kaṭaṅkaṭa	UTTARAPADA	2	0	0	0	0	2	0	absent
kaṭha	UTTARAPADA	2	0	0	0	0	2	0	nonfinal_only
kaṭhinika	UTTARAPADA	2	0	0	0	0	2	0	absent
kaṭukā	UTTARAPADA	2	1	1	1	0	2	1	final
kaṭya	UTTARAPADA	2	0	0	0	0	2	0	absent
kaṭā	UTTARAPADA	2	0	0	0	0	2	0	absent
kaṭāhaka	UTTARAPADA	2	0	0	0	0	2	0	absent
kendra	UTTARAPADA	2	2	2	2	0	2	2	final
kesarā	UTTARAPADA	2	0	0	0	0	2	0	form_variant
ketuka	UTTARAPADA	2	0	0	0	0	2	0	absent
keśatā	UTTARAPADA	2	0	0	0	0	2	0	absent
keśaṭa	UTTARAPADA	2	0	0	0	0	2	0	absent
keśi	UTTARAPADA	2	1	1	1	0	2	1	final
keśya	UTTARAPADA	2	0	0	0	0	2	0	nonfinal_only
khalati	UTTARAPADA	2	0	0	0	0	2	0	nonfinal_only
khana	UTTARAPADA	2	0	0	0	0	2	0	nonfinal_only
kharjūra	UTTARAPADA	2	3	2	3	0	2	3	final
kharva	UTTARAPADA	2	0	0	0	0	2	0	nonfinal_only
khañja	UTTARAPADA	2	2	3	1	1	1	0	final
khaṇḍin	UTTARAPADA	2	0	0	0	0	2	0	absent
khaṭva	UTTARAPADA	2	0	0	0	0	2	0	form_variant
khelam	UTTARAPADA	2	0	0	0	0	2	0	absent
khelā	UTTARAPADA	2	1	0	1	0	2	1	final
kheṭa	UTTARAPADA	2	0	0	0	0	2	0	nonfinal_only
kheṭaka	UTTARAPADA	2	0	0	0	0	2	0	absent
khilya	UTTARAPADA	2	1	1	1	1	1	0	final
khyāna	UTTARAPADA	2	0	0	0	0	2	0	absent
khyāta	UTTARAPADA	2	0	0	0	0	2	0	absent
khādaka	UTTARAPADA	2	0	0	0	0	2	0	nonfinal_only
khādikā	UTTARAPADA	2	0	0	0	0	2	0	absent
khānaka	UTTARAPADA	2	0	0	0	0	2	0	absent
khāni	UTTARAPADA	2	0	0	0	0	2	0	absent
khārī	UTTARAPADA	2	0	0	0	0	2	0	nonfinal_only
khārīka	UTTARAPADA	2	0	0	0	0	2	0	absent
khāḍava	UTTARAPADA	2	0	0	0	0	2	0	absent
kilbiṣin	UTTARAPADA	2	1	1	1	0	2	1	final
kim	UTTARAPADA	2	3	0	3	0	2	3	final
kirīṭa	UTTARAPADA	2	3	2	3	0	2	3	final
kirīṭin	UTTARAPADA	2	1	0	1	0	2	1	final
kis	UTTARAPADA	2	0	0	0	0	2	0	absent
kisalaya	UTTARAPADA	2	11	11	10	2	0	8	final
kiñjalka	UTTARAPADA	2	5	5	3	0	2	3	final
kiṃcid	UTTARAPADA	2	0	0	0	0	2	0	absent
kiṃśuka	UTTARAPADA	2	1	0	1	1	1	0	final
kliṣṭa	UTTARAPADA	2	0	0	0	0	2	0	nonfinal_only
knopam	UTTARAPADA	2	0	0	0	0	2	0	absent
kohala	UTTARAPADA	2	0	0	0	0	2	0	nonfinal_only
koka	UTTARAPADA	2	1	1	1	0	2	1	final
kokila	UTTARAPADA	2	3	2	3	0	2	3	final
kokilā	UTTARAPADA	2	0	0	0	0	2	0	form_variant
kolāhala	UTTARAPADA	2	3	3	3	0	2	3	final
kopin	UTTARAPADA	2	1	1	1	0	2	1	final
kośala	UTTARAPADA	2	1	1	1	0	2	1	final
koṣaka	UTTARAPADA	2	0	0	0	0	2	0	absent
kra	UTTARAPADA	2	0	0	0	0	2	0	absent
kramamālā	UTTARAPADA	2	0	0	0	0	2	0	absent
kramaṇa	UTTARAPADA	2	4	4	4	0	2	4	final
kramya	UTTARAPADA	2	0	0	0	0	2	0	absent
kramāgata	UTTARAPADA	2	0	0	0	0	2	0	absent
kratava	UTTARAPADA	2	0	0	0	0	2	0	absent
kratavīya	UTTARAPADA	2	0	0	0	0	2	0	absent
krauñca	UTTARAPADA	2	4	4	3	0	2	3	final
krimi	UTTARAPADA	2	5	4	5	0	2	5	final
kriyamāṇa	UTTARAPADA	2	0	0	0	0	2	0	absent
krudh	UTTARAPADA	2	153	0	99	1	1	98	final
kruṣṭa	UTTARAPADA	2	0	0	0	0	2	0	absent
krīḍita	UTTARAPADA	2	1	1	1	0	2	1	final
kubjaka	UTTARAPADA	2	0	0	0	0	2	0	nonfinal_only
kuha	UTTARAPADA	2	0	0	0	0	2	0	nonfinal_only
kulijika	UTTARAPADA	2	0	0	0	0	2	0	absent
kuliśa	UTTARAPADA	2	0	0	0	0	2	0	nonfinal_only
kuliṅga	UTTARAPADA	2	1	1	1	0	2	1	final
kulodvaha	UTTARAPADA	2	0	0	0	0	2	0	absent
kumbhā	UTTARAPADA	2	0	0	0	0	2	0	form_variant
kumuda	UTTARAPADA	2	6	5	6	0	2	6	final
kumāracarita	UTTARAPADA	2	0	0	0	0	2	0	absent
kumārīka	UTTARAPADA	2	0	0	0	0	2	0	absent
kurabaka	UTTARAPADA	2	0	0	0	0	2	0	nonfinal_only
kuraṇḍa	UTTARAPADA	2	0	0	0	0	2	0	nonfinal_only
kurīra	UTTARAPADA	2	0	0	0	0	2	0	absent
kusama	UTTARAPADA	2	0	0	0	0	2	0	absent
kusumbha	UTTARAPADA	2	2	2	2	0	2	2	final
kutsita	UTTARAPADA	2	0	0	0	0	2	0	absent
kuṅkuma	UTTARAPADA	2	10	9	8	0	2	8	final
kuṇḍaka	UTTARAPADA	2	0	0	0	0	2	0	nonfinal_only
kuṇḍalinī	UTTARAPADA	2	0	0	0	0	2	0	form_variant
kuṇḍikā	UTTARAPADA	2	1	1	1	0	2	1	final
kuṭumbinī	UTTARAPADA	2	1	0	1	0	2	1	final
kuṭīra	UTTARAPADA	2	0	0	0	0	2	0	nonfinal_only
kuṭṭima	UTTARAPADA	2	2	2	2	0	2	2	final
kvāṇa	UTTARAPADA	2	1	1	1	0	2	1	final
kādambarī	UTTARAPADA	2	0	0	0	0	2	0	absent
kākud	UTTARAPADA	2	0	0	0	0	2	0	absent
kākurava	UTTARAPADA	2	0	0	0	0	2	0	absent
kākīya	UTTARAPADA	2	0	0	0	0	2	0	absent
kāleya	UTTARAPADA	2	0	0	0	0	2	0	nonfinal_only
kālidāsa	UTTARAPADA	2	0	0	0	0	2	0	absent
kālya	UTTARAPADA	2	0	0	0	0	2	0	nonfinal_only
kāmam	UTTARAPADA	2	0	0	0	0	2	0	nonfinal_only
kāmanā	UTTARAPADA	2	1	1	1	0	2	1	final
kāmi	UTTARAPADA	2	0	0	0	0	2	0	absent
kāmuka	UTTARAPADA	2	15	26	9	0	2	9	final
kānanamāhātmya	UTTARAPADA	2	0	0	0	0	2	0	absent
kāntī	UTTARAPADA	2	0	0	0	0	2	0	form_variant
kāpotī	UTTARAPADA	2	0	0	0	0	2	0	absent
kāraṇāt	UTTARAPADA	2	0	0	0	0	2	0	absent
kāri	UTTARAPADA	2	1	1	1	0	2	1	final
kārmika	UTTARAPADA	2	0	0	0	0	2	0	absent
kārṣāpaṇika	UTTARAPADA	2	0	0	0	0	2	0	absent
kāsīsa	UTTARAPADA	2	8	10	8	0	2	8	final
kāti	UTTARAPADA	2	0	0	0	0	2	0	absent
kātya	UTTARAPADA	2	0	0	0	0	2	0	absent
kāśī	UTTARAPADA	2	0	0	0	0	2	0	form_variant
kāṃsya	UTTARAPADA	2	7	7	6	0	2	6	final
kāṇva	UTTARAPADA	2	0	0	0	0	2	0	nonfinal_only
kāṇḍaka	UTTARAPADA	2	0	0	0	0	2	0	absent
kāṇḍam	UTTARAPADA	2	0	0	0	0	2	0	absent
kāṇḍikā	UTTARAPADA	2	0	0	0	0	2	0	absent
kāṣa	UTTARAPADA	2	0	0	0	0	2	0	absent
kāṣam	UTTARAPADA	2	0	0	0	0	2	0	absent
kīm	UTTARAPADA	2	0	0	0	0	2	0	absent
kīśa	UTTARAPADA	2	0	0	0	0	2	0	nonfinal_only
kūja	UTTARAPADA	2	2	1	2	1	1	1	final
kūjita	UTTARAPADA	2	3	3	3	0	2	3	final
kūlaka	UTTARAPADA	2	0	0	0	0	2	0	absent
kūlika	UTTARAPADA	2	0	0	0	0	2	0	absent
kūlā	UTTARAPADA	2	0	0	0	0	2	0	form_variant
kūpaka	UTTARAPADA	2	0	0	0	0	2	0	absent
kūrcikā	UTTARAPADA	2	0	0	0	0	2	0	absent
kūṇikā	UTTARAPADA	2	0	0	0	0	2	0	nonfinal_only
kūṭī	UTTARAPADA	2	0	0	0	0	2	0	form_variant
kṛ	UTTARAPADA	2	3870	3	1665	0	2	1665	final
kṛcchraka	UTTARAPADA	2	0	0	0	0	2	0	absent
kṛkara	UTTARAPADA	2	0	0	0	0	2	0	nonfinal_only
kṛpa	UTTARAPADA	2	18	22	7	0	2	7	final
kṛpaṇa	UTTARAPADA	2	14	12	9	1	1	8	final
kṛtha	UTTARAPADA	2	1	3	1	1	1	0	final
kṛtika	UTTARAPADA	2	0	0	0	0	2	0	absent
kṛtvā	UTTARAPADA	2	0	0	0	0	2	0	nonfinal_only
kṛṣṇīya	UTTARAPADA	2	0	0	0	0	2	0	absent
kṣa	UTTARAPADA	2	0	0	0	0	2	0	absent
kṣapaṇaka	UTTARAPADA	2	0	0	0	0	2	0	nonfinal_only
kṣauma	UTTARAPADA	2	0	0	0	0	2	0	nonfinal_only
kṣaṇāt	UTTARAPADA	2	0	0	0	0	2	0	absent
kṣeman	UTTARAPADA	2	0	0	0	0	2	0	absent
kṣepaka	UTTARAPADA	2	0	0	0	0	2	0	absent
kṣepika	UTTARAPADA	2	0	0	0	0	2	0	absent
kṣipta	UTTARAPADA	2	0	0	0	0	2	0	absent
kṣita	UTTARAPADA	2	0	0	0	0	2	0	absent
kṣitibhṛt	UTTARAPADA	2	0	0	0	0	2	0	nonfinal_only
kṣmā	UTTARAPADA	2	2	2	2	0	2	2	final
kṣmābhṛt	UTTARAPADA	2	1	1	1	0	2	1	final
kṣudra	UTTARAPADA	2	3	1	3	0	2	3	final
kṣālana	UTTARAPADA	2	4	3	4	0	2	4	final
kṣāma	UTTARAPADA	2	17	17	11	0	2	11	final
kṣāmā	UTTARAPADA	2	0	0	0	0	2	0	form_variant
kṣānta	UTTARAPADA	2	0	0	0	0	2	0	absent
kṣāraka	UTTARAPADA	2	1	1	1	0	2	1	final
kṣīraka	UTTARAPADA	2	0	0	0	0	2	0	nonfinal_only
labha	UTTARAPADA	2	0	0	0	0	2	0	nonfinal_only
lagnā	UTTARAPADA	2	0	0	0	0	2	0	form_variant
laguḍa	UTTARAPADA	2	2	1	2	0	2	2	final
lahari	UTTARAPADA	2	5	4	5	0	2	5	final
lajjā	UTTARAPADA	2	13	6	6	0	2	6	final
lakṣahoma	UTTARAPADA	2	1	0	1	0	2	1	final
lakṣaṇaka	UTTARAPADA	2	2	2	1	0	2	1	final
lakṣaṇī	UTTARAPADA	2	0	0	0	0	2	0	form_variant
lakṣita	UTTARAPADA	2	0	0	0	0	2	0	absent
lakṣma	UTTARAPADA	2	1	1	1	0	2	1	final
lakṣmīpūjā	UTTARAPADA	2	0	0	0	0	2	0	absent
lalitā	UTTARAPADA	2	3	3	3	0	2	3	final
lalāṭatā	UTTARAPADA	2	0	0	0	0	2	0	absent
lalāṭikā	UTTARAPADA	2	0	0	0	0	2	0	nonfinal_only
lalāṭā	UTTARAPADA	2	0	0	0	0	2	0	form_variant
lambana	UTTARAPADA	2	0	0	0	0	2	0	absent
lavya	UTTARAPADA	2	0	0	0	0	2	0	absent
laśuna	UTTARAPADA	2	9	9	8	0	2	8	final
leha	UTTARAPADA	2	9	7	9	0	2	9	final
lehin	UTTARAPADA	2	1	1	1	0	2	1	final
lehya	UTTARAPADA	2	4	4	4	0	2	4	final
lekhanī	UTTARAPADA	2	0	0	0	0	2	0	form_variant
lipsu	UTTARAPADA	2	12	15	10	1	1	9	final
liptā	UTTARAPADA	2	2	2	2	0	2	2	final
liṅgadhara	UTTARAPADA	2	0	0	0	0	2	0	absent
liṅgam	UTTARAPADA	2	0	0	0	0	2	0	absent
liṅgeśvara	UTTARAPADA	2	0	0	0	0	2	0	nonfinal_only
liṅgī	UTTARAPADA	2	0	0	0	0	2	0	form_variant
lobhin	UTTARAPADA	2	1	1	1	0	2	1	final
lodhraka	UTTARAPADA	2	0	0	0	0	2	0	nonfinal_only
lohin	UTTARAPADA	2	0	0	0	0	2	0	absent
lokadhātu	UTTARAPADA	2	4	5	2	0	2	2	final
lokatā	UTTARAPADA	2	0	0	0	0	2	0	absent
lokī	UTTARAPADA	2	0	0	0	0	2	0	form_variant
lolikā	UTTARAPADA	2	0	0	0	0	2	0	absent
lomadhi	UTTARAPADA	2	0	0	0	0	2	0	absent
lomaka	UTTARAPADA	2	1	0	1	0	2	1	final
lomaśā	UTTARAPADA	2	2	0	1	0	2	1	final
lomika	UTTARAPADA	2	0	0	0	0	2	0	absent
lopaka	UTTARAPADA	2	0	0	0	0	2	0	absent
loṇī	UTTARAPADA	2	0	0	0	0	2	0	absent
lulita	UTTARAPADA	2	0	0	0	0	2	0	nonfinal_only
lumpa	UTTARAPADA	2	0	0	0	0	2	0	absent
luṅga	UTTARAPADA	2	0	0	0	0	2	0	nonfinal_only
lālā	UTTARAPADA	2	1	1	1	1	1	0	final
lāsa	UTTARAPADA	2	0	0	0	0	2	0	nonfinal_only
lāsaka	UTTARAPADA	2	1	1	1	0	2	1	final
lāvaṇika	UTTARAPADA	2	2	2	2	1	1	1	final
lāvaṇya	UTTARAPADA	2	7	7	7	1	1	6	final
lāṅgula	UTTARAPADA	2	0	0	0	0	2	0	nonfinal_only
līḍha	UTTARAPADA	2	0	0	0	0	2	0	absent
madga	UTTARAPADA	2	0	0	0	0	2	0	absent
madgu	UTTARAPADA	2	1	1	1	0	2	1	final
madgurikā	UTTARAPADA	2	0	0	0	0	2	0	absent
madhuka	UTTARAPADA	2	30	26	25	0	2	25	final
madhurā	UTTARAPADA	2	1	0	1	0	2	1	final
madhyaga	UTTARAPADA	2	1	1	1	0	2	1	final
madra	UTTARAPADA	2	1	0	1	0	2	1	final
madā	UTTARAPADA	2	0	0	0	0	2	0	form_variant
magadha	UTTARAPADA	2	4	2	3	0	2	3	final
maghavan	UTTARAPADA	2	2	2	2	0	2	2	final
mahendra	UTTARAPADA	2	2	1	2	0	2	2	final
mahimādarśa	UTTARAPADA	2	0	0	0	0	2	0	absent
mahībhṛt	UTTARAPADA	2	2	2	2	2	0	0	final
maithunā	UTTARAPADA	2	0	0	0	0	2	0	form_variant
maitrāvaruṇa	UTTARAPADA	2	0	0	0	0	2	0	nonfinal_only
majjan	UTTARAPADA	2	35	43	22	0	2	22	final
makuṭa	UTTARAPADA	2	4	4	4	0	2	4	final
makṣā	UTTARAPADA	2	0	0	0	0	2	0	absent
malina	UTTARAPADA	2	25	24	23	1	1	22	final
mallika	UTTARAPADA	2	0	0	0	0	2	0	form_variant
manana	UTTARAPADA	2	0	0	0	0	2	0	nonfinal_only
mandara	UTTARAPADA	2	6	5	6	1	1	5	final
mandra	UTTARAPADA	2	2	3	2	1	1	1	final
mandāra	UTTARAPADA	2	2	2	2	0	2	2	final
manobuddhi	UTTARAPADA	2	0	0	0	0	2	0	absent
manthara	UTTARAPADA	2	8	8	8	0	2	8	final
mantrabhāṣya	UTTARAPADA	2	0	0	0	0	2	0	absent
mantrasādhana	UTTARAPADA	2	0	0	0	0	2	0	absent
manuja	UTTARAPADA	2	7	7	6	0	2	6	final
mardanī	UTTARAPADA	2	0	0	0	0	2	0	form_variant
markaṭa	UTTARAPADA	2	1	1	1	0	2	1	final
martya	UTTARAPADA	2	25	18	24	0	2	24	final
marīcikā	UTTARAPADA	2	0	0	0	0	2	0	absent
marīcimat	UTTARAPADA	2	0	0	0	0	2	0	absent
masi	UTTARAPADA	2	0	0	0	0	2	0	absent
matallikā	UTTARAPADA	2	0	0	0	0	2	0	absent
matavicāra	UTTARAPADA	2	0	0	0	0	2	0	absent
math	UTTARAPADA	2	52	0	50	1	1	49	final
matha	UTTARAPADA	2	0	0	0	0	2	0	absent
mathanī	UTTARAPADA	2	0	0	0	0	2	0	form_variant
mathya	UTTARAPADA	2	0	0	0	0	2	0	absent
matikā	UTTARAPADA	2	0	0	0	0	2	0	absent
mattā	UTTARAPADA	2	0	0	0	0	2	0	nonfinal_only
matīkṛta	UTTARAPADA	2	0	0	0	0	2	0	absent
mayūkhamālikā	UTTARAPADA	2	0	0	0	0	2	0	absent
mayūraka	UTTARAPADA	2	0	0	0	0	2	0	nonfinal_only
mañca	UTTARAPADA	2	3	5	3	0	2	3	final
mañjarīguṇaleśasūcakadaśaka	UTTARAPADA	2	0	0	0	0	2	0	absent
maśaka	UTTARAPADA	2	6	8	4	1	1	3	final
maṅgaladīpikā	UTTARAPADA	2	0	0	0	0	2	0	absent
maṇimañjarī	UTTARAPADA	2	0	0	0	0	2	0	absent
maṇimālā	UTTARAPADA	2	0	0	0	0	2	0	absent
maṇī	UTTARAPADA	2	0	0	0	0	2	0	form_variant
maṇḍalika	UTTARAPADA	2	0	0	0	0	2	0	form_variant
maṇḍanā	UTTARAPADA	2	0	0	0	0	2	0	form_variant
maṇḍūkī	UTTARAPADA	2	0	0	0	0	2	0	form_variant
mbhaṭṭa	UTTARAPADA	2	0	0	0	0	2	0	absent
mbhāva	UTTARAPADA	2	0	0	0	0	2	0	absent
medas	UTTARAPADA	2	26	25	19	0	2	19	final
medhya	UTTARAPADA	2	8	7	8	1	1	7	final
meya	UTTARAPADA	2	0	0	0	0	2	0	absent
meḍhra	UTTARAPADA	2	8	9	7	0	2	7	final
meṣī	UTTARAPADA	2	1	1	1	0	2	1	final
mindha	UTTARAPADA	2	0	0	0	0	2	0	absent
mitrika	UTTARAPADA	2	0	0	0	0	2	0	absent
mitrāyaṇa	UTTARAPADA	2	0	0	0	0	2	0	absent
moca	UTTARAPADA	2	0	0	0	0	2	0	nonfinal_only
mocaka	UTTARAPADA	2	2	1	2	0	2	2	final
mocikā	UTTARAPADA	2	0	0	0	0	2	0	nonfinal_only
modana	UTTARAPADA	2	2	1	2	0	2	2	final
modataraṃgiṇī	UTTARAPADA	2	0	0	0	0	2	0	absent
modin	UTTARAPADA	2	0	0	0	0	2	0	absent
mogha	UTTARAPADA	2	4	0	2	0	2	2	final
mohaka	UTTARAPADA	2	0	0	0	0	2	0	nonfinal_only
mohin	UTTARAPADA	2	1	1	1	0	2	1	final
moṣa	UTTARAPADA	2	1	1	1	0	2	1	final
mpara	UTTARAPADA	2	0	0	0	0	2	0	absent
mradas	UTTARAPADA	2	0	0	0	0	2	0	absent
muda	UTTARAPADA	2	0	0	0	0	2	0	form_variant
mudgā	UTTARAPADA	2	0	0	0	0	2	0	form_variant
mugra	UTTARAPADA	2	0	0	0	0	2	0	absent
muh	UTTARAPADA	2	184	0	113	0	2	113	final
muhūrtam	UTTARAPADA	2	0	0	0	0	2	0	absent
mukhacapeṭikā	UTTARAPADA	2	0	0	0	0	2	0	absent
mukhamardana	UTTARAPADA	2	0	0	0	0	2	0	absent
mukharī	UTTARAPADA	2	0	0	0	0	2	0	form_variant
mukhin	UTTARAPADA	2	0	0	0	0	2	0	absent
mukhīna	UTTARAPADA	2	0	0	0	0	2	0	absent
mukula	UTTARAPADA	2	10	10	10	0	2	10	final
mukura	UTTARAPADA	2	2	2	2	0	2	2	final
musta	UTTARAPADA	2	0	0	0	0	2	0	form_variant
mustaka	UTTARAPADA	2	1	1	1	0	2	1	final
muṇḍā	UTTARAPADA	2	0	0	0	0	2	0	form_variant
muṣita	UTTARAPADA	2	0	0	0	0	2	0	absent
muṣkaka	UTTARAPADA	2	0	0	0	0	2	0	nonfinal_only
muṣṭimpaca	UTTARAPADA	2	0	0	0	0	2	0	absent
mā	UTTARAPADA	2	204	0	128	0	2	128	final
mācala	UTTARAPADA	2	0	0	0	0	2	0	absent
mācikā	UTTARAPADA	2	0	0	0	0	2	0	nonfinal_only
mādhavī	UTTARAPADA	2	3	3	3	0	2	3	final
mādhurya	UTTARAPADA	2	11	15	10	1	1	9	final
mādya	UTTARAPADA	2	0	0	0	0	2	0	absent
māgadha	UTTARAPADA	2	8	7	8	0	2	8	final
māheśvara	UTTARAPADA	2	8	6	8	0	2	8	final
māhātmyasaṃgraha	UTTARAPADA	2	0	0	0	0	2	0	absent
mālika	UTTARAPADA	2	0	0	0	0	2	0	form_variant
mālyānulepana	UTTARAPADA	2	0	0	0	0	2	0	absent
mānasollāsa	UTTARAPADA	2	0	0	0	0	2	0	absent
māndya	UTTARAPADA	2	11	17	5	1	1	4	final
māninī	UTTARAPADA	2	1	1	1	0	2	1	final
mārgī	UTTARAPADA	2	0	0	0	0	2	0	form_variant
mārikā	UTTARAPADA	2	0	0	0	0	2	0	nonfinal_only
māriṣa	UTTARAPADA	2	0	0	0	0	2	0	nonfinal_only
mārjanī	UTTARAPADA	2	1	1	1	0	2	1	final
mātaṃga	UTTARAPADA	2	21	19	15	1	1	14	final
mātraka	UTTARAPADA	2	14	18	14	0	2	14	final
mātre	UTTARAPADA	2	0	0	0	0	2	0	absent
mātrika	UTTARAPADA	2	0	0	0	0	2	0	form_variant
mātrikā	UTTARAPADA	2	2	2	2	0	2	2	final
māṇa	UTTARAPADA	2	0	0	0	0	2	0	nonfinal_only
māṇika	UTTARAPADA	2	0	0	0	0	2	0	absent
māṇikyamālā	UTTARAPADA	2	0	0	0	0	2	0	absent
