parent	n_children	children
aghnya	1	aghnyatva
aṅka	25	aṅkakaraṇa|aṅkakāra|aṅkagata|aṅkaccheda|aṅkatantra|aṅkadhāraṇā|aṅkaparivartana|aṅkapāda-vrata|aṅkapāla|aṅkapāli|aṅkapālikā|aṅkapālī|aṅkapāśa|aṅkapāśa-vyavahāra|aṅkapāśādhyāya|aṅkabandha|aṅkabhāj|aṅkamukha|aṅkalakṣaṇa|aṅkaloḍya|aṅkavidyā|aṅkasaṁjñā|aṅkāsya|aṅkāṅka|aṅkāvatāra
aṅkura	3	aṅkuravat|aṅkurāropaṇa|aṅkurārpaṇa
aṅkuśa	2	aṅkuśagraha|aṅkuśadurdhara
aṅkolla	1	aṅkollasāra
aṅgī	5	aṅgīkaraṇa|aṅgīkāra|aṅgīkṛ|aṅgīkṛta|aṅgīkṛti
aṅga	73	aṅgakartana|aṅgakarman|aṅgakriyā|aṅgakaṣāya|aṅgagraha|aṅgaja|aṅgajanus|aṅgajāta|aṅgajvara|aṅgatā|aṅgatva|aṅgada|aṅgadin|aṅgadīya|aṅgadvīpa|aṅganyāsa|aṅgapāli|aṅgaprāyaścitta|aṅgabhañjana|aṅgabhū|aṅgabheda|aṅgamantra|aṅgamarda|aṅgamardaka|aṅgamardin|aṅgamarṣa|aṅgamarṣa-praśamana|aṅgam-ejayatva|aṅgayaṣṭi|aṅgayāga|aṅgarakta|aṅgarakṣaṇī|aṅgarakṣiṇī|aṅgarāga|aṅgarāj|aṅgarāja|aṅgarājya|aṅgaruha|aṅgareja|aṅgalipi|aṅgaloka|aṅgaloḍya|aṅgavāk-pāṇi-mat|aṅgavāhaka|aṅgavikṛti|aṅgavikṣepa|aṅgavidyā|aṅgavaikṛta|aṅgaśas|aṅgasamākhyāyam|aṅgasaṁskāra|aṅgasaṁskriyā|aṅgasaṁhati|aṅgasaṁhitā|aṅgasaṅga|aṅgaskandha|aṅgasparśa|aṅgasphuraṇa-vicāra|aṅgahāra|aṅgahāri|aṅgahīna|aṅgāṅgi|aṅgāṅgi-tā|aṅgāṅgi-bhāva|aṅgāṅgi-bhāva-saṁkara|aṅgādhipa|aṅgānukūla|aṅgānulepana|aṅgāpūrva|aṅgeśvara|aṅge-ṣṭhā|aṅgoñcha|aṅgoñchana
aṅgana	3	aṅganā-gaṇa|aṅganā-jana|aṅganā-priya
aṅgāra	23	aṅgārakarmānta|aṅgārakārin|aṅgārakṛt|aṅgārakuṣṭhaka|aṅgārajīvikā|aṅgāradhānī|aṅgāradhānikā|aṅgāraparipācita|aṅgāraparṇa|aṅgārapātrī|aṅgārapuṣpa|aṅgāramañjarī|aṅgāramañjī|aṅgāravarṣa|aṅgāravallarī|aṅgāravallī|aṅgāravāra|aṅgāraśakaṭi|aṅgāraśakaṭī|aṅgārasātkṛ|aṅgārasetu|aṅgārāvakṣayaṇa|aṅgārāvakṣepaṇa
aṅgāraka	4	aṅgārakadina|aṅgārakamaṇi|aṅgārakayantra|aṅgārakavāra
