gra_L	gra_key1	gra_key2	gra_hom	gra_pc	rv_occurrence_count	vedaweb_example_form	vedaweb_example_lemma	vedaweb_example_location	match_method
10171	somapAvan	soma-pA/van		1581	6	somapā́vnām	somapā́van-	1.30.11	vedaweb-id-link
10253	stoka	stoka/		1594	6	stokā́nām	stoká-	3.21.1	vedaweb-id-link
10260	stomya	sto/mya		1596	6	stómyaḥ	stómya-	1.22.8	vedaweb-id-link
10245	stuB	stu/B		1594	6	stubhā́	stúbh-	1.62.4	vedaweb-id-link
9882	suBara	su-Ba/ra		1543	6	subhárāḥ	subhára-	1.112.2	vedaweb-id-link
9887	suBfta	su/-Bfta		1543	6	súbhr̥taḥ	súbhr̥ta-	2.1.12	vedaweb-id-link
9707	sukIrti	su-kIrti/		1527	6	sukīrtíḥ	sukīrtí-	1.60.3	vedaweb-id-link
9824	sunIti	su-nIti/		1538	6	sunītíbhiḥ	sunītí- ~ súnīti-	2.23.4	vedaweb-id-link
9825	sunIti	su/-nIti		1538	6	sunītíbhiḥ	sunītí- ~ súnīti-	2.23.4	vedaweb-id-link
9936	suraRa	su-ra/Ra		1549	6	suráṇaḥ	suráṇa-	3.3.9	vedaweb-id-link
9957	suvajra	su-va/jra		1550	6	suvájraḥ	suvájra-	1.100.18	vedaweb-id-link
10500	svAdman	svAdma/n		1637	6	svā́dma +	svādmán- ~ svā́dman-	1.69.3	vedaweb-id-link
10501	svAdman	svA/dman		1637	6	svā́dma +	svādmán- ~ svā́dman-	1.69.3	vedaweb-id-link
10374	svac	sva/c		1621	6	sváñcaḥ	sváñc-	4.6.9	vedaweb-id-link
10371	svagni	svagni/		1621	6	svagnáyaḥ	svagní-	1.26.7	vedaweb-id-link
10410	svapna	sva/pna		1627	6	svápnasya	svápna-	1.120.12	vedaweb-id-link
10461	svarmIQa	sva^r-mIQa		1632	6	svàrmīḷhe	svàrmīḷha-	1.56.5	vedaweb-id-link
10467	svarzAti	sva^r-zAti		1633	6	svàrṣātā	svàrṣāti-	1.131.6	vedaweb-id-link
10334	syandra	syandra/		1615	6	syandrā	syandrá-	1.180.9	vedaweb-id-link
3743	tAvat	tA/vat		0534	6	tā́vān	tā́vant-	1.108.2	vedaweb-id-link
3698	taruRa	ta/ruRa		0530	6	táruṇam	táruṇa-	1.186.7	vedaweb-id-link
3749	tigmaSfNga	tigma/-SfNga		0534	6	tigmáśr̥ṅgaḥ	tigmáśr̥ṅga-	6.16.39	vedaweb-id-link
3945	tripfzWa	tri-pfzWa/		0558	6	tripr̥ṣṭhaíḥ	tripr̥ṣṭhá-	7.37.1	vedaweb-id-link
3773	tu	tu		0537	6	tūtāva	√tū-	1.94.2	vedaweb-id-link
3776	tugra	tu/gra		0538	6	túgraḥ	túgra-	1.116.3	vedaweb-id-link
3784	tuj	tu/j	1	0539	6	tujā́	túj- 1	1.56.3	vedaweb-id-link
3791	tumra	tu/mra		0540	6	túmraḥ	túmra-	3.50.1	vedaweb-id-link
12385	tumra	tu/mra		1763	6	túmraḥ	túmra-	3.50.1	vedaweb-id-link
3816	turvIti	turvI/ti		0543	6	turvī́tim	turvī́ti-	1.36.18	vedaweb-id-link
1907	udaprut	uda-pru/t		0252	6	udaprútaḥ	udaprút-	4.45.4	vedaweb-id-link
1949	upabdi	upabdi/		0255	6	upabdíḥ	upabdí-	1.74.7	vedaweb-id-link
2034	urucakzas	uru-ca/kzas		0264	6	urucákṣasam	urucákṣas-	1.25.5	vedaweb-id-link
2027	urukrama	uru-krama/		0263	6	urukramáḥ	urukramá-	1.90.9	vedaweb-id-link
2056	urvaSI	urva/SI		0266	6	urváśīḥ	urváśī-	4.2.18	vedaweb-id-link
7885	vARa	vARa/	3	1256	6	vāṇám	vāṇá-	1.85.10	vedaweb-id-link
7884	vARa	vARa/	2	1256	6	vāṇám	vāṇá-	1.85.10	vedaweb-id-link
7883	vARa	vARa/	1	1256	6	vāṇám	vāṇá-	1.85.10	vedaweb-id-link
7950	vAhas	vA/has		1264	6	vā́hasā	vā́has-	3.11.7	vedaweb-id-link
7608	vaDUyu	vaDUyu/		1203	6	vadhūyúḥ	vadhūyú-	3.52.3	vedaweb-id-link
7610	vaDri	va/Dri		1203	6	vádhriḥ	vádhri-	1.32.7	vedaweb-id-link
7574	vacasyA	vacasyA/		1196	6	vacasyā́	vacasyā́-	2.10.6	vedaweb-id-link
7766	valgu	valgu/		1226	6	valgū́	valgú-	6.62.5	vedaweb-id-link
7632	vanin	vani/n	1	1209	6	vanínam	vanín- 1	1.64.12	vedaweb-id-link
7718	varIman	va/rIman		1220	6	várīmabhiḥ	várīman-	1.55.2	vedaweb-id-link
7730	varUTya	varUTya^		1222	6	varūthyàḥ	varūthyà-	5.24.1	vedaweb-id-link
7702	varas	va/ras		1218	6	várāṁsi	váras-	1.190.2	vedaweb-id-link
7728	varutrI	va/rutrI		1221	6	várūtrīm	várūtrī-	1.22.10	vedaweb-id-link
7807	vasuDiti	va/su-Diti		1237	6	vásudhitim	vásudhiti-	1.128.8	vedaweb-id-link
7695	vayya	vayya^		1217	6	vayyàm	vayyà-	1.54.6	vedaweb-id-link
8342	vfkI	vfkI/		1325	6	vr̥kyè	vr̥kī́-	1.116.16	vedaweb-id-link
8034	viDAtf	viDAtf/		1281	6	vidhātā́raḥ	vidhātár-	4.55.2	vedaweb-id-link
8031	viDartf	viDartf/		1281	6	vidhartar	vidhartár-	2.1.3	vedaweb-id-link
8209	viSvaSamBU	viSva/-SamBU		1304	6	viśváśambhuvam	viśváśambhū-	1.23.20	vedaweb-id-link
8178	viSvadevya	viSva/devya		1301	6	viśvádevyaḥ	viśvádevya-	1.110.1	vedaweb-id-link
8152	viSvaka	vi/Svaka		1299	6	víśvakāya	víśvaka-	1.116.23	vedaweb-id-link
7996	viTura	viTura/		1269	6	vithurā́	vithurá-	1.87.3	vedaweb-id-link
8013	vidman	vidma/n		1279	6	vidmánā	vidmán-	1.110.6	vedaweb-id-link
8131	vivasvat	vi/vasvat		1291	6	vívasvat	vívasvant-	1.44.1	vedaweb-id-link
8505	voQf	vo/Qf		1357	6	vóḷhuḥ	vóḷhar-	1.144.3	vedaweb-id-link
8546	vrA	vrA/		1364	6	vrā́m	vrā́-	1.121.2	vedaweb-id-link
8531	vraj	vraj		1361	6	abhivrájan	√vraj-	1.58.5	vedaweb-id-link
8506	vyaMsa	vya^Msa		1357	6	vyàṁsam	vyàṁsa-	1.32.5	vedaweb-id-link
8515	vyaTis	vya/Tis		1358	6	vyáthiḥ	vyáthis-	4.4.3	vedaweb-id-link
7045	yaTAvaSam	yaTA-vaSa/m		1085	6	yathāvaśám	yathāvaśám	2.24.14	vedaweb-id-link
7014	yajYavAhas	yajYa/-vAhas		1077	6	yajñavāhasā	yajñavāhas-	1.15.11	vedaweb-id-link
7001	yajus	ya/jus		1075	6	yájuṣā	yájus-	5.62.5	vedaweb-id-link
7059	yamI	yamI/		1097	6	yamyàḥ	yamī́-	5.44.4	vedaweb-id-link
7055	yama	ya/ma		1097	6	yámam	yáma-	1.73.10	vedaweb-id-link
7191	yoDa	yoDa/		1126	6	yodháḥ	yodhá-	1.143.5	vedaweb-id-link
1637	ASuheman	ASu-he/man		0188	5	āśuhémabhiḥ	āśuhéman-	1.116.2	vedaweb-id-link
1660	Asura	Asura/		0191	5	āsuráḥ	āsurá-	3.29.11	vedaweb-id-link
1621	Avft	Avf/t		0186	5	āvŕ̥tam	āvŕ̥t-	2.36.6	vedaweb-id-link
12166	Avft	Avf/t		1754	5	āvŕ̥tam	āvŕ̥t-	2.36.6	vedaweb-id-link
1579	Ayu	A/yu		0183	5	ā́yuḥ	ā́yu-	1.66.1	vedaweb-id-link
6345	BAgaDeya	BAga-De/ya		0932	5	bhāgadhéyam	bhāgadhéya-	3.28.4	vedaweb-id-link
6351	BAma	BA/ma	1	0933	5	bhā́mam	bhā́ma- 1	3.26.6	vedaweb-id-link
6354	BAra	BAra/		0933	5	bhārám	bhārá-	1.31.3	vedaweb-id-link
6420	BUridAvan	BUri-dA/van		0953	5	bhūridā́vnaḥ	bhūridā́van-	2.27.17	vedaweb-id-link
6411	BUyizWa	BU/yizWa		0952	5	bhū́yiṣṭhāḥ	bhū́yiṣṭha-	1.161.9	vedaweb-id-link
6295	BaYj	BaYj		0925	5	bhanákti	√bhañj-	6.68.6	vedaweb-id-link
6450	Beda	Beda/		0964	5	bhedásya	bhedá-	7.18.18	vedaweb-id-link
6453	Boga	Bo/ga		0965	5	bhógam	bhóga-	1.163.7	vedaweb-id-link
6397	BuraRyu	BuraRyu/		0941	5	bhuraṇyúḥ	bhuraṇyú-	1.68.1	vedaweb-id-link
3364	CAyA	CAyA/		0462	5	chāyā́	chāyā́-	1.73.8	vedaweb-id-link
3365	Cid	Cid		0462	5	chedma	√chid-	1.109.3	vedaweb-id-link
4638	Danu	Da/nu		0655	5	dhánoḥ	dhánu-	1.33.4	vedaweb-id-link
4698	DiyaMjinva	DiyaM-jinva/		0681	5	dhiyaṁjinvám	dhiyaṁjinvá-	1.89.5	vedaweb-id-link
4784	Dvas	Dvas		0699	5	dhvasáyantam	√dhvaṁs-	1.140.3	vedaweb-id-link
3148	GftanirRij	Gfta/-nirRij		0424	5	ghr̥tánirṇik	ghr̥tánirṇij-	2.35.4	vedaweb-id-link
1833	IrmA	IrmA/		0235	5	īrmā́	īrmā́	4.27.2	vedaweb-id-link
8730	SAka	SAka/		1390	5	śākaíḥ	śāká-	4.17.11	vedaweb-id-link
8757	SAsus	SA/sus		1393	5	śā́suḥ	śā́sus-	1.60.2	vedaweb-id-link
8574	Sakman	Sa/kman		1371	5	śákma	śákman-	2.38.4	vedaweb-id-link
8567	Sakuni	Saku/ni		1370	5	śakune	śakuni-	2.42.1	vedaweb-id-link
8651	Sap	Sap		1378	5	śepé	√śap-	1.23.22	vedaweb-id-link
8593	Satagvin	Satagvi/n		1373	5	śatagvínam	śatagvín-	1.159.5	vedaweb-id-link
8643	SatrUy	SatrUy		1377	5	śatrūyatā́m	√śatrūy-	1.33.15	vedaweb-id-link
8911	SevfDa	Se/vfDa		1413	5	śévr̥dham	śévr̥dha-	1.54.11	vedaweb-id-link
8914	Soka	So/ka		1413	5	śókāḥ	śóka-	1.125.7	vedaweb-id-link
8975	SrA	SrA		1421	5	śrā́yantaḥ	√śrā-	8.99.3	vedaweb-id-link
8997	SrutkarRa	Sru/t-karRa		1430	5	śrutkarṇa	śrútkarṇa-	1.44.13	vedaweb-id-link
9024	SvaYc	SvaYc		1433	5	śaśvacaí	√śvañc-	3.33.10	vedaweb-id-link
2133	Uh	Uh	1	0276	5	samū́hasi	√ūh-	1.131.3	vedaweb-id-link
772	aBijYu	aBi-jYu/		0083	5	abhijñú	abhijñú	1.37.10	vedaweb-id-link
168	aCokti	a/Cokti		0018	5	áchoktibhiḥ	áchokti-	1.61.3	vedaweb-id-link
345	aDama	aDama/		0043	5	adhamám	adhamá-	1.24.15	vedaweb-id-link
351	aDas	aDa/s		0044	5	adhás	adhás	7.104.11	vedaweb-id-link
385	aDvaraSrI	aDvara-SrI/		0049	5	adhvaraśríyam	adhvaraśrī́-	1.44.3	vedaweb-id-link
13	aMhati	aMhati/		0003	5	aṁhatíḥ	aṁhatí-	1.94.2	vedaweb-id-link
215	aRu	a/Ru		0026	5	áṇvībhiḥ	áṇvī-	1.3.4	vedaweb-id-link
216	aRva	a/Rva		0026	5	áṇvam	áṇva-	9.10.5	vedaweb-id-link
12022	aRva	a/Rva		1749	5	áṇvam	áṇva-	9.10.5	vedaweb-id-link
12129	aSAy	aSAy		1752	5	aśāyatam	√aśāy-	1.34.7	vedaweb-id-link
1221	aSastihan	aSasti-ha/n		0138	5	aśastihā́	aśastihán-	8.89.2	vedaweb-id-link
12128	aSastihan	aSasti-ha/n		1752	5	aśastihā́	aśastihán-	8.89.2	vedaweb-id-link
1233	aSna	a/Sna	1	0138	5	áśnaḥ	áśna- 1	1.164.1	vedaweb-id-link
1286	aSvAy	aSvAy		0142	5	aśvāyántaḥ	√aśvāy-	4.17.16	vedaweb-id-link
1273	aSvayu	aSvayu/		0142	5	aśvayúḥ	aśvayú-	1.51.14	vedaweb-id-link
145	acakra	a-cakra/		0015	5	acakré	acakrá-	1.121.11	vedaweb-id-link
149	acit	a-ci/t		0015	5	acíte	acít-	7.61.5	vedaweb-id-link
151	acitti	a/-citti		0016	5	ácittim	ácitti-	4.2.11	vedaweb-id-link
334	adroGa	a-droGa/		0041	5	adroghéṇa	adroghá- ~ ádrogha-	3.14.6	vedaweb-id-link
1432	aheqat	a/-heqat		0167	5	áheḷan	áheḷant-	1.91.4	vedaweb-id-link
1426	ahihan	ahi-ha/n		0167	5	ahihánam	ahihán-	1.117.9	vedaweb-id-link
1425	ahihatya	ahi-ha/tya		0167	5	ahihátye	ahihátya-	1.61.8	vedaweb-id-link
21	akava	a/-kava		0004	5	ákavābhiḥ	ákava-	1.158.1	vedaweb-id-link
29	akfta	a/-kfta		0004	5	ákr̥te	ákr̥ta-	1.104.7	vedaweb-id-link
37	akra	akra/		0005	5	akráḥ	akrá-	1.143.7	vedaweb-id-link
879	amAnuza	a/-mAnuza		0092	5	ámānuṣam	ámānuṣa-	2.11.10	vedaweb-id-link
860	amatra	a/matra	2	0090	5	ámatrebhiḥ	ámatra- 2	2.14.1	vedaweb-id-link
915	ambA	ambA		0096	5	ámbitame	ámbitama-	2.41.16	vedaweb-id-link
893	aminat	a/-minat		0093	5	áminatī	áminant-	1.92.12	vedaweb-id-link
12087	aminat	a/-minat		1751	5	áminatī	áminant-	1.92.12	vedaweb-id-link
902	amutas	amu/tas		0093	5	amútas	amútas	1.179.4	vedaweb-id-link
449	anA	anA/		0054	5	anā́	anā́	4.30.3	vedaweb-id-link
516	anutta	a/-nutta		0060	5	ánuttam	ánutta-	1.80.7	vedaweb-id-link
632	aparAjita	a/-parAjita		0073	5	áparājitam	áparājita-	1.11.2	vedaweb-id-link
634	aparihvfta	a/-parihvfta		0073	5	áparihvr̥tāḥ	áparihvr̥ta-	1.100.19	vedaweb-id-link
699	apnas	a/pnas		0078	5	ápnaḥ	ápnas-	1.113.9	vedaweb-id-link
706	apracetas	a/-pracetas		0078	5	ápracetāḥ	ápracetas-	1.120.1	vedaweb-id-link
12071	apracetas	a/-pracetas		1751	5	ápracetāḥ	ápracetas-	1.120.1	vedaweb-id-link
738	apsA	ap-sA/		0080	5	apsā́m	apsā́-	1.91.21	vedaweb-id-link
735	apsaras	a-psara/s		0080	5	apsarásaḥ	apsarás-	7.33.9	vedaweb-id-link
1057	arTay	arTay		0114	5	artháyāse	√arthay-	1.82.1	vedaweb-id-link
973	arapas	a-rapa/s		0103	5	arapā́ḥ	arapás-	2.33.6	vedaweb-id-link
1067	arbuda	a/rbuda		0115	5	árbudam	árbuda-	2.11.20	vedaweb-id-link
999	aripra	a-ripra/		0106	5	ariprám	ariprá-	7.47.1	vedaweb-id-link
1005	arizwatAti	arizwa/tAti		0106	5	ariṣṭátātaye	ariṣṭátāti-	10.60.8	vedaweb-id-link
1017	aruRapsu	aruRa/-psu		0107	5	aruṇápsavaḥ	aruṇápsu-	1.49.1	vedaweb-id-link
1337	asinvat	a/-sinvat		0155	5	ásinvan	ásinvant-	2.13.4	vedaweb-id-link
1342	asunIti	a/su-nIti		0155	5	ásunītim	ásunīti-	10.12.4	vedaweb-id-link
1117	avapAna	avapA/na		0126	5	avapā́neṣu	avapā́na-	1.136.4	vedaweb-id-link
1175	avidvas	a/-vidvas		0130	5	ávidvān	ávidvaṁs-	1.120.2	vedaweb-id-link
925	ayajyu	a/-yajyu		0097	5	áyajyūn	áyajyu-	1.121.13	vedaweb-id-link
6272	brahmayuj	brahma-yu/j		0918	5	brahmayújaḥ	brahmayúj-	1.177.2	vedaweb-id-link
3226	canohita	ca/no-hita		0436	5	cánohitaḥ	cánohita-	3.2.2	vedaweb-id-link
12336	canohita	ca/no-hita		1761	5	cánohitaḥ	cánohita-	3.2.2	vedaweb-id-link
3308	citraSravas	citra/-Sravas		0453	5	citráśravastamaḥ	citráśravastama-	1.1.5	vedaweb-id-link
4166	dA	dA	3	0592	5	sáṁditam	√dā- 3	1.25.3	vedaweb-id-link
4165	dA	dA	2	0592	5	dāti	√dā- 2	1.65.8	vedaweb-id-link
4206	dASvaDvara	dASva^Dvara		0597	5	dāśvàdhvaraḥ	dāśvàdhvara-	1.75.3	vedaweb-id-link
4180	dAnava	dAnava/		0594	5	dānavásya	dānavá-	2.11.10	vedaweb-id-link
4183	dAnu	dA/nu	1	0594	5	dā́nuḥ	dā́nu- 1	1.32.9	vedaweb-id-link
4395	dUredfS	dUre-df/S		0625	5	dūredŕ̥śaḥ	dūredŕ̥ś-	1.166.11	vedaweb-id-link
4036	daMsizWa	da/MsizWa		0570	5	dáṁsiṣṭhā	dáṁsiṣṭha-	1.182.2	vedaweb-id-link
4045	dakzasADana	dakza-sA/Dana		0571	5	dakṣasā́dhanaḥ	dakṣasā́dhana-	9.25.1	vedaweb-id-link
4101	damya	da/mya		0578	5	dámyebhiḥ	dámya-	3.1.15	vedaweb-id-link
4433	devajuzwa	deva/-juzwa		0633	5	devájuṣṭā	devájuṣṭa-	1.77.1	vedaweb-id-link
4446	devapAna	deva-pA/na		0634	5	devapā́nam	devapā́na-	1.161.5	vedaweb-id-link
4461	devavat	deva/vat		0636	5	devávantam	devávant-	6.47.10	vedaweb-id-link
4410	dfSIka	df/SIka		0628	5	dŕ̥śīkam	dŕ̥śīka-	1.27.10	vedaweb-id-link
4555	drA	drA	1	0646	5	dadruḥ	√drā- 1	1.62.11	vedaweb-id-link
4561	drApi	drApi/		0646	5	drāpím	drāpí-	1.25.13	vedaweb-id-link
4553	dravitnu	dravitnu/		0646	5	dravitnávaḥ	dravitnú-	8.74.14	vedaweb-id-link
4570	druh	druh		0648	5	druhan	√druh-	1.5.10	vedaweb-id-link
4291	duDra	duDra/		0612	5	dudhráḥ	dudhrá-	1.56.3	vedaweb-id-link
4299	durADI	dur-ADI/		0613	5	durādhyàm	durādhī́-	6.51.13	vedaweb-id-link
4602	dvijanman	dvi-ja/nman		0651	5	dvijánmānam	dvijánman-	1.60.1	vedaweb-id-link
4512	dyAvABUmi	dyA/vABU/mi		0640	5	dyā́vābhūmī	dyā́vābhū́mī-	4.55.1	vedaweb-id-link
4523	dyumnavat	dyumna/vat		0643	5	dyumnávat	dyumnávant-	3.29.15	vedaweb-id-link
2321	evayAvan	eva-yA/van		0303	5	évayāvaḥ	evayā́van-	1.90.5	vedaweb-id-link
2243	fBumat	fBuma/t		0291	5	r̥bhumā́n	r̥bhumánt-	1.110.9	vedaweb-id-link
12248	fBumat	fBuma/t		1757	5	r̥bhumā́n	r̥bhumánt-	1.110.9	vedaweb-id-link
2181	fRayA	fRa-yA/		0282	5	r̥ṇayā́ḥ	r̥ṇayā́-	2.23.11	vedaweb-id-link
2173	fjrASva	fjrA/Sva		0280	5	r̥jrā́śvasya	r̥jrā́śva-	1.100.16	vedaweb-id-link
2218	ftIzah	ftI-za/h		0287	5	r̥tīṣā́ham	r̥tīṣáh-	1.64.15	vedaweb-id-link
2193	ftaDIti	fta/-DIti		0285	5	r̥tádhītayaḥ	r̥tádhīti-	4.55.2	vedaweb-id-link
2185	ftacit	fta-ci/t		0285	5	r̥tacít	r̥tacít-	1.145.5	vedaweb-id-link
12239	ftacit	fta-ci/t		1757	5	r̥tacít	r̥tacít-	1.145.5	vedaweb-id-link
2222	ftupA	ftu-pA/		0288	5	r̥tupā́ḥ	r̥tupā́-	3.20.4	vedaweb-id-link
2264	fzu	fzu/		0293	5	r̥ṣūṇā́m	r̥ṣú-	1.127.10	vedaweb-id-link
2890	gaDya	ga/Dya		0376	5	gádhyam	gádhya-	4.16.11	vedaweb-id-link
2918	garta	ga/rta		0387	5	gárte	gárta-	5.62.5	vedaweb-id-link
3049	godA	go-dA/		0411	5	godā́ḥ	godā́-	1.4.2	vedaweb-id-link
3042	gojit	go-ji/t		0411	5	gojítā	gojít-	1.102.6	vedaweb-id-link
3083	gozA	go-zA/		0414	5	goṣátamāḥ	goṣátama-	6.33.5	vedaweb-id-link
10540	haTa	ha/Ta		1641	5	háthaiḥ	hátha-	4.30.21	vedaweb-id-link
10556	harikeSa	ha/ri-keSa		1649	5	hárikeśam	hárikeśa-	3.2.13	vedaweb-id-link
10634	hastin	hasti/n		1658	5	hastínaḥ	hastín-	1.64.7	vedaweb-id-link
10599	haviradya	havir-a/dya		1654	5	havirádyam	havirádya-	1.163.9	vedaweb-id-link
10603	havizkft	haviz-kf/t		1654	5	haviṣkŕ̥tam	haviṣkŕ̥t-	1.13.3	vedaweb-id-link
10646	hiMs	hiMs		1665	5	híṁsanti	√hiṁs-	6.34.3	vedaweb-id-link
10650	hitaprayas	hita/-prayas		1665	5	hitáprayasaḥ	hitáprayas-	8.27.7	vedaweb-id-link
10777	hvf	hvf		1684	5	hvárate	√hvr̥- ~ hru-	1.141.1	vedaweb-id-link
1699	idAnIm	idA/nIm		0210	5	idā́nīm	idā́nīm	1.35.7	vedaweb-id-link
1736	indrARI	indrARI/		0216	5	indrāṇī́m	indrāṇī́-	1.22.12	vedaweb-id-link
1773	irya	i/rya		0220	5	íryam	írya-	5.58.4	vedaweb-id-link
3478	jAna	jA/na		0483	5	jā́nam	jā́na-	1.37.9	vedaweb-id-link
3440	jaras	jara/s		0480	5	jarásam	jarás-	1.89.9	vedaweb-id-link
3459	jas	jas		0481	5	jásamānam	√jas-	1.112.6	vedaweb-id-link
3562	jeh	jeh		0499	5	jéhamānam	√jeh-	1.110.5	vedaweb-id-link
3582	jyA	jyA/	2	0502	5	jyā́m	jyā́-	4.27.3	vedaweb-id-link
2526	kAmin	kAmi/n		0323	5	kāmī́	kāmín-	2.14.1	vedaweb-id-link
2534	kAruDAyas	kAru/-DAyas		0324	5	kārúdhāyāḥ	kārúdhāyas-	3.32.10	vedaweb-id-link
2382	kakzya	kakzya^		0309	5	kakṣyè	kakṣyà-	1.173.6	vedaweb-id-link
2395	katara	katara/		0310	5	katarā́	katará-	1.185.1	vedaweb-id-link
2496	kaviSasta	kavi-Sasta/		0320	5	kaviśastáḥ	kaviśastá-	1.152.2	vedaweb-id-link
2684	kfSAnu	kfSA/nu		0348	5	kr̥śā́num	kr̥śā́nu-	1.112.21	vedaweb-id-link
2661	kftnu	kftnu/		0347	5	kr̥tnúḥ	kr̥tnú-	1.92.10	vedaweb-id-link
2560	kiraRa	kira/Ra		0326	5	kiráṇāḥ	kiráṇa-	1.63.1	vedaweb-id-link
2808	kzIra	kzIra/		0369	5	kṣīréṇa	kṣīrá-	1.104.3	vedaweb-id-link
2784	kzam	kzam		0363	5	kṣamadhvam	√kṣam-	2.28.3	vedaweb-id-link
2782	kzapAvat	kza-pA/vat		0362	5	kṣapā́vān	kṣapā́vant- ~ kṣápāvant-	1.70.5	vedaweb-id-link
2783	kzapAvat	kza/-pAvat		0362	5	kṣapā́vān	kṣapā́vant- ~ kṣápāvant-	1.70.5	vedaweb-id-link
6787	mAna	mA/na	3	1033	5	mā́nam	mā́na- 3	1.39.1	vedaweb-id-link
6807	mArqIka	mArqIka/		1036	5	mārḍīkám	mārḍīká-	1.79.9	vedaweb-id-link
6551	maDujihva	ma/Du-jihva		0986	5	mádhujihvam	mádhujihva-	1.13.3	vedaweb-id-link
6576	maDyatas	maDyata/s		0989	5	madhyatáḥ	madhyatás	3.21.5	vedaweb-id-link
6723	mahAmaha	mahA-maha/		1019	5	máhimaghasya	máhimagha-	1.122.8	vedaweb-id-link
6747	mahivrata	ma/hi-vrata		1022	5	mahivrata	máhivrata-	1.45.3	vedaweb-id-link
6662	mamat	mama/t		1005	5	mámat	mámat	4.18.8	vedaweb-id-link
6626	mantu	ma/ntu		0999	5	mántave	mántu-	1.112.2	vedaweb-id-link
6612	manuza	ma/nuza		0997	5	mánuṣasya	mánuṣa-	1.31.11	vedaweb-id-link
6693	martyatrA	martyatrA/		1010	5	martyatrā́	martyatrā́	1.123.3	vedaweb-id-link
6943	medas	me/das		1062	5	médasaḥ	médas-	3.21.1	vedaweb-id-link
6964	mehanA	meha/nA		1064	5	mehánā	mehánā-	5.38.3	vedaweb-id-link
6918	mfc	mfc		1055	5	marcáyati	√mr̥c-	1.147.4	vedaweb-id-link
6909	mfkz	mfkz		1054	5	mimikṣuḥ	√myakṣ-	1.165.1	vedaweb-id-link
6821	mitadru	mita/-dru		1038	5	mitádruḥ	mitádru-	4.6.5	vedaweb-id-link
6968	moGa	mo/Ga		1065	5	mógham	moghá- ~ mógha-	7.104.14	vedaweb-id-link
6879	muni	mu/ni		1050	5	múniḥ	múni-	7.56.8	vedaweb-id-link
4802	naktozas	na/ktoza/s		0703	5	náktoṣā́sā	náktoṣā́s-	1.13.7	vedaweb-id-link
4879	navizWa	na/vizWa		0716	5	náviṣṭhayā	náviṣṭha-	1.82.2	vedaweb-id-link
5131	nedIyas	ne/dIyas		0755	5	nédīyasaḥ	nédīyaṁs-	8.26.10	vedaweb-id-link
5139	nezwra	nezwra/		0756	5	neṣṭrā́t	neṣṭrá-	1.15.9	vedaweb-id-link
5098	nfpAyya	nf-pA/yya		0752	5	nr̥pā́yyam	nr̥pā́yya-	2.41.7	vedaweb-id-link
4939	niMs	niMs		0727	5	níṁsate	√niṁs-	1.144.1	vedaweb-id-link
5015	nivacana	niva/cana		0734	5	nivácanāni	nivácana-	1.189.8	vedaweb-id-link
5020	nivartana	niva/rtana		0734	5	nivártanam	nivártana-	3.9.2	vedaweb-id-link
5032	nizad	niza/d		0735	5	niṣáde	niṣád-	1.104.1	vedaweb-id-link
5047	nizziD	nizzi/D		0736	5	niṣṣídhaḥ	niṣṣídh-	1.169.2	vedaweb-id-link
2352	oman	oma/n		0305	5	omā́nam	omán-	1.34.6	vedaweb-id-link
5394	paScAtAt	paScA/tAt		0797	5	paścā́tāt	paścā́tāt	7.72.5	vedaweb-id-link
5220	paTikft	paTi-kf/t		0768	5	pathikŕ̥t	pathikŕ̥t-	2.23.6	vedaweb-id-link
5179	paYcASat	paYcASa/t		0760	5	pañcāśátaḥ	pañcāśát-	1.133.4	vedaweb-id-link
5244	panIyas	pa/nIyas		0773	5	pánīyasī	pánīyaṁs-	1.39.2	vedaweb-id-link
5238	panasyu	panasyu/		0772	5	panasyúm	panasyú-	1.38.15	vedaweb-id-link
5248	panyas	pa/nyas		0773	5	pányasā	pányaṁs-	6.18.9	vedaweb-id-link
5278	parAtaram	parAtara/m		0783	5	parātarám	parātarám	10.59.1	vedaweb-id-link
5271	paraspA	paras-pA/		0782	5	paraspā́ḥ	paraspā́-	2.9.2	vedaweb-id-link
5270	parastAt	para/stAt		0782	5	parástāt	parástāt	3.22.3	vedaweb-id-link
5354	parvaSas	parvaSa/s		0792	5	parvaśás	parvaśás	1.57.6	vedaweb-id-link
5403	pastyAvat	pastyA^vat		0797	5	pastyā̀vataḥ	pastyā̀vant-	1.151.2	vedaweb-id-link
5259	payovfD	payo-vf/D		0775	5	payovŕ̥dhaḥ	payovŕ̥dh-	1.64.11	vedaweb-id-link
5807	pedu	pedu/		0861	5	pedáve	pedú-	1.117.9	vedaweb-id-link
5744	pftanAjya	pftanA/jya		0854	5	pr̥tanā́jyeṣu	pr̥tanā́jya-	3.8.10	vedaweb-id-link
5752	pftanyu	pftanyu/		0855	5	pr̥tanyúm	pr̥tanyú-	1.33.12	vedaweb-id-link
5819	potf	potf/		0862	5	pótā	potár- ~ pótar-	1.94.6	vedaweb-id-link
5818	potf	po/tf		0862	5	pótā	potár- ~ pótar-	1.94.6	vedaweb-id-link
6043	prARa	prARa/		0887	5	prāṇáḥ	prāṇá-	1.66.1	vedaweb-id-link
6072	prAsah	prAsa/h		0889	5	prāsáham	prāsáh-	1.129.4	vedaweb-id-link
