grammar_id	nongrammar_locus	link_type	source_dataset	date
id_gra:1778	vedaweb:67615e6bb20f4c1a9fb8a040:1.3.1	translation-witness	metrical_data_2024	2026-07-11
id_gra:6592	vedaweb:67615e6bb20f4c1a9fb8a040:1.20.2	translation-witness	metrical_data_2024	2026-07-11
id_gra:6533	vedaweb:67615e6bb20f4c1a9fb8a040:1.9.1	translation-witness	metrical_data_2024	2026-07-11
id_gra:617	vedaweb:67615e6bb20f4c1a9fb8a040:1.7.6	translation-witness	metrical_data_2024	2026-07-11
id_gra:3290	vedaweb:67615e6bb20f4c1a9fb8a040:1.2.5	translation-witness	metrical_data_2024	2026-07-11
id_gra:3541	vedaweb:67615e6bb20f4c1a9fb8a040:1.3.9	translation-witness	metrical_data_2024	2026-07-11
id_gra:2274	vedaweb:67615e6bb20f4c1a9fb8a040:1.7.9	translation-witness	metrical_data_2024	2026-07-11
id_gra:2973	vedaweb:67615e6bb20f4c1a9fb8a040:1.9.9	translation-witness	metrical_data_2024	2026-07-11
id_gra:10132	vedaweb:67615e6bb20f4c1a9fb8a040:1.9.2	translation-witness	metrical_data_2024	2026-07-11
id_gra:601	vedaweb:67615e6bb20f4c1a9fb8a040:1.30.6	translation-witness	metrical_data_2024	2026-07-11
id_gra:1829	vedaweb:67615e6bb20f4c1a9fb8a040:1.4.7	translation-witness	metrical_data_2024	2026-07-11
id_gra:6073	vedaweb:67615e6bb20f4c1a9fb8a040:1.13.3	translation-witness	metrical_data_2024	2026-07-11
id_gra:315	vedaweb:67615e6bb20f4c1a9fb8a040:1.13.2	translation-witness	metrical_data_2024	2026-07-11
id_gra:3243	vedaweb:67615e6bb20f4c1a9fb8a040:1.6.1	translation-witness	metrical_data_2024	2026-07-11
id_gra:10331	vedaweb:67615e6bb20f4c1a9fb8a040:1.19.1	translation-witness	metrical_data_2024	2026-07-11
id_gra:3907	vedaweb:67615e6bb20f4c1a9fb8a040:1.19.1	translation-witness	metrical_data_2024	2026-07-11
id_gra:7998	vedaweb:67615e6bb20f4c1a9fb8a040:1.6.5	translation-witness	metrical_data_2024	2026-07-11
id_gra:7133	vedaweb:67615e6bb20f4c1a9fb8a040:1.6.1	translation-witness	metrical_data_2024	2026-07-11
id_gra:906	vedaweb:67615e6bb20f4c1a9fb8a040:1.13.5	translation-witness	metrical_data_2024	2026-07-11
id_gra:10256	vedaweb:67615e6bb20f4c1a9fb8a040:1.5.8	translation-witness	metrical_data_2024	2026-07-11
id_gra:3644	vedaweb:67615e6bb20f4c1a9fb8a040:1.5.10	translation-witness	metrical_data_2024	2026-07-11
id_gra:3643	vedaweb:67615e6bb20f4c1a9fb8a040:1.5.10	translation-witness	metrical_data_2024	2026-07-11
id_gra:6710	vedaweb:67615e6bb20f4c1a9fb8a040:1.4.10	translation-witness	metrical_data_2024	2026-07-11
id_gra:1101.2	vedaweb:67615e6bb20f4c1a9fb8a040:1.11.7	translation-witness	metrical_data_2024	2026-07-11
id_gra:9680	vedaweb:67615e6bb20f4c1a9fb8a040:1.11.6	translation-witness	metrical_data_2024	2026-07-11
id_gra:384	vedaweb:67615e6bb20f4c1a9fb8a040:1.1.4	translation-witness	metrical_data_2024	2026-07-11
id_gra:6775	vedaweb:67615e6bb20f4c1a9fb8a040:1.24.1	translation-witness	metrical_data_2024	2026-07-11
id_gra:10485	vedaweb:67615e6bb20f4c1a9fb8a040:1.1.9	translation-witness	metrical_data_2024	2026-07-11
id_gra:3685	vedaweb:67615e6bb20f4c1a9fb8a040:1.10.11	translation-witness	metrical_data_2024	2026-07-11
id_gra:8140	vedaweb:67615e6bb20f4c1a9fb8a040:1.25.1	translation-witness	metrical_data_2024	2026-07-11
id_gra:344	vedaweb:67615e6bb20f4c1a9fb8a040:1.15.10	translation-witness	metrical_data_2024	2026-07-11
id_gra:7568	vedaweb:67615e6bb20f4c1a9fb8a040:1.4.6	translation-witness	metrical_data_2024	2026-07-11
id_gra:5568	vedaweb:67615e6bb20f4c1a9fb8a040:1.5.2	translation-witness	metrical_data_2024	2026-07-11
id_gra:8361	vedaweb:67615e6bb20f4c1a9fb8a040:1.35.2	translation-witness	metrical_data_2024	2026-07-11
id_gra:1865	vedaweb:67615e6bb20f4c1a9fb8a040:1.7.4	translation-witness	metrical_data_2024	2026-07-11
id_gra:228	vedaweb:67615e6bb20f4c1a9fb8a040:1.4.3	translation-witness	metrical_data_2024	2026-07-11
