text_2021,text_2026,sent_2021,sent_2026,tok_2021,tok_2026,tok_delta
,Kaṭhāraṇyaka,,934,,5961,
,Kāṭhakasaṃhitā,,8136,,38894,
,Mānavaśrautasūtra,,155,,1221,
,Mīmāṃsāsūtrabhāṣya,,1759,,16044,
,Saddharmapuṇḍarīkasūtra,,2366,,31908,
,Sāmavidhānabrāhmaṇa,,521,,5185,
,Taittirīyabrāhmaṇa,,3588,,15064,
,Taittirīyāraṇyaka,,1270,,6957,
,Vaikhānasaśrautasūtra,,2525,,26794,
,Vaitānasūtra,,1264,,9422,
,Vasiṣṭhadharmasūtra,,1430,,10009,
,Vājasaneyisaṃhitā (Mādhyandina),,2516,,15687,
,Vārāhaśrautasūtra,,3265,,25108,
,Āpastambadharmasūtra,,1392,,9297,
,Āśvālāyanaśrautasūtra,,679,,6246,
,Śāṅkhāyanaśrautasūtra,,3307,,20886,
,Ṛgvidhāna,,98,,772,
,Ṣaḍviṃśabrāhmaṇa,,1059,,7540,
Cakra ?) on Suśr,,12,,165,,
Comm. on the Kāvyālaṃkāravṛtti,,51,,393,,
Ekākṣarakoṣa,,27,,0,,
Hārāṇacandara on Suśr,,12,,162,,
Khādiragṛhyasūtrarudraskandavyākhyā,,15,,172,,
Nāḍīvijñāna,,7,,0,,
