aṁa, aṁ a
somaguṇātirekāt, soma guṇa atireka
somaguṇātirekāditi, soma atireka iti
somaguṇātirekān, soma guṇa atireka
somaguṇātirekānmadhuro, soma guṇa atireka madhura
somaguṇātireko, soma guṇa atireka
somaguṇeṣu, soma guṇa
somagrahe, soma graha
somaghṛtair, soma ghṛta
somachāyāṁ, soma chāyā
somajā, soma jā
somajuṣṭaṁ, soma juṣ
somatanayaṁ, soma tanaya
somatārārkajīvī, soma tārā arka jīvin
somatrayodaśyāṁ, soma trayodaśī
somatvaṁ, soma tva
somadattaprabhṛtayaḥ, somadatta prabhṛti
somadattamathāyāntaṁ, somadatta atha āyā
somadattaśca, somadatta ca
somadattaśreṣṭhinaḥ, somadatta śreṣṭhin
somadattasuto, somadatta suta
somadattastu, somadatta tu
somadattastvasaṁbhrānto, somadatta tu asambhrānta
somadattasyāpi, somadatta api
somadattākhyaḥ, somadatta ākhya
somadattākhyo, somadatta ākhyā
somadattorasi, somadatta uras
somadaśā, soma daśā
somadāpi, somadā api
somadinaṁ, soma dina
somadine, soma dina
somadevata, soma devatā
somadevatyā, soma devatya
somadevatyair, soma devatya
somadevīsulocanendrasenābhyaśca, somadevī sulocanā indrasenā ca
somadevairvihitaṁ, somadeva vidhā
somadhāna, soma dhāna
somadhānaṁ, soma dhāna
somadhānam, soma dhāna
somadhānāḥ, soma dhāna
somadhāno, soma dhāna
somanandisamākhyānaṁ, somanandin samākhyāna
somanāthaprabhāvaṁ, somanātha prabhāva
somanāthaprabhāvo, somanātha prabhāva
somanāthasamīpasthaṁ, somanātha samīpa stha
somanāthastvaṁ, soma nātha tvad
somanāthābhidhaṁ, somanātha abhidhā
somanātho, soma nātha
somanāmāni, soma nāman
somapagatiṁ, somapa gati
somapatiṁ, soma pati
somapate, soma pati
somapatnyaḥ, soma patnī
somapatnyaśca, soma patnī ca
somapatnyo, soma patnī
somaparipanthino, soma paripanthin
somaparibādho, soma paribādh
somapā, soma pā
somapāḥ, soma pā
somapātamaḥ, soma pātama
somapātamo, soma pātama
somapādātprasūtā, soma pāda prasū
somapānaṁ, soma pāna
somapānam, soma pāna
somapānasamaṁ, soma pāna sama
somapānāpyāyitasarvagātraṁ, soma pāna sarva gātra āpyāyay
somapānena, soma pāna
somapām, soma pā
somapālaḥ, soma pāla
somapālān, soma pāla
somapāvann, soma pāvan
somapāvaśvinau, somapa aśvin
somapāvne, soma pāvan
somapāśca, somapa ca
somapāścoṣmapāśca, somapa ūṣmapa ūṣmapa ca
somapītaya, soma pīti
somapītaye, soma pīti
somapīthaḥ, soma pītha
somapītham, soma pītha
somapīthasya, soma pītha
somapīthād, soma pītha
somapīthāya, soma pītha
somapīthī, soma pīthin
somapīthe, soma pītha
somapītho, soma pītha
somaputraḥ, soma putra
somaputraśca, somaputra ca
somaputrādbudhāccāpi, somaputra budha ca api
somaputre, soma putra
somaputryā, soma putrī
somapuruṣebhya, soma puruṣa
somapuruṣebhyo, soma puruṣa
somapuryāmuttiṣṭhati, soma purī utthā
somapūrvaśca, somapūrva ca
somapṛṣṭhā, soma pṛṣṭha
somapṛṣṭhāya, soma pṛṣṭha
somapṛṣṭhāso, soma pṛṣṭha
somapṛṣṭhopa, soma pṛṣṭha upa
somapeyaṁ, soma peya
somapeyam, soma peya
somapeyāya, soma peya
somaprabhāṁ, soma prabhā
somabimbe, soma bimba
somabhāryāṁ, soma bhāryā
somabhāskaranakṣatrapadam, soma bhāskara nakṣatra pada
somabhāskarayoḥ, soma bhāskara
somabhāskarasaṁsthānaṁ, soma bhāskara saṁsthāna
somabhāskarasaṁsthānā, soma bhāskara saṁsthāna
somamaṅgārakaṁ, soma aṅgāraka
somamaṇḍalaṁ, soma maṇḍala
somamaṇḍalāya, soma maṇḍala
somamadhye, soma madhya
somamapibatsagaṇaiśca, soma sa gaṇa ca pā
somamayaṁ, soma maya
somamarcayitvā, soma arcay
somamavāpa, soma avāp
somamānāyya, soma ānāyay
somamāpyāyayati, soma āpyāyay
somamārutatejāṁsi, soma māruta tejas
somamārgaṁ, soma mārga
somamālī, soma mālin
somamindravaireṇa, soma indra vaira
somamīśānamevaṁ, soma īśāna evam
somamīśeśaṁ, soma īśa īśa
somamṛtyuharo, soma mṛtyu hara
somamevābhyagamatpinākī, soma eva pinākin abhigam
somayajñaphalaṁ, soma yajña phala
somayajñābhyanujñānaṁ, soma yajña abhyanujñāna
somayajñaiś, soma yajña
somayamābhyāṁ, soma yama
somayāgādadhiko, soma yāga adhika
somayājinaṁ, soma yājin
somayājī, soma yājin
somayujo, soma yuj
somayogair, soma yoga
somarataḥ, soma ram
somaraśmisaṁbhavā, somaraśmi sambhava
somarāḍ, soma rāj
somarājasya, soma rāja
somarājāna, soma rājan
somarājīphalaṁ, somarājī phala
somarājīphalāni, somarājī phala
somarājena, soma rāja
somarājñīr, soma rājñī
somarūpatayā, soma rūpa tā
somarūpasya, soma rūpa
somarūpī, soma rūpin
somarūpo, soma rūpa
somarkṣagrahasūryeṣu, soma ṛkṣa graha sūrya
somalatākalpaṁ, somalatā kalpa
somalatādikāścatuḥṣaṣṭidivyauṣadhyas, somalatā ādika catuḥṣaṣṭi divyauṣadhi
somalatāvalgujabhṛṅgalohopajihvikācūrṇair, somalatā avalguja bhṛṅga loha upajihvikā cūrṇa
somalokaṁ, soma loka
somalokacarāśca, soma loka cara ca
somalokam, soma loka
somalokamanuprāpya, soma loka anuprāp
somalokamavāpnoti, soma loka avāp
somalokānna, soma loka na
somaloke, soma loka
somavaṁśaṁ, soma vaṁśa
somavaṁśāgrajo, soma vaṁśa agraja
somavaṁśīyaḥ, soma vaṁśīya
somavaṁśe, soma vaṁśa
somavaṁśodbhavo, soma vaṁśa udbhava
somavacaḥ, soma vacas
somavacanād, soma vacana
somavaccātra, soma vat ca atra
somavat, soma vat
somavad, soma vat
somavadāhāravihārau, soma vat āhāra vihāra
somavarcāśca, somavarcas ca
somavalkarasaścāpi, somavalka rasa ca api
somavallīdravaiḥ, somavallī drava
somavallīmindravallīṁ, somavallī indravallī
somavallīrasaṁ, somavallī rasa
somavallīrase, somavallī rasa
somavallīrasenaiva, somavallī rasa eva
somavallīrasaiḥ, somavallī rasa
somavallīrasairyāmaṁ, somavallī rasa yāma
somavallīva, somavallī iva
somavallīsamā, somavallī sama
somavāre, soma vāra
somavikrayiṇaścānnaṁ, soma vikrayin ca anna
somavikrayiṇaścaiva, soma vikrayin ca eva
somavikrayiṇas, soma vikrayin
somavikrayiṇe, soma vikrayin
somavikrayiṇo, soma vikrayin
somavikrayy, soma vikrayin
somavit, soma vid
somaviśvavid, soma viśva vid
somavīryāsu, soma vīrya
somavṛddha, soma vṛdh
somavṛddhaḥ, soma vṛdh
somaś, sa umā
somaśarmāṇamutsaṅge, somaśarman utsaṅga
somaśarmeti, somaśarman iti
somaśitam, soma śā
somaśitā, soma śā
somaśukrau, soma śukra
somaśca, soma ca
somaścakruḥ, soma kṛ
somaścātra, soma ca atra
somaścāpyāyyate, soma ca āpyāyay
somaścāvyāhatabalaḥ, soma ca avyāhata bala
somaścāṣṭau, soma ca aṣṭan
somaścetyādi, soma ca ityādi
somaścendraśca, soma indra indra ca
somaścaiṣā, soma ca etad
somaśravāstu, somaśravas tu
somaśreṣṭhāni, soma śreṣṭha
somas, sa umā
somasaṁkāśe, soma saṁkāśa
somasaṁkrandamadhye, soma saṁkranda madhya
somasaṁjñam, soma saṁjñā
somasaṁyogāc, soma saṁyoga
somasaṁsthāpitānyaṣṭau, soma aṣṭan saṁsthāpay
somasaṁsthāśca, somasaṁsthā ca
somasaṁsthāstatāna, soma saṁsthā tan
somasadṛśas, soma sadṛśa
somasamavīryā, soma sama vīrya
somasaraṇī, soma saraṇa
somasaralā, soma saralā
somasarpau, soma sarpa
somasalilaṁ, soma salila
somasahasre, soma sahasra
somasāyujyaṁ, soma sāyujya
somasiddhe, soma sidh
somasutā, soma sut
somasutim, soma suti
somasuto, soma sut
somasud, soma sut
somasudbhiḥ, soma sut
somasūnorbudhasyāśramasamīpe, soma sūnu budha āśrama samīpa
somasūryagrahe, soma sūrya graha
somasūryapurastāt, soma sūrya purastāt
somasūryaprakāśaṁ, soma sūrya prakāśa
somasūryayor, soma sūrya
somasūryarkṣamālāya, soma sūrya ṛkṣa mālā
somasūryāgnayo, soma sūrya agni
somasūryāgnitā, soma sūrya agni tā
somasūryāgninetrastadā, soma sūrya agni netra tadā
somasūryāgnibhāsātma, soma sūrya agni bhāsa ātman
somasūryāgnisaṁghaṭṭaṁ, soma sūrya agni saṁghaṭṭa
somasūryāgnisampanne, soma sūrya agni sampad
somasūryāgnisambandho, soma sūrya agni sambandha
somasūryātmajaiḥ, soma sūrya ātmaja
somasūryādayo, soma sūrya ādi
somasūryādyātmikāsu, soma sūrya ādi ātmaka
somasūryānilā, soma sūrya anila
somasūryānilās, soma sūrya anila
somasūryāntarasthaṁ, soma sūrya antara stha
somasūryābhyāṁ, soma sūrya
somasūryābhyāmailasya, soma sūrya aila
somasūryāvahaṁ, soma sūrya āvaha
somasūryodayaṁ, soma sūrya udaya
somasūryau, soma sūrya
somastataste, soma tatas tad
somastato, soma tatas
somastatra, soma tatra
somastathā, soma tathā
somastatheśānaḥ, soma tathā īśāna
somastatheśāno, soma tathā īśāna
somastathaiva, soma tathā eva
somastad, soma tad
somastadāprabhṛti, soma tadā prabhṛti
somastapastaptvā, soma tapas tap
somastasya, soma tad
somastāsāṁ, soma tad
somastīrthyā, soma tīrthya
somastu, soma tu
somastvam, soma tvad
somastvahaṁ, soma tu mad
somasthānaṁ, soma sthāna
somasthānam, soma sthāna
somasyāṁśavas, soma aṁśu
somasyāṁśo, soma aṁśa
somasyāgne, soma agni
somasyātmā, soma ātman
somasyātha, soma atha
somasyādhas, soma adhas
somasyānukramāt, soma anukrama
somasyānucaro, soma anucara
somasyānte, soma anta
somasyāpām, soma pā
somasyāpi, soma api
somasyāpyāyitā, soma āpyāyay
somasyābhiṣavaṁ, soma abhiṣava
somasyāśvinā, soma aśvin
somasyāhaṁ, soma mad
somasyāharahas, soma aharahar
somasyeti, soma iti
somasyendrasya, soma indra
somasyeva, soma iva
somasyevāṁśum, soma iva aṁśu
somasyevābhipūrṇasya, soma iva abhipṛ
somasyeha, soma iha
somasyoḍurājasya, soma uḍurāj
somasyotī, soma ūti
somasyodgītho, soma udgītha
somasyaikaṁ, soma eka
somasyauśijo, soma auśija
somahartāraṁ, soma hartṛ
somā, soma ā
somāṁśava, soma aṁśu
somāṁśavaḥ, soma aṁśu
somāṁśasya, soma aṁśa
somāṁśu, soma aṁśu
somāṁśuṁ, soma aṁśu
somākhyā, soma ākhyā
somāgnyarkānilendrāṇāṁ, soma agni arka anila indra
somāgnyarkāmbuvāyūnāṁ, soma agni arka ambu vāyu
somāgnyātmakasyāmlasyotpādaḥ, soma agni ātmaka amla utpāda
somāṅgapeṣakaḥ, soma aṅga peṣaka
somācca, soma ca
somāccaivāmṛtaprāptiḥ, soma ca eva amṛta prāpti
somāttārā, soma tārā
somātmakaṁ, soma ātmaka
somātmakam, soma ātmaka
somātmakasya, soma ātmaka
somātmake, soma ātmaka
somātmako, soma ātmaka
somātmajaścātra, soma ātmaja ca atra
somātmane, soma ātman
somātmā, soma ātman
somātmikā, soma ātmaka
somāditiḥ, soma aditi
somādityamaṇḍalaṁ, soma āditya maṇḍala
somādityau, soma āditya
somādiyāgasya, soma ādi yāga
somādivṛndaṁ, soma ādi vṛnda
somādīnāṁ, soma ādi
somādūrdhvaṁ, soma ūrdhvam
somāder, soma ādi
somādermāgadhāḥ, soma ādi māgadha
somādbudhastasmādaila, soma budha tad aila
somādvai, soma vai
somādhāraḥ, soma ādhāra
somādhikyena, soma ādhikya
somānandātparaṁ, soma ānanda para
somānalamiti, somānala iti
somānalamidaṁ, somānala idam
somānalayantraṁ, somānala yantra
somānalayantramāha, somānala yantra ah
somānte, soma anta
somānvaye, soma anvaya
somānvayo, soma anvaya
somānvavāye, soma anvavāya
somāpīḍāṁ, soma āpīḍa
somāpyāyatām, soma āpyā
somābhi, soma abhi
somābhidāsati, soma abhidās
somābhipatanayogena, soma abhipatana yoga
somābhipatita, soma abhipat
somābhipatitaścandraḥ, soma candra abhipat
somām, tad umā
somāmṛtābhidham, somāmṛta abhidhā
somāmṛtāśvagandhāsu, somā amṛtā aśvagandhā
somāya, sa umā
somāyāpāmārgaṁ, soma āpāmārga
somāyeti, soma iti
somāyaivaine, soma eva enad
somārkapratisaṁkāśau, soma arka pratisaṁkāśa
somārkavaṁśayor, soma arka vaṁśa
somārkasaṁsthāni, soma arka saṁstha
somārkāgnidvijātīnāṁ, soma arka agni dvijāti
somārkau, soma arka
somārdhanibhaṁ, soma ardha nibha
somārhāvaśvināvetāvadya, soma arha aśvin etad adya
somārhāvaśvināvetau, soma arha aśvin etad
somārhau, soma arha
somāvacākaśan, soma avacākaś
somāvidhan, soma vidh
somāṣṭakeneśaṁ, soma aṣṭaka īśa
somāścāpyarbude, soma ca api arbuda
somāśvendriyaviśvadevyasya, soma aśva indriya viśvadevya
somāsi, soma as
somāstilāḥ, soma tila
somāstraṁ, soma astra
somāstraniḥsṛṣṭaṁ, soma astra niḥsṛj
somāsmin, soma idam
somāhutiṁ, soma āhuti
somāhutim, soma āhuti
somāhutir, soma āhuti
somāhuto, soma āhu
somāhvayā, soma āhvaya
someti, soma iti
somenāgata, soma gam
somenādityā, soma āditya
somenādhiṣṭhitaṁ, soma adhiṣṭhā
somenānandaṁ, soma ānanda
somenāpy, soma api
somenābhyarcayet, soma abhyarcay
somenārādhayed, soma ārādhay
someneha, soma iha
somenocchiṣṭā, soma ucchiṣ
somenaiva, soma eva
somendrāya, soma indra
someṣṭayajuṣaḥ, soma yajus yaj
someṣvityetayauṣṇihīm, soma iti etad auṣṇiha
someśaḥ, soma īśa
somehānu, soma iha anu
somo, sa umā
somodgītham, soma udgītha
somopamaḥ, soma upama
somorvam, soma ūrva
somyasyāndhaso, somya andhas
somyānnasyāśyamānasya, somya anna aś
somyānnena, somya anna
somyāśyamānasya, somya aś
somyāstīrthasyāsya, somya tīrtha idam
somyāsmat, somya mad
somyeti, somya iti
somyedaṁ, somya idam
somyedam, somya idam
somyenota, somya uta
somyemāḥ, somya idam
somyemās, somya idam
somyota, somya uta
somyotopatāpinaṁ, somya uta upatāpin
somyaikena, somya eka
somyaitam, somya etad
somyaivaṁ, somya evam
somyaiṣo, somya etad
soragā, sa uraga
sorumāṇā, tad urumāṇa
sorṇabhruvaṁ, sa ūrṇa bhrū
sorṇabhruvamāyatākṣaṁ, sa ūrṇa bhrū akṣa āyam
sorṇair, sa ūrṇā
sorcīkāya, tad ṛcīka
sordhvaṁ, sa ūrdhvam
sordhvavātāyāṁ, sa ūrdhvavāta
sormijālaṁ, sa ūrmi jāla
sormir, sa ūrmi
solkā, sa ulkā
solkākārā, sa ulkā ākāra
solkābhā, sa ulkā ābha
solkāś, sa ulkā
solmukaṁ, sa ulmuka
solmukā, sa ulmuka
sollaṅghya, tad ullaṅghay
sollāsaṁ, sa ullāsa
solluṭhanaṁ, sa ulluṭhana
sollekhanaṁ, sa ullekhana
sovāca, tad vac
soṣarodakagomūtraiḥ, sa ūṣara udaka go mūtra
soṣām, tad uṣā
soṣṭrikā, sa uṣṭrikā
soṣṭre, sa uṣṭra
soṣṇaṁ, sa uṣṇa
soṣṇakakṣāraḥ, sa uṣṇaka kṣāra
soṣṇakhalve, sa uṣṇa khalva
soṣṇatuṣakarīṣādinā, sa uṣṇa tuṣa karīṣa ādi
soṣṇatoyena, sa uṣṇa toya
soṣṇapātre, sa uṣṇa pātra
soṣṇabāṣpajalāḥ, sa uṣṇa bāṣpa jala
soṣṇamannaṁ, sa uṣṇa anna
soṣṇavīryaṁ, sa uṣṇa vīrya
soṣṇavīryā, tad uṣṇa vīrya
soṣṇavīryā, sa uṣṇa vīrya
soṣṇā, sa uṣṇa
soṣṇāranālena, sa uṣṇa āranāla
soṣṇāranālair, sa uṣṇa āranāla
soṣṇīṣaṁ, sa uṣṇīṣa
soṣṇīṣaḥ, sa uṣṇīṣa
soṣṇīṣamūrdhānau, sa uṣṇīṣa mūrdhan
soṣṇīṣe, sa uṣṇīṣa
soṣṇe, sa uṣṇa
soṣṇeti, soṣṇa iti
soṣṇena, sa uṣṇa
soṣṇo, sa uṣṇa
soṣṇair, sa uṣṇa
soṣṇairmilanti, sa uṣṇa mil
soṣmaṇā, sa ūṣman
soṣmaṇo, sa ūṣman
soṣmā, sa ūṣman
soṣmāṇo, sa ūṣman
soṣmāśchāyāvihīnāśca, soṣma chāyā ca vihā
soṣme, sa uṣma
sośīraṁ, sa uśīra
sośīratiktātriphalākāśmaryaṁ, sa uśīra tiktā triphalā kāśmarya
sośīramustāḥ, sa uśīra mustā
saiṁhalakaścaiva, saiṁhalaka ca eva
saikacakrā, tad ekacakrā
saikajaṭā, tad ekajaṭā
saikatatale, saikata tala
saikatapathena, saikata patha
saikataprāye, saikata prāya
saikatamidaṁ, saikata idam
saikatasraṁsihaṁsā, saikata sraṁsin haṁsa
saikatra, tad ekatra
saikadā, tad ekadā
saikaparṇā, tad ekaparṇā
saikabhuvanam, sa eka bhuvana
saikam, tad eka
saikaśaphaṁ, tad ekaśapha
saikā, tad eka
saikā, sa eka
saikākṣarā, tad ekākṣarā
saikādaśākṣarā, tad ekādaśan akṣara
saikāpi, tad eka api
saike, sa eka
saikenaikena, tad eka eka
saikonaviṁśatiśataṁ, sa ekonaviṁśati śata
saikṣatoñśiṣṭaṁ, tad īkṣ ucchiṣ
saikṣvākam, tad aikṣvāka
saiḍagajaḥ, sa eḍagaja
saitad, tad etad
saitam, tad etad
sainaṁ, tad enad
sainaḥ, tad enas
sainam, tad enad
sainayor, tad enad
saināṁ, tad enad
sainān, tad enad
saināpatyābhiṣekāya, saināpatya abhiṣeka
saināpatyābhiṣeko, saināpatya abhiṣeka
sainām, tad enad
saināmutthāpyodvāṣpovāca, tad enad udvāṣpa vac utthāpay
sainikajanena, sainika jana
sainikamukhyāste, sainika mukhya tad
sainikāṁśca, sainika ca
sainikāśca, sainika ca
sainikāścāpi, sainika ca api
sainikāstatra, sainika tatra
sainikāste, sainika tad
sainikāste, sainika tvad
sainikaiśca, sainika ca
saindhavakanyānām, saindhava kanyā
saindhavakāsīsakṛṣṇābhiḥ, saindhava kāsīsa kṛṣṇā
saindhavakhaṇḍakoṭare, saindhava khaṇḍa koṭara
saindhavakhilya, saindhava khilya
saindhavakhoṭako, saindhava khoṭaka
saindhavagataṁ, saindhava gam
saindhavaghano, saindhava ghana
saindhavacandanaṁ, saindhava candana
saindhavacūrṇena, saindhava cūrṇa
saindhavatakrapītam, saindhava takra pā
saindhavatāmrāṇi, saindhava tāmra
saindhavatulyaṁ, saindhava tulya
saindhavatrivṛderaṇḍapatrakalkastu, saindhava trivṛt eraṇḍa pattra kalka tu
saindhavadāḍimāmalakamityeṣa, saindhava dāḍima āmalaka iti etad
saindhavanāgarāḍhyamamlaiḥ, saindhava nāgara āḍhya amla
saindhavanāgare, saindhava nāgara
saindhavapuṭe, saindhava puṭa
saindhavapramukhair, saindhava pramukha
saindhavaprepsur, saindhava prepsu
saindhavapreṣitāñ, saindhava preṣay
saindhavabāhlikau, saindhava bāhlika
saindhavamambhasāthavā, saindhava ambhas athavā
saindhavamayamūṣāsaṁpuṭitaṁ, saindhava maya mūṣā saṁpuṭ
saindhavamilitaṁ, saindhava mil
saindhavamekaṁ, saindhava eka
saindhavayuktaṁ, saindhava yuj
saindhavayuktena, saindhava yuj
saindhavayutaṁ, saindhava yuta
saindhavayodhāste, saindhava yodha tad
saindhavalavaṇānvitena, saindhava lavaṇa anvita
saindhavalavaṇena, saindhava lavaṇa
saindhavavadhād, saindhava vadha
saindhavaśca, saindhava ca
saindhavaścaiva, saindhava ca eva
saindhavasaṁyuktaṁ, saindhava saṁyuj
saindhavasaṁyutena, saindhava saṁyuta
saindhavasampuṭaṁ, saindhava sampuṭa
saindhavasamprayuktaṁ, saindhava samprayuj
saindhavasahitaṁ, saindhava sahita
saindhavasahitam, saindhava sahita
saindhavasāmudrabiḍayavakṣārasauvarcalodbhedajā, saindhava sāmudra viḍa yavakṣāra sauvarcala udbheda ja
saindhavasāmudraviḍasauvarcalaromakaudbhidaprabhṛtīni, saindhava sāmudra viḍa sauvarcala romaka audbhida prabhṛti
saindhavasauvarcalakālaviḍapākyānūpakūpyavālukailamaulakasāmudraromakaudbhidauṣarapāṭeyakapāṁśujānyevaṁprakārāṇi, saindhava sauvarcala kāla viḍa pākya ānūpa kūpya vāluka elā maulaka sāmudra romaka audbhida auṣara pāṭeyaka pāṁśuja evaṁprakāra
saindhavasauvarcalādyaṁ, saindhava sauvarcala ādya
saindhavastu, saindhava tu
saindhavasyākṣaṁ, saindhava akṣa
saindhavasyāgrataḥ, saindhava agratas
saindhavasyājau, saindhava āji
saindhavasyārthe, saindhava artha
saindhavahiṅguyuktau, saindhava hiṅgu yuj
saindhavācca, saindhava ca
saindhavājamodāyuktaṁ, saindhava ajamodā yuj
saindhavādi, saindhava ādi
saindhavādidravāntānāṁ, saindhava ādi drava anta
saindhavādinā, saindhava ādi
saindhavādir, saindhava ādi
saindhavādilavaṇamūṣā, saindhava ādi lavaṇa mūṣā
saindhavādīṁśca, saindhava ādi ca
saindhavādīnāṁ, saindhava ādi
saindhavādīni, saindhava ādi
saindhavādau, saindhava ādi
saindhavānīkaṁ, saindhava anīka
saindhavānmuñjakeśaśca, saindhava muñjakeśa ca
saindhavāpasadaḥ, saindhava apasada
saindhavāpasadasya, saindhava apasada
saindhavābhraṁ, saindhava abhra
saindhavāmalake, saindhava āmalaka
saindhavāmlamūtrasaṁsṛṣṭaṁ, saindhava amla mūtra saṁsṛj
saindhavāyārjune, saindhava arjuna
saindhavāyaiva, saindhava eva
saindhavārthinamāyāntaṁ, saindhava arthin āyā
saindhavārthe, saindhava artha
saindhavārdrakakāsīsalohatāmraiḥ, saindhava ārdraka kāsīsa loha tāmra
saindhavārdramṛdā, saindhava ārdra mṛd
saindhavāśvaṁ, saindhava aśva
saindhavāsaktadṛṣṭitvānnainaṁ, saindhava dṛṣṭi tva na enad āsañj
saindhavikayojjvālitaṁ, saindhavikā ujjvālay
saindhavenāgnivarṇena, saindhava agni varṇa
saindhavenāthavā, saindhava athavā
saindhavodīcyayaṣṭyāhvapippalībhiḥ, saindhava udīcya yaṣṭyāhva pippalī
saindhavonmiśraiḥ, saindhava unmiśra
saindhavopahitaṁ, saindhava upadhā
saindhavopahitā, saindhava upadhā
saindhavopahitāṁ, saindhava upadhā
saindhavairakarodyuddhaṁ, saindhava yuddha kṛ
saindhavairbījapūrāktairyuktaṁ, saindhava bījapūra añj yuj
saindhavaiśca, saindhava ca
sainyakṣayaṁ, sainya kṣaya
sainyakṣayakaraṁ, sainya kṣaya kara
sainyaghātaṁ, sainya ghāta
sainyaghoṣeṇa, sainya ghoṣa
sainyadvāramito, sainya dvāra itas
sainyaniryāṇaṁ, sainya niryāṇa
sainyapālo, sainya pāla
sainyapṛṣṭhe, sainya pṛṣṭha
sainyabhuvanamiti, sainya bhuvana iti
sainyamadhyastho, sainya madhya stha
sainyamadhye, sainya madhya
sainyamadhyena, sainya madhya
sainyamandhako, sainya andhaka
sainyamayaṁ, sainya maya
sainyamaśeṣaṁ, sainya aśeṣa
sainyamāyāti, sainya āyā
sainyamālokya, sainya ālokay
sainyamukhe, sainya mukha
sainyareṇuṁ, sainya reṇu
sainyareṇuś, sainya reṇu
sainyavāhānāṁ, sainya vāha
sainyasamudbhūtaṁ, sainya samudbhū
sainyasahāyena, sainya sahāya
sainyasahitāḥ, sainya sahita
sainyasugrīvayuktena, sainya sugrīva yuj
sainyasugrīvasaṁyuktaṁ, sainya sugrīva saṁyuj
sainyasthāneṣu, sainya sthāna
sainyasyāgrād, sainya agra
sainyasyaiko, sainya eka
sainyāgre, sainya agra
sainyānyakampanta, sainya kamp
sainyānyaghaṭayad, sainya ghaṭay
sainyānyavadhyanta, sainya vadh
sainyāmbudhiraparyante, sainya ambudhi aparyanta
sainyāraṇyaṁ, sainya araṇya
sainyārṇavaṁ, sainya arṇava
sainyārthaṁ, sainya artha
sainyāvaśiṣṭāste, sainya tad avaśiṣ
sainyāvaśeṣasya, sainya avaśeṣa
sainyāśca, sainya ca
sainyāstam, sainya tad
sainyāstava, sainya tvad
sainyāstiṣṭhantu, sainya sthā
sainyāste, sainya tad
sainyāstvadīyā, sainya tvadīya
sainyeṣvavādyanta, sainya vāday
sainyaiścāpi, sainya ca api
saimantikavīrapāṁsu, saimantika vīrapāṁsu
sairaṇḍapatrayā, sairaṇḍa pattra
sairaṇḍasiṁhītrivṛtaṁ, sa eraṇḍa siṁhī trivṛtā
sairandhriveṣeṇa, sairandhrī veṣa
sairandhrīkāmasaṁtāpaśamano, sairandhrī kāma saṁtāpa śamana
sairandhrīrūpiṇaṁ, sairandhrī rūpin
sairandhryaham, sairandhrī mad
sairandhryāstava, sairandhrī tvad
sairīyajambvarjunakāśmarījaṁ, sairīya jambu arjuna kāśmarī ja
saireyakastu, saireyaka tu
saireyakāṭarūṣakabalātibalājīvantīsuṣavīkalko, saireyaka āṭarūṣaka balā atibalā jīvantī suṣavī kalka
sailā, tad elā
sailā, sa elā
sailāmadhukanāgāhvaṁ, tad elā madhuka nāgāhvā
sailāyavānakakaṇāyavakṣārāt, sa elā yavānaka kaṇā yavakṣāra
saiva, tad eva
saivaṁ, tad evam
saivaṁvidhā, tad evaṁvidha
saivam, tad evam
saivamayutāyuṣyadā, tad evam ayuta āyuṣya da
saivamuktā, tad evam vac
saivājñayā, tad eva ājñā
saivātimuktakākhyā, tad eva atimuktaka ākhyā
saivātiśītalā, tad eva ati śītala
saivātra, tad eva atra
saivādyāpi, tad eva adya api
saivānayat, tad eva ānī
saivānekagatir, tad eva aneka gati
saivābhāva, tad eva abhāva
saivāmṛtalatā, tad eva amṛta latā
saivārtavakṛtād, tad eva ārtava kṛ
saivālambo, tad eva ālamba
saivālpā, tad eva alpa
saivāvasthā, tad eva avasthā
saivāvidyā, tad eva avidyā
saivāviśiṣṭā, tad eva aviśiṣṭa
saivāvyavastheti, tad eva avyavasthā iti
saivāśuddhiḥ, tad eva aśuddhi
saivāsphoṭā, tad eva āsphoṭa
saivāsya, tad eva idam
saivāsyā, tad eva idam
saivāhaṁ, tad eva mad
saivāhaṁkāram, tad eva ahaṁkāra
saivety, tad eva iti
saiveyaṁ, tad eva idam
saiveyam, tad eva idam
saiveyamadhītya, tad eva idam adhī
saiveśvarī, tad eva īśvarā
saiveha, tad eva iha
saivoktaḥ, tad eva vac
saivoktā, tad eva vac
saivoktātha, tad eva atha vac
saivodvāhakarmaṇi, tad eva udvāha karman
saivopamā, tad eva upamā
saivorvaśī, tad eva urvaśī
saivaikā, tad eva eka
saiṣa, tad etad
saiṣā, tad etad
saiṣāgneyī, tad etad āgneya
saiṣāgneyy, tad etad āgneya
saiṣānastamitā, tad etad an astamita
saiṣānucaravatī, tad etad anucaravat
saiṣānuṣṭup, tad etad anuṣṭubh
saiṣāpi, tad etad api
saiṣām, tad idam
saiṣāvaraparā, tad etad avara para
saiṣoṣṇik, tad etad uṣṇih
saiṣaikākṣararg, tad etad eka akṣara ṛc
saiṣaindrī, tad etad aindra
saiśvaryabhṛtyajananaṁ, sa aiśvarya bhṛtya janana
sauṁkāram, sa oṁkāra
saukaracchāgalaiṇeyarauravairgavayena, saukara chāgala aiṇeya raurava gavaya
saukumāryakaraṁ, saukumārya kara
saukumāryaguṇasambhṛtakīrtir, saukumārya guṇa sambhṛta kīrti
saukumāryamāgatāḥ, saukumārya āgam
saukumāryamidaṁ, saukumārya idam
