aṁa, aṁ a
akālapatrapuṣpaphalāni, akāla pattra puṣpa phala
akālapalito, akāla palita
akālapītaḥ, akāla pā
akālapravāhaṇādbadhiraṁ, akāla pravāhaṇa badhira
akālaphalino, akāla phalin
akālamaraṇaṁ, akāla maraṇa
akālamaraṇabhayam, akāla maraṇa bhaya
akālamūṣikākrāntāstavaiva, akāla mūṣika tvad eva ākram
akālamṛtyur, akāla mṛtyu
akālamṛtyusarpāgniśatruvyādhibhayāni, akāla mṛtyu sarpa agni śatru vyādhi bhaya
akālamṛtyusarpāgnisarvavyādhibhayāni, akāla mṛtyu sarpa agni sarva vyādhi bhaya
akālamṛtyuharaṇaṁ, akāla mṛtyu haraṇa
akālayuktasainyas, akāla sainya yuj
akālayogādbalasaṁkṣayācca, akāla yoga bala saṁkṣaya ca
akālayonigamanānnigrahād, akāla yoni gamana nigraha
akālarūkṣakṛmi, akāla rūkṣa kṛmi
akālavakre, akāla vakra
akālavarṣī, akāla varṣin
akālavahninā, akāla vahni
akālavāhanād, akāla vāhana
akālavidyutstanayitnughoṣe, akāla vidyut stanayitnu ghoṣa
akālavipramuktānme, akāla mad vipramuc
akālaśayanān, akāla śayana
akālasaṁdhyām, akāla saṁdhyā
akālasaham, akāla saha
akālādeśasaṁcārau, akāla deśa saṁcāra
akālāśanipātograṁ, akāla aśani pāta ugra
akālāstamayaṁ, akāla astamaya
akālenāgataśca, akāla ca āgam
akālenaiva, akāla eva
akālpanike, a kālpanika
akāṣṭham, a kāṣṭha
akiṁcanabhavaṁ, akiñcana bhava
akiṁcanāśca, akiñcana ca
akiṁciccintakastatra, a kaścit cintaka tatra
akiṁciccintakasyeti, a kaścit cintaka iti
akiṁciccintakasyaiva, a kaścit cintaka eva
akiṁciccintanaṁ, a kaścit cintana
akiṁcid, a kaścit
akiṁvṛtte, a kiṁvṛtta
akiraddhrāduniṁ, hrāduni kṛ
akilāsī, a kilāsin
akilbiṣo, a kilbiṣa
akīrtimalinair, akīrti malina
akīrtirjīvitaṁ, akīrti jīvita
akīrtivartanīṁ, akīrti vartanī
akīrtīnām, a kīrti
akīrtyāpi, akīrti api
akuṅkumārdraṁ, a kuṅkuma ārdra
akuṭṭimasamā, akuṭṭima sama
akuṇṭhadīdhitiṁ, akuṇṭha dīdhiti
akuṇṭhadṛṣṭir, akuṇṭha dṛṣṭi
akuṇṭhadhārair, akuṇṭha dhārā
akuṇṭhamaṇḍalaṁ, akuṇṭha maṇḍala
akuṇṭhamedhasaṁ, akuṇṭha medhas
akuṇṭhavarcasaṁ, akuṇṭha varcasa
akuṇṭhāgrā, akuṇṭha agra
akuṇṭhāgrāṁ, akuṇṭha agra
akuṇṭhāgrāñ, akuṇṭha agra
akuṇṭhāgrair, akuṇṭha agra
akutūhalabhāvena, akutūhala bhāva
akutomṛtyur, akutas mṛtyu
akupyan, a kup
akumāryāś, a kumārī
akurvaṁllabhate, a labh kṛ
akurvaṁśca, ca kṛ
akurvaṁste, tad kṛ
akurvañśāntim, śānti kṛ
akurvataśca, akurvat ca
akurvataścet, akurvat ced
akurvatastasya, akurvat tad
akurvatā, a kṛ
akurvan, a kṛ
akurvantāpare, apara kṛ
akurvanvihitaṁ, a kṛ vidhā
akurvāṇastu, akurvāṇa tu
akulatāṁ, akula tā
akulatvaṁ, akula tva
akulatvādi, akula tva ādi
akulasyāsya, akula idam
akulīnanarākīrṇo, akulīna nara ākṛ
akulīnastu, akulīna tu
akulīnādhamabuddher, akulīna adhama buddhi
akule, a kula
akuśaladṛṣṭidālanānām, akuśala dṛṣṭi dālana
akuśaladharmapratiṣedhaṁ, akuśala dharma pratiṣedha
akuśaladharmo, akuśala dharma
akuśalāśca, akuśala ca
akūṭasthatām, a kūṭastha tā
akūjanākṣaṁ, a kūjana akṣa
akūjanākṣaṁ, akūjana akṣa
akūpārāṅgirasasyāsīt, akūpārā āṅgirasa as
akṛcchre, a kṛcchra
akṛtaṁ, a kṛ
akṛtakakhamudrānupraveśāt, akṛtaka khamudrā anupraveśa
akṛtakatvāditi, akṛtaka tva iti
akṛtakatvena, akṛtaka tva
akṛtakaniravakāśaniruttaranistaraṅganiravadhinirniketāsparśasaṁvitprāptir, akṛtaka niravakāśa niruttara nistaraṅga niravadhi nirniketa asparśa saṁvid prāpti
akṛtakapustakapradarśanena, akṛtaka pustaka pradarśana
akṛtakamaiśvaryaṁ, akṛtaka aiśvarya
akṛtakānubhavarasacarvaṇasaṁtṛptasya, akṛtaka anubhava rasa carvaṇa saṁtṛp
akṛtakṛtavibhuviriñcā, akṛta vibhu viriñca kṛ
akṛtakṛtyā, akṛta kṛtya
akṛtakṛtyānām, akṛta kṛtya
akṛtakṣetrīkaraṇe, akṛta kṣetrīkaraṇa
akṛtacūḍānāṁ, akṛta cūḍa
akṛtajñatāṁ, akṛtajña tā
akṛtajñamanāryamasthiraṁ, akṛtajña anārya asthira
akṛtajñāśca, a kṛtajña ca
akṛtatantrapratijñasyādhyāyapratijñā, akṛta tantra adhyāya adhyāya pratijñā
akṛtadāro, akṛta dāra
akṛtadrohas, akṛta droha
akṛtaprakāśaṁ, akṛta prakāśa
akṛtaprajñaṁ, akṛta prajñā
akṛtaprajñaḥ, akṛta prajñā
akṛtaprajñako, akṛta prajñaka
akṛtaprajñaścale, akṛta prajñā cala
akṛtaprajñas, akṛta prajñā
akṛtapratikarmaiva, akṛta pratikarman eva
akṛtapratiṣedhāc, akṛta pratiṣedha
akṛtapraveśasya, akṛta praveśa
akṛtaprāyaścittā, akṛta prāyaścitta
akṛtaprāyaścittānām, akṛta prāyaścitta
akṛtamukhakṛtamukhā, akṛta mukha mukha kṛ
akṛtamukho, akṛta mukha
akṛtavidyaś, akṛta vidyā
akṛtavīvāhā, akṛta vīvāha
akṛtavyavasāyasya, akṛta vyavasāya
akṛtavraṇaprabhṛtayaḥ, akṛtavraṇa prabhṛti
akṛtaśrāddhanicayā, akṛta śrāddha nicaya
akṛtasīmantāyāḥ, akṛta sīmanta
akṛtā, a kṛ
akṛtāgrayaṇaṁ, akṛta āgrayaṇa
akṛtāṅgaḥ, akṛta aṅga
akṛtātmatayā, akṛtātman tā
akṛtādi, akṛta ādi
akṛtādhikṛtirvāpi, a adhikṛti vā api kṛ
akṛtādhiṣṭhānatayā, akṛta adhiṣṭhāna tā
akṛtānnaṁ, akṛta anna
akṛtābhyāgamācca, akṛta abhyāgama ca
akṛtābhyāgamād, akṛta abhyāgama
akṛtārambham, akṛta ārambha
akṛtārthamānaṁ, akṛta artha māna
akṛtārthā, akṛta artha
akṛtāstraṁ, akṛta astra
akṛtāstrasya, a kṛtāstra
akṛtāstreṇa, a kṛtāstra
akṛtāstreṇa, akṛta astra
akṛte, a kṛ
akṛtenaiva, akṛta eva
akṛteyaṁ, akṛta idam
akṛteṣveva, akṛta eva
akṛttaruk, a ruc kṛt
akṛttaruk, akṛtta ruc
akṛtyakārī, akṛtya kārin
akṛtyapakṣe, akṛtya pakṣa
akṛtyāṁśca, akṛtya ca
akṛtrimapremarasābhirāmaṁ, akṛtrima preman rasa abhirāma
akṛtrimapremarasāhitair, akṛtrima preman rasa ādhā
akṛtrimasuhṛdbhāvaiḥ, akṛtrima suhṛd bhāva
akṛtrimasvarūpaparāmarśanena, akṛtrima sva rūpa parāmarśana
akṛtrimaitaddhṛdayārūḍho, akṛtrima etad hṛdaya āruh
akṛtvā, a kṛ
akṛtvānyad, akṛtvā anya
akṛtvāpi, a api kṛ
akṛtvāhaṁ, a mad kṛ
akṛtvaitad, akṛtvā etad
akṛtsārvadhātukayor, a kṛt sārvadhātuka
akṛtsnamiti, akṛtsna iti
akṛtsno, a kṛtsna
akṛntanniti, iti kṛt
akṛpaṇair, a kṛpaṇa
akṛmiparisṛptāṁ, a kṛmi parisṛp
akṛṣṭajātāni, akṛṣṭa jan
akṛṣṭajātaiḥ, akṛṣṭa jan
akṛṣṭapacyā, a pacya kṛṣ
akṛṣṭapacyā, akṛṣṭa pacya
akṛṣṭāścaiva, akṛṣṭa ca eva
akṛṣṭoptaṁ, a kṛṣ vap
akṛṣṭoptaṁ, akṛṣṭa vap
akṛṣṇapārthāṁ, a kṛṣṇa pārtha
akṛṣṇasāro, akṛṣṇa sāra
akṛśaḥ, a kṛśa
akṛśamuttamabalaṁ, akṛśa uttama bala
akṛśalakṣmīś, akṛśa lakṣmī
akṛśasyāpi, akṛśa api
akṛśāṁśca, akṛśa ca
akṛśāṁstatra, akṛśa tatra
akṛśodyamaḥ, akṛśa udyama
akekāntāt, aka ika anta
akopanaśca, akopana ca
akopayato, a kopay
akopyacetaḥsamādhipratilambhāya, a cetas samādhi pratilambha kup
akopyā, a kup
akopyāṁ, a kup
akośasyāsahāyasya, akośa asahāya
akaukṛtyāya, a kaukṛtya
akauśalāpratipattyādyayogāt, akauśala apratipatti ādya yoga
akauśalyapadam, akauśalya pada
aktanetrāṁ, netra añj
aktaśirā, śiras añj
aktāṁśaṁ, aṁśa añj
aktunāhnāṁ, aktu ahar
aktoṣā, aktā uṣas
akrañchatrūyatām, kṛ śatrūy
akratopa, upa kṛ
akramatānaḍuhy, anaḍuh kram
akramapravṛttyā, akrama pravṛtti
akramoḍhāsutaś, akrama ūḍhā suta
akramoḍhāsutas, akrama ūḍhā suta
akramopārūḍhaṁ, akrama upāruh
akravihastā, a kravi hasta
akravyād, a kravyād
akravyādamṛgavadhe, akravyāda mṛga vadha
akravyān, a kravyād
akrimiparisṛptāṁ, a krimi parisṛp
akriyatayā, akriya tā
akriyāpadam, akriyā pada
akrīḍan, a krīḍ
akrudhyatā, a krudh
akrudhyan, a krudh
akrūrakṛtavarmapramukhāś, akrūra kṛtavarman pramukha
akrūragadasāmbaiś, akrūra gada sāmba
akrūrapriyakṛt, akrūra priyakṛt
akrūrabhojaprabhavāḥ, akrūra bhoja prabhava
akrūramilitaṁ, akrūra mil
akrūravasudevau, akrūra vasudeva
akrūraścārudeṣṇaścetyete, akrūra cārudeṣṇa cetay
akrūraścograsenaśca, akrūra ugrasena ugrasena ca
akrūrasyograsenyāṁ, akrūra ugrasenī
akrūrākhyā, akrūra ākhyā
akrūrāgamavṛttāntamupalabhya, akrūra āgama vṛttānta upalabh
akrūreśvaratīrthe, akrūreśvara tīrtha
akrodhadrohamohāya, akrodha droha moha
akrodhanaśca, akrodhana ca
akrodhano, a krodhana
akrodhaścānasūyā, akrodha ca anasūyā
akrodhastantre, akrodha tantra
aklamaṁ, a klama
aklinnatvaṁ, aklinna tva
aklinnavartmahutabhugdhvajadarśiśuktipraklinnavartmasu, aklinnavartman hutabhuj dhvaja darśin śukti vartman praklid
akliṣṭakarmāṇaṁ, akliṣṭa karman
akliṣṭakarmāṇam, akliṣṭa karman
akliṣṭacchidreṣu, akliṣṭa chidra
akliṣṭamālyābharaṇāṁ, akliṣṭa mālya ābharaṇa
akliṣṭaveṣadhārī, akliṣṭa veṣa dhārin
aklībacarito, aklība car
aklībavidvacchuciraśmidhāraṁ, aklība vidvas śuci raśmi dhāra
akleśajananaṁ, akleśa janana
akleśapadam, akleśa pada
akleśalabhyā, akleśa labh
akleśasahiṣṇutvam, akleśa sahiṣṇu tva
akleśārhā, a kleśa arha
akleśenājayaccāpi, akleśa ca api ji
akleśenārthine, akleśa arthin
akleśenāvināśena, akleśa avināśa
akṣakāṁsau, akṣaka aṁsa
akṣakāṣṭhaiḥ, akṣa kāṣṭha
akṣakūṭam, akṣa kūṭa
akṣakoṭyoryugānyasya, akṣa koṭi yuga idam
akṣakrīḍāyāṁ, akṣa krīḍā
akṣaguṇaṁ, akṣa guṇa
akṣaglahaḥ, akṣa glaha
akṣaṇikapadaṁ, akṣaṇika pada
akṣajña, akṣa jña
akṣajñaḥ, akṣa jña
akṣatadhānābhyāṁ, akṣata dhānā
akṣatavigrahā, akṣata vigraha
akṣatāṅgaḥ, akṣata aṅga
akṣatādharaṁ, akṣata adhara
akṣatānmodakāṁllājān, akṣata modaka lāja
akṣatānviṣṭaraṁ, akṣata viṣṭara
akṣatālūṣake, akṣa tālu ūṣaka
akṣato, a kṣan
akṣatodakapuṣpānnarasagandhasamaiḥ, akṣata udaka puṣpa anna rasa gandha sama
akṣatairbadarairbilvairiṅgudairvā, akṣata badara bilva iṅguda vā
akṣatailaṁ, akṣa taila
akṣatailadrutā, akṣa taila dru
akṣataiśca, akṣata ca
akṣataistu, akṣata tu
akṣatriyaṁ, a kṣatriya
akṣadyūtaṁ, akṣa dyūta
akṣadyūtakṛtaṁ, akṣa dyūta kṛ
akṣadyūte, akṣa dyūta
akṣadyūtena, akṣa dyūta
akṣadrugdho, akṣa druh
akṣadhātryos, akṣa dhātrī
akṣadhātryostathaiva, akṣa dhātrī tathā eva
akṣadhūrtaḥ, akṣa dhūrta
akṣadhūrtasya, akṣa dhūrta
akṣapramāṇaṁ, akṣa pramāṇa
akṣapramāṇam, akṣa pramāṇa
akṣapramāṇamubhayoḥ, akṣa pramāṇa ubhaya
akṣapramāṇavaṭakaṁ, akṣa pramāṇa vaṭaka
akṣapramāṇavaṭakānkuryādevaṁ, akṣa pramāṇa vaṭaka evam kṛ
akṣapramāṇaiḥ, akṣa pramāṇa
akṣapriyaḥ, akṣa priya
akṣabījaṁ, akṣa bīja
akṣabījamaricāmalakatvaktutthayaṣṭimadhukair, akṣa bīja marica āmalaka tvac tuttha yaṣṭimadhukā
akṣabhaṅge, akṣa bhaṅga
akṣabhallātakaṁ, akṣa bhallātaka
akṣabhallātakītoyaiḥ, akṣa bhallātaka toya
akṣabhūmihastādiṣu, akṣabhūmi hasta ādi
akṣamadasaṁmattaṁ, akṣa mada sammad
akṣamātraṁ, akṣa mātra
akṣamātram, akṣa mātra
akṣamātramaśnīyāt, akṣa mātra aś
akṣamātrāṁ, akṣa mātra
akṣamātrābhiḥ, akṣa mātra
akṣamātrair, akṣa mātra
akṣamātrairajāmūtre, akṣa mātra ajā mūtra
akṣamātraistu, akṣa mātra tu
akṣamālākarotkīrṇā, akṣa mālā kara utkṛ
