Textname;Author
Rasaprakāśasudhākara;Yaśodhara
Rasārṇava; 
Rasārṇavakalpa; 
Rasārṇavam nāma rasatantram; 
Rasārṇavam nāma rasatantram; 
Rasaratnākara;Nitya Nātha Siddha
Rasaratnākara Ṛddhikhaṇḍa;Nityanātha
Rasaratnākara Rasakhaṇḍa;Nityanātha
Rasaratnasamuccaya;Vāgbhaṭa
Rasaratnasamuccayaṭīkā; 
Rasaratnasamuccayabodhinī;Āśubodhavidyābhūṣaṇa  Nityabodhavidyāratna
Rasaratnasamuccayadīpikā;Hazārīlāl Sukul
Rasasaṃketakalikā;Kāyasthacāmuṇḍa
Rasataraṅgiṇī; 
Rasendracūḍāmaṇi;Somadeva
Rasendracintāmaṇi;Ḍhuṇḍhukanātha
Rasendrasārasaṃgraha;Gopālakṛṣṇabhaṭṭa
Rasikapriyā;Kumbha
Rasikasaṃjīvanī;Arjunavarmadeva
Ratna Dīpikā and Ratna Śāstram; 
Ratnaṭīkā;Bhāsarvajña
Ratnadīpikā; 
Reflections on the basic concepts on Indian pharmacology;G.J. Meulenbeld
Religious beliefs and practices of North Indie during the early mediaeval period;V.Bh. Mishra
Remarkable words from the Kāvyamīmāṃsā;Renou  Louis
Rigveda Brahmanas;Keith  Arthur B.
Ritualliteratur;Hillebrandt  Alfred
Rivelex; Rigveda-Lexikon
Sūryaśataka;Mayūra
Sūryaśatakaṭīkā;Tribhuvanapāla
Sūryasiddhānta; 
Saṅghabhedavastu; 
Sanskritischer Index der jungvedischen Namen und Sachen  Teil I;Mylius  Klaus
Sanskritischer Index der jungvedischen Namen und Sachen  Teil II;Klaus Mylius
Sanskṛt-English dictionary;Monier-Williams  Sir M.
Sāṃkhyakārikā;Īśvarakṛṣṇa
Sāṃkhyakārikābhāṣya;Gauḍapāda
Sāṃkhyatattvakaumudī;Vācaspatimiśra
Saṃvitsiddhi;Yāmuna
Sarvāṅgasundarā;Aruṇadatta
Sarvadarśanasaṃgraha;Mādhava
Sarvāstivāda Buddhist scholasticism;Charles Willemen  Bart Dessein  Collett Cox
Sātvatatantra; 
Saundarānanda;Aśvaghoṣa
Skandapurāṇa; 
Skandapurāṇa Revākhaṇḍa); 
Smaradīpikā;Mīnanātha
Some aspects of glass manufacturing in ancient India;Govind  Vijay
Spandakārikā;Vasugupta
Spandakārikānirṇaya;Kṣemarāja
Sphuṭārthāvyākhyā;Yaśomitra
Studies on Indian medical history.; 
Suśrutasaṃhitā;Suśruta
Taittirīyasaṃhitā; 
Taittirīyopaniṣad; 
Tantrākhyāyikā; 
Tantrāloka;Abhinavagupta
Tantrasāra;Abhinavagupta
Tapas und tapasvin in den erz￤hlenden Partien des Mahābhārata;Shee  Monika
Tarkasaṃgraha;Annambhaṭṭa
Tattvavaiśāradī; 
The Śatapatha Brāhmaṇa According to the Text of the Mādhyandina Recension;Julius Eggeling tr.)
The āśrama system;Patrick Olivelle
The alchemical body;D.G. White
The Antagaḍa-Dasāo and Aṇuttarovavāiya-Dasāo; 
The Arthaśāstra;Kauṭilya
The Ātharvaṇa Upanishads; 
The Atharvaveda and the Gopathabrāhmaṇa;Bloomfield  Maurice
The constraints of theory in the evolution of nosological classifications;Meulenbeld  G.J.
The Early Upaniṣadas;Olivelle  Patrick
The ghaṭikā of the twice-born in South Indian inscriptions;Tieken  Herman; Sato  Katsuhiko
The heroic satī or the widow ascetic;Leslie  Julia
The International Plant Names Index 2004).; 
The Kauṭilīya Arthaśāstra;Kangle  R.P.
The Mādhavanidāna and its chief commentary;Meulenbeld  G.J.
The Materia medica of the Hindus;Dutt  Udoy Chand
The Nighaṇṭu and the Nirukta;Lakshman Sarup Ed.)
The origin of the life of a human being;Rahul Peter Das
The Oxford Hindi-English dictionary;McGregor  R. S.
The presence of Śiva;Kramrisch  Stella
The Rigveda. The earliest religious poetry of India;Jamison and Brereton
The social and military position of the ruling caste in ancient India.;Hopkins  Edward W.
The useful plants of India;H. Drury
The Veda of the Black Yajus School;Keith  Arthur Berriedale
The Vocabulary of the Rāmāyaṇa;Sen  Nilamadhab
Toḍalatantra; 
T￶pferei und Tongeschirr im vedischen Indien;Rau  Wilhelm
Translation of Gītā;Johnston
Trikāṇḍaśeṣa;Puruṣottadeva
Tropical flowering plants;Llamas  Kirsten Albrecht
Ṛtusaṃhāra;Kālidāsa
Tṛtīyakaḥ phenakaḥ;Sarma  S.R.
Uḍḍāmareśvaratantra; 
Ueber die Entstehung der Śvetāmbara und Digambara Sekten;Hermann Jacobi
Une technique du rasāyana āyurv￩dique;Rosu  Arion
Upaniṣads  ￜbersetzung;Deussen  Paul
Vāc;Padoux  Andr￩
Vācaspatimiśras Tattvakaumudī;Srinivasa Ayya Srinivasan
Vāgbhaṭas\s Aṣṭāṅgahṛdayasaṃhitā  Ein altindisches Lehrbuch der Heilkunde  0 Luise Hilgenberg;
Vaiśeṣikasūtra;Kaṇāda
Vaiśeṣikasūtravṛtti;Candrānanda
Vaiṣṇavism  Śaivism  and minor religious systems.;R.G. Bhandarkar
Vaikhānasadharmasūtra; 
Vaikhānasagṛhyasūtra; 
Vārāhagṛhyasūtra; 
Varāhapurāṇa; 
Vātūlanāthasūtras; 
Vātūlanāthasūtravṛtti;Anantaśaktipāda
Vedachrestomathie;Hillebrandt  Alfred
Vetālapañcaviṃśatikā; 
Viṣṇupurāṇa; 
Viṣṇusmṛti; 
Viṣkali-  Name of an Accouching Deity;Kuiper  F.B.J.
Vidyādharas;Grafe  J￶rg
Viṃśatikākārikā;Vasubandhu
Viṃśatikāvṛtti;Vasubandhu
Vivāgasuyaṃ; 
Vṛddhayamasmṛti;Yama
Vṛkṣāyurveda;Surapāla
Webmineral; 
Worship of the goddess according to the Kālikāpurāṇa;K.R. von Kooji
W￶rterbuch Ardhamāgadhī-Deutsch;Mylius  Klaus
W￶rterbuch des altindischen Rituals;Klaus Mylius
W￶rterbuch des Ṛigveda;Grassmann
Yājñavalkyasmṛti;Yogīśvara Yājñavalkya
Yoga;Mircea Eliade
Yoga et alch￩mie;Rosu  Arion
Yogaratnākara; 
Yogasūtra;Patañjali
Yogasūtrabhāṣya;Vyāsa
