,185,84,Eating,food
,393,185,vighasa,eatingtheremainderoffood
,303,84,friendship
,227,84,Giving,dāna
,301,84,goodbehaviour
,184,84,Hospitality,atithi,guests
,299,84,jñāna,ajñāna,vidyā,knowledge
,218,84,pātaka
,217,84,penance,prāyaścitta
,285,84,poverty,renunciation
,214,84,purity,impurity,śuddhi,śodhana,śauca
,186,84,Sexuality
,187,84,Sleeping
,183,84,snāna
,202,84,Study,śiṣya
,385,84,svadharma
,118,84,Teacherguruandpupilśiṣya, ācārya
,182,84,Travelling
,302,84,trivarga,caturvarga
,287,84,truth,satya,ṛta
,98,84,varṇas,castes
,208,98,Brahmin
,513,98,highpositionofBrahmins
,210,98,Kṣatriya
,198,210,kṣatradharma
,359,98,mixtureofcastes,varṇasaṃkara
,413,84,vyavahāra
,325,88,hiṃsā,ahiṃsā
,72,88,karmandoctrine
,226,88,Liberation,mokṣa,release
,338,226,all-unity
,335,226,non-attachment
,366,88,longlive,āyus
,153,88,Rebirth
,590,88,religiousspeculation,mystic
,109,88,Rituals
,112,109,Im-purity
,215,109,śrāddha
,671,109,ācamana
,236,109,againstpossession
,117,109,brahmacarya
,579,109,childhoodrites
,120,109,dāna,giving
,677,120,alms,bhikṣā
,544,120,dānastuti
,110,109,Deathrites
,207,109,Dīkṣā
,240,109,fast,upavāsa,upavasatha
,113,109,Marriage
,278,109,nirmālya
,234,109,piṇḍa
,125,109,prāyaścitta
,298,109,pretakārya,ritualsforthedead
,674,109,rājasūya
,209,109,sahasranāman
,116,109,saṃskāras
,239,109,vrata
,212,109,worship
,312,212,japa
,206,212,pūjā
,204,212,Sacrifice,yajña
,336,204,aśvamedha,hayamedha
,572,336,sacrificialhorse
,610,204,agniṣṭoma
,667,610,udayanīyā
,587,204,agnihotra
,676,204,ahīna
,666,204,altar,bricks
,337,204,animalsacrifice
,684,337,dividingthesacrificialanimal,vibhakti
,615,204,āstāva
,363,204,bali
,450,204,dakṣiṇā
,683,204,darśapūrṇamāsaiṣṭi,full-moonsacrifice
,554,204,errorsinsacrifice
,592,204,gettingapart,shareofthesacrifice
,686,204,humansacrifice
,653,204,odana
,661,204,originofthesacrifice
,518,204,pravargya
,654,204,priest,ṛtvij
,656,654,atharvanpriest
,655,654,brahmanpriest
,591,204,recitationduringsacrifice
,648,204,sacrificeandtime
,682,204,sacrificialground,placeofsacrifice,devayajana
,521,204,sacrificialpost,yūpa
,668,204,sattra
,463,204,Somasacrifice
,624,463,ṣaḍaha
,616,463,bahiṣpavamāna
,622,463,caturviṃśaday
,652,463,chandoma
,631,463,dvadaśāha
,593,463,niṣkevalyaśastra
,589,463,nivid
,603,463,penaltyforpressingout=hurtingSoma
,586,463,praugaśastra
,594,463,strophesusedinsacrifice
,588,463,vaṣaṭ
,628,463,viṣuvat
,659,204,ucchiṣṭa,remainderofthesacrifice
,614,204,ukthya
,516,204,Vedicmetresinsacrifice
,486,204,vyāhṛtis
,334,88,saṃsāra
,111,88,Time
,332,111,kālacakra
,633,111,seasons
,133,111,yugatheory
,453,133,prophesyaboutthekaliyuga
,86,88,Tīrthas
,357,86,Gaṅgā,Ganges
,619,357,fallsonŚivashead
,349,86,Kurukṣetra
,387,88,unsteadinessoflife
,425,88,Veda
,375,59,omina,presigns,nimittas
,608,375,birdsasomen
,421,59,paramārtha
,308,59,Psychology
,459,308,śraddhā
,310,308,ātman
,309,308,manas
,311,308,Meditation
,324,308,prāṇaetc.
,313,308,senses,indriya
,382,59,Vedic
,383,382,sāman
,460,382,sorcery
,102,91,Law
,172,102,Businesslaw
,167,102,Court
,221,102,Crime
,636,221,murder
,643,221,rape,sexualharassment
,222,221,robbery
,637,221,suicide
,274,221,theft,stealing
,103,102,Criminallaw
,168,102,Debt
,104,102,Debtsandinterest
,169,102,Deposit
,181,102,Familylaw
,220,102,Gambling
,675,220,playingdice
,108,102,Inheritance
,630,102,Merchants
,106,102,Ordeal
,165,102,Process
,175,102,Property
,178,175,Cattleasproperty
,177,175,Landedproperty
,365,175,PropertyofBrahmins
,640,102,punishmentforcrime
,176,102,Trade
,105,102,Witness
,92,91,Militaryscience
,93,92,dhanurveda
,79,91,Politics
,201,79,Administration
,281,79,Cities
,173,79,Customsandtaxes
,292,79,daṇḍa
,286,79,Economy
,80,79,King,rājanīti
,462,80,consecration
,478,80,courtlive
,632,80,spy,secretservice,intelligence
,401,80,treasure,kośa,treasury
,277,79,Minister
,283,79,Organizationofthekingdomprovinces,...

,296,79,Peaceandwar
,634,79,Police
,638,634,criminalinvestigation
,629,79,Publicdisasters,catastrophies
,295,79,Statefinances
,639,79,torture
,97,91,Society
,107,97,Family
,360,107,children
,404,360,daughter
,367,107,eldestbrother
,358,107,sellingchildren
,161,97,Love
,174,97,Professions
,400,97,servants
,137,97,Socialrituals
,138,137,tulāpuruṣa
,114,97,Women
,115,114,Behaviour,strīdharma
,126,114,Brideshipandmarriage
,535,114,chastity
,355,114,differencesbetweenwomenandmen
,348,114,femaleascetics
,144,114,Pregnancy
,160,114,Prostitution
,297,114,Widow
,284,157,army
,200,157,Camp
,350,157,fighting
,340,157,hunting
,538,157,militaryformation
,190,157,weapons,arms
,548,190,arrow
,574,190,chariot
,575,190,wardrum







