root	ppp_form	gana_class_dcs	voice_dcs	corpus_occurrences
arthay	arthita	0	Ā	70
pratiṣidh	pratiṣiddha	1	Ā	70
vāsay	vāsita	10	Ā	70
ṛdh	ṛddha	5	Ā	69
anuman	anumata	8	Ā	69
upapāday	upapādita	10	Ā	69
viric	virikta	7	P.	69
saṁkṣip	saṃkṣipta	6	Ā	69
aś	aśita	1	Ā	68
vam	vānta	1	Ā	68
prakṛ	prakṛta	8	Ā	68
pratyāgam	pratyāgata	1	P.	68
vikṣip	vikṣipta	6	Ā	68
saṁtras	saṃtrasta	4	P.	68
apanī	apanīta	1	Ā	67
saṁtan	saṃtata	8	Ā	67
kṛṣ	kṛṣṭa	6	Ā	66
śoṣay	śoṣita	10	Ā	66
avakṛ	avakīrṇa	6	Ā	66
sphuṭ	sphuṭita	6	Ā	66
upasṛj	upasṛṣṭa	6	Ā	66
yantray	yantrita	0	P.	66
parikalpay	parikalpita	10	Ā	66
prabhañj	prabhagna	4	P.	66
sambudh	saṃbuddha	4	P.	66
bubhukṣ	bubhukṣita	0	Ā	66
tṛ	tīrṇa	3	P.	65
abhisaṁvṛ	abhisaṃvṛta	5	P.	65
niṣidh	niṣiddha	1	P.	65
praduṣ	praduṣṭa	4	Ā	65
pradarśay	pradarśita	10	Ā	65
pramā	pramita	3	Ā	65
vikṣan	vikṣata	8	P.	65
pratyutpad	pratyutpanna	4	Ā	65
śliṣ	śliṣṭa	6	P.	64
anugrah	anugṛhīta	9	Ā	64
abhilaṣ	abhilaṣita	4	P.	64
udric	udrikta	7	P.	64
praṇidhā	praṇihita	3	Ā	64
viśrambh	viśrabdha	1	Ā	64
saṁvij	saṃvigna	6	Ā	64
saṁstu	saṃstuta	5	P.	64
saṁniviś	saṃniviṣṭa	6	P.	64
samanuprāp	samanuprāpta	5	Ā	64
ūrjay	ūrjita	0	Ā	64
nivāray	nivārita	10	Ā	63
vidah	vidagdha	4	Ā	63
avaropay	avaropita	10	Ā	62
vrīḍ	vrīḍita	1	P.	62
ādṛ	ādṛta	1	P.	62
upalabh	upalabdha	1	P.	62
nirvṛt	nirvṛtta	1	Ā	62
prakṣip	prakṣipta	6	Ā	62
vyape	vyapeta	2	P.	62
car	cīrṇa	1	Ā	61
mantray	mantrita	0	Ā	61
pravas	proṣita	1	P.	61
vinipātay	vinipātita	10	P.	61
vinyas	vinyasta	4	P.	61
vardhay	vardhita	10	Ā	60
upārjay	upārjita	10	P.	60
vimohay	vimohita	10	Ā	60
adhiruh	adhirūḍha	1	Ā	59
abhipūjay	abhipūjita	10	P.	59
ācam	ācānta	1	Ā	59
nipīḍay	nipīḍita	10	P.	59
parākram	parākrānta	6	P.	59
samāyā	samāyāta	2	P.	59
samās	samāsīna	4	P.	59
samucchri	samucchrita	1	P.	59
sambhāvay	saṃbhāvita	10	Ā	59
dhyā	dhyāta	3	Ā	58
gamay	gamita	10	Ā	58
abhirakṣ	abhirakṣita	1	Ā	58
āstṛ	āstīrṇa	5	P.	58
prakhyā	prakhyāta	2	P.	58
vyākṛ	vyākṛta	8	Ā	58
samuddiś	samuddiṣṭa	6	P.	58
indh	iddha	2	Ā	57
kalay	kalita	10	Ā	57
prapīḍay	prapīḍita	10	P.	57
vinirgam	vinirgata	1	P.	57
saṁdih	saṃdigdha	2	Ā	57
piṇḍay	piṇḍita	0	P.	57
praticchad	praticchanna	1	P.	57
gad	gadita	1	Ā	56
nud	nunna	2	P.	56
upās	upāsīna	4	P.	56
pracyu	pracyuta	1	Ā	56
prajan	prajāta	4	P.	56
sūcay	sūcita	0	P.	56
prajñapay	prajñapta	10	P.	56
