"Textname","Author","Subtit","Shorthand","Comment","Publish","Place of publication","Release year","Publishing","Range","Digitizers","LanguageID","Habil Etym TimeSlot","TextCompleted","SubjectID","secondary_literature","NrOfWords"
"""Haṃsasaṃdeśa""","""Vedānta Deśika"""," "," ",0,"""Sastriar""","""Madras""",1902," "," ","""Oliver Fallon""",1,4,0,47,0,620
"""Harṣacarita""","""Bāṇa"""," "," ",0," "," ",0," "," ","""Sansknet""",1,3,0,48,0,41
"""Hārāṇacandara on Suśr"""," "," "," ",1," "," ",0," "," "," ",1,5,0,33,0,162
"""Haribhaktivilāsa""","""Gopālabhaṭṭa"""," ","""HBhVil""",0,"""Haridasa Sastri"""," ",0," "," ","""Jan Brzezinski""",1,5,0,43,0,28839
"""Hindu Tantrism""","""Sanjukta Gupta; Dirk Jan Hoens; Teun Goudriaan"""," "," ",0," ","""Leiden  K￶ln""",1979,"""E.J. Brill""","""Handbuch der Orientalistik  2. Abt.  4. Band  2. Abschnitt"""," ",0," ",0," ",1,0
"""Hiraṇyakeśigṛhyasūtra"""," "," "," ",0," "," ",0," "," "," ",1,1,0,18,0,1154
"""History of chemistry in ancient and medieval India""","""Ray  Praphulla Chandra""","""Incorporating the history of Hindu chemistry."""," ",0," ","""Calcutta""",1956,"""Indian Chemical Society"""," "," ",0," ",0," ",1,0
"""Hitopadeśa""","""Nārāyaṇa"""," ","""Hitop""",0," "," ",0," "," ","""Jan Brzezinski  Ulrich Stiehl""",1,4,1,48,0,24961
"""Hymnes de Abhinavagupta""","""Silburn  Lilian"""," "," ",0," ","""Paris""",1970,"""Institut de civilisation indienne"""," "," ",0," ",0," ",1,0
"""Hymns of the Atharva-Veda""","""Bloomfield  Maurice"""," ","""Bloomfield 1897  Hymns AV)""",0," "," ",1897," "," "," ",0,5,0," ",1,0
"""Ṭikanikayātrā""","""Varāhamihira"""," "," ",0,"""Vasant Kumar R. Pandit"""," ",0," "," ","""Mizue Sugita GRETIL)""",1,3,1,24,0,1626
"""Index of Viṃśatikā and Triṃśatikā""","""Bareau"""," ","""Bareau 1953 [Index]""",0," "," ",1953," "," "," ",0,5,0," ",0,0
"""Indian Epigraphical Glossary""","""Sircar  D.C."""," ","""Sircar 1966 [Epigraphy]""",0," "," ",1966," "," "," ",0,5,0," ",0,0
"""Indian lexicography""","""Vogel  Claus"""," "," ",0," "," ",0," ","""A history of Indian literature  5 4"""," ",0," ",0," ",1,0
"""Indu ad AHS)""","""Indu"""," "," ",1," "," ",0," "," "," ",1,4,0,33,0,18
"""Jaiminigṛhyasūtra"""," ","""Belonging to the Sāmaveda.""","""JaimGṛS""",0,"""W. Caland""","""Lahore""",1922,"""Motilal Banarsidass Publisher Ltd.""","""Punjab Sanskrit Series  2""","""Thomas Zehnder""",1,1,1,18,0,6780
"""Jaiminīyabrāhmaṇa"""," "," ","""JB""",0,"""Raghu Vira  Lokesh Candra"""," ",0," "," "," ",1,1,0,8,0,2531
"""Janmamaraṇavicāra""","""Vāmadeva"""," ","""JanMVic""",0,"""M.R. Shāstri""","""Bombay""",1918,"""Nirnaya Sagar Press""","""Kashmir Series of Texts & Studies  19""","""Oliver Hellwig""",1,5,1,44,0,3251
"""Kūrmapurāṇa"""," "," ","""KūPur""",0," "," ",0," "," ","""Sansknet""",1,3,1,42,0,81775
"""Kāśikāvṛtti""","""Jayāditya  Vāmana"""," "," ",1,"""Aryendra Sharma""","""Hyderabad""",1969,"""Osmania University"""," ","""Mari Minamino""",1,3,0,20,0,2859
"""Kāṭhakagṛhyasūtra"""," ","""With extracts from three commentaries  an appendix and indexes""","""KāṭhGṛSū""",0,"""Wilhelm Caland""","""Lahore""",1925," "," "," ",1,1,0,18,0,177
"""Kaṭhopaniṣad"""," "," ","""KaṭhUp""",0,"""Olivelle  Patrick""","""New York""",1998," "," ","""Vienna University Student Team  2016""",1,1,1,10,0,2120
"""Kādambarīsvīkaraṇasūtramañjarī""","""Purūravas"""," ","""KādSvīS""",0," "," ",0," "," ","""Oliver Hellwig""",1,4,1,55,0,265
"""Kaiyadevanighaṇṭu"""," "," ","""KaiNigh""",0," "," ",0," "," "," ",1,5,0,49,0,1827
"""Kālikāpurāṇa"""," "," ","""KālPur""",0,"""Biśwanārāyan Śāstri  M.A.""","""Varanasi""",1972,"""The Chowkhamba Sanskrit Series Office""","""Jaikrishnadas-Krishnadas Prachyavidya Granthamala  5""","""O. Hellwig""",1,4,0,42,0,4091
"""Kāmakuñjalatā""","""P. Ḍhuṇḍhirājśāstrā"""," "," ",0," ","""Vārāṇasī""",1967,"""The Chowkhamba Sanskrit Series Office"""," ","""Oliver Hellwig""",0," ",0,55,1,0
"""Kāmasūtra""","""Vātsyāyana""","""With commentary of Yasodhara""","""KāSū""",0," "," ",1900,"""Nirnayasagarayantralaya"""," ","""Mizue Sugita""",1,3,1,55,0,18841
"""Kashmir Shaivism""","""Jagdish Chandra Chatterji"""," "," ",0," ","""Srinagar""",1962,"""Research & Publicatoin Department"""," "," ",0," ",0," ",1,0
"""Kathāsaritsāgara""","""Somadeva"""," ","""KSS""",0,"""Durgaprasad and Parab""","""Bombay""",1955,"""Nirnaya Sagara Press"""," ","""James Mallinson  Elena Artesani  Rabi Acharya  Nirajan Kafle  and Tyler Neill""",1,4,0,48,0,66536
"""Kātyāyanaśrautasūtra"""," "," ","""KātyŚS""",0,"""Weber  Albrecht"""," ",0," "," ","""Makoto Fushimi TITUS)""",1,1,0," ",0,106
"""Kātyāyanasmṛti"""," "," ","""KātySmṛ""",0,"""P.V.Kane""","""Bombay""",1933,"""Hindu Law Quarterly"""," ","""Akihiko Akamatsu GRETIL)""",1,3,1,37,0,14268
"""Kauśikasūtra"""," "," "," ",0,"""Bloomfield"""," ",1889," "," ","""A. Griffiths GRETIL)""",1,1,0,18,0,5209
"""Kauśikasūtradārilabhāṣya"""," "," ","""KDār""",0," "," ",0," "," "," ",1," ",0," ",0,440
"""Kauṣītakyupaniṣad"""," "," ","""KauṣUp""",0,"""Mislav Jezic""","""Zagreb""",1999," "," ","""Mislav Jezic  TITUS""",1,1,0,10,0,747
"""Kaulāvalīnirṇaya"""," "," "," ",0," "," ",0," "," "," ",1,0,0,44,0,0
"""Kāvyādarśa""","""Daṇḍin"""," ","""KāvĀ""",0,"""S.K. Belvalkar""","""Poona""",1924,"""The Oriental Book-supplying Agency"""," ","""R. Gr￼nendahl Ch. 1; 2.1-144); 2.145ff. by S. Vasudeva ed. Shastri)""",1,3,0,50,0,4446
"""Kāvyālaṃkāra""","""Bhāmaha"""," ","""KāvyAl""",0,"""B.N. Sharma et al.""","""Benares""",1928,"""The Chowkhamba Sanskrit Series Office""","""The Kashi Sanskrit Series  61""","""oh""",1,3,1,50,0,5614
"""Kāvyālaṃkāravṛtti""","""Vāmana""","""Vāmanas Lehrbuch der Poetik"""," ",0,"""Carl Capeller""","""Jena""",1875,"""Verlag von Hermann Dufft"""," ","""O. Hellwig""",1,3,0,50,0,71
"""Kāvyasaṃgraha"""," ","""A Sanskrit anthology""","""KāSaṃgr""",0,"""John Haeberlin""","""Calcutta""",1847,"""W. Thacker and Co."""," "," ",0," ",0,50,0,0
"""Khādiragṛhyasūtra"""," ","""With the commentary of Rudraskanda""","""KhGṛS""",0,"""A. Mahadeva Sastri  B.A.""","""Mysore""",1913,"""Government Branch Press""","""Bibliotheca Sanscritica No. 41"""," ",1,1,0,18,0,1999
"""Khādiragṛhyasūtrarudraskandavyākhyā""","""Rudraskanda"""," "," ",1," "," ",0," ","""Bibliotheca Sanscritica No. 41"""," ",1," ",0," ",0,172
"""King  Governance and Law in Ancient India""","""Olivelle  Patrick"""," ","""Olivelle 2013 [King]""",0," "," ",2013," "," "," ",0,5,0," ",1,0
"""Kirātārjunīya""","""Bhāravi"""," ","""Kir""",0,"""""Text follows that commented on by Mallinaatha"""""," ",0," "," ","""Harunaga Isaacson; GRETIL""",1,3,1,47,0,18410
"""Kokilasaṃdeśa""","""Uddaṇḍa"""," ","""KokSam""",0,"""Shankar Rajaraman  Venetia Kotamraju""","""Bangalore""",2012,"""Rasāla"""," ","""Rajaraman  Venetia Kotamraju""",1,5,1,47,0,4640
"""Kranich und Reiher im Sanskrit""","""Paul Thiem"""," "," ",0," "," ",1975," "," "," ",0,0,0," ",1,0
"""Kumārasaṃbhava""","""Kālidāsa"""," ","""KumSaṃ""",0," "," ",0," "," ","""Utz Podzeit""",1,3,1,47,0,10237
,,,,,,,,,,,,,,,,
"""Kurzgefa￟tes W￶rterbuch ...""","""M. Mayrhofer"""," ","""Mayrhofer""",0," "," ",0," "," "," ",0," ",0," ",1,0
"""Kṛṣṇāmṛtamahārṇava""","""Mādhva"""," ","""KAM""",0,"""Govindacarya""","""Udupi""",1974,"""Akhila Bharata Madhva Maha Mandala"""," ","""Thomas K. Gugler""",1,4,1,43,0,3300
"""Kṛṣiparāśara""","""Parāśara"""," ","""KṛṣiPar""",0,"""Girija Prasanna Majumdar  Sures Chandra Banerji""","""Calcutta""",1960,"""The Asiatic Society""","""Bibliotheca Indica  285""","""Oliver Hellwig""",1,4,1,33,0,3860
"""La doctrine du sacrifice dans les Brahmanas""","""L￩vi  Sylvain"""," ","""L￩vi 1898)""",0," ","""Paris""",1961,"""Presses Universitaires de France"""," "," ",0," ",0," ",1,0
"""La Kāśikā-vṛtti"""," ","""adhyāya I  pāda I"""," ",0,"""Yutaka Ojihara  Louis Renou""","""Paris""",1960,,,,,,,,,
"""Laṅkāvatārasūtra"""," "," ","""LAS""",0,"""P.L. Vaidya""","""Darbhanga""",1963,"""The Mithila Institute"""," ","""O. Hellwig""",1,3,0,58,0,13253
"""Lalitavistara"""," "," ","""LalVis""",0,"""Vaidya"""," ",1958," "," "," ",1,2,0,58,0,25222
"""Le discours des rem￨des au pays des ￩pices""","""Zimmermann  Francis"""," "," ",0," ","""Paris""",1989,"""￉ditions Payot"""," "," ",0," ",0," ",1,0
"""Les enseignements architecturaux de l\""Ajitāgama et du Rauravāgama"" ""Dagens"," Bruno"" ""Etudes sur les āgama śivaites"," I"" ""Dagens 1977)"" 0  ""Pondichery"" 1977 ""Institut francais d\""Indologie"""," "," ",0," ",0," ",1,0,,,,,,
"""Les lapidaires indiens""","""Finot  Louis"""," "," ",0," ","""Paris""",1896,"""Librairie ￉mile Bouillon"""," "," ",0," ",0," ",1,0
"""Les Strophes de Sāṃkhya Sāṃkhyakārikā)"""," ","""Avec le commentaire de Gauḍapāda"""," ",0,"""Anne-Marie Esnoul""","""Paris""",1964,"""Les Belles Lettres"""," "," ",0," ",0," ",1,0
"""Liṅgapurāṇa"""," "," ","""LiPur""",0," "," ",0," "," ","""Members of the Sansknet Project""",1,3,1,42,0,127418
"""Mūlamadhyamakārikāḥ""","""Nāgārjuna"""," ","""MMadhKār""",0," "," ",0," "," ","""Douglas Bachman; R. Mahoney""",1,2,0,58,0,2827
"""Maṇimāhātmya"""," "," ","""MaṇiMāh""",0," "," "," "," "," "," ",1,4,0,54,0,913
"""Madanapālanighaṇṭu""","""Vinoda"""," ","""MPālNigh""",0," "," ",1897," "," "," ",1,4,0,49,0,6183
"""Mahābhārata"""," "," ","""MBh""",0,"""Bhandarkar Oriental Research Institute""","""Poona""",1999," "," ","""Muneo Tokunaga et al.; revision: J. Smith  Cambridge  et al.""",1,2,0,40,0,1145816
"""Mahācīnatantra"""," "," "," ",0,"""M. Meisig"""," ",0," "," "," ",1,0,0,44,0,546
"""Maitrāyaṇīsaṃhitā"""," "," ","""MS""",0,"""Leopold von Schroeder""","""Leipzig""",1881," "," ","""Makoto Fushimi  2015""",1,1,0," ",0,5664
"""Mānavagṛhyasūtra"""," ","""Nebst Commentar in kurzer Fassung""","""MānGS""",0,"""F. Knauer""","""St. Petersburg""",1897," "," "," ",1,1,0,18,0,82
,,,,,,,,,,,,,,,,
"""Manusmṛti""","""Manu"""," ","""ManuS""",0,"""J. L. Shastri"""," ",1983," "," ","""M. Yano; Y. Ikari""",1,2,1,37,0,37625
"""Matsyapurāṇa"""," "," ","""MPur""",0," ","""Calcutta""",1954,"""Caukhambā vidyābhavan"""," ","""oh""",1,3,0,42,0,122639
"""Mātṛkābhedatantra"""," "," ","""MBhT""",0," "," ",0," "," ","""Oliver Hellwig""",1,4,1,44,0,7842
"""Mayamata"""," ","""An Indian treatise on housing architecture and iconography.""","""MayaM""",0,"""Bruno Dagens transl.)""","""New Delhi""",1985,"""Sitaram Bhartia Institute of Scientific Research"""," "," ",0," ",0,36,1,0
"""Meghadūta""","""Kālidāsa"""," ","""Megh""",0,"""M.R. Kale"""," ",0," "," "," ",1,3,1,47,0,3392
"""Mindat"""," "," "," ",0," ","""Published on internet http://www.mindat.org""",2004," "," "," ",0," ",0," ",1,0
"""Minerals and gems in Indian alchemy""","""Ray  Mira"""," "," ",0," "," ",1991," "," "," ",0," ",0," ",1,0
"""Miscellanea de operibus āyurvedicis""","""Das  Rahul Peter"""," "," ",0," ","""Reinbek""",1990,"""Dr. Inge Wezler Verlag f￼r Orientalistische Fachpublikationen"""," "," ",0," ",0," ",1,0
"""Miscellanea de operibus āyurvedicis II)""","""Das  Rahul Peter"""," "," ",0," "," ",0," "," "," ",0," ",0," ",1,0
"""Muṇḍakopaniṣad"""," "," ","""MuṇḍUp""",0,"""Limaye  Vadekar""","""Poona""",1958," "," ","""Paolo Magnone  TITUS""",1,1,1,10,0,1300
"""Mugdhāvabodhinī""","""Caturbhuja Miśra"""," ","""MuA""",1," "," ",0," "," "," ",1,5,0,56,0,30128
"""Mukundamālā""","""Kulaśekhara"""," ","""MukMā""",0,"""Pdt. Durgaprasad and Kasinath Pandurang Parab"""," ",1886," ","""Kāvyamālā  vol. 1  1886 3rd ed.  1929 pp. 11-16""","""Dhaval Patel""",1,4,1,47,0,908
"""Mṛgendraṭīkā""","""Nārāyaṇakaṇṭha"""," ","""MṛgṬīkā""",1," "," ",0," "," "," ",1,4,0,44,0,22075
"""Mṛgendratantra"""," "," ","""MṛgT""",0,"""Madhusudan Kaul Shastri""","""Bombay""",1930,"""Nirnaya Sagar Press"""," ","""Oliver Hellwig""",1,4,0,44,0,3308
"""Nāṭyaśāstra""","""Bharata"""," ","""NāṭŚ""",0," "," ",0," "," ","""Padmakar Dadegaonkar [corrected by OH using the edition of Madhusudan Shastri]""",1,3,0,51,0,7844
"""Nāṭyaśāstravivṛti""","""Abhinavagupta"""," ","""NŚVi""",1,"""M. Ramakrishna Kavi""","""Baroda""",1956,"""Oriental Institute""",,,,,,,,
"""Nāḍīparīkṣā""","""Rāvaṇa"""," "," ",0," "," ",0," "," ","""O. Hellwig""",1,5,1,33,0,1553
"""Nāḍīvijñāna""","""Kaṇāda"""," "," ",0," "," ",0," "," ","""O. Hellwig""",1,5,1,33,0,0
"""Nachtrag zum W￶rterbuch des altindischen Rituals""","""Mylius  Klaus"""," ","""Mylius 2000 [Nachtrag]""",0," "," ",2000," "," "," ",0,5,0," ",1,0
"""Nachtragsw￶rterbuch des Sanskrit""","""Schmidt  R."""," ","""NWS Schmidt)""",0," "," ",1928," "," "," ",0,5,0," ",1,0
"""Nādabindūpaniṣat"""," "," "," ",0," "," ",0," "," "," ",1," ",0,10,0,272
"""Nāradasmṛti"""," "," ","""NāSmṛ""",0,"""Richard Lariviere""","""Philadelphia""",1989," "," ","""Yasuke Ikari""",1,3,1,37,0,13278
"""Narasiṃhapurāṇa"""," "," ","""NarasiṃPur""",0,"""Siddheswar Jena""","""Delhi""",1987,"""Nag Publications"""," ","""Peter Schreiner  GRETIL""",1,3,0,42,0,503
"""Narmamālā""","""Kṣemendra"""," ","""KṣNarm""",0,"""Fabrizia Baldissera""","""Rome""",1999," ","""Rivista degli studi orientali  Supplementi""","""Martin Straube""",1,4,1,48,0,5579
"""Nibandhasaṃgraha""","""Dalhaṇa"""," ","""NiSaṃ""",1," ","""Varanasi""",1980,"""Chaukhambha Orientalia"""," "," ",1,4,0,33,0,7335
"""Nighaṇṭuśeṣa""","""Hemacandra"""," ","""NighŚeṣa""",0,"""Paṇḍit Durgāprasād  Kāśīnāth Pāṇḍurang Parab  Paṇḍit Śivadatta""","""Bombay""",1896,"""Nirṇaya-Sāgara Press"""," ","""oh""",1,4,0,49,0,2003
"""Nirukta""","""Yāska"""," "," ",0,"""Lakshman Sarup"""," ",0," "," ","""Munoe Tokunaga and partly M. Kobayashi)""",1,1,0,22,0,807
"""Nyāyabhāṣya""","""Vātsyāyana"""," ","""NyāBh""",1,"""Taranatha Nyaya-Tarkatirtha""","""Calcutta""",1936,"""Metropolitan Printing & Publ.""","""Calcutta Sanskrit Series  18 & 19""","""Indology Student Team  University of Tokyo www1.linkclub.or.jp/~bussei)""",1,3,0,26,0,952
"""Nyāyabindu""","""Dharmakīrti"""," ","""NyāBi""",0,"""D. Malvania""","""Patna""",1971," "," ","""Motoi Ono""",1,3,0,58,0,159
"""Nyāyacandrikāpaṇjikā""","""Gayadāsācārya"""," "," ",1," ","""Varanasi""",1980,"""Chaukhambha Orientalia"""," "," ",1,4,0,33,0,0
"""Nyāyasūtra""","""Gautama"""," ","""NyāSū""",0," "," ",0," "," ","""Members of the Sansknet Project""",1,2,1,26,0,3335
"""Nyāyasūtra""","""Gautama""","""With Vātsyāyana\""s Nyāyabhāṣya""  0 ""Taranatha Nyaya-Tarkatirtha"" ""Calcutta"" 1936 ""Metropolitan Printing & Publ."" ""Calcutta Sanskrit Series"," 18 & 19"" ""Indology Student Team",,,,,,,,,,,,,
"""OH meanings""","""Oliver Hellwig"""," ","""OH meanings""",0," "," ",0," "," "," ",0,5,0," ",0,0
"""On the Dravyaguṇasaṃgraha of Cakrapāṇidatta""","""Sharma  P.V."""," "," ",0," "," ",0," "," "," ",0," ",0," ",1,0
"""On the identity of arka  an Āyurvedic class of medicines""","""Kumar  Damodaran Suresh"""," "," ",0," "," ",0," "," "," ",0," ",0," ",1,0
"""Origin and tradition of alchemy""","""Rāy  Priyadaranjan"""," "," ",0," "," ",0," "," "," ",0," ",0," ",1,0
"""Pāśupatasūtra"""," "," ","""PāśupSūtra""",0,"""R.A. Sastri""","""Trivandrum""",1940,"""The Oriental Manuscripts Library of the University of Travancore""","""Trivandrum Sanskrit Series  143"""," ",1,2,1,44,0,493
,,,,,,,,,,,,,,,,
"""Padārthacandrikā""","""Candranandana"""," ","""PadCandr""",1," "," ",0," "," "," ",1,4,0," ",0,28
"""Pañcārthabhāṣya""","""Kauṇḍinya"""," ","""PABh""",1," "," ",0," ","""Trivandrum Sanskrit Series  143"""," ",1,3,1,44,0,23164
"""Pañcaviṃśabrāhmaṇa"""," "," ","""PB""",0," "," ",0," "," ","""Martin Kuemmel  Arlo Griffiths  Masato Kobayashi""",1,1,0,8,0,28712
"""Panels of the VIIth World Sanskrit Conference""","""Volume VIII: Medical literature from India  Sri Lanka and Tibet"""," "," ",0,"""Meulenbeld  G. Jan""","""Leiden""",1991,"""E.J. Brill"""," "," ",0," ",0," ",1,0
"""Paṃcasuttaṃ"""," "," "," ",0," "," ",0," "," "," ",2," ",0," ",0,2373
"""Parāśaradharmasaṃhitā"""," ","""With commentary of Sāyaṇa Mādhavācārya""","""ParDhSmṛti""",0,"""Vāman Śāstrī Islāmapurkar""","""Bombay""",1893,"""Government Central Book Depot""","""Bombay Sanskrit Series  XLVIII""","""Muneo Tokunaga; revised GRETIL edition""",1,5,1,37,0,8178
"""Parāśarasmṛtiṭīkā""","""Sāyaṇamādhavācārya"""," "," ",1," "," ",0," "," ","""O. Hellwig""",1,4,0,37,0,7558
"""Paraśurāmakalpasūtra"""," "," "," ",0,"""A. Mahadeva Sastri""","""Baroda""",1923,"""Central Library""","""Gaekwad\""s Oriental Series",,,,,,,
"""Pāradasaṃhitā""","""Nirañjanaprasād Gupta"""," "," ",0," ","""Bombay""",1997,"""Shri Venkateshvara Press"""," "," ",0," ",0," ",1,0
"""Paramānandīyanāmamālā""","""Makarānanda"""," ","""ParNāmMālā""",0,"""E.D. Kulkarni ed.)""","""Poona""",1968,"""Deccan College"""," ","""O. Hellwig""",1,4,0,49,0,211
"""Pāraskaragṛhyasūtra"""," "," "," ",0," "," ",0," "," "," ",1,1,0,18,0,661
"""Pavanadūta""","""Dhoyi"""," ","""PavDū""",0,"""Chintaharan Chakravarti""","""Calcutta""",1926,"""Sanskrit Sahitya Parishat""","""Sanskrit Sahitya Parishat Series No. 13""","""Harunaga Isaacson""",1,4,0,47,0,0
"""Petersburger W￶rterbuch"""," "," ","""PeW￶""",0," "," ",0," "," "," ",0,5,0," ",1,0
"""Pottery in Vedic literature""","""Kashikar  Chintamani Ganesh"""," "," ",0," "," ",0," "," "," ",0," ",0," ",1,0
"""Prasannapadā""","""Candrakīrti"""," "," ",1," "," ",0," "," "," ",1,3,0,58,0,409
"""Rājamārtaṇḍa""","""Bhoja"""," ","""RājMār""",1,"""Rājendralāla Mitra""","""Calcutta""",1883,"""Baptist Mission Press"""," ","""oh""",1,4,0,29,0,761
"""Rājanighaṇṭu""","""Narahari"""," ","""RājNigh""",0," "," ",0," "," ","""Oliver Hellwig""",1,4,1,49,0,49984
"""Rāmāyaṇa""","""Valmīki"""," ","""Rām""",0," "," ",0," "," ","""Muneo Tokunaga et al.  revised by John Smith""",1,2,1,41,0,261044
"""Rasādhyāya"""," "," ","""RAdhy""",0,"""Rāmakṛṣṇa Śarman""","""Benares""",1930,"""Chowkhamba Sanskrit Series  north of Gopal Mandir""","""Kāśī Sanskrit Series  79""","""Oliver Hellwig""",1,4,1,56,0,6719
,,,,,,,,,,,,,,,,
"""Rasamañjarī""","""Śālīnātha"""," ","""RMañj""",0,"""Siddhinandan Mishra""","""Varanasi""",1995,"""Chaukhambha Orientalia""","""Jaikrishnadas Ayurveda Series  81""","""O. Hellwig""",1,4,0,56,0,12588
"""Rasaprakāśasudhākara""","""Yaśodhara"""," ","""RPSudh""",0,"""Jīvrām Kālidās Śāstri""","""Goṇḍal""",1940,"""Rasaśālā auṣadhāśram""","""Rasaśālā granthamālā  10""","""O. Hellwig""",1,4,0,56,0,15616
"""Rasaprakāśasudhākara""","""Yaśodhara""","""With Siddhipradā Hindi commentaries""","""RPrSudh2""",0,"""Siddhinandan Mishra""","""Varanasi""",1998,"""Chaukhambha Orientalia""","""Jaikrishnadas Ayurveda Series  54"""," ",0," ",0," ",1,0
"""Rasārṇava"""," "," ","""RArṇ""",0,"""Praphulla Chandra Ray  D.Sc. Ph.D.""","""Calcutta""",1910,"""Hitavrata Chattopadhyaya""","""Bibliotheca Indica  1193  1220  1238""","""Oliver Hellwig""",1,4,1,56,0,32040
"""Rasārṇavakalpa"""," "," ","""RAK""",0,"""Mira Roy""","""New Delhi""",1993,"""Indian National Science Academy"""," ","""Oliver Hellwig""",1,5,0,56,0,4796
"""Rasārṇavam nāma rasatantram"""," ","""With Hindi commentary by I. Tripathi"""," ",0,"""Krishna Dixit""","""Varanasi""",1995,"""Chowkhamba Sanskrit Series Office""","""Haridas Sanskrit Series  88"""," ",0," ",0," ",1,0
"""Rasārṇavam nāma rasatantram"""," ","""Vimarśākhya rasacandrikā hindīvyākhyayā vibhūṣitam""","""RasArṇ 2)""",0," ","""Vārāṇasī""",1995,"""Caukhambā Saṃskṛt Sīrīj Āphis""","""Haridās Saṃskṛta Granthamālā  88"""," ",0," ",0," ",1,0
"""Rasaratnākara""","""Nitya Nātha Siddha"""," ","""RRĀ""",0,"""Vaidya Jādavjī Tricumjī Ācārya""","""Benares""",1939,"""Caukhamba Sanskrit Office"""," ","""Oliver Hellwig""",1,4,1,56,0,52856
"""Rasaratnākara Ṛddhikhaṇḍa""","""Nityanātha"""," ","""RRĀṚddhi""",0," ","""Varanasi""",1991,"""Chaukhambha Orientalia""","""Vidyavilas Ayurveda Series  No. 10""","""oh""",0," ",0,56,1,0
"""Rasaratnākara Rasakhaṇḍa""","""Nityanātha"""," ","""RRĀ Rasakhaṇḍa""",0," ","""Varanasi""",1985,"""Chaukhamba Amarabharati Prakashan""","""Chaukhamba Ayurveda Granthamala  11""","""oh""",0," ",0,56,0,0
"""Rasaratnasamuccaya""","""Vāgbhaṭa"""," ","""RRS""",0,"""Krsnaravasarman Vinayaka Bapata""","""Poona""",1890," ","""Anandasrama Sanskrit Series edition  vol. 19""","""Wieslaw Mical  Som Dev Vasudeva  Anne Glazier; O. Hellwig""",1,4,0,56,0,28144
"""Rasaratnasamuccayaṭīkā"""," "," ","""RRSṬīkā""",1," "," ",0," "," "," ",1,5,0,56,0,12167
"""Rasaratnasamuccayabodhinī""","""Āśubodhavidyābhūṣaṇa  Nityabodhavidyāratna"""," ","""RRSBoṬ""",1," "," ",0," "," ","""O. Hellwig""",1,5,0,56,0,6426
"""Rasaratnasamuccayadīpikā""","""Hazārīlāl Sukul"""," ","""RRSDīp""",1," "," ",0," "," "," ",1,5,0,56,0,82
"""Rasasaṃketakalikā""","""Kāyasthacāmuṇḍa""","""Saṭippaṇ rasacandrikā hindīvyākhyopetā""","""RSK""",0,"""Jādavjī Tricumjī""","""Benares""",0,"""Chaukhamba Amarabharati Prakashan""","""Chaukhamba Ayurveda Granthamala  10""","""O. Hellwig""",1,5,0,56,0,4563
"""Rasataraṅgiṇī"""," "," ","""RTar""",0," "," ",0," "," ","""Oliver Hellwig""",1,5,0,56,0,2684
"""Rasendracūḍāmaṇi""","""Somadeva"""," ","""RCūM""",0,"""Siddhinandan Miśra""","""Benares""",1999,"""Chaukhamba Orientalia"""," "," ",1,4,1,56,0,17923
"""Rasendracintāmaṇi""","""Ḍhuṇḍhukanātha"""," ","""RCint""",0,"""Prof. Siddhinandanamiśra""","""Benares""",2000,"""Caukhambha Orientalia"""," "," ",1,4,0,56,0,13321
"""Rasendrasārasaṃgraha""","""Gopālakṛṣṇabhaṭṭa"""," ","""RSS""",0," ","""Dillī""",0,"""Caukhambā saṃskṛt pratiṣṭhān""","""Vrajjīvan āyurvijñān granthamālā  28""","""OH""",1,4,0,56,0,5676
"""Rasikapriyā""","""Kumbha"""," ","""RasPr""",1," "," ",0," "," "," ",1," ",0,56,0,346
"""Rasikasaṃjīvanī""","""Arjunavarmadeva"""," ","""RSaṃjīv""",1,"""Paṇḍit Durgāprasāda; Kāśīnāth Pāṇḍuraṅg Parab""","""Bombay""",1900,"""Nirnaya Sagara Press""","""Kāvyamālā  18""","""O. Hellwig""",1," ",0,56,0,166
"""Ratna Dīpikā and Ratna Śāstram"""," ","""Edited with introduction"""," ",0,"""Sri. P.S. Rama Sastri""","""Madras""",1951,"""Government Oriental Manuscripts Library"""," ","""O. Hellwig""",0," ",0," ",1,0
"""Ratnaṭīkā""","""Bhāsarvajña"""," ","""GaṇaKārṬīkā""",1," "," ",0," "," "," ",1,3,0,44,0,5390
"""Ratnadīpikā"""," "," "," ",0," "," ",0," "," "," ",1,4,0,54,0,1511
"""Reflections on the basic concepts on Indian pharmacology""","""G.J. Meulenbeld"""," "," ",0," "," ",0," ","""Groningen Oriental Studies  vol. II"""," ",0," ",0," ",1,0
"""Religious beliefs and practices of North Indie during the early mediaeval period""","""V.Bh. Mishra"""," "," ",0," ","""Leiden""",1973,"""E.J. Brill""","""Handbuch der Orientalistik  2. III"""," ",0," ",0," ",1,0
"""Remarkable words from the Kāvyamīmāṃsā""","""Renou  Louis"""," ","""Renou 1956 [Kāvyamī.]""",0," "," ",1956," "," "," ",0,5,0," ",1,0
"""Rigveda Brahmanas""","""Keith  Arthur B."""," "," ",0," ","""Cambridge""",1920,"""Harvard University Press"""," "," ",0,5,0," ",1,0
"""Ritualliteratur""","""Hillebrandt  Alfred""","""Vedische Opfer und Zauber."""," ",0," ","""Strassburg""",1897,"""Verlag von Karl J. Tr￼bner""","""Grundriss der Indo-Arischen Philologie und Altertumskunde  III. 2"""," ",0," ",0," ",1,0
