Лемма	Тип	Класс	Залог	Форма	Лицо	Число	Время/наклонение	Примеры
abhihan	Verb	4	P.	abhihata			"Past Passive Participle"	"  288"
kalpay	Verb	10	Ā	kalpita			"Past Passive Participle"	"  287"
sādhay	Verb	10	Ā	sādhita			"Past Passive Participle"	"  287"
vṛdh	Verb	6	P.	vṛddha			"Past Passive Participle"	"  282"
mā	Verb	4	P.	mita			"Past Passive Participle"	"  282"
nī	Verb	2	P.	nīta			"Past Passive Participle"	"  280"
īpsay	Desid.	0	Ā	īpsita			"Past Passive Participle"	"  277"
āruh	Verb	6	Ā	ārūḍha			"Past Passive Participle"	"  276"
upaviś	Verb	6	P.	upaviṣṭa			"Past Passive Participle"	"  276"
rakṣ	Verb	4	P.	rakṣita			"Past Passive Participle"	"  275"
śrī	Verb	4	P.	śṛta			"Past Passive Participle"	"  272"
saṁjan	Verb	4	Ā	saṃjāta			"Past Passive Participle"	"  270"
svid	Verb	4	P.	svinna			"Past Passive Participle"	"  269"
vismi	Verb	1	P.	vismita			"Past Passive Participle"	"  268"
sthāpay	Verb	10	Ā	sthāpita			"Past Passive Participle"	"  264"
śram	Verb	1	Ā	śrānta			"Past Passive Participle"	"  264"
vistṛ	Verb	9	P.	vistīrṇa			"Past Passive Participle"	"  264"
ākṛ	Verb	6	P.	ākīrṇa			"Past Passive Participle"	"  263"
lubh	Verb	4	Ā	lubdha			"Past Passive Participle"	"  262"
vī	Verb	2	Ā	vīta			"Past Passive Participle"	"  260"
upāgam	Verb	1	P.	upāgata			"Past Passive Participle"	"  259"
bhāṣ	Verb	1	P.	bhāṣita			"Past Passive Participle"	"  258"
prasū	Verb	2	P.	prasūta			"Past Passive Participle"	"  258"
hu	Verb	3	Ā	huta			"Past Passive Participle"	"  257"
sañj	Verb	1	Ā	sakta			"Past Passive Participle"	"  254"
nidhā	Verb	3	Ā	nihita			"Past Passive Participle"	"  254"
praṇam	Verb	1	Ā	praṇata			"Past Passive Participle"	"  253"
nam	Verb	1	Ā	nata			"Past Passive Participle"	"  252"
cūrṇay	Denom.	0	P.	cūrṇita			"Past Passive Participle"	"  252"
samutpad	Verb	4	P.	samutpanna			"Past Passive Participle"	"  252"
āhan	Verb	2	Ā	āhata			"Past Passive Participle"	"  251"
vihā	Verb	3	Ā	vihīna			"Past Passive Participle"	"  251"
saṁgam	Verb	6	Ā	saṃgata			"Past Passive Participle"	"  250"
nirdiś	Verb	6	Ā	nirdiṣṭa			"Past Passive Participle"	"  249"
same	Verb	2	P.	sameta			"Past Passive Participle"	"  249"
anujñā	Verb	9	Ā	anujñāta			"Past Passive Participle"	"  248"
saṁmā	Verb	3	Ā	saṃmita			"Past Passive Participle"	"  248"
tṛp	Verb	6	P.	tṛpta			"Past Passive Participle"	"  247"
mud	Verb	1	P.	mudita			"Past Passive Participle"	"  247"
śobhay	Verb	10	Ā	śobhita			"Past Passive Participle"	"  246"
jñā	Verb	4	Ā	jñāta			"Past Passive Participle"	"  245"
vas	Verb	2	P.	uṣita			"Past Passive Participle"	"  245"
prayam	Verb	1	Ā	prayata			"Past Passive Participle"	"  243"
saṁrabh	Verb	1	Ā	saṃrabdha			"Past Passive Participle"	"  241"
niram	Verb	1	P.	nirata			"Past Passive Participle"	"  240"
antardhā	Verb	3	Ā	antarhita			"Past Passive Participle"	"  239"
niści	Verb	5	Ā	niścita			"Past Passive Participle"	"  238"
samākhyā	Verb	4	P.	samākhyāta			"Past Passive Participle"	"  238"
darśay	Verb	10	Ā	darśita			"Past Passive Participle"	"  237"
upahan	Verb	2	P.	upahata			"Past Passive Participle"	"  236"
niṣad	Verb	1	Ā	niṣaṇṇa			"Past Passive Participle"	"  236"
prayā	Verb	2	Ā	prayāta			"Past Passive Participle"	"  236"
abhibhū	Verb	1	P.	abhibhūta			"Past Passive Participle"	"  235"
śaṁs	Verb	2	Ā	śasta			"Past Passive Participle"	"  234"
bhraṁś	Verb	1	P.	bhraṣṭa			"Past Passive Participle"	"  234"
unmad	Verb	4	Ā	unmatta			"Past Passive Participle"	"  234"
