lemma_slp1,lemma_iast,shared_ref,sigil,source_dict,inheritor,dcs_text,dcs_text_id,dcs_locus,status,lemma_present,reason,note
citra,citra,HARIV. 9062,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,edition-mismatch: Petersburg continuous no. 9062 exceeds DCS total verses 6073 (vulgate vs critical edition),
citrapawa,citrapaṭa,HARIV. 16001,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,edition-mismatch: Petersburg continuous no. 16001 exceeds DCS total verses 6073 (vulgate vs critical edition),
citrapawwa,citrapaṭṭa,HARIV. 10069,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,edition-mismatch: Petersburg continuous no. 10069 exceeds DCS total verses 6073 (vulgate vs critical edition),
citraraTa,citraratha,HARIV. 1971,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,"edition-mismatch: multi-chapter DCS text uses per-chapter (ch,verse); no concordance from Petersburg continuous no.",
citrasTa,citrastha,HARIV. 7919,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,edition-mismatch: Petersburg continuous no. 7919 exceeds DCS total verses 6073 (vulgate vs critical edition),
citrasena,citrasena,HARIV. 7224,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,edition-mismatch: Petersburg continuous no. 7224 exceeds DCS total verses 6073 (vulgate vs critical edition),
citrayoDin,citrayodhin,HARIV. 6867,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,edition-mismatch: Petersburg continuous no. 6867 exceeds DCS total verses 6073 (vulgate vs critical edition),
cozya,coṣya,HARIV. 8255,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,edition-mismatch: Petersburg continuous no. 8255 exceeds DCS total verses 6073 (vulgate vs critical edition),
dA,dā,HARIV. 15782,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,edition-mismatch: Petersburg continuous no. 15782 exceeds DCS total verses 6073 (vulgate vs critical edition),
dASArha,dāśārha,HARIV. 6810,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,edition-mismatch: Petersburg continuous no. 6810 exceeds DCS total verses 6073 (vulgate vs critical edition),
dIrGAyuzwva,dīrghāyuṣṭva,HARIV. 886,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,"edition-mismatch: multi-chapter DCS text uses per-chapter (ch,verse); no concordance from Petersburg continuous no.",
daDyuttara,dadhyuttara,HARIV. 4216,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,"edition-mismatch: multi-chapter DCS text uses per-chapter (ch,verse); no concordance from Petersburg continuous no.",
daMzwrin,daṃṣṭrin,HARIV. 12496,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,edition-mismatch: Petersburg continuous no. 12496 exceeds DCS total verses 6073 (vulgate vs critical edition),
daRqasena,daṇḍasena,HARIV. 1070,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,"edition-mismatch: multi-chapter DCS text uses per-chapter (ch,verse); no concordance from Petersburg continuous no.",
dah,dah,HARIV. 7040,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,edition-mismatch: Petersburg continuous no. 7040 exceeds DCS total verses 6073 (vulgate vs critical edition),
dah,dah,HARIV. 15523,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,edition-mismatch: Petersburg continuous no. 15523 exceeds DCS total verses 6073 (vulgate vs critical edition),
dakza,dakṣa,HARIV. 101,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,"edition-mismatch: multi-chapter DCS text uses per-chapter (ch,verse); no concordance from Petersburg continuous no.",
dakziRApaTika,dakṣiṇāpathika,HARIV. 6144,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,edition-mismatch: Petersburg continuous no. 6144 exceeds DCS total verses 6073 (vulgate vs critical edition),
dakziRa,dakṣiṇa,HARIV. 12390,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,edition-mismatch: Petersburg continuous no. 12390 exceeds DCS total verses 6073 (vulgate vs critical edition),
darSana,darśana,HARIV. 1285,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,"edition-mismatch: multi-chapter DCS text uses per-chapter (ch,verse); no concordance from Petersburg continuous no.",
darSana,darśana,HARIV. 5460,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,"edition-mismatch: multi-chapter DCS text uses per-chapter (ch,verse); no concordance from Petersburg continuous no.",
devasaMgItayonin,devasaṃgītayonin,HARIV. 4347,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,"edition-mismatch: multi-chapter DCS text uses per-chapter (ch,verse); no concordance from Petersburg continuous no.",
diSApAla,diśāpāla,HARIV. 273,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,"edition-mismatch: multi-chapter DCS text uses per-chapter (ch,verse); no concordance from Petersburg continuous no.",
duHsADya,duḥsādhya,HARIV. 16132,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,edition-mismatch: Petersburg continuous no. 16132 exceeds DCS total verses 6073 (vulgate vs critical edition),
dvijapati,dvijapati,HARIV. 12491,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,edition-mismatch: Petersburg continuous no. 12491 exceeds DCS total verses 6073 (vulgate vs critical edition),
ekadeha,ekadeha,HARIV. 2532,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,"edition-mismatch: multi-chapter DCS text uses per-chapter (ch,verse); no concordance from Petersburg continuous no.",
gAnDarva,gāndharva,HARIV. 16291,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,edition-mismatch: Petersburg continuous no. 16291 exceeds DCS total verses 6073 (vulgate vs critical edition),
gORya,gauṇya,HARIV. 5907,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,"edition-mismatch: multi-chapter DCS text uses per-chapter (ch,verse); no concordance from Petersburg continuous no.",
gaya,gaya,HARIV. 870,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,"edition-mismatch: multi-chapter DCS text uses per-chapter (ch,verse); no concordance from Petersburg continuous no.",
giripura,giripura,HARIV. 5161,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,"edition-mismatch: multi-chapter DCS text uses per-chapter (ch,verse); no concordance from Petersburg continuous no.",
girivraja,girivraja,HARIV. 6598,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,edition-mismatch: Petersburg continuous no. 6598 exceeds DCS total verses 6073 (vulgate vs critical edition),
go,go,HARIV. 1601,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,"edition-mismatch: multi-chapter DCS text uses per-chapter (ch,verse); no concordance from Petersburg continuous no.",
go,go,HARIV. 2943,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,"edition-mismatch: multi-chapter DCS text uses per-chapter (ch,verse); no concordance from Petersburg continuous no.",
go,go,HARIV. 986,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,"edition-mismatch: multi-chapter DCS text uses per-chapter (ch,verse); no concordance from Petersburg continuous no.",
goDana,godhana,HARIV. 3515,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,"edition-mismatch: multi-chapter DCS text uses per-chapter (ch,verse); no concordance from Petersburg continuous no.",
golaka,golaka,HARIV. 15549,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,edition-mismatch: Petersburg continuous no. 15549 exceeds DCS total verses 6073 (vulgate vs critical edition),
goloka,goloka,HARIV. 3994,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,"edition-mismatch: multi-chapter DCS text uses per-chapter (ch,verse); no concordance from Petersburg continuous no.",
gopatA,gopatā,HARIV. 3302,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,"edition-mismatch: multi-chapter DCS text uses per-chapter (ch,verse); no concordance from Petersburg continuous no.",
goyajYa,goyajña,HARIV. 3851,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,"edition-mismatch: multi-chapter DCS text uses per-chapter (ch,verse); no concordance from Petersburg continuous no.",
grAmyaDarma,grāmyadharma,HARIV. 1259,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,"edition-mismatch: multi-chapter DCS text uses per-chapter (ch,verse); no concordance from Petersburg continuous no.",
graT,grath,BHĀRADV,BHĀRADV,PWG,MW,,,,UNRESOLVED,,text-absent-from-DCS-or-ambiguous-sigil,
grahaRa,grahaṇa,HARIV. 2734,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,"edition-mismatch: multi-chapter DCS text uses per-chapter (ch,verse); no concordance from Petersburg continuous no.",
